coef,rank
0.00514,5110
0.44,173
-0.12,9312
0.442,753
-0.546,7756
0.0864,4135
0.902,291
0.192,1422
-0.127,9245
-0.196,9233
-0.257,10042
0.174,2378
-0.0279,6031
-0.139,9995
0.036,4432
-0.114,7943
0.0469,4462
-0.321,8465
0.131,1037
-0.017,6575
0.183,1242
-0.0368,6525
-0.0125,5180
0.0608,4417
-0.136,8956
0.0982,3102
-0.165,7934
0.026,4547
-0.196,10682
-0.392,8225
0.0394,4438
0.0949,2580
-0.118,7861
-0.134,6726
0.0451,4159
-0.148,7885
-0.0995,8320
0.0578,2987
-0.152,9165
0.157,2871
0.056,4152
-0.0989,7317
-0.105,8774
0.009,4962
-0.0829,7147
-0.041,6323
-0.215,9314
-0.0753,6088
-0.215,10987
-0.0802,9326
-0.0176,5611
-0.127,8962
0.0871,3598
0.0997,3351
0.359,485
-0.0915,8828
-0.165,9443
-0.59,10978
-0.21,7909
0.0615,4045
-0.0524,7739
-0.0305,6717
-0.0835,6839
0.0218,4678
-0.147,10083
-0.0323,6810
0.157,1837
-0.0833,8562
-0.152,9471
-0.0511,7118
0.138,2250
-0.0293,5232
-0.0287,6078
0.0779,3036
0.0532,4160
0.603,116
-0.0418,5677
-0.0116,5890
-0.0672,7283
0.148,1442
-0.0118,6045
-0.238,10313
0.355,1833
1.08,12
-0.21,10815
-0.162,9965
0.297,499
0.402,773
0.0409,4113
-0.384,10302
-0.17,10502
-0.0302,6949
0.108,3065
-0.0534,6401
-0.151,7613
-0.111,7223
-0.245,9579
-0.0412,6780
0.216,2386
0.183,522
0.115,2635
-0.26,10148
0.115,2086
-0.03,6308
-0.0942,7987
0.0745,3759
-0.292,9175
-0.185,8507
-0.474,10969
0.0427,4303
0.578,53
0.117,2494
-0.2,6629
-0.0483,6136
0.038,4111
0.174,450
-0.0318,5978
-0.0864,7915
-0.0415,7019
0.0127,5048
-0.103,7905
-0.113,9425
0.21,386
0.152,1012
-0.208,8580
0.478,1270
0.0984,2036
-0.334,10642
0.184,2331
-0.0228,5633
0.208,1883
-0.0762,6845
-0.141,9674
0.21,968
0.232,1922
0.261,276
1.18,1244
0.398,1522
0.178,721
-0.191,10167
-0.162,8064
0.0685,2962
-0.146,7824
-0.0969,7736
-0.356,10903
-0.0382,6704
-0.41,10608
-0.19,9427
0.258,340
-0.00587,5290
-0.0414,6701
-0.0617,7769
-0.967,9205
-0.18,9004
0.554,808
0.0639,3818
-0.0632,7550
-0.27,10595
0.517,421
-0.127,8406
-0.0847,7730
-0.188,10109
0.223,1330
-0.0605,8370
-0.0183,5630
-0.0982,8006
0.348,44
0.0761,2628
-0.254,10171
-0.205,10632
-0.0342,6186
0.164,2929
-0.058,7276
0.0457,3493
-0.0555,8566
-0.0697,7282
0.337,65
0.0651,4057
0.561,1196
0.0228,4220
0.0841,3064
-0.000804,5459
0.036,4370
-0.0627,7108
0.126,1221
0.119,511
-0.0607,7462
0.141,1917
-0.292,10070
-0.12,8981
-0.137,6194
-0.115,8922
-0.163,9984
0.103,1112
-0.116,8858
-0.405,10912
0.351,1205
0.152,1477
0.162,2443
-0.0828,7188
0.0598,3148
0.0575,4030
-0.298,10822
0.191,2810
0.263,91
-0.102,8288
-0.313,10633
-0.469,10220
0.0339,4558
0.0188,5006
-0.0464,6815
-0.12,9706
0.0736,3385
-0.0618,6507
-0.0499,6204
0.329,624
0.0221,4326
0.108,2290
0.177,1726
-0.177,9172
-0.184,8155
-0.343,9968
0.211,1612
-0.0413,6910
0.195,212
0.616,94
0.263,1799
-0.0865,7756
0.152,1208
-0.0428,7283
0.0154,4865
-0.145,8588
0.755,2
-0.093,7438
0.275,1484
0.0379,3416
0.327,456
-0.181,8929
0.592,412
-0.0941,7116
-0.15,7977
0.604,2080
0.00168,5167
0.255,540
0.137,2147
-0.0344,6242
0.323,67
-0.0392,6477
-0.0123,5694
0.101,2818
0.0112,5232
0.466,619
-0.149,10032
-0.189,10775
1.02,50
-0.0802,6291
-0.315,9246
-0.213,6960
0.0898,2978
-0.0465,6643
0.257,529
0.223,852
0.258,1116
-0.287,10500
-0.182,9896
0.47,100
-0.00837,5107
0.074,3589
0.229,1033
0.0447,4364
0.0732,3774
-0.0586,8282
-0.0943,7860
0.0561,3835
0.222,1775
0.0143,4836
0.188,1388
0.316,849
-0.0229,5926
0.528,68
-0.133,8041
0.074,3362
-0.284,10795
0.21,2011
0.182,1837
-0.0609,6473
0.351,694
-0.15,8955
0.033,4114
0.00652,5246
-0.136,7963
0.0425,4522
0.239,1578
0.0223,4782
-0.0398,7304
0.0281,4389
-0.427,10427
0.0866,3015
-0.109,6985
-0.138,7185
0.0516,3892
0.229,536
0.0284,4497
-0.0519,6217
-0.114,8100
-0.038,5491
-0.145,10320
0.0943,3258
0.00674,5128
0.0877,3945
-0.161,7647
-0.134,9197
0.0227,4332
-0.192,10091
-0.0549,7027
0.0934,4023
-0.346,10244
0.0901,3645
0.151,2784
-0.0335,5615
0.422,720
-0.0837,7628
-0.0234,5499
-0.532,10390
0.103,1855
-0.281,10737
0.288,257
-0.199,9751
0.0445,3332
-0.364,9875
-0.00306,5378
0.26,359
-0.124,7467
-0.0696,6373
0.193,979
0.461,1078
-0.0405,6619
-0.104,9039
-0.171,10137
0.0554,3573
-0.0736,7513
0.248,1597
0.284,118
-0.306,9396
-0.346,9821
-0.0147,6048
0.15,745
-0.307,10398
0.00385,5127
0.152,1988
-0.126,5267
0.244,2866
-0.167,4497
-0.32,6944
-0.268,8496
0.26,2998
-0.109,7394
-0.404,10876
-0.187,9681
-0.0845,7285
-0.0954,9479
-0.11,9941
-0.558,8764
-0.365,10666
0.172,2120
0.0144,5160
-0.0397,6518
0.216,223
-0.283,8302
0.0118,5073
0.125,2538
-0.0229,5770
-0.182,8453
-0.106,8824
0.27,880
-0.317,9901
-0.212,8652
-0.124,6456
0.278,873
0.0529,3567
-0.131,7191
-0.0881,9343
-0.172,8605
0.0604,4444
-0.0438,6706
0.00611,5150
0.0904,2882
0.323,625
0.863,406
-0.204,9118
0.0498,3586
-0.164,9565
0.0515,4249
0.414,1017
-0.181,9307
0.418,1102
0.236,1007
-0.0401,6806
-0.207,7882
0.0473,4024
-0.155,8408
-0.122,8369
0.123,2318
-0.309,10941
-0.0544,6760
-0.0424,5938
-0.179,8744
0.195,3159
0.0348,2366
-0.0597,7164
-0.121,7919
0.356,1165
-0.102,7327
-0.234,9576
0.00253,5380
-0.0395,7871
-0.0698,10855
0.118,2565
-0.12,6734
-0.0896,7469
-0.361,9526
-0.222,10939
-0.131,7755
-0.39,10798
0.0318,4402
-0.0254,5262
