coef,rank
0.348,1217
0.032,4567
0.0749,2952
0.347,1270
0.951,1435
0.447,2166
-0.542,10241
0.252,800
-0.0134,5618
-0.141,8269
-0.0415,6111
0.0804,3722
-0.102,8109
0.147,962
0.378,88
-0.0145,5744
-0.509,10285
0.498,1265
0.00112,5448
0.0734,1958
0.232,729
-0.272,10891
0.201,2582
0.183,2877
0.289,443
-0.0142,5451
-0.233,8922
-0.278,10012
-0.154,10212
-0.403,8320
0.218,1434
0.321,155
0.809,12
0.516,821
-0.00675,5271
-0.00799,5474
-0.0619,7291
0.113,1410
0.0903,2990
-0.182,8005
0.0869,3506
-0.389,10832
0.148,1322
-0.0383,7628
-0.142,8389
0.0798,3116
-0.175,8703
0.088,3504
-0.0719,8762
0.147,404
0.243,1650
0.0439,4389
0.000901,5227
-0.122,7725
0.25,1169
-0.039,6886
-0.115,8370
-0.308,9648
0.082,4135
0.434,463
-0.0491,7584
0.217,553
0.118,3226
-0.187,8859
0.0707,2858
0.0589,2687
-0.0311,6158
0.0807,2639
0.165,1534
-0.272,10931
-0.245,10246
-0.171,6735
0.023,4412
-0.18,9910
-0.269,10522
0.355,785
0.716,316
0.0453,3990
-0.118,8658
0.215,585
0.225,849
-0.0314,6142
-0.0615,5975
0.239,2127
0.106,1927
0.324,96
0.0526,4117
-0.204,8734
-0.0136,5378
-0.114,6951
0.0146,4825
0.0316,3869
-0.0724,6854
0.55,67
-0.356,10180
0.286,1361
-0.218,9231
-0.0834,8229
0.727,180
-0.125,10002
-0.127,8356
-0.178,9035
0.111,2171
-0.0331,6414
0.171,1263
-0.0755,7001
0.258,2022
0.0932,3587
-0.0644,6642
0.152,2128
-0.0778,6829
-0.195,9747
-0.123,5916
-0.0472,6121
0.0731,3003
-0.00389,5740
-0.412,10739
0.0293,4732
-0.0301,6571
0.136,2750
0.132,2469
0.0768,2489
0.0803,2637
-0.0485,7270
-0.226,8853
0.366,1805
-0.12,9444
0.187,1779
-0.215,9334
0.0906,3063
-0.31,10414
0.172,2294
-0.0404,6803
-0.115,8731
-0.599,11008
0.0558,3412
-0.166,5254
-0.247,8223
-0.105,8842
-0.0758,7719
0.198,2600
-0.097,9125
0.015,4939
-0.177,9305
0.106,2813
0.426,44
-0.259,9322
0.115,2882
-0.0508,7399
0.212,2137
-0.0614,7307
-0.177,10441
0.886,1904
0.000506,5048
-0.353,9263
-0.184,9172
-0.0011,5472
-0.0569,6956
-0.0826,6665
0.16,1964
-0.0284,6195
-0.00295,5477
-0.0979,7773
-0.137,10552
-0.153,8903
-0.218,10058
0.24,330
-0.0383,6842
0.164,2309
0.201,612
0.0746,3720
-0.0237,5332
-0.054,7135
0.0845,2340
-0.0347,7410
-0.0647,7134
-0.075,7876
0.183,2162
-0.725,10885
0.0786,2015
0.215,776
-0.0799,7294
-0.00602,5485
0.159,1864
0.112,1516
0.166,142
0.33,76
0.145,1829
0.0923,3417
0.001,5379
0.239,2835
0.123,1961
0.0641,3379
0.0027,5423
-0.144,9516
0.248,1178
-0.247,8518
-0.134,9157
0.517,176
-0.0718,6932
0.0541,3326
0.103,3256
-0.165,9374
-0.201,8225
0.0561,3017
0.0371,4388
0.186,1797
-0.33,9040
-0.0504,6657
-0.277,10277
0.0936,2562
0.0378,3812
0.481,26
0.0964,3495
0.214,1922
0.00307,4949
0.0525,2774
0.241,456
0.0481,4103
0.422,289
-0.126,7182
-0.203,8319
0.0364,4561
0.0161,4668
0.112,1217
-0.0165,5559
0.0734,3977
-0.00559,5685
-0.00486,5605
-0.1,9256
-0.0125,6007
-0.32,10702
-0.0146,5897
-0.0829,7205
0.221,1970
-0.0433,7811
-0.174,9107
-0.325,10560
0.0828,4030
0.215,1289
-0.00402,5224
1.53,635
-0.29,8971
0.0203,4751
-0.0298,5874
0.208,1686
0.106,2039
0.0577,4064
-0.135,8258
-0.295,10769
0.185,4271
-0.188,8270
0.103,1843
0.0391,3761
0.618,387
0.428,1159
-0.145,7101
-0.542,10119
-0.217,10322
0.107,2307
-0.179,9913
0.109,2651
0.309,728
-0.0175,5784
-0.14,9173
-0.0603,6721
0.00348,4942
0.048,4205
-0.145,9050
0.338,1001
-0.173,9508
0.143,588
-0.153,9221
-0.127,8178
0.0262,4880
0.255,660
-0.105,7870
-0.14,7794
-0.0636,6918
0.0253,4674
-0.113,7658
0.105,2604
-0.223,10355
-0.176,8865
-0.115,7906
-0.192,8800
-0.0914,6875
-0.0451,6566
0.0425,3758
0.134,2256
-0.215,9376
0.0349,4654
-0.342,10469
-0.00604,5344
-0.0249,6654
-0.135,9639
-0.178,7798
-0.0635,6918
0.225,2137
0.112,3290
-0.0974,7909
0.000602,5147
-0.0697,7274
0.347,521
0.0673,3753
0.0697,3926
-0.00271,5343
-0.253,9765
0.314,251
-0.119,6902
-0.0721,6145
-0.109,8547
0.132,1178
0.118,2230
-0.108,8372
-0.0974,6385
0.116,3519
-0.0117,5686
-0.00797,5279
-0.443,10718
0.0443,4542
0.138,2374
0.0515,4181
0.381,1958
0.308,51
-0.0506,6827
0.154,1404
0.253,748
-0.104,9262
-0.098,6582
-0.114,9487
-0.0378,6688
-0.127,7524
-0.209,8805
-0.0373,6466
-0.398,9915
-0.017,5824
0.12,1691
0.0415,3994
-0.0665,7529
0.255,657
0.199,2096
0.0635,3108
0.00159,5119
0.0464,4422
0.0265,4099
0.0168,4593
-0.168,8662
0.307,166
-0.0138,5721
-0.644,8886
0.0498,4360
-0.433,6487
-0.0145,4446
0.384,1466
0.629,1431
0.202,2235
-0.0227,5856
0.213,1197
-0.31,10700
0.116,1080
-0.0237,6406
-0.461,8082
-0.0349,5984
0.275,1096
-0.212,9195
