coef,rank
-0.0247,5550
0.278,838
-0.157,10027
0.902,35
-0.433,6988
-0.172,6137
0.0869,4098
0.258,747
0.0371,3851
-0.0709,6744
0.0386,4312
-0.157,8119
0.0525,3712
-0.031,6581
-0.0494,7002
-0.0956,7573
0.253,2556
-0.0688,5465
0.132,1020
0.0162,4747
-0.0884,7799
0.12,1920
-0.0488,5711
0.204,2648
-0.0865,7783
0.261,1016
0.0654,4002
-0.153,8176
-0.037,7056
-0.319,7538
0.315,653
-0.156,9654
-0.137,8235
0.395,1329
0.331,563
-0.0715,6614
0.0849,3167
0.104,1610
-0.0574,6880
0.465,613
-0.0998,7462
-0.0225,5675
-0.0715,7787
-0.051,8238
-0.221,9631
0.137,1971
-0.0927,7277
0.0218,4536
0.191,177
0.167,246
0.121,3203
0.115,2672
-0.0879,6966
-0.22,9304
0.0284,4374
-0.0636,7838
-0.377,10991
0.00401,4922
0.18,3068
-0.182,8303
0.109,1396
0.182,931
-0.0953,7070
-0.259,9888
0.165,777
-0.0865,9033
0.194,1337
-0.102,9128
0.27,476
0.0473,3734
0.0184,4753
0.931,334
-0.167,9755
-0.153,9463
0.281,754
0.19,2205
0.702,336
-0.104,8786
0.0305,4395
-0.00269,5550
-0.0257,6415
-0.0396,6363
-0.513,10393
0.0367,4566
-0.0504,7449
0.205,660
0.398,152
0.0919,3853
-0.118,7835
0.0169,4738
0.176,678
0.096,1553
-0.0545,6455
-0.337,10634
-0.222,8700
0.449,464
-0.102,7252
0.058,3349
-0.101,6593
-0.0916,9176
0.175,1700
-0.074,6986
-0.0677,7684
0.0421,3962
-0.00134,5228
-0.107,7691
0.26,2004
-0.354,10360
0.132,2783
-0.272,10399
-0.109,7485
-0.0515,6576
0.708,907
-0.213,8901
-0.0787,8332
-0.0144,6205
0.0388,4636
-0.106,8402
0.044,3684
-0.199,9239
0.102,3065
-0.0221,6195
-0.246,10916
0.36,13
-0.0696,6388
-0.149,6730
-0.122,9483
0.0951,3224
0.233,1743
0.758,4
-0.052,6372
0.165,2399
-0.0948,8583
0.214,911
-0.129,7396
-0.0551,7261
0.508,2378
-0.193,7554
-0.0188,5893
-0.000963,5445
-0.101,7152
0.231,265
0.345,963
-0.0201,5968
0.161,1846
-0.0625,7404
-0.186,8290
-0.0877,7390
0.0113,5192
-0.409,10630
0.0584,3552
-0.00602,5669
0.376,2953
0.0771,3440
-0.162,7084
-0.138,8389
0.117,2063
-0.0217,6012
-0.134,7507
-0.273,10501
-0.175,9590
-0.151,9531
-0.151,8832
-0.0459,7775
0.128,2362
-0.213,10013
0.0842,2646
0.245,191
0.239,1342
0.0296,4366
-0.072,7062
-0.268,8885
-0.144,9701
-0.215,10743
0.0815,1364
0.0403,3875
-0.121,9223
0.0458,4436
0.548,1253
-0.0358,6979
-0.13,9227
-0.257,10286
-0.158,9143
0.138,2230
0.0138,4560
-0.00201,5300
0.158,1211
-0.0626,7274
-0.0192,5508
-0.25,10725
0.442,1642
-0.0418,6760
-0.0514,7190
-0.0113,6233
-0.00939,5563
-0.0783,6963
0.0112,4696
-0.0162,5927
0.112,3187
0.257,1127
-0.176,10479
0.17,2277
-0.115,8248
-0.278,9143
0.0696,2574
0.487,24
-0.174,9093
-0.195,7384
0.136,2405
-0.185,9176
0.206,749
-0.0626,7931
0.2,1112
-0.305,10268
0.0705,4002
-0.183,8852
0.015,4736
0.0254,4671
-0.138,8620
0.097,3355
-0.132,7289
0.826,67
0.202,1709
-0.12,9524
-0.0108,5773
-0.419,10785
0.5,505
0.0786,3622
0.157,1124
-0.0693,8296
-0.0362,7004
0.378,471
-0.112,8246
-0.000228,5420
0.263,1581
0.00473,5182
0.0935,3050
-0.102,7429
0.0466,4556
0.229,1162
0.0645,3912
0.152,3078
-0.355,9644
-0.117,8725
-0.119,8169
-0.0918,7512
-0.0225,6174
-0.293,10656
0.123,2956
0.0526,3942
0.0701,4877
-0.137,7505
0.021,4477
0.088,2047
-0.556,10882
0.114,3756
-0.366,9715
-0.204,6860
-0.202,10126
0.117,2099
0.109,2466
-0.193,9991
-0.269,10337
0.116,2948
-0.197,10111
-0.106,7775
-0.249,8687
0.209,1175
0.0887,3311
0.247,1688
0.112,2908
0.143,590
-0.0503,6552
-0.399,10946
0.123,3155
0.0392,4196
-0.0384,6190
0.0367,4402
-0.0381,6319
-0.00652,5403
-0.0745,6895
0.238,724
0.404,65
-0.152,8508
0.512,73
0.16,2621
0.297,1021
-0.118,8331
0.0772,2477
0.225,1018
-0.289,10279
0.0571,4266
0.225,1725
-0.0698,6662
0.0881,2270
0.149,1219
0.516,631
0.00762,4938
-0.115,7076
0.467,587
-0.183,9627
-0.0848,7927
0.0982,2770
-0.323,10515
0.0538,4058
0.00649,4829
-0.0981,9226
0.192,1816
0.0924,2769
-0.353,9919
-0.28,9395
-0.276,10916
0.111,1570
0.153,1666
0.00722,5346
-0.0585,5912
-0.0452,6144
-0.238,9800
-0.279,9608
-0.0133,5267
-0.162,8032
0.0594,4008
-0.00382,5130
-0.276,8318
0.00921,4933
0.00182,5320
0.038,4148
0.197,1312
0.0358,3660
0.317,1777
0.104,1702
0.127,1880
-0.0763,6621
-0.0401,5813
-0.00195,5383
-0.312,9030
0.113,1922
0.102,2078
0.367,43
-0.282,10930
-0.139,9043
-0.078,6648
-0.0953,8719
-0.132,7138
-0.083,6300
0.0942,1634
0.153,704
-0.188,8999
0.062,3357
0.152,1980
-0.0445,4768
0.0207,4596
-0.416,6329
-0.466,8229
-0.53,10643
-0.384,8284
0.163,2688
0.0692,4023
0.157,1923
-0.117,8031
-0.0222,6570
-0.0214,6267
0.161,3483
-0.0654,6591
-0.258,9914
0.279,1360
-0.117,8329
0.0429,3542
-0.23,7601
-0.22,9597
0.203,1265
0.00772,5060
0.131,3042
0.212,532
0.0087,5193
-0.173,7986
0.0146,4812
-0.154,6798
-0.259,10184
-0.126,9368
-0.353,9992
0.0372,3561
0.0295,4598
-0.356,9156
0.107,2417
-0.229,10502
-0.182,9765
0.0341,4464
0.614,934
0.0799,3589
0.0548,3438
-0.0868,7785
0.043,4455
-0.487,10688
0.349,409
-0.123,6613
0.218,1186
-0.0489,7118
0.333,1802
-0.0479,6776
0.0317,4546
0.0525,3954
0.0289,4458
0.128,1970
-0.07,7146
0.0542,4020
0.121,3094
0.218,2962
-0.0128,6813
-0.192,10192
0.225,1418
0.243,2136
0.0653,3987
0.102,3306
-0.0817,8379
-0.0443,8165
-0.00886,6705
-0.108,7837
-0.461,10239
-0.0804,7233
-0.128,6713
0.067,2608
0.435,373
0.0939,3334
0.318,842
0.364,1902
0.304,974
0.0187,4758
-0.212,9751
-0.384,10550
-0.0956,7050
0.0249,4904
-0.0165,5703
0.117,2095
-0.157,8903
-0.00593,5391
-0.137,7951
-0.169,9851
0.0476,4377
-0.0237,6369
0.028,4212
-0.249,5400
-0.145,7216
0.396,563
0.274,2139
-0.121,9284
0.347,687
-0.183,8609
0.218,2824
-0.0761,6558
-0.436,10304
0.187,1165
0.016,4859
-0.123,7341
0.168,1513
-0.303,9480
-0.256,10375
0.0218,4379
0.173,370
0.106,3230
0.276,1032
-0.237,10369
-0.0221,5946
-0.0732,8119
-0.226,8842
0.439,379
0.266,1610
0.283,1029
-0.0675,6455
-0.109,8137
-0.0591,7277
-0.106,7351
-0.113,7561
0.11,2062
-0.112,8202
0.504,27
-0.0269,6201
0.123,2037
0.19,3034
-0.0674,7099
-0.233,10346
-0.0118,5755
-0.308,9487
-0.00369,5582
0.131,2809
-0.228,8944
0.0527,3804
0.138,1656
-0.094,8622
-0.114,8561
-0.216,10507
0.0763,3504
0.438,69
-0.0122,6844
-0.19,9920
-0.0506,7275
-0.39,9902
0.0134,4780
0.155,1451
-0.0992,8364
0.0354,4152
0.0431,4125
-0.00582,5217
0.227,3073
-0.063,6798
-0.147,10577
-0.0845,8351
-0.248,8331
-0.16,9028
-0.175,6877
0.0963,3418
0.368,892
-0.111,9488
-0.182,7008
-0.0446,5542
-0.222,8101
-0.0261,5523
-0.193,10710
0.287,144
0.129,1792
-0.00386,5218
-0.278,9373
-0.141,8413
-0.104,8828
0.057,4021
-0.225,7130
0.166,2801
0.0553,4591
0.0359,4537
0.0464,3684
-0.103,8345
-0.203,9363
0.134,2665
0.26,642
0.309,1458
-0.0135,5662
0.032,3901
-0.132,5342
-0.47,8911
1.31,268
0.29,3229
-0.305,10959
0.0867,3819
-0.055,7016
-0.236,9802
-0.206,9293
-0.151,8892
0.0236,4425
0.309,694
-0.156,9257
-0.139,8808
-0.217,7532
-0.777,10517
-0.0628,7124
0.108,3017
0.104,2862
-0.0218,5588
-0.0105,5531
0.175,1886
0.0105,4972
-0.212,9185
-0.0157,5737
-0.0814,7825
0.32,771
-0.217,9739
-0.157,9917
0.0121,4985
0.0346,4550
0.38,123
0.0146,4913
0.0628,3104
0.104,2512
-0.168,8307
-0.142,8646
-0.331,10750
0.262,945
-0.255,10137
0.0961,2751
0.0218,4300
-0.122,6599
0.179,1371
