coef,rank
0.094,3797
0.409,241
-0.102,8824
-0.0554,5919
-1.37,10752
1.01,605
0.168,3418
0.0983,2958
-0.27,10909
0.183,1657
-0.271,10192
0.00245,5113
-0.00753,5402
-0.114,9414
0.0227,4822
0.00659,5284
0.0396,4550
-0.648,10739
0.18,404
0.0615,2443
-0.0205,5911
0.157,1289
-0.25,8449
0.399,1124
0.0821,3219
-0.0298,5816
-0.379,10374
-0.363,10631
-0.0358,7026
-0.26,6921
-0.317,10578
0.0245,4572
0.0905,3576
-0.443,10100
0.279,882
0.158,2724
0.0257,4776
0.0592,2929
0.0392,4185
0.0205,4707
-0.0615,6663
-0.0408,6082
-0.103,8713
0.0162,4530
-0.133,8208
0.00491,5021
0.149,2678
-0.237,8666
0.00232,5148
-0.0659,8814
0.0995,3523
0.302,359
-0.313,10255
0.0307,4634
-0.532,11019
0.0852,2177
-0.325,10891
-0.0549,5899
0.0708,4270
-0.352,10337
-0.0782,8712
0.142,1536
0.283,1295
-0.0222,5593
0.136,1185
-0.116,9934
-0.0459,6527
-0.00607,5745
0.16,1598
0.103,2176
-0.199,9687
-0.198,7048
0.0258,4340
-0.0613,7136
-0.0749,7349
-0.0414,5974
0.206,2816
0.0139,5021
0.522,6
-0.155,9882
0.253,623
-0.227,10203
-0.114,6650
-0.0786,6295
-0.0897,8799
0.0636,3305
0.131,2376
-0.0225,5741
-0.288,10425
-0.259,9058
-0.143,10118
-0.0457,7655
-0.269,10150
0.213,1519
-0.0334,5651
0.508,298
0.0349,4533
-0.0276,6315
-0.0684,6090
0.0443,3767
-0.0407,6239
0.181,1923
-0.0111,5814
-0.0214,6006
0.186,1063
-0.0671,6806
0.234,2256
0.548,205
0.65,43
-0.012,5531
-0.382,10821
0.278,559
-0.537,9801
-0.383,10568
0.186,730
-0.192,10823
0.114,3372
0.00286,5454
0.0164,4706
-0.304,10384
-0.165,9253
0.0821,2311
-0.0133,5925
-0.253,10946
-0.26,9245
-0.0875,5983
0.0816,2485
-0.485,11000
-0.315,10355
-0.0737,6908
-0.263,9969
-0.0106,5476
-0.194,10490
0.244,615
0.337,1098
-0.097,8605
-0.2,5477
-0.127,6725
-0.0395,6706
0.189,950
-0.00042,5477
0.0663,3034
-0.15,7891
0.17,2057
-0.0471,6468
0.0408,4425
0.211,1932
-0.134,8415
-0.0124,6020
-0.134,7539
0.12,2014
0.0695,3009
-0.0909,4896
0.00724,4885
-0.099,6316
0.0427,4279
0.0719,3123
-0.189,9751
0.134,3226
0.266,778
0.112,2760
0.0681,3390
-0.0347,6224
-0.0518,8019
-0.21,9830
0.341,433
-0.00483,5563
-0.051,7357
0.322,678
-0.343,11021
0.289,761
-0.0867,6279
-0.0883,8271
0.0158,4551
0.102,843
-0.123,8712
0.106,2055
0.494,208
0.767,594
0.0208,4304
-0.0328,6604
-0.0795,7284
0.0862,3212
-0.171,9545
-0.0422,6817
-0.0751,9376
0.0745,3034
0.00636,5193
-0.301,10169
-0.00311,5503
-0.29,7921
0.00295,5219
0.0255,4541
-0.026,7060
0.0469,3805
0.0144,4865
0.0462,4193
0.0594,3589
-0.0299,5920
-0.207,9468
-0.113,9312
0.0933,3403
-0.0256,5746
-0.446,10512
-0.0936,8900
0.111,2563
-0.2,9520
0.926,165
0.132,2462
0.138,2676
-0.108,8685
-0.0468,7311
-0.0985,8091
-0.227,9434
-0.147,8072
-0.154,8276
-0.00132,5669
-0.0175,6082
-0.325,10807
0.378,437
0.141,2873
0.305,1411
-0.171,9076
0.078,2588
-0.266,11013
-0.0803,6796
0.592,279
0.212,1299
0.0725,3042
-0.0591,7933
0.0984,1944
-0.0281,5943
-0.0884,7724
0.0952,3437
-0.167,8101
-0.101,10020
-0.196,9470
0.0198,4830
-0.477,10615
-0.204,9312
0.154,2528
-0.855,10341
1.45,16
-0.112,8585
-0.161,9031
0.165,2304
-0.0902,8449
0.0521,4198
-0.246,9971
-0.0801,7480
2.16,125
-0.0379,5862
0.208,382
-0.0292,6709
-0.427,10451
-0.165,7405
-0.181,7628
-0.295,7886
-0.144,9219
0.0291,4306
-0.0795,7735
0.023,4744
0.182,1985
-0.0335,6171
0.265,542
-0.0529,6548
0.262,1799
-0.147,9179
0.0847,3412
0.282,1407
0.0514,4300
0.0914,1560
-0.115,8375
0.0418,4149
0.286,1143
-0.147,8969
0.261,725
0.313,871
-0.156,8835
0.269,915
0.411,511
-0.046,6802
0.086,2920
0.138,3012
-0.0528,6522
0.0525,4283
-0.111,7268
0.0148,5021
-0.193,10834
0.287,546
-0.484,10996
-0.385,10559
0.0831,3784
-0.12,7644
-0.0348,7065
0.0846,2614
-0.419,10385
0.0249,4474
-0.131,7327
0.382,944
-0.197,9846
0.0477,3732
0.211,942
-0.375,10780
0.0971,3139
-0.0309,5376
-0.00751,5593
-0.447,10919
-0.0592,7127
-0.246,8730
-0.0807,6298
-0.0231,5800
0.0601,2961
0.296,315
-0.0737,7542
0.662,509
-0.0879,6903
-0.00752,5604
-0.404,10579
-0.11,6932
-0.496,10884
0.335,370
-0.261,9440
0.51,1309
0.0374,3829
-0.0335,6329
-0.0216,5997
-0.0799,7207
-0.193,10793
0.178,2944
0.0784,2407
-0.0258,6272
-0.128,7544
-0.101,6916
-0.116,8691
0.75,308
0.146,1316
0.177,782
-0.11,8882
-0.063,7427
0.0807,3308
0.27,1414
-0.137,9796
0.133,3362
-0.051,5817
-0.0443,7453
-0.0148,6045
-0.419,10915
-0.0301,6235
-0.0163,5785
-0.355,6939
-0.274,7597
0.122,3036
-0.25,6305
-0.0349,5537
0.0139,4619
0.149,2876
-0.0858,7207
0.18,1597
0.125,2353
0.00403,5206
0.0652,2085
1.05,920
-0.172,8587
-0.328,10491
0.683,49
0.275,854
0.107,1569
0.192,2680
-0.206,9409
-0.0816,7831
-0.156,8662
-0.202,8741
-0.0521,7131
0.39,286
0.241,1789
-0.0466,5845
-0.359,8943
-0.292,10457
0.0569,3451
-0.365,10099
-0.149,10641
-0.207,9182
-0.0244,5382
-0.138,9239
0.000473,5311
0.196,1069
0.0345,4458
0.47,1432
0.357,568
0.0629,3224
0.0613,3523
-0.196,9804
0.779,153
-0.284,10522
0.725,244
-0.104,7782
-0.0692,7791
-0.088,6370
0.196,1107
-0.156,8441
-0.0349,6217
-0.224,10285
-0.162,9680
-0.0582,6848
-0.185,8682
-0.0293,5907
0.655,809
0.0023,5302
-0.0972,8263
-0.208,9400
0.0594,4505
0.0435,4406
-0.142,8034
0.0614,3283
-0.0622,9073
-0.0206,8084
0.128,2388
0.3,2130
0.0465,4020
-0.478,10371
0.0746,2370
-0.382,10707
0.155,2366
-0.319,10359
-0.458,10069
-0.0464,6414
0.135,1503
0.0704,3386
-0.392,10597
-0.185,8663
-0.218,9959
0.0283,3973
0.19,863
-0.228,9935
-0.00734,5426
-0.0759,6820
-0.102,8476
-0.173,8126
0.00652,5332
-0.0737,8520
-0.243,5345
-0.0408,5834
-0.0547,6265
-0.35,9539
-0.0788,8117
0.0846,3772
-0.156,8195
0.101,3874
-0.29,9843
-0.482,10556
-0.0306,6436
-0.129,6895
-0.415,10524
-0.165,9408
0.0347,4731
-0.0209,5915
-0.138,10285
0.0294,4049
-0.0477,6397
-0.0753,6967
-0.0737,7396
0.185,1052
0.106,1901
0.148,2952
-0.0112,5505
0.136,3056
-0.0938,7877
-0.123,7503
0.221,992
0.155,1522
-0.191,8805
-0.154,8373
0.121,1845
-0.327,10852
0.213,970
0.405,168
0.0525,3634
-0.326,9743
-0.22,10318
0.0272,4753
-0.0662,7684
-0.162,7448
-0.057,7431
0.0469,4279
0.0886,3818
-0.0223,5942
0.0251,4611
0.0651,3196
-0.0457,6628
0.0461,3933
-0.0582,6951
0.136,2115
-0.0117,6796
-0.244,10530
-0.0582,7531
