coef,rank
0.00868,5049
0.133,2550
0.0334,4285
0.325,1421
-1.05,10147
1.03,579
-0.0104,5052
-0.19,9765
0.142,1196
-0.281,10329
-0.00287,5256
0.297,1161
-0.186,9863
0.0316,4037
-0.12,8874
-0.00506,5530
-0.421,9659
0.538,1100
0.0476,3408
0.0159,4772
-0.156,9321
-0.0731,7645
0.0394,4454
-0.0268,5662
-0.0512,6835
-0.0508,6256
-0.287,9564
-0.407,10823
0.105,2044
-0.271,7039
0.211,1528
0.0868,2768
-0.167,8812
0.0113,4845
0.221,1374
-0.0154,5602
0.449,43
-0.326,11032
-0.145,9006
-0.0558,5936
0.0411,4475
-0.0511,6319
-0.00479,5489
0.0294,3779
-0.0519,6477
0.0319,4287
0.0485,4399
0.0226,4526
-0.0178,6217
-0.0153,6267
-0.0279,5812
-0.122,8862
0.101,3368
0.285,1097
0.18,1894
-0.0535,7456
0.0482,3757
-0.411,10529
0.575,697
0.392,633
0.137,833
0.0631,3490
0.152,2723
-0.00392,5207
-0.0388,6914
0.103,1368
0.182,1505
-0.0453,7244
-0.037,6617
-0.214,10634
0.17,1745
0.481,1502
0.0717,3077
0.18,1169
0.264,873
0.285,1234
0.067,4291
0.109,2243
0.163,1432
-0.0426,6856
0.0164,5175
0.226,1077
-0.328,9131
0.362,1160
0.00919,5167
-0.0338,6466
-0.268,10636
0.229,2016
0.0639,3607
-0.372,10208
0.0144,4835
-0.0163,6252
0.346,556
-0.178,8930
-0.229,8813
0.154,2753
-0.185,8756
0.0497,3585
-0.255,8820
-0.0012,5677
-0.149,8830
0.178,1969
0.0773,3002
-0.0107,5643
-0.0387,6388
0.17,2113
0.0946,3745
0.136,2978
0.269,1170
-0.0223,5779
-0.0645,6554
-0.0317,6063
-0.0673,5389
0.428,601
0.0509,3650
0.0555,3119
-0.202,8896
-0.155,9436
0.131,1261
-0.00086,5368
0.104,3024
-0.0214,6159
-0.114,9269
0.0227,4632
0.0937,3813
0.00807,4874
-0.0384,6787
0.0511,4114
0.392,609
0.286,649
0.42,471
0.381,668
0.0173,4768
0.0986,2772
-0.0682,6347
0.0125,4861
0.0848,3832
-0.451,10109
-0.0922,8459
-0.059,7231
0.323,1382
-0.00369,5723
0.852,16
0.0538,4190
0.137,2224
-0.0232,6277
-0.276,9538
-0.206,9645
0.157,1316
-0.225,8960
-0.138,9246
0.00429,5269
-0.652,7843
0.0884,3265
-0.143,6846
-0.18,9107
0.2,765
0.0293,4696
0.255,1827
0.0323,4536
-0.363,10963
-0.0588,7238
0.284,767
0.00106,5301
0.121,2468
0.301,658
-0.154,9941
0.163,841
0.129,2848
0.189,749
0.362,386
-0.202,7991
-0.077,7933
0.217,332
0.000221,5320
0.125,1900
0.0348,4066
-0.0877,7212
0.544,1263
0.0078,4910
0.0509,3985
-0.0504,6629
0.119,2554
0.167,1755
-0.089,8499
-0.0871,9776
-0.197,10434
0.218,909
0.0376,4383
0.0795,3013
-0.083,5640
0.0638,3390
0.0533,3697
0.0297,3966
-0.000881,5252
-0.0318,5907
-0.1,6403
0.0396,4147
-0.0324,5979
0.0191,4850
-0.00012,5349
0.288,1109
-0.0445,6304
0.467,814
-0.0371,6763
-0.0242,6162
0.101,3219
0.602,700
-0.344,10862
0.138,2666
-0.0361,6452
-0.0775,8468
-0.00303,5378
-0.126,7743
0.326,942
0.0693,3633
0.146,365
0.15,1432
0.198,1436
-0.282,10403
0.0709,3858
0.654,194
-0.0526,6606
0.00457,5136
-0.0678,8364
-0.163,8251
-0.255,9195
0.023,4970
-0.043,6967
-0.131,10032
0.0316,4193
0.177,1975
-0.0133,5861
-0.112,7854
-0.274,9608
0.0308,3770
-0.167,8994
