coef,rank
-0.21,8402
-0.0796,7213
0.00766,5176
-0.00136,5110
2.62,198
0.875,849
0.575,1021
-0.107,8171
0.082,2516
-0.107,7562
-0.336,10672
-0.269,9762
-0.0733,7349
-0.00627,5578
0.0447,4176
-0.0443,6474
-0.52,10339
0.218,2865
0.0588,2974
-0.0776,9447
-0.106,8255
-0.177,10179
0.315,1613
-0.225,8391
0.456,41
-0.0767,6860
-0.361,10262
-0.166,8450
0.0296,4462
-0.784,10579
-0.133,8266
-0.0929,8180
-0.173,8917
-0.118,6503
0.0884,3319
0.294,1371
0.153,1776
-0.116,9654
-0.244,10447
-0.0867,6468
0.101,3262
0.0831,3512
0.158,1154
0.0136,4691
-0.138,8311
-0.251,10497
-0.206,9183
-0.208,8237
0.0422,3178
0.0629,2327
0.056,4236
-0.0832,7961
-0.0328,5888
-0.00741,5405
-0.0598,6314
-0.15,10183
-0.32,10880
0.0508,4192
0.132,3572
0.398,606
0.0181,4486
-0.0826,8409
-0.131,7752
0.392,426
0.175,672
-0.0971,9405
-0.0224,5904
-0.00658,5761
0.0948,2916
0.0321,4225
0.0755,3406
0.114,3879
-0.104,8348
0.053,3727
0.0717,3714
-0.329,10277
-0.112,6561
-0.068,7769
-0.012,5658
-0.0078,5706
0.0462,4333
0.121,2455
-0.0374,5684
-0.0286,5533
0.112,1781
-0.00182,5365
-0.195,9946
-0.0623,6424
0.315,498
0.0938,3616
0.0483,3604
0.00762,5063
-0.377,10826
0.189,1798
0.295,1401
-0.0423,5922
-0.0602,6415
-0.147,9769
-0.262,8917
0.0303,4346
-0.163,9072
0.0779,3618
-0.000333,5459
0.0296,4346
-0.139,9090
0.0964,3352
-0.28,9049
-0.262,9572
-0.0464,6249
-0.11,7828
0.118,2824
0.0125,4855
-0.621,10263
0.321,1179
-0.0926,8747
0.0797,2313
-0.209,8976
-0.000608,5554
-0.0399,6956
-0.0487,6379
-0.161,9161
0.0982,1871
0.357,23
0.0776,2738
-0.0446,5971
0.231,2764
0.114,1655
-0.0795,7109
0.109,3438
0.121,2472
0.0612,4165
-0.0397,6073
0.051,3641
0.0992,2761
0.267,1597
-0.089,8349
-1.13,10464
0.399,1510
0.22,351
-0.0966,8332
-0.29,9703
-0.131,9949
0.529,247
0.0996,3208
0.133,2292
0.0322,4659
-0.0162,5304
0.0728,3650
-0.00511,5755
-0.0899,6762
-0.00097,5403
-0.167,10333
0.131,3853
0.226,1313
0.468,1161
-0.245,9997
-0.0668,7677
0.0856,3368
-0.137,7560
-0.247,10267
0.132,2354
-0.172,9892
-0.225,9964
-0.0438,7683
0.0154,4766
0.129,2722
0.0485,3693
0.0846,2407
0.134,2773
-0.0895,8451
-0.203,9619
-0.0742,6083
0.234,342
-0.132,9571
-0.0581,8698
-0.0769,7501
0.0633,3197
-0.0444,6302
-0.0567,5856
0.25,40
0.0948,2821
-0.321,10734
0.262,747
-0.196,9931
-0.195,10603
-0.00597,5566
0.129,1722
0.00807,5155
0.377,632
-0.000585,5422
0.0729,4193
0.217,616
0.011,5040
0.0322,3836
0.105,2264
0.0637,3832
-0.224,8220
0.0982,2539
-0.117,7679
0.018,4873
-0.031,6619
-0.194,8815
0.183,1145
0.0814,4122
-0.0187,5960
0.16,1670
-0.338,10749
0.619,659
-0.0318,6151
-0.0884,7374
-0.161,9819
0.118,1367
0.241,717
-0.197,8973
0.145,2801
-0.0502,6080
0.0567,2593
-0.0251,6364
0.153,2053
0.0819,3642
0.538,272
-0.207,8375
0.191,1846
0.141,1128
-0.165,10660
-0.217,9109
-0.0303,5606
0.0922,3311
0.0681,3157
0.213,279
-0.0414,7225
-0.221,9816
0.403,249
