coef,rank
-0.0682,6242
0.208,1470
-0.00901,5780
-0.0248,5442
0.869,1540
0.685,1295
0.609,910
0.00645,5219
0.122,1573
0.000577,4980
-0.195,9223
-0.128,7633
0.14,1860
0.0107,4897
0.043,4220
-0.154,8720
-0.421,9663
0.181,3151
0.0351,3932
-0.0257,7088
0.111,2425
0.0385,4013
-0.258,8566
-0.776,11020
-0.255,10560
-0.206,9378
0.108,3413
-0.118,7545
0.13,1498
-0.768,10523
-0.135,8315
0.142,1619
0.196,1943
-0.438,10072
-0.245,9871
0.371,864
0.0301,4645
0.00252,5174
0.0183,4778
0.164,2805
-0.0323,6052
0.132,2669
0.0444,3841
0.161,196
-0.072,6915
-0.384,10987
0.0947,3559
-0.355,10073
-0.123,10200
-0.0714,9007
0.103,3471
0.198,1248
0.016,4917
0.295,1003
-0.0671,6461
-0.0369,6785
-0.152,9165
0.399,856
-0.0879,6223
0.425,506
-0.0394,7174
-0.0678,7932
-0.334,10359
0.0513,4094
0.0115,4970
-0.0665,8320
0.0419,4243
0.0875,2449
0.0917,2992
0.171,981
-0.0213,5783
-0.225,7334
0.199,824
-0.25,10676
-0.0396,6468
0.359,764
-0.213,7885
0.0505,3827
0.233,651
0.193,836
0.142,2022
-0.014,5655
-0.533,10464
-0.0496,5875
0.0494,3633
-0.0248,6149
-0.241,10448
-0.0849,6820
-0.151,8549
-0.266,9146
0.128,1412
0.0747,2162
0.205,1666
-0.407,10871
0.227,1983
0.0165,4804
0.043,4368
-0.00939,5635
0.257,2027
0.277,68
0.185,1563
-0.232,9822
0.0954,2557
-0.0592,7289
0.0197,4606
-0.129,8141
0.385,1185
0.415,573
-0.0542,6426
0.181,1712
0.129,2636
-0.202,9842
-0.136,6025
-0.0445,6072
0.285,138
0.0921,1920
-0.359,10454
0.116,2573
0.0506,3424
-0.284,10224
-0.254,10405
-0.12,9593
-0.156,10118
0.101,2062
0.464,565
-0.175,7073
-0.103,9011
-0.0222,5811
0.0926,3715
0.0222,4566
-0.0514,6363
-0.22,9466
0.0565,3466
0.248,585
0.115,3325
0.163,1075
-0.0862,4737
0.081,4227
0.178,724
-0.0845,7990
0.145,3263
-0.0837,8720
-0.507,10918
0.272,918
-0.0979,7826
-0.182,10026
-0.0538,5977
-0.0682,6937
-0.0119,6003
0.211,2148
-0.165,9773
0.0209,4649
-0.384,6439
-0.0477,6153
0.467,1166
-0.112,7818
-0.18,10268
0.155,1979
0.347,1107
0.0011,5290
0.0162,4947
-0.164,9748
0.18,1859
-0.123,10317
-0.352,10900
0.0567,4262
-0.0397,6815
0.0496,3462
-0.206,9613
-0.0489,7152
0.316,605
-0.0193,5270
0.155,1089
0.00234,5090
0.00592,4962
0.0989,2382
-0.055,7212
-0.157,8514
-0.329,8790
0.111,1175
0.166,1389
0.00383,5352
0.189,1460
0.24,894
0.0938,1928
-0.00699,5642
-0.229,10729
-0.0986,8297
0.155,2496
-0.0614,7316
-0.258,7564
-0.00479,5479
0.243,426
0.0484,3009
-0.274,10901
0.00771,5003
0.303,1512
-0.0442,6811
-0.27,10023
0.0424,4362
0.0902,2271
-0.169,8408
-0.0102,5261
0.142,3406
0.0382,3684
-0.0105,5745
-0.0939,7498
-0.185,7272
0.027,4734
-0.0677,6919
-0.111,8735
0.0194,4522
0.186,1296
-0.206,9126
-0.0748,6680
-0.136,7940
-0.153,10846
0.137,1671
0.343,358
-0.162,8922
0.0303,4500
-0.417,10477
-0.111,7928
0.00111,5258
0.0339,3730
-0.0242,5711
-0.233,8898
-0.115,8406
0.0529,3621
0.0902,2189
-0.149,10304
0.118,2888
0.194,1757
-0.232,9890
-0.312,10026
0.207,72
-0.0334,5854
-0.232,9673
-0.0723,6327
-0.0524,6127
-0.303,10134
-0.404,7021
-0.435,10263
-0.2,10218
0.000784,5074
0.0712,3935
-0.253,10877
-0.0278,6177
-0.2,9367
0.0548,3886
-0.324,7253
0.378,1017
0.00658,5032
-0.0677,8277
0.646,334
0.287,2092
0.184,2812
0.423,1630
0.0333,4469
-0.34,10974
-0.184,9995
0.194,1171
-0.094,7728
-0.134,8462
0.352,154
0.094,3125
-0.241,8591
0.251,741
0.27,680
-0.148,7700
0.0964,3243
-0.0124,6038
0.0863,2894
0.024,4562
-0.3,10298
0.108,2609
-0.209,9845
0.229,1608
0.245,1144
-0.0115,5525
0.129,3162
0.0197,4859
0.15,1701
-0.119,7972
0.167,2051
-0.386,10671
0.118,2987
0.188,1613
-0.144,10300
-0.0388,6408
0.181,1911
-0.223,9054
-0.16,8376
0.265,1286
-0.00757,5909
-0.124,9407
-0.0192,5461
-0.203,9877
-0.0799,6483
0.0606,4000
0.105,2678
-0.288,10912
0.0011,5232
-0.206,9282
-0.00755,5542
0.868,79
0.00193,5117
-0.169,8502
0.0553,3698
0.522,541
0.055,4095
-0.0174,5607
0.0655,2772
-0.0647,7325
-0.111,8442
0.584,686
-0.0711,6614
-0.13,8124
