coef,rank
-0.0652,6200
0.0192,4869
-0.0158,6041
-0.217,8390
0.39,2492
-0.327,7765
0.428,1674
-0.081,7566
-0.0203,5847
-0.0661,6606
0.0554,3960
-0.292,9986
0.284,421
0.00871,4960
-0.0862,8023
0.222,1559
-0.148,6702
0.645,762
-0.126,10105
0.0161,4751
-0.0118,5649
0.286,209
0.23,2309
0.4,1115
0.149,1886
-0.0835,7022
0.417,667
-0.0842,6794
0.0526,3616
-0.271,7041
-0.236,9847
0.0972,2525
0.0501,4366
0.0317,4574
-0.164,8595
0.249,1758
0.00599,5334
-0.171,10600
-0.0854,7577
-0.465,10769
0.167,2182
0.114,2943
-0.0559,7271
0.113,767
0.0939,3285
0.216,879
-0.201,9108
0.271,1550
0.0253,3936
0.0318,3713
-0.122,7641
-0.114,8695
0.228,1626
-0.0383,6032
-0.0324,5690
-0.0587,7650
0.0695,3177
0.276,1606
0.417,1327
-0.014,5335
0.102,1536
0.201,711
-0.405,10740
-0.239,9649
-0.0771,8300
0.0734,2210
-0.0688,7102
-0.0479,7347
0.102,2765
-0.073,7851
0.304,530
-0.0362,5292
-0.0824,7733
0.0575,3617
0.108,2934
-0.106,7248
0.0354,4680
-0.0812,8165
0.122,2172
-0.0454,6952
-0.0574,7372
-0.0354,6246
-0.494,10310
-0.0432,5765
-0.0639,7931
-0.176,10171
-0.505,11031
-0.382,10490
0.0312,4340
0.189,2459
-0.0285,6643
0.0572,2776
-0.163,8657
-0.219,9563
-0.234,8866
0.134,3008
-0.102,7259
-0.044,6887
-0.294,9308
-0.034,7124
0.204,1337
-0.0851,7220
0.153,1417
-0.263,10864
0.183,1098
-0.0449,6295
0.517,614
-0.174,8327
0.222,1614
0.309,547
-0.208,9288
0.252,731
-0.271,7392
0.132,3135
0.0208,4742
0.066,2772
-0.0477,6283
-0.189,9999
-0.152,10195
-0.0874,7209
0.188,1598
0.104,1736
-0.0459,7169
0.00199,5432
0.0281,4796
-0.0986,6123
0.0861,2362
0.0869,3390
-0.217,9353
0.318,466
0.0276,4780
-0.249,9845
0.0352,4165
0.0315,4555
0.0911,3668
0.0395,3918
-0.36,6592
0.0512,4586
-0.227,10779
-0.0346,6497
0.601,232
-0.0378,7086
0.0127,4977
0.113,2960
-0.0963,7764
0.108,2654
-0.029,5542
-0.292,10559
-0.153,10030
0.038,4493
0.0181,4760
-0.249,10941
-0.351,6273
0.272,883
-0.74,10953
0.0118,4970
-0.0249,6271
-0.161,9289
0.38,912
0.294,596
0.223,1042
-0.0909,8110
0.0528,4210
-0.104,9880
0.0129,4831
-0.0761,7498
-0.0209,6129
0.0521,3372
-0.297,10522
-0.0912,8503
-0.0507,6585
-0.107,6583
-0.154,9875
0.00762,4872
0.085,1274
0.142,1575
0.0628,3217
0.0742,3867
-0.244,7928
-0.211,10940
0.0692,3455
-0.00896,5643
-0.0138,5695
-0.162,9372
0.0311,3889
0.0522,2324
-0.0139,5782
-0.103,8425
-0.0975,7080
0.0617,3484
0.59,1056
0.00291,5224
-0.182,10228
0.0384,3496
0.0927,2541
-0.0189,5620
-0.397,10205
0.0261,4573
-0.267,9997
0.0262,4689
-0.112,9300
-0.135,7791
0.188,1081
-0.0475,6013
-0.0747,8263
-0.00982,5720
0.00523,5267
-0.325,8974
0.232,1075
-0.261,10129
-0.0886,8143
-0.022,6267
-0.0665,7233
0.121,3071
0.134,2955
-0.0607,6311
-0.00314,5783
-0.0192,6133
-0.114,8119
-0.0915,7530
0.146,2813
0.0405,4435
-0.145,8598
0.0665,2941
0.0478,3155
0.34,883
-0.117,7037
-0.22,10130
-0.0633,7662
-0.0657,8166
-0.0155,6120
-0.171,9073
0.205,1621
0.0673,3973
-0.268,9553
0.0732,1936
-0.146,8615
0.185,1900
-0.203,8259
0.236,1104
-0.041,5926
0.227,2893
0.664,511
0.214,910
-0.121,8193
-0.0396,6349
-0.0602,7519
-0.034,6347
-0.244,9950
-0.179,9627
0.0773,4838
-0.127,7347
-0.0525,7390
0.0959,1824
0.179,2889
-0.0472,5841
-0.168,7451
-0.192,6700
0.055,3864
0.0314,4238
-0.142,9231
-0.106,8385
0.0425,4609
-0.193,9479
0.0504,3959
0.0466,4121
-0.271,8950
-0.218,10264
0.0259,4878
0.186,2296
-0.0214,6131
-0.0648,8560
0.0175,4625
0.159,2017
0.162,2546
-0.0328,6140
0.167,1659
0.414,406
-0.21,9708
-0.352,10784
0.0837,3877
0.136,1951
-0.22,10318
-0.363,10696
0.314,633
-0.214,9103
0.315,899
-0.0122,5741
-0.0699,8443
-0.102,8056
-0.239,9710
0.37,833
-0.108,7443
0.244,1474
-0.0365,7143
0.111,1974
0.0832,4062
0.00552,5007
-0.41,10504
0.597,260
-0.127,8618
-0.094,8180
-0.0354,6340
-0.00155,5072
0.171,1872
0.582,413
0.0352,3585
0.0194,4744
0.0224,4668
-0.319,9579
-0.241,8879
-0.0117,5399
0.0672,2720
-0.186,10027
-0.164,9476
-0.44,10129
-0.125,7509
-0.224,9640
-0.351,10242
0.0947,3715
-0.00304,5359
-0.0395,6484
-0.198,8530
0.117,3945
0.098,1979
0.343,275
-0.213,10465
-0.0433,6244
0.191,353
0.343,1600
-0.122,9677
0.0787,2960
0.0393,4524
-0.174,8257
-0.179,9933
-0.0448,5574
0.0232,4458
0.0204,4624
0.0156,4824
0.028,4431
-0.265,10662
-0.168,8278
-0.0395,6836
0.106,3691
0.317,1432
0.0925,1674
-0.00771,5723
-0.214,9405
-0.259,10821
-0.297,10757
-0.986,10367
-0.225,7034
-0.0786,3955
-0.361,7307
-0.498,10504
0.095,4041
0.179,2488
0.352,594
-0.225,10182
-0.183,9371
-0.141,10434
0.103,991
-0.481,8241
0.0359,4539
-0.264,9976
-0.154,8270
0.0852,3530
-0.0573,7915
0.234,2273
-0.124,8010
0.116,2716
-0.098,7523
-0.0117,5403
-0.132,9435
0.111,2943
0.311,1221
-0.0149,5286
0.263,2722
0.449,161
0.00431,5228
0.0335,4590
-0.0182,6308
-0.134,7977
0.124,3838
0.184,1111
-0.126,8889
-0.0224,5897
-0.0193,5647
-0.59,10424
-0.0316,5713
-0.244,10778
-0.171,9676
-0.12,8398
-0.333,9635
-0.0755,7169
0.169,2918
-0.0891,7445
-0.181,10299
-0.276,8678
-0.246,10548
-0.00661,5332
-0.0329,6165
0.337,224
-0.125,8901
-0.215,9846
-0.158,8232
0.00741,5154
0.164,3396
-0.00853,6402
-0.28,10855
-0.214,9490
0.0449,4707
0.317,830
0.117,3055
-0.0466,7184
0.0236,3824
0.0291,2206
0.132,2331
0.562,793
-0.0217,5693
0.00688,4925
-0.115,9705
-0.0333,5862
0.0435,4271
-0.38,10715
-0.0531,5573
0.437,349
-0.0535,7428
-0.0241,5658
-0.117,7376
-0.149,8106
-0.166,9178
-0.123,9397
-0.038,6800
0.356,451
0.0264,4605
-0.162,8380
0.13,2010
-0.1,6909
-0.343,11014
-0.00416,5614
1.71,513
-0.207,8040
-0.136,7846
-0.0155,5378
-0.0984,8716
0.0374,4709
-0.148,8061
-0.164,6888
-0.108,7146
-0.048,5762
0.353,135
-0.138,7041
0.0517,4552
-0.107,8144
0.00375,5228
-0.273,10516
-0.237,10987
0.0302,4009
-0.0176,5715
0.265,1123
0.0945,3154
-0.0264,6096
0.258,147
-0.27,9411
-0.191,8890
-0.0797,6659
-0.0121,5974
0.574,209
0.0827,3147
0.0771,3139
0.733,34
-0.185,8908
-0.0949,8383
-0.155,9093
0.0675,3360
-0.195,9763
0.102,2455
0.0128,5324
0.0465,3728
0.162,1848
0.17,796
-0.298,9367
-0.123,9283
-0.302,10310
0.346,1215
0.252,601
-0.204,10412
0.177,860
0.135,1725
-0.0524,7147
0.0577,3939
0.235,857
-0.00944,6579
0.0121,5195
-0.0125,5891
0.404,1240
-0.216,7646
0.178,1133
-0.073,7699
0.0112,4988
0.144,2162
0.358,398
1.01,267
-0.199,9744
-0.0922,9360
0.307,54
0.493,867
-0.162,9067
-0.224,7476
0.471,267
-0.134,7257
-0.174,10561
0.392,1743
-0.1,6175
0.959,159
-0.219,8156
-0.0525,7347
0.0461,3762
0.163,1162
0.0354,3906
-0.278,9368
0.0169,4781
-0.0252,6073
-0.0349,6237
-0.0249,5103
-0.0311,5630
0.181,2938
1.02,706
0.178,809
-0.152,9355
0.139,2350
0.0161,5181
0.147,1883
0.0939,3902
-0.000662,5199
-0.0757,8912
-0.673,10216
-0.368,7983
-0.174,6449
-0.216,6728
-0.11,8686
-0.0506,6175
0.0236,4568
0.153,2230
0.00196,5116
-0.0123,5636
-0.0743,7366
0.0821,3507
-0.145,9049
0.153,1904
-0.165,6933
-0.142,6485
0.149,1644
0.0304,4418
-0.146,8346
-0.0351,5956
0.327,487
0.0518,4002
0.00173,5228
0.0865,3483
0.127,2376
-0.117,8777
0.451,245
-0.294,10486
0.0725,3162
0.0785,2980
-0.183,9850
-0.00975,5626
-0.177,8269
0.0721,2790
0.128,2009
0.0903,3743
0.0118,5056
-0.126,8379
0.073,3552
0.0702,3965
0.0811,3086
-0.0848,8752
1.25,26
-0.11,8138
-0.293,10008
-0.543,9442
0.265,411
-0.234,10365
-0.183,7878
0.0394,4070
0.112,1981
0.253,1156
-0.0356,6587
-0.0284,6267
0.0651,3797
0.079,2714
0.0393,4529
0.0957,4035
0.0842,1599
-0.12,8004
-0.186,8509
0.00933,5023
-0.124,7880
0.116,2499
-0.0477,6778
-0.098,8271
0.418,458
0.000894,5050
0.316,450
0.438,657
0.00197,5116
0.0413,3913
-0.2,7937
0.14,868
0.22,2629
-0.235,6897
0.256,525
-0.0103,5811
-0.408,10950
0.0426,3966
-0.335,9903
0.0961,3395
0.227,766
0.0698,3061
0.199,215
-0.0934,8211
-0.201,9973
-0.058,6889
-0.194,10099
-0.127,7470
-0.0235,6073
-0.127,7235
-0.352,7833
0.144,1692
-0.126,9857
0.0391,3633
0.436,13
0.45,371
0.179,2044
0.0259,4418
-0.056,8378
0.125,1888
-0.0396,5815
-0.256,9523
0.355,859
-0.0494,6509
0.635,19
-0.113,7214
-0.0592,6781
-0.441,10676
-0.0283,5993
