coef,rank
-0.621,10959
-0.0941,7556
-0.14,9719
0.333,1369
-0.308,6160
-0.108,5547
0.0816,4152
-0.0204,5997
-0.116,8993
-0.128,8001
-0.129,7972
0.262,1457
0.368,141
0.0751,2580
0.185,1192
0.422,326
-0.481,10114
0.401,1722
-0.104,9563
0.119,745
-0.22,10303
0.0183,4668
0.0878,3797
0.155,3198
0.129,2267
0.16,2105
-0.0703,6322
0.171,2077
0.0301,4443
-0.173,6110
0.0455,4300
-0.0814,7887
0.000507,5361
-0.18,7290
0.0243,4610
0.434,585
-0.0757,7670
-0.0632,7971
-0.203,9953
0.458,632
-0.0946,7335
0.0767,3644
0.0268,4404
-0.0738,9250
0.145,2412
-0.0759,7275
-0.25,9752
-0.117,6798
-0.19,10916
0.0914,1413
0.0393,4529
-0.239,10546
0.00165,5202
0.0982,3373
-0.038,5816
0.0292,4052
-0.0774,7361
0.0948,3563
-0.314,9158
-0.149,7792
-0.0384,7127
-0.148,9913
-0.261,9653
0.0571,3996
-0.0606,7738
0.119,1000
0.129,2310
0.0307,4294
0.136,2053
-0.0368,6638
0.304,523
-0.162,6632
-0.184,9995
-0.0522,6897
-0.0861,7628
-0.0145,5458
-0.0329,5564
-0.0785,8081
0.281,365
-0.102,8661
0.0175,5142
-0.287,10678
0.266,2492
-0.273,9124
-0.123,9651
-0.139,9528
0.0868,3298
0.324,1202
0.231,1101
0.169,2672
-0.0894,8846
-0.0707,8679
0.336,605
0.151,2344
0.373,908
0.0858,3690
0.305,971
-0.0615,7514
0.394,1076
-0.00166,5698
-0.128,8391
0.0207,4786
-0.0383,6736
0.236,479
0.0444,3920
-0.18,9100
0.147,3124
0.731,31
0.0991,3324
0.0555,3974
0.27,1003
0.194,1302
-0.268,7353
0.299,1352
0.0552,3527
0.084,2152
0.0759,3987
0.0865,3193
0.0352,4006
-0.259,10001
0.0845,3438
0.0819,2317
-0.0178,6094
-0.0909,8679
-0.179,8158
0.182,3150
0.014,4787
-0.121,7975
-0.251,9759
-0.0307,5822
0.173,2339
-0.156,8436
-0.0512,7186
-0.124,8954
-0.154,7813
0.147,1336
-0.805,9365
-0.464,10207
0.214,413
-0.0984,8389
-0.367,10283
0.0659,3051
-0.0706,6537
0.0224,4916
0.132,2308
0.0483,4219
0.246,1615
0.0585,3953
0.0466,3983
0.151,2832
0.203,802
0.0338,4177
-0.624,7703
0.0726,3523
-0.236,7998
0.0703,3692
-0.195,10432
0.293,545
-0.00495,5374
0.205,1335
0.106,2868
0.168,1374
-0.0696,7070
-0.0406,7507
-0.14,8617
-0.0589,7081
-0.112,9061
-0.117,9415
-0.108,7935
-0.179,10353
-0.34,10788
0.555,534
0.194,625
-0.167,10199
0.0268,3755
-0.0821,7648
-0.248,10826
-0.115,7739
0.166,3634
-0.0278,6614
-0.112,8807
-0.132,8388
-0.33,10877
-0.227,10297
0.101,1739
0.0158,4164
0.128,1739
0.207,1010
0.13,2817
0.132,1820
-0.0267,5078
0.0893,2714
-0.112,8922
-0.101,10076
-0.00617,5440
-0.166,8747
0.0576,4037
0.141,1680
0.0132,5049
0.0173,4890
0.186,543
0.368,614
0.0815,2860
-0.178,7930
0.0931,1904
-0.178,9796
-0.102,7693
0.227,2711
0.0605,3931
-0.0982,7572
0.237,485
0.349,9
-0.0567,6958
0.0125,5050
-0.0373,5962
-0.388,10832
0.0734,1951
-0.0141,5970
-0.0634,6908
-0.0981,7680
0.0544,4102
0.107,3485
-0.0614,6819
-0.12,9526
-0.0935,9243
0.635,82
0.266,1776
-0.0312,6361
0.0527,3633
0.0787,2559
-0.103,9322
-0.241,10079
0.0473,4467
-0.144,8539
0.198,2229
-0.0558,8406
0.121,2525
-0.00716,5389
-0.221,8481
0.0186,4496
0.0204,4765
1.3,888
-0.0126,5339
-0.0866,7956
0.223,1057
0.129,2852
-0.254,10882
-0.0695,7254
-0.0816,7193
-0.191,9805
-0.933,9995
