coef,rank
-0.277,9163
0.0418,4372
0.0588,3460
-0.0613,5997
-0.505,7464
0.294,2958
-0.345,8739
0.12,2524
0.0156,4600
0.105,2858
-0.0528,6355
-0.0327,5805
-0.0967,7981
-0.135,9916
-0.314,10935
-0.21,9624
-0.392,9413
-0.00203,4745
0.04,3736
0.0659,2260
-0.0324,6231
0.0591,3408
-0.0437,5637
0.578,472
-0.165,9465
-0.132,8042
-0.144,7568
0.15,2394
-0.0986,9049
0.721,1128
-0.0552,6583
-0.0439,6754
-0.303,10469
0.67,414
0.252,1108
0.0233,4877
-0.104,8423
0.0384,3683
0.00331,5179
0.43,750
-0.125,7964
-0.28,10134
-0.139,9571
0.0361,3417
-0.166,8859
0.00816,4933
0.257,1348
-0.369,10200
-0.065,8470
0.0132,4679
-0.0233,5726
-0.00484,5784
-0.389,10702
-0.146,8192
-0.323,10456
-0.0241,6242
-0.124,8589
0.139,2959
0.198,2888
-0.256,9373
-0.0284,6651
0.0243,4772
-0.0548,6327
0.196,1851
-0.202,10742
-0.0602,8086
-0.105,8063
0.084,2546
0.0587,3824
-0.17,10145
0.0737,3455
0.143,3654
-0.165,9711
-0.0448,6660
0.187,1634
-0.107,7267
0.244,2455
0.138,1646
0.0293,4432
-0.181,10256
0.031,4756
0.111,2644
-0.218,7948
0.254,1957
0.119,1628
0.109,2123
0.207,1285
0.0955,3795
0.0451,4021
-0.216,8503
-0.15,10250
-0.0759,8887
0.165,2174
-0.42,10905
0.301,1348
0.197,2223
-0.0423,6041
0.113,1918
0.762,139
0.141,1008
-0.223,10006
-0.0624,6723
-0.0495,7096
0.168,1137
-0.109,8381
-0.028,5896
0.153,3061
-0.328,10176
-0.208,9252
0.113,2821
-0.158,8455
0.107,2720
-0.743,10691
-0.0695,6507
0.125,1692
0.0547,3157
-0.0643,6598
-0.149,9322
-0.239,10913
0.0225,4852
-0.138,8736
-0.0253,6316
0.159,925
0.0331,4247
0.416,762
-0.332,8883
-0.141,9882
-0.326,10595
-0.232,9535
-0.186,9261
-0.0412,6134
0.129,2897
-0.0397,6772
-0.171,9858
-0.446,10748
0.149,1306
0.219,3235
-0.45,10102
0.0163,4600
-0.0302,6371
0.262,1879
-0.12,9683
-0.304,9920
-0.00799,5679
0.22,1095
-0.0297,6457
-0.00842,5153
-0.0905,7456
0.156,1321
-0.226,8969
0.347,92
0.0581,3342
-0.113,5016
0.256,1024
-0.245,8093
-0.307,10572
-0.0783,8034
0.354,281
-0.238,9015
0.202,1371
0.0644,3758
-0.0987,8307
-0.0532,6711
-0.0647,8556
-0.241,10230
-0.0291,6375
-0.199,10567
-0.185,10609
-0.397,10914
0.0616,3300
-0.146,8667
0.537,577
0.0633,3107
0.23,258
0.0562,2289
-0.222,10402
0.0616,3249
0.277,1153
-0.137,6743
0.0285,3983
0.252,479
-0.033,6235
-0.121,8370
0.0551,3951
-0.106,8988
-0.117,10466
-0.0114,5690
0.0611,3626
0.427,457
-0.0392,6669
-0.0456,5279
0.0823,2871
0.00444,5269
0.0428,3262
-0.0154,5771
-0.229,9729
0.148,2907
0.0518,3806
0.33,814
0.268,1033
0.0809,2500
-0.0913,6966
-0.112,8177
0.121,3625
0.00652,4960
-0.0318,6359
-0.137,8426
0.0432,4536
-0.00254,5427
0.195,1887
-0.079,7868
-0.0443,7205
0.0852,3120
-0.18,8701
0.0679,4038
0.0459,4083
0.0429,3242
-0.111,8966
-0.185,9461
0.0278,4778
0.286,1407
0.472,564
0.022,4885
-0.0838,8487
0.00305,5130
-0.103,7244
-0.199,8418
0.154,2087
0.0287,4404
-0.0717,8375
0.0546,3296
-0.238,10034
0.0396,4639
-0.0364,6223
-0.0605,6275
-0.00611,5799
-0.0814,7087
-0.0554,6384
0.0697,4209
-0.243,9867
0.0559,4056
1.26,935
-0.149,7167
-0.168,9747
-0.198,9605
-0.108,7846
-0.0789,8127
0.217,1280
-0.0274,6014
-0.137,8827
0.285,3776
-0.498,10819
0.0644,2960
0.0708,2595
-0.0573,6081
0.00366,5187
-0.237,8354
-0.302,7978
-0.0352,6416
0.0668,3283
-0.118,8683
0.04,4274
0.214,1586
