coef,rank
0.19,2605
-0.0646,6874
-0.106,8919
-0.0103,5244
-0.343,6376
-0.162,6044
0.813,412
-0.24,10408
0.128,1446
-0.302,10501
0.197,1721
0.376,670
-0.0902,7799
0.0385,3765
-0.135,9180
0.0489,4347
-0.0493,5539
-0.284,8054
-0.0868,9105
0.0915,1402
-0.231,10429
0.00159,5213
0.198,2611
0.437,940
-0.285,10750
-0.139,8207
0.0457,4293
-0.14,7957
0.0464,3829
-0.482,8945
0.133,2636
0.135,1750
-0.129,8076
-0.194,7490
0.0919,3248
-0.207,8775
0.154,1765
0.179,412
-0.254,10521
0.0712,3954
0.216,1545
-0.271,10039
-0.0719,7800
-0.00102,5511
0.293,828
-0.129,8618
-0.0544,6487
-0.103,6559
-0.0393,7311
-0.133,10596
0.17,2480
-0.0955,8256
0.13,2898
0.0845,3612
0.258,1091
0.226,201
0.357,138
-0.0655,6072
-0.431,10163
-0.162,8002
-0.0217,6331
-0.092,8667
0.125,3125
0.319,790
-0.0986,8987
-0.0195,6195
0.321,354
0.257,172
-0.0729,7677
0.255,264
0.322,432
0.125,3772
-0.202,10262
0.0431,4004
0.247,1015
0.0842,3682
1.02,58
-0.1,8689
-0.000639,5342
0.148,1440
0.0307,4766
0.126,2383
0.0469,4679
0.0992,3751
0.0949,2225
0.0562,3527
0.0997,3026
0.101,3703
-0.116,7785
-0.487,10775
0.155,935
0.0014,5336
0.136,2583
0.223,1420
0.377,883
-0.192,8525
-0.145,8052
0.118,1813
0.149,3082
0.0211,4725
0.0479,4016
0.0675,3842
-0.0687,7718
-0.0535,7096
-0.122,8699
-0.136,8283
-0.072,6159
0.0851,3722
0.0948,3407
-0.311,10686
-0.245,9785
0.497,35
-0.355,8259
-0.342,10320
0.138,1440
-0.0708,8568
0.13,3150
-0.0981,8223
0.0832,2411
0.219,1616
-0.0896,7582
0.0136,4706
-0.151,10039
0.137,1245
0.192,2493
-0.415,9630
-0.139,9848
0.0965,3190
-0.101,7431
-0.0648,6721
-0.186,8931
0.00904,5065
0.18,890
0.32,233
0.271,1566
-0.0239,6139
-0.0898,4757
0.0536,4555
0.223,336
0.1,2463
0.282,1686
-0.0844,8739
0.0326,4657
0.0173,5060
-0.145,8878
0.0429,4367
0.0965,3464
-0.0492,6483
-0.195,10579
-0.346,10258
0.107,2284
-0.076,8274
-0.552,7355
0.0393,4239
0.0584,4404
0.0502,4124
0.128,1825
0.0941,3190
0.367,979
