coef,rank
0.325,1366
-0.0759,7144
-0.031,6542
-0.137,7211
0.0567,3872
-0.241,6825
-0.315,8446
-0.0828,7605
0.00313,5035
0.142,2250
0.888,3
-0.0961,7014
-0.127,8719
0.0238,4350
0.0465,4129
0.338,642
-0.133,6526
-0.488,9990
0.157,666
0.167,211
0.104,2594
-0.146,9646
0.544,502
-0.159,7537
-0.122,8625
0.274,933
-0.354,10206
-0.178,8640
-0.197,10695
-0.208,6414
0.269,967
-0.0474,6847
0.129,2906
0.179,2973
0.0865,3352
-0.0846,6854
-0.123,8861
-0.0292,6573
0.0898,2997
-0.0869,6471
0.313,710
0.116,2894
0.143,1424
0.132,439
-0.249,10009
-0.236,10361
0.426,364
-0.144,7232
-0.0394,7316
-0.045,7839
0.0866,3730
0.175,1559
-0.261,9730
-0.23,9440
-0.0752,6649
-0.0431,7051
0.136,1866
0.106,3406
-0.581,10805
-0.234,9097
0.144,710
0.207,641
0.241,1685
0.31,842
-0.123,9615
-0.04,7163
0.191,1386
-0.00911,5863
-0.121,8830
0.0591,3361
-0.163,9104
-0.677,10636
0.0884,2649
0.128,1952
0.19,1607
-0.151,8006
-0.301,8936
-0.0582,7477
-0.107,8376
-0.0499,7106
0.197,1177
-0.249,10412
0.119,3864
0.107,3626
-0.0286,6648
0.151,1329
0.166,1824
0.414,711
0.0181,4659
-0.3,9560
0.0904,2282
-0.0365,7243
0.399,335
-0.328,10588
-0.463,10752
0.436,507
-0.0693,6608
0.135,1467
0.197,2583
-0.0587,8109
0.141,2191
0.0664,3867
-0.155,9867
-0.244,10765
-0.129,8865
-0.0437,6271
0.258,2023
0.242,1743
0.462,258
-0.126,8156
0.0591,3915
-0.109,8053
-0.194,6563
-0.333,10257
-0.0666,7944
-0.023,6629
0.0273,4854
-0.11,8497
-0.0707,8081
-0.0847,7146
-0.134,8634
-0.0743,8288
-0.0545,7509
0.0446,3818
0.0888,3891
-0.328,8835
0.0759,2649
0.178,1885
0.496,279
-0.153,8682
0.068,4042
0.182,2193
0.294,137
0.0276,4670
0.795,45
0.165,1056
0.336,2832
-0.246,8214
-0.22,10746
-0.0181,6001
-0.353,10198
-0.152,10296
-0.0319,5809
-0.159,8953
-0.159,9150
-0.124,8937
-0.202,8520
0.0343,4467
0.056,3678
-0.115,7226
-0.0584,7214
-0.0758,8269
0.494,2632
-0.163,8691
0.0577,4416
-0.0357,6051
0.0488,3822
0.212,1176
0.116,3472
0.0478,4147
-0.171,9517
0.178,1243
0.365,342
-0.0777,9087
-0.129,8386
0.107,3155
0.0351,4143
-0.105,9099
-0.00328,5600
0.00269,5365
0.155,2229
0.244,2150
0.12,1667
-0.169,10230
0.053,2424
0.278,304
-0.0248,6180
0.256,1364
0.292,2616
0.0601,2660
0.0694,3447
0.156,2307
0.0926,3067
-0.103,8106
-6.42e-05,5075
-0.0236,6648
-0.105,8781
0.258,546
-0.293,10077
0.131,1839
0.286,2530
-0.11,8800
-0.108,8828
0.0592,2540
0.0531,3590
-0.137,8236
0.323,1372
-0.134,9161
-0.0449,6230
0.0115,5024
-0.0572,7642
-0.187,8707
-0.0704,7029
0.481,755
-0.0658,7922
0.081,3243
0.131,2650
-0.175,7144
0.122,2646
0.102,3286
-0.0448,6761
-0.0548,7635
-0.06,7050
-0.184,8769
-0.0507,6223
-0.225,9478
0.122,655
-0.031,6568
0.147,2144
0.00859,5188
-0.162,7816
-0.107,6827
-0.0204,5857
-0.0154,5897
0.124,991
-0.213,9041
-0.0767,6361
-0.155,9216
-0.0867,8389
-0.0712,8361
-0.0746,8485
-0.184,9273
0.293,761
0.151,2469
-0.458,10840
0.274,8
-0.19,9384
0.459,177
0.662,280
-0.0283,5569
0.0868,3530
-0.214,5212
-0.391,9975
-0.193,10124
0.083,3148
0.225,1500
-0.0767,8074
-0.0356,6385
-0.0797,7153
-0.0687,7169
-0.0879,5832
0.0941,3813
-0.0995,8920
-0.0158,6116
-0.109,6880
0.124,3631
-0.399,9970
0.181,3012
0.121,2303
-0.124,8768
0.206,975
0.228,794
0.209,1643
0.186,1850
-0.111,8487
0.0539,3950
0.306,1430
0.116,2661
-0.043,6642
0.0629,4058
-0.226,10205
-0.0104,5943
-0.256,10577
0.16,2006
0.183,2257
-0.00035,5232
-0.305,10748
-0.0557,6195
-0.0337,6212
-0.516,11019
0.265,1482
0.222,836
-0.0777,7504
0.0368,4847
0.109,2958
-0.305,10141
0.0888,3456
0.372,242
0.207,287
-0.0693,7212
0.00622,4923
0.264,1611
-0.111,7492
0.073,3821
-0.0148,6208
0.268,185
0.273,1968
-0.175,9429
0.443,678
-0.0595,5857
0.174,1465
-0.149,9549
-0.335,10944
-0.1,7296
-0.0626,6920
0.703,209
-0.0429,7170
0.107,3052
0.028,4518
-0.0289,5623
-0.22,8539
-0.127,9029
0.246,135
-0.168,9755
-0.0654,7310
-0.3,8915
-0.1,7132
-8.44e-05,5436
0.22,1975
-0.0754,6326
-0.283,9661
0.0637,3913
0.315,1038
-0.284,8408
0.201,387
-0.138,8993
0.0627,3404
0.00122,5077
0.0377,3587
0.096,3911
-0.0283,6488
-0.00562,5583
-0.205,8799
-0.306,9965
0.111,2381
-0.405,9974
0.055,3437
-0.0852,8510
0.0847,2750
0.0111,4985
-0.0506,6903
0.322,975
0.047,3652
0.164,3036
0.123,3402
0.00556,5096
0.0495,3207
-0.0734,6724
0.0415,3952
0.345,281
0.276,3171
-0.974,11009
-0.664,8179
-0.583,9124
-0.396,9853
2.74,6
-0.135,7855
-0.0891,7268
0.328,374
-0.181,9338
-0.139,10404
-0.0635,8400
-0.664,9501
0.164,2448
0.0841,3497
-0.144,8103
0.185,1812
0.108,1541
-0.14,6381
-0.028,5951
0.0201,5073
0.162,2050
-0.222,9008
-0.197,10467
-0.154,8930
-0.177,8056
-0.0034,5123
0.172,3417
-0.133,8297
0.265,231
-0.0495,5873
-0.119,10162
-0.0519,6261
-0.0701,5915
-0.0824,7819
-0.121,8755
0.14,1886
-0.0876,7211
-0.329,8436
-0.219,9342
-0.0974,8445
0.0539,3702
-0.0841,7598
0.1,3789
0.0829,3502
-0.146,6940
-0.0302,6044
-0.0574,7403
-0.428,10060
-0.114,8555
0.147,2514
-0.0535,6688
-0.231,10357
0.102,2557
-0.109,8047
0.666,40
-0.0426,6168
0.0394,4545
0.0287,2817
0.205,782
-0.194,9209
-0.189,8592
-0.113,7521
0.132,2850
0.0556,3481
0.0315,3313
-0.057,10600
-0.135,8459
-0.171,7330
-0.0349,6051
-0.213,7893
-0.0668,8187
0.264,1323
-0.0919,7105
0.136,2680
0.447,1438
0.213,1808
-0.0878,8541
0.00022,5021
0.414,575
0.0209,4758
-0.128,8445
-0.131,9597
-0.0918,8492
0.189,1844
0.212,1260
-0.213,9177
0.0332,4425
-0.0554,6149
-0.0979,8703
-0.104,9515
-0.901,10686
-0.324,9395
-0.164,8304
-0.141,7052
0.0341,4197
0.181,2246
-0.135,7843
-0.0283,5283
-0.192,8595
-0.254,8616
-0.0444,6833
-0.148,7188
-0.189,8294
0.134,2043
0.648,247
0.022,4825
0.169,469
-0.114,9963
0.125,2933
-0.103,7532
0.208,1255
0.114,2206
-0.031,6535
-0.034,5760
0.304,1090
0.186,2428
0.178,2195
0.27,1462
-0.0567,6768
-0.00109,5479
-0.279,9976
-0.0756,6776
0.0168,4767
-0.197,9803
-0.0938,7627
0.0309,4735
-0.0977,7958
-0.102,7012
0.0227,4379
0.0669,3771
-0.0248,6226
-0.218,8317
-0.177,10293
-0.334,10555
0.257,1900
0.0111,4972
0.0995,2450
-0.115,9169
0.0268,4340
0.224,624
-0.28,10621
-0.157,9259
-0.04,9205
0.362,206
0.0302,4318
0.0255,4792
-0.391,9546
0.0666,3454
0.195,923
-0.275,10955
0.142,2201
0.134,2447
0.609,1020
0.234,893
0.0492,2891
0.155,851
0.789,189
-0.00674,5692
-0.124,6288
-0.302,10226
-0.0764,6257
0.0392,3942
-0.467,9858
-0.186,7191
-0.148,7151
-0.191,7780
0.00198,5050
-0.0704,7891
-0.175,10229
0.0794,2620
0.00852,5012
0.149,2155
-0.163,10154
0.0474,4245
0.267,2850
0.724,100
-0.41,10523
-0.117,5689
-0.204,10602
0.13,2271
-0.0986,7297
0.00147,5540
-0.141,8793
-0.448,10727
-0.12,9057
-0.0535,8038
-0.283,6723
-0.402,8316
-0.744,10402
0.551,2014
0.043,4023
-0.0941,6942
-0.105,8347
-0.266,10131
0.045,4234
-0.103,7971
0.0514,3661
0.00273,5182
0.0192,4974
-0.0513,6701
-0.329,8747
0.0727,4551
-0.197,10098
-0.151,8299
-0.149,8418
-0.239,10045
0.2,1565
0.235,1194
-0.109,8102
0.0781,3616
-0.324,10848
-0.0174,5744
-0.0211,5588
-0.103,7734
0.0948,2584
-0.0396,6726
0.0869,3239
-0.0988,8183
-0.0723,6473
0.253,165
-0.205,10378
0.0592,4247
0.172,1824
-0.0175,5874
0.0289,4484
-0.00337,5576
-0.128,8816
0.00781,4923
-0.125,6649
-0.0686,7098
0.234,1459
-0.22,6980
-0.0586,7271
-0.0594,6909
-0.0721,6190
-0.0825,8231
-0.103,8836
-0.333,10655
-0.0752,7818
0.00685,5079
-0.146,9241
-0.134,9397
-0.0875,6394
0.00389,5258
-0.11,10145
0.38,425
-0.379,10531
-0.0571,6844
0.015,4933
0.115,2522
-0.117,8532
-0.13,9022
0.137,2953
0.226,1984
0.133,2461
-0.315,10135
0.124,2013
0.0877,2493
-0.421,10272
-0.0204,6272
0.147,3335
-0.431,9089
-0.182,10036
-0.0986,8455
-0.0613,6728
-0.229,10265
0.231,1850
0.0181,4947
0.246,611
-0.0378,6800
-0.0377,7138
-0.224,10518
-0.0516,6862
0.22,1241
-0.0983,8175
-0.0931,6879
0.0732,2629
-0.313,9891
-0.73,10273
0.18,1151
-0.0885,8828
0.107,1391
-0.0428,7115
-0.122,7745
0.103,3214
0.208,360
-0.0253,6862
0.058,3474
0.263,1319
0.0324,4764
0.351,887
-0.254,10010
-0.183,9108
0.136,3048
-0.257,10349
-0.208,8477
-0.0667,7149
0.0356,4045
0.139,1535
-0.339,5854
0.0516,3794
-0.0633,5961
0.0461,4324
0.00457,5526
-0.297,8983
-0.0999,5698
-1.22,10249
0.124,3654
-0.163,6572
-0.286,9395
-0.187,8893
0.208,916
0.167,1755
-0.15,9740
-0.00252,5588
0.122,3294
-0.169,7509
0.269,2147
-0.179,10261
-0.336,10936
0.134,1492
-0.0976,7218
-0.218,10226
0.0147,4968
0.0837,2676
-0.233,10287
-0.368,10874
-0.55,10896
-0.259,9749
0.11,3126
-0.0843,6818
-0.0916,8514
0.136,1720
-0.0388,5661
-0.114,9126
-0.336,10539
-0.466,10890
-0.222,10605
-0.101,7044
-0.154,8712
-0.455,9581
0.116,2794
0.221,2005
-0.205,10084
-0.111,8321
0.515,252
-0.409,10879
-0.254,9602
-0.0486,6024
0.0514,4223
0.238,743
-0.326,10730
-0.398,8968
0.0147,4936
0.192,2017
-0.303,10792
-0.0634,7148
0.112,1916
-0.0931,7650
-0.455,9568
-0.153,4651
-0.137,9347
-0.0542,7765
0.311,82
-0.238,9829
-0.132,10280
0.224,2507
-0.175,9394
0.0557,3633
0.215,2445
-0.116,7431
-0.016,5339
-0.173,8908
-0.078,7054
-0.0562,7426
0.0979,3799
0.0805,4015
-0.395,8600
-0.265,9210
-0.176,10454
0.0985,3530
0.0769,3645
0.091,2947
0.26,677
0.0903,3982
0.102,3000
0.00737,5212
0.159,1917
0.107,2258
-0.67,10771
-0.662,9768
-0.063,7532
-0.0354,6668
0.0784,3063
-0.301,10757
0.211,1367
-0.202,8394
0.0253,4474
-0.0517,6810
0.0365,4152
-0.28,9157
-0.281,10582
-0.11,8925
-0.106,8828
0.149,658
0.112,2377
0.151,2907
0.0384,3828
-0.0699,7020
-0.0363,5991
-0.206,10713
-0.164,8839
-0.319,10514
-0.172,8843
-0.329,9398
0.186,1668
0.305,903
