coef,rank
0.495,517
-0.00352,5386
-0.1,8777
0.158,2906
-0.0557,4500
1.04,568
-0.113,6227
0.247,841
0.000241,5141
0.11,2779
0.047,4145
0.164,2515
-0.099,8039
-0.119,9555
-0.0633,7407
0.177,2130
0.226,2807
0.58,943
-0.0352,7078
0.0086,5157
0.0369,4206
0.162,1205
0.041,4435
-0.411,10227
0.679,1
0.247,1116
-0.0691,6303
0.28,952
0.124,1633
-0.476,8901
0.111,3002
-0.0548,7096
-0.284,10335
0.169,3048
0.342,512
-0.0532,6290
-0.123,8847
-0.0714,8294
0.0408,4154
-0.28,9375
0.146,2508
-0.0854,7056
-0.327,11005
-0.0323,7320
-0.0427,6260
0.152,1711
0.166,2434
0.189,2312
-0.143,10535
-0.0839,9453
-0.281,9975
-0.342,10970
0.277,1165
0.0363,4524
0.102,2972
0.00907,4837
-0.0147,5548
0.406,813
-0.54,10690
0.19,2156
-0.0354,6984
-0.0611,7707
-0.136,7864
-0.0726,6664
0.0849,2429
0.0692,2348
-0.18,9578
-0.0883,8724
-0.0491,6974
0.0582,3394
-0.000769,5243
0.471,1540
-0.197,10206
0.00229,5243
0.105,2980
-0.0769,6695
-0.361,9541
-0.0748,7989
0.147,1700
0.113,2110
0.013,5277
-0.0313,6133
-0.527,10447
0.492,588
0.197,501
-0.0493,6965
0.0481,4221
0.193,2466
0.117,2615
-0.306,9608
-0.109,9399
-0.0441,7585
0.0884,3426
-0.305,10458
0.122,3276
-0.185,8409
-0.00268,5251
-0.0809,8148
-0.35,9917
0.128,1263
0.143,2166
-0.185,9148
-0.0747,7884
0.121,1929
0.0869,2821
-0.167,8875
-0.0158,5319
0.00371,5150
-0.372,10765
0.425,169
0.357,480
0.294,470
-0.431,8999
0.258,1683
0.113,1956
-0.177,10716
0.469,354
0.226,875
-0.0242,6325
0.0632,4018
0.00561,5234
-0.0349,6711
0.0698,2925
0.0825,2575
0.372,980
0.145,3472
-0.0489,7180
-0.0956,7463
-0.112,7633
-0.31,10645
-0.177,8790
0.199,2022
-0.0066,5655
0.0192,4920
-0.186,8310
0.0348,4087
-0.695,8812
-0.344,9241
0.0554,3296
0.261,347
-0.0142,5694
