coef,rank
0.503,489
-0.0246,5931
0.115,1937
-0.327,9642
-0.461,7139
-0.326,7755
-0.404,9326
0.0891,3163
-0.0213,5881
0.0975,2998
-0.0696,6736
0.2,2058
-0.017,5702
-0.0142,5919
0.0414,4271
-0.16,8829
-0.0626,5668
1.09,147
-0.109,9704
0.102,1104
-0.126,8732
-0.069,7527
-0.139,7021
-0.236,8531
-0.148,9188
0.189,1698
-0.134,7397
-0.122,7624
-0.222,10825
1.26,285
0.0264,4737
0.118,2064
0.227,1603
-0.384,9629
0.0023,5100
-0.23,9085
0.313,303
-0.11,9500
-0.0607,6962
-0.201,8281
-0.187,9099
-0.00735,5350
-0.132,9412
0.0992,1052
0.156,2242
0.0655,3438
0.121,3122
-0.318,9707
-0.016,6127
-0.11,10201
-0.2,8975
-0.0539,7123
-0.014,5503
-0.0753,6847
-0.225,9443
0.0497,3336
0.107,2381
-0.238,8758
-0.178,7488
-0.37,10449
-0.0277,6625
0.0511,3876
0.0743,3964
-0.248,9768
-0.054,7489
-0.0374,7038
0.426,90
-0.0257,6508
0.0945,2925
0.102,2206
0.144,2118
-0.557,10164
0.0931,2543
-0.151,9408
-0.115,8281
0.313,1029
0.257,2342
-0.186,10326
-0.00633,5494
0.0279,4512
0.258,575
0.262,750
0.482,1109
-0.26,8955
-0.0745,8311
-0.0667,7538
-0.00196,5535
0.0436,4597
-0.0137,5379
0.743,73
0.00193,5353
-0.047,7704
0.235,1317
0.0149,4874
0.259,1737
0.00584,5006
-0.0882,6972
0.000958,5259
0.154,3031
0.0254,4530
-0.149,8819
0.41,258
-0.151,9787
-0.252,10806
-0.194,10072
0.135,2680
-0.0185,5368
0.206,2083
-0.248,9823
0.00795,5064
0.0184,4769
0.299,440
0.268,2860
-0.141,7746
-0.113,9246
-0.112,9756
-0.333,10279
-0.237,10524
0.123,1418
0.202,1801
0.176,1750
0.0442,3524
0.0283,4336
-0.00622,5760
-0.327,9946
-0.168,6986
-0.226,10844
-0.185,9140
0.0425,4612
0.0996,2898
0.213,1836
-0.0278,5814
0.0924,2446
-0.0626,7392
-0.0553,6105
-0.058,7371
3.16,70
0.645,570
0.0289,4175
0.061,3495
-0.176,8256
-0.093,9001
0.0451,4437
0.248,1140
0.197,1345
0.0448,4306
0.0318,4488
0.137,2504
-0.0953,8756
-0.0825,6644
0.119,2026
-0.0962,8897
-0.572,7471
-0.224,9707
-0.0341,5504
-0.163,8818
0.247,389
