coef,rank
-0.0901,6587
-0.172,9107
0.0859,2624
-0.388,10150
-0.515,7554
-0.0832,5306
-0.328,8566
-0.154,9137
-0.16,9977
0.0289,4370
-0.158,8573
-0.411,10733
0.184,1227
0.0133,4798
-0.0627,7390
0.456,240
-0.206,7384
-0.275,7923
0.0567,3049
0.0968,1228
0.17,1426
-0.15,9726
-0.284,8841
0.182,2903
0.043,4215
-0.137,8142
-0.214,8641
0.133,2634
-0.067,8139
-0.776,10554
-0.0232,5852
-0.268,10833
0.055,4249
0.0724,4122
0.0924,3240
0.118,3311
0.148,1869
0.0195,4471
0.161,1697
-0.253,8995
-0.256,10013
-0.18,8840
0.241,379
-0.0591,8624
0.219,1455
-0.0155,5606
-0.195,8997
0.198,2214
0.125,804
0.0445,3126
-0.283,10002
-0.0546,7149
0.172,2310
0.276,1162
-0.0306,5651
-0.113,9437
0.165,1418
-0.285,9383
-0.214,7963
0.12,3108
-0.113,9761
0.0482,3969
-0.0172,5588
0.1,3265
0.0832,2482
0.199,195
0.161,1781
0.111,1811
-0.124,8910
-0.217,10651
0.137,2252
0.749,629
0.000464,5134
-0.196,10126
0.0201,4963
-0.0248,5655
-0.134,6838
0.0724,3170
0.025,4562
0.0816,2917
-0.0793,7968
0.366,240
0.208,2976
0.154,3066
-0.0112,6005
-0.194,10399
0.0281,4736
0.0255,4901
0.142,2203
-0.29,9441
-0.143,10111
0.0239,4224
0.0979,3258
-0.212,9457
0.0609,4113
-0.343,10350
0.335,764
-0.0178,5925
-0.049,5784
0.0304,4345
0.102,2872
-0.119,7956
-0.0536,7238
-0.16,9835
-0.0929,7946
-0.0413,6216
0.143,3160
0.0784,3830
0.0592,4049
-0.0906,7389
-0.112,7543
-0.00325,5285
-0.595,10146
-0.23,9139
-0.038,6972
0.0587,3009
-0.0256,5877
-0.156,9453
0.0969,2034
0.251,1293
0.0624,3904
0.186,448
-0.111,9207
-0.199,10666
-0.205,8539
-0.278,8280
0.148,1001
0.0841,3443
-0.208,9216
-0.11,7787
0.249,1473
0.051,4249
0.477,4
0.0624,3649
-0.179,8190
0.195,714
-0.604,8257
0.225,2785
-0.0494,7094
-0.152,9537
-0.066,6555
0.0552,3438
0.364,852
-0.0692,7118
-0.193,9720
0.0758,3449
0.398,605
0.0949,3223
-0.21,10706
0.077,3851
0.0666,3336
-0.0447,7141
-1.78,10766
-0.0559,6348
0.211,2901
0.386,316
-0.221,10660
0.113,2760
-0.31,9872
0.0739,3545
-0.167,9458
-0.103,8425
0.139,2487
0.0278,3930
0.144,2074
-0.0212,6173
0.0321,4253
-0.0409,6952
0.112,3144
0.0291,4381
0.191,1737
-0.0923,6363
-0.0979,8552
0.00333,5036
-0.0122,6084
-0.0241,5888
-0.0843,8168
0.065,4058
0.198,3346
-0.0368,7016
-0.0946,8371
-0.201,9635
-0.203,9878
-0.235,10381
0.0633,2799
-0.0755,9394
0.176,959
-0.125,8922
-0.0318,5756
-0.23,10602
-0.423,9260
-0.217,10540
-0.307,10969
0.0317,3862
0.53,0
-0.429,10958
0.0356,4341
-0.0303,6374
-0.159,8488
0.0154,4940
0.1,1997
-0.12,7506
-0.114,8230
-0.272,9073
-0.0648,7884
0.064,3670
-0.261,10233
0.13,3576
0.254,860
0.0723,3880
-0.158,9758
0.148,835
-0.0591,7025
0.0405,4484
-0.0407,6030
0.191,1767
0.0577,2554
0.13,1808
-0.0371,6254
0.0385,4554
-0.193,8287
1,23
-0.0377,6257
-0.084,8498
-0.153,10535
-0.0968,7120
0.367,1092
-0.0725,7419
-0.124,9348
-0.117,9711
0.0409,3802
-0.136,8410
0.261,1015
-0.116,7953
-0.118,7301
-0.177,10934
-0.222,9851
0.0252,4726
-0.152,7560
-0.163,8607
0.391,549
-0.0266,3877
0.143,3463
-0.182,9963
0.211,1164
-0.0982,7652
-0.0614,7568
0.0909,3341
-0.0816,7191
0.0296,4508
-0.919,9951
-0.216,8686
-0.198,10675
0.0302,4093
-0.174,7809
0.136,3499
0.197,2659
0.118,3533
-0.161,9538
0.00311,5143
0.177,1338
0.0072,5223
-0.0456,6619
-0.129,8347
-0.181,9893
-0.0892,7423
0.0861,3708
-0.0785,7662
0.411,118
0.235,1776
-0.238,10320
-0.0174,6294
-0.0557,6707
0.126,2513
0.0146,5107
0.0201,4695
-0.215,9941
-0.196,8749
0.362,402
0.172,1934
-0.0962,7324
-0.0798,7767
-0.131,8846
0.0357,4869
-0.105,7685
0.202,2104
-0.314,10288
0.149,2153
-0.163,10574
0.126,2396
-0.363,10760
-0.357,10409
0.148,2744
-0.12,7628
0.00573,5330
-0.0687,7788
-0.219,8393
-0.0822,7400
-0.125,7232
0.397,872
-0.0576,6849
-0.0527,6914
0.206,992
-0.0277,5686
0.0304,4615
-0.0802,6108
0.0764,2084
0.192,1817
-0.155,9537
-0.0229,5528
-0.159,7600
-0.185,10188
0.145,967
-0.156,9546
-0.212,10137
0.357,1700
-0.399,10566
-0.313,10505
0.241,1791
0.137,3134
0.218,2203
0.0134,5103
-0.232,9037
0.00415,5118
-0.0194,6080
-0.143,9082
0.16,1300
-0.251,10387
0.0284,3986
0.0958,3914
0.163,650
0.34,105
0.00398,5161
-0.201,8664
-0.0488,6800
-0.086,6101
-0.0691,7577
0.0281,4323
0.151,1365
-0.0676,7567
0.14,2048
-0.108,7220
-0.0892,8534
0.0965,3831
0.0514,4350
0.009,4940
0.0924,1845
-0.1,7298
0.000996,5203
0.0314,4489
-0.531,8200
-0.343,8284
0.754,1790
-0.0642,4791
0.18,3073
-0.447,8850
0.104,3509
-0.18,8911
0.26,771
0.192,1394
-0.11,9837
0.0547,2509
-0.805,10162
-0.176,8653
-0.322,10460
-0.11,7477
0.0198,5052
-0.064,8170
-0.2,7192
0.097,3332
-0.0719,7582
-0.177,9071
0.0197,4868
-0.0769,7944
-0.151,8862
-0.355,10264
-0.0033,5120
0.189,3270
-0.241,10001
0.102,2191
-0.356,10020
-0.238,11018
0.106,3209
0.014,4929
0.114,2265
-0.176,9870
0.279,415
-0.205,9512
-0.379,8918
0.304,850
-0.142,9547
0.166,1390
0.257,807
-0.0897,6407
-0.22,9866
0.284,1892
0.0824,3357
-0.103,8809
0.168,3153
0.297,328
0.0549,4077
-0.113,8180
-0.0112,5540
-0.26,10774
-0.116,8198
-0.188,8731
0.235,1599
-0.58,10454
-0.0761,10604
0.209,745
0.259,1089
0.0271,5016
0.449,296
-0.238,9619
-0.0539,7444
-0.0844,9905
-0.0684,10836
0.129,2382
-0.178,7445
-0.107,7898
0.0684,4189
-0.0489,7487
-0.0665,6501
-0.0664,6564
0.0968,3249
0.0598,4378
0.106,3350
0.019,4744
0.00384,4912
0.0615,4167
0.232,1537
-0.052,6724
-0.0617,7482
0.135,1729
0.0866,3510
-0.133,8433
-0.232,9453
0.17,1302
-0.385,10504
0.168,1179
0.106,1499
-0.555,8824
-0.0945,6523
-0.0356,5873
-0.129,6874
-0.0907,8485
-0.265,10154
-0.369,10561
-0.349,9218
-0.136,7692
-0.0819,6221
-0.000211,5474
-0.14,7068
-0.138,7583
-0.111,8258
-0.0789,6490
0.291,664
-0.0354,7062
0.0557,2934
-0.119,7896
-0.347,10693
0.142,2229
0.0612,3511
-0.126,9584
-0.291,9647
-0.132,7832
0.071,4047
0.15,2626
0.263,1517
0.125,2288
0.0741,3218
0.0934,3462
-0.422,10917
0.0938,2447
-0.00448,5345
0.107,2533
0.176,1833
0.0985,2535
0.642,362
-0.203,10100
0.242,906
-0.206,10644
-0.273,9062
0.0758,2964
-0.0668,6560
-0.0364,5755
0.0231,4619
-0.0135,5820
-0.0695,7880
-0.0902,7928
0.246,458
-0.0318,6253
0.00703,5160
-0.00797,6437
0.202,1292
0.139,1345
0.0232,4816
-0.0358,5371
-0.0474,7148
-0.0562,7157
-0.225,10781
-0.12,8098
0.203,1509
-0.0232,5213
0.0135,4800
-0.0641,8273
-0.0501,7172
0.173,3021
-0.0189,5995
0.0498,4359
-0.194,8903
-0.22,8634
0.0897,2272
-0.194,7133
0.296,2358
-0.156,7246
0.504,921
-0.0466,7105
0.346,44
-0.139,9606
-0.167,10042
-0.0239,5532
0.0393,4293
-0.257,10916
-0.191,9517
-0.558,10187
-0.054,6074
0.00633,5353
-0.569,9558
0.0102,4901
-0.247,10565
-0.19,9157
0.083,3633
-0.0845,7476
-0.0709,6499
-0.187,10278
-0.0441,7606
0.574,2359
-0.317,7535
0.93,729
-0.297,7433
0.0137,4926
0.0522,4366
-0.239,10614
-0.104,7495
-0.179,8863
0.062,3807
-0.214,10269
-0.192,9329
0.31,451
0.342,269
0.06,4452
0.51,1831
-0.124,8778
-0.496,10988
0.161,2000
0.184,1534
-0.0668,6835
-0.0611,6544
-0.278,10648
-0.0861,6927
0.374,173
-0.0367,6368
-0.191,8980
-0.11,7885
0.208,705
-0.25,10815
-0.0715,7434
0.274,491
-0.142,7696
0.01,4912
-0.0764,7895
0.782,26
-0.272,10435
0.158,2142
-0.248,10012
0.0207,5030
-0.0439,6618
-0.0245,6384
0.45,1159
0.203,1087
0.285,1031
0.232,3270
-0.188,10160
0.112,2464
0.0901,3694
-0.0595,7536
-0.0165,5966
0.0605,3956
0.000913,5335
-0.104,8499
0.135,2326
-0.0984,8547
0.296,1770
0.1,3973
-0.0351,7301
0.165,2195
0.561,177
-0.0297,6108
0.303,803
-0.0197,6012
0.0722,3542
0.101,2646
-0.0244,5827
-0.229,8874
0.253,866
0.396,848
-0.0549,6787
-0.0708,8027
0.0527,4226
0.0282,4106
-0.333,9334
-0.125,5739
-0.0122,5806
0.0497,4005
0.0811,3617
-0.108,8113
-0.148,7464
0.339,697
0.0372,4217
0.000225,5431
-0.147,10432
0.0111,5104
0.28,608
-0.204,9789
-0.0377,6360
0.251,1737
-0.0628,7548
-0.148,7591
-0.304,7416
-0.00888,5885
-0.0681,8098
-0.112,9904
0.142,1645
0.444,386
-0.0776,6837
0.0646,3015
-0.123,10436
0.149,1440
0.213,1807
-0.443,10824
-0.153,7758
-0.208,9465
-0.115,7765
-0.207,8753
-0.429,10998
0.0463,4464
0.0455,3943
-0.135,9854
-0.107,8568
-0.446,6756
0.0092,5258
-0.0643,5980
0.359,782
-0.0819,8962
-0.467,10328
0.907,966
4.28,108
-0.221,7849
-0.0419,5375
0.333,1256
-0.232,9516
0.0975,2775
0.456,57
0.0873,2941
-0.131,10749
-0.201,9157
0.00782,4933
0.446,1069
-0.0991,8710
-0.335,10932
0.201,618
-0.394,10772
0.0624,3579
-0.0627,6320
0.171,987
0.0867,3318
0.282,785
0.247,1789
-0.135,7884
-0.11,7900
0.339,870
0.219,431
0.164,1225
0.0841,3817
0.0354,4295
-0.0406,6284
0.0868,3954
-0.188,10241
-0.0489,6039
0.14,2655
-0.547,10207
-0.167,9041
-0.161,8210
0.0982,2733
-0.0521,6731
0.379,686
0.0198,4703
-0.43,10801
0.11,3474
0.0708,3885
0.0206,4646
0.204,1620
0.0467,4279
0.0525,4305
0.154,2545
0.183,1398
0.0181,4798
0.0239,4499
-0.109,8004
-0.192,6843
3.17,263
-0.0606,7368
0.0134,4751
0.0876,2663
-0.157,8595
-0.0296,6704
-0.183,8060
0.268,670
-0.151,10074
-0.616,10911
-0.106,7240
0.248,1181
-0.294,10383
-0.222,9654
0.057,3572
0.221,2218
0.356,1126
0.071,4459
0.892,25
0.305,46
0.527,85
-0.0227,5687
0.0718,3422
0.138,2177
-0.325,9129
0.207,1467
-0.109,8169
0.0954,3098
-0.0712,7571
-0.513,10115
0.139,3808
0.121,2068
-0.125,9569
-0.0686,7283
0.00828,5064
-0.163,8887
0.401,781
-0.052,7228
0.226,801
0.0709,3398
0.089,3911
0.11,2822
-0.0519,7262
0.0585,3755
-0.183,10804
-0.0604,6847
-0.0245,5562
0.00124,5512
0.265,908
-0.404,10606
0.0678,2819
-0.217,9730
-0.29,10295
-0.115,7815
-0.29,8979
-0.127,8406
0.00852,5131
-0.0867,7366
-0.0255,5456
-0.0231,5556
-0.181,9333
-0.0201,6119
-0.0304,5830
-0.364,9515
0.0563,4335
0.0778,3854
-0.0237,5849
0.341,89
0.265,951
-0.0779,6553
0.107,1819
-0.298,8053
-0.0366,5739
-0.158,8877
-0.00806,6013
0.0225,4989
-0.188,8682
-0.0625,7104
-0.091,6430
0.165,1191
0.29,246
0.0574,1113
0.00642,4111
-0.0191,7656
-0.0132,7815
0.0457,308
-0.678,7983
-0.0638,6751
0.628,1305
-0.258,6095
0.201,3322
0.0121,4848
-0.225,9469
-0.256,7320
-0.187,8845
-0.173,7043
-0.304,10971
0.0499,4275
0.108,3568
-0.111,8240
-0.116,7238
-0.0388,7414
-0.247,10322
0.117,2645
0.0851,4090
0.128,3307
-0.323,8864
0.244,1599
0.0159,4806
-0.139,8014
0.366,2651
0.11,3539
-0.12,7598
-1.62,10576
0.0214,4884
-0.0993,8313
0.328,1114
-0.134,8833
0.0472,3896
-0.0936,8785
0.529,230
0.0106,5002
-0.0857,7837
-0.507,10491
-0.0132,5729
0.135,1391
0.0891,1229
-0.0965,7564
-0.169,9564
