coef,rank
0.0558,4313
0.0858,3454
-0.104,8865
-0.0243,5434
0.532,2118
-0.0714,5195
0.464,1483
0.184,1519
0.0744,2699
-0.0395,5891
0.147,2367
0.176,2362
0.0814,2962
-0.0161,5992
0.0137,5122
0.152,2470
-0.113,6300
-0.374,9054
-0.122,10010
-0.0644,8939
0.0136,4912
0.0289,4316
-0.0607,5883
-0.407,10194
0.193,1268
0.299,760
-0.355,10213
-0.362,10625
-0.127,9718
-0.0728,5141
-0.0134,5619
-0.00225,5413
0.143,2683
-0.231,8005
0.0561,3951
0.403,712
-0.326,10954
-0.04,7036
-0.277,10683
0.219,2220
-0.217,9527
-0.0918,7172
-0.083,8147
-0.0941,9947
-0.296,10475
-0.0691,7099
-0.0412,6231
0.203,2167
-0.0742,8840
0.135,531
0.262,1458
-0.0433,6842
0.344,731
-0.162,8454
-0.166,8463
-0.0783,8377
0.136,1855
-0.509,10865
-0.27,8661
-0.478,10889
-0.0339,6922
0.124,1886
-0.182,8598
-0.0713,6637
-0.0306,6588
0.0532,2906
-0.0789,7403
-0.03,6672
-0.00788,5720
-0.142,9623
-0.161,9071
0.335,2219
-0.00598,5332
-0.224,10462
0.00084,5460
0.151,2668
0.313,1904
-0.036,6754
-0.236,10561
-0.277,10926
0.000843,5636
-0.0184,5773
-0.229,8062
0.454,726
-0.0264,6569
-0.18,10235
-0.186,9810
-0.0369,5992
0.272,759
-0.327,9829
0.0607,3177
0.0597,2675
-0.055,6469
-0.0159,5569
-0.128,7229
0.314,1146
-0.454,10918
0.0247,4392
0.375,1191
0.142,996
0.265,752
-0.359,10814
-0.178,10233
-0.0619,7365
0.182,1108
-0.23,9833
0.336,1454
-0.276,9715
0.0286,4678
-0.285,10507
-0.257,9949
0.137,2139
-0.428,8974
-0.0367,5919
-0.0363,6919
-0.0692,8510
0.0457,4507
-0.28,10791
0.0879,2274
0.064,4001
0.172,1814
-0.09,8810
0.0916,2315
-0.0794,8326
0.439,667
0.0899,3995
-0.0738,8080
0.0568,3983
-0.0221,5928
0.122,2442
0.366,662
-0.045,6191
-0.0994,8714
-0.199,10220
0.0576,4183
0.0678,3032
0.346,2802
0.0622,4457
0.121,1554
0.0636,3426
0.0927,4021
0.138,1219
0.247,1722
-0.117,8192
0.0594,3821
-0.0196,6162
0.105,3328
0.262,949
0.0241,4707
-0.231,9029
-0.124,8966
0.15,1065
2.05,961
-0.014,5383
-0.201,7577
-0.206,9505
-0.0979,8602
0.167,1751
0.344,1127
-0.108,8024
0.141,2184
0.0381,4228
-0.116,8151
-0.0177,6323
0.136,2223
0.157,2226
0.117,1850
-0.053,7433
-0.0811,7312
0.143,1395
0.412,231
0.351,1391
0.0313,4105
-0.00595,5383
0.11,673
0.0108,4731
0.15,1210
0.00124,5377
-0.184,7282
0.0408,3400
-0.0529,7234
-0.0328,6227
0.296,537
0.121,2520
-0.0206,5931
-0.0556,8475
-0.0868,8269
0.137,1986
-0.13,7730
0.067,3329
-0.097,5785
-0.0707,7682
-0.272,10878
-0.131,10611
0.275,247
-0.139,8270
-0.0833,6143
0.0947,2633
-0.377,10775
0.155,2351
-0.03,6589
-0.328,10374
-0.0461,6352
-0.278,9141
0.138,1044
-0.0576,7108
0.19,1758
-0.369,9443
-0.346,10874
-0.203,9431
-0.00788,5536
-0.174,10623
-0.194,10010
0.086,3649
0.272,1367
0.0188,4641
-0.0326,7427
-0.0878,8355
0.289,612
-0.00058,5399
-0.158,7755
-0.0817,6405
-0.014,5709
0.0819,2487
-0.086,9009
0.168,2463
0.23,2090
0.181,1699
-0.122,9293
-0.0726,8410
0.125,1336
0.0827,3549
0.211,1522
0.275,1028
-0.0576,6212
-0.00218,5572
-0.0683,6773
-0.0322,5956
0.0525,4480
-0.271,10183
0.364,651
-0.697,9564
0.111,3819
-0.185,10003
-0.415,10998
0.0314,4781
-0.134,9537
-0.134,8702
0.196,1909
-0.0197,5845
0.378,3337
0.241,2035
0.0758,2582
-0.0526,7694
0.506,726
0.266,2255
0.0888,3906
-0.0248,4824
