coef,rank
-0.235,8711
-0.152,8736
-0.052,7272
-0.413,10307
0.466,2274
-0.174,6150
-0.519,10111
-0.027,6164
0.0261,4250
-0.322,10605
-0.129,7981
0.13,3011
0.192,1128
0.193,418
-0.144,9374
0.219,1591
0.22,2861
0.159,3337
-0.0988,9427
-0.0112,6249
-0.0184,5850
-0.00249,5340
-0.0842,6224
0.418,1029
0.294,409
0.0978,3108
0.207,2138
0.234,1332
0.0334,4338
0.419,2154
-0.0786,7097
-0.102,8457
-0.338,10678
0.606,548
-0.00179,5177
0.019,4957
-0.162,9577
-0.0305,6636
-0.0424,6487
-0.114,6923
-0.132,8107
-0.218,9405
0.131,1629
0.00747,5038
-0.0645,6744
-0.235,10351
-0.0252,5926
0.426,648
0.0136,4510
0.124,692
-0.159,8305
0.15,1998
0.226,1647
0.142,2671
-0.187,8862
-0.239,10950
0.22,796
0.0387,4376
0.213,2749
-0.15,7799
0.0575,2858
0.209,627
0.295,1207
0.0428,4259
-0.0403,6968
-0.00145,5314
0.208,1165
-0.133,9865
-0.198,10215
0.00522,5153
0.276,693
-0.163,6640
-0.0614,7125
0.335,130
0.304,601
0.226,1777
0.4,1326
0.272,276
0.122,2164
-0.0242,6254
0.148,1913
-0.144,8914
-0.115,6666
0.258,1916
-0.0231,6427
-0.164,9991
-0.157,9311
-0.392,10541
-0.166,8830
-0.0949,6622
0.155,938
-0.0323,7058
0.261,1076
0.0497,4123
-0.134,7318
-0.09,6849
-0.146,8068
-0.211,10643
-0.0595,5935
-0.113,9730
-0.119,8164
0.226,1367
0.183,995
0.14,1552
-0.382,11016
0.254,1166
0.352,1373
-0.125,7550
0.124,2906
-0.218,9795
-0.127,7830
-0.0861,7499
-0.441,9079
-0.008,5416
0.233,349
0.0503,3328
-0.0893,7049
-0.137,9073
-0.115,9414
0.0558,4157
-0.000684,5393
-0.0193,6073
0.0826,2574
0.00763,5208
0.12,3443
0.529,1088
-0.0503,7236
0.00571,5182
-0.199,9101
-0.019,5551
0.195,2053
-0.231,9628
-0.193,10474
0.257,528
-0.18,8210
-0.177,10211
-0.458,7289
0.0568,4521
0.161,912
0.195,889
-0.119,7430
-0.0533,7644
-0.264,9530
0.343,454
-0.144,8863
-0.0517,7109
-0.253,9241
0.0488,4161
-0.0314,6739
-0.0328,5779
