coef,rank
0.416,829
0.0987,3172
0.26,235
-0.0629,6030
-0.0937,4732
-0.616,10255
-0.39,9182
0.212,1175
-0.036,6402
0.199,1457
-0.259,10065
-0.24,9420
-0.195,9955
0.0664,2829
0.00822,5288
0.323,728
0.055,4368
0.161,3318
-0.0542,7855
-0.00621,5980
0.0658,3487
-0.118,8976
-0.235,8260
-0.197,8057
0.223,928
-0.0225,5626
0.156,2714
0.0341,4371
-0.198,10697
-0.359,7913
0.452,180
0.0755,3052
-0.233,9797
0.402,1293
0.047,4128
-0.0165,5618
-0.147,9328
0.00678,4977
-0.0948,7823
0.0399,4411
0.0598,4073
0.0412,4324
-0.158,9911
0.0405,3181
-0.0706,6885
0.0779,3163
-0.204,9161
0.686,90
-0.00955,5776
-0.0765,9196
-0.0366,5984
0.0942,3120
-0.437,10861
-0.308,10277
0.229,1342
0.086,2153
0.0691,3183
-0.292,9455
-0.175,7445
0.173,2366
0.122,1091
0.0552,3754
-0.212,9051
0.192,1897
-0.161,10313
-0.105,9622
-0.0245,5967
-0.102,9129
-0.0225,6154
-0.142,9617
-0.0942,7634
-0.14,6404
-0.146,9367
-0.171,9765
-0.208,9905
-0.21,8954
0.373,1464
0.0694,3246
-0.0866,7877
-0.247,10801
-0.0905,8251
-0.00974,5542
0.178,3256
-0.141,7254
0.149,1078
-0.127,9274
0.145,2142
-0.161,8097
0.266,805
0.544,335
0.119,1587
0.0525,2975
0.731,10
0.461,177
-0.166,7843
-0.0113,5322
0.0512,4223
0.0284,4274
0.393,1081
0.105,1800
-0.133,8492
0.432,203
-0.233,10746
-0.156,9757
-0.0755,7433
0.15,2428
-0.47,10568
-0.243,9328
-0.276,10127
-0.113,7885
0.0643,3796
-0.153,8998
-0.184,6491
-0.118,7397
0.0678,3141
0.182,379
-0.376,10556
0.331,265
-0.0905,8760
-0.403,10863
-0.219,10021
0.38,3
-0.123,9458
-0.0683,7965
-0.309,9781
-0.169,6993
0.0912,2218
-0.0192,5747
-0.245,9694
0.012,4805
0.356,711
-0.32,10488
0.351,49
0.00567,5348
-0.276,9555
-0.0571,7330
2.02,419
0.0554,4537
0.0207,4448
-0.158,9635
0.0876,4113
-0.0155,6198
0.116,3318
0.0119,5201
0.0384,4278
0.0202,5013
0.257,1510
-0.245,10126
-0.0885,8547
0.225,1997
-0.00995,5711
-0.216,10802
0.252,3356
0.108,2880
-0.445,10041
0.274,886
-0.0107,5788
0.237,959
-0.334,10085
-0.19,9565
-0.0644,7176
0.0133,4956
-0.0351,6237
0.125,720
0.0472,4031
0.0836,3635
-0.0454,7016
-0.0054,5555
-0.184,9330
0.133,1573
-0.0498,6567
-0.0397,5571
0.102,2053
0.112,1698
-0.00477,5636
0.048,3653
-0.101,8684
0.255,1373
0.111,4130
-0.128,10179
-0.0149,6039
0.111,3127
0.0147,4905
0.00221,5273
0.23,223
-0.00317,5381
0.0139,4881
-0.212,10335
-0.391,10734
-0.255,10762
0.471,1503
0.0686,3266
-0.0849,8210
-0.014,6389
-0.0272,6155
-0.117,7820
0.00806,4742
-0.0527,7082
-0.147,8257
0.0822,3549
-0.0114,5840
-0.242,9477
-0.0875,7538
0.169,3071
-0.124,9747
-0.113,8530
-0.0174,5749
0.429,1310
-0.216,10020
-0.14,8380
0.388,46
0.0746,2482
-0.176,9758
-0.201,9033
-0.134,7859
0.0683,3659
0.101,1103
0.0817,2949
-0.253,10328
0.0716,3852
0.312,1217
-0.00867,5198
0.163,2201
-0.00715,5577
0.0939,1606
-0.25,9527
-0.26,9247
-0.0826,7683
0.147,1283
-0.0911,8991
0.0441,3673
-0.0891,7356
-0.18,9448
0.0294,4743
-0.0607,6280
0.0156,4568
-0.254,10269
0.245,1235
0.336,1515
-0.00312,4983
0.00743,5004
-0.122,4470
-0.0291,5541
0.104,2627
-0.122,8213
0.377,377
-0.0992,8700
-0.112,8207
-0.27,10219
0.335,260
-0.501,8258
0.114,3528
0.107,1750
0.00455,5201
0.251,2254
-0.177,7580
-0.0828,6196
-0.305,7995
0.195,1174
-0.22,10406
-0.189,10057
-0.181,9808
-0.0201,5999
-0.0949,7588
-0.00994,5687
0.296,611
-0.335,9660
-0.0912,7980
-0.21,10065
0.0854,3712
0.147,2259
0.031,3955
0.154,1633
0.0885,3151
0.172,2392
