coef,rank
0.0964,3771
-0.0235,5908
0.0342,4256
0.276,1779
-1.2,10511
-0.6,10178
0.111,3880
0.629,4
-0.0558,7121
-0.143,8300
-0.0804,6971
-0.189,8644
-0.072,7310
-0.0537,7489
0.202,1003
-0.0832,7316
0.899,242
0.0751,4050
0.0642,2759
0.131,547
0.237,693
-0.0145,5736
-0.0782,6127
0.286,1864
0.0423,4229
-0.0901,7163
0.112,3349
-0.271,9946
-0.147,10105
-0.0933,5339
0.495,124
-0.0843,7965
0.0228,4905
0.175,3005
-0.215,9458
-0.0787,6749
0.0741,3442
-0.0186,6115
-0.313,10852
-0.519,10898
-0.372,10790
-0.228,9538
0.166,1047
-0.0296,7165
0.0317,4554
-0.00679,5365
-0.175,8706
0.0276,4442
0.00521,4986
0.0289,3841
0.427,470
0.306,340
-0.0347,5932
-0.0403,6084
-0.0664,6451
-0.00834,5580
-0.0234,5789
0.159,2740
-0.674,10963
0.00344,5019
-0.0592,7986
-0.0795,8316
-0.194,8765
0.262,1214
-0.147,10084
0.0486,3089
-0.123,8456
0.0732,2849
0.274,446
0.0221,4545
-0.219,9960
-0.0504,5415
0.00659,4903
-0.177,9861
0.317,538
0.287,1219
-0.0413,5669
-0.0575,7451
0.0938,2744
0.0142,4994
-0.121,9003
-0.0458,6508
0.178,3259
0.186,2711
-0.117,9505
0.00421,5150
-0.0245,6146
0.276,1590
0.0898,3124
-0.583,10951
-0.00456,5633
0.0748,2157
0.0457,4280
-0.0207,5676
0.277,1586
0.169,2553
0.255,1345
0.0125,4836
0.457,775
-0.12,9890
0.123,2499
-0.211,9544
-0.173,10151
0.174,1064
-0.148,9266
-0.184,9168
0.367,1283
-0.0493,6175
0.202,1835
-5.79e-05,5250
-0.287,10263
-0.0382,6231
-0.188,6522
0.0739,3968
0.0851,2655
0.0986,1757
-0.306,10070
0.00391,5422
0.124,1403
0.519,129
0.412,165
0.114,1499
-0.0556,7551
0.185,605
0.15,3015
0.286,2338
0.124,1437
-0.22,9644
-0.00657,5581
-0.0594,6594
-0.0561,6453
0.0368,4502
-0.0384,6724
-0.254,10700
-0.0898,6720
-0.0284,6315
-1.08,10352
0.231,2717
-0.249,10881
0.0432,4047
-0.468,10761
0.131,1341
-0.336,10213
-0.0906,7603
0.0805,3326
-0.224,10479
0.11,3262
-0.167,9053
-0.0617,7754
0.252,1744
-0.0397,6652
0.123,1548
-0.422,6641
-0.0318,5786
-0.422,9869
0.0181,4816
-0.104,8767
-0.0069,5593
-0.484,10859
-0.0554,6782
-0.0217,5991
0.0976,2629
0.0314,4674
0.0908,1457
-0.302,10710
-0.0134,5983
-0.166,10151
0.117,1613
0.0864,3646
0.0588,3388
-0.214,9788
0.0773,3981
-0.051,7036
-0.0567,7301
0.0323,3465
-0.174,9781
0.0839,2619
0.0258,4868
0.0956,4257
-0.0687,8426
-0.0776,7940
-0.117,8102
0.0302,4508
-0.051,6815
0.137,1050
-0.036,7397
-0.129,9353
0.0884,2934
0.274,1238
-0.00559,5588
-0.431,9340
-0.000588,5342
-0.192,10341
0.0903,1428
-0.164,9890
-0.0062,5324
0.365,1121
0.0783,3077
-0.222,9453
0.209,1619
-0.17,10410
-0.126,7621
0.0604,3372
-0.317,9588
-0.0166,5871
-0.0156,5899
0.282,844
-0.0543,5656
-0.0855,7524
0.0294,4786
-0.0834,7996
-0.0663,8065
0.0694,3456
0.0351,4593
-0.144,8028
-0.0704,6520
-0.065,9016
-0.111,8983
0.00757,5116
-0.021,5879
-0.26,9250
0.226,2085
-0.25,10131
-0.057,7513
0.0213,4309
0.00201,5180
-0.0877,6536
0.228,1129
0.0657,3232
-0.067,8212
-0.0989,9202
0.27,1043
0.0932,3453
0.124,2894
-0.261,9443
0.0482,2934
-0.0796,7039
0.187,1872
0.35,1428
-0.072,6601
0.195,1999
-0.204,5119
0.387,1556
-0.0111,5703
0.256,762
-0.0169,5821
0.187,734
0.0795,3578
0.435,257
-0.0517,6710
-0.03,5481
-0.0546,6125
-0.0487,7246
-0.105,9453
0.167,3023
0.645,392
-0.306,9131
0.232,2688
0.0999,2765
-0.169,9690
0.23,761
0.113,2570
-0.156,8950
-0.186,9386
-0.157,9493
0.196,1496
0.279,1654
0.156,1908
-0.161,9335
0.139,2890
-0.0953,8003
-0.0786,9067
-0.227,10297
0.11,2759
0.156,2644
0.106,2627
0.235,907
-0.497,10966
-0.123,8207
-0.0738,6957
-0.146,8275
-0.127,8875
0.347,156
0.0318,4953
-0.00268,5324
-0.0925,7067
0.0873,3488
0.0625,3883
-0.0574,7990
0.0824,3310
0.0848,3399
0.235,1869
-0.0128,5562
0.0786,3726
-0.00948,5987
0.115,1877
0.502,678
-0.0937,7679
0.0172,4885
-0.688,11016
-0.186,9681
0.243,439
0.0766,3243
0.31,706
0.283,725
0.484,686
-0.133,10099
-0.0572,6317
0.0286,4504
-0.122,6948
0.811,101
0.0014,4978
-0.0478,7183
0.361,125
0.0461,4272
-0.122,6718
0.247,1940
0.209,1750
0.203,2164
-0.297,9687
-0.0223,5703
0.154,2123
0.208,2005
0.585,1017
-0.0181,6041
0.127,2320
-0.0267,6152
0.283,532
0.222,190
0.102,3811
-0.0803,8518
0.0483,3887
-0.0492,6120
-0.0908,6751
-0.0906,8050
0.267,2255
-0.0361,6478
-0.0196,6171
-0.173,10176
0.0327,4279
-0.0534,6972
0.163,2521
0.00786,5050
-0.0419,5787
0.287,1669
0.0281,4026
-0.145,10256
-0.00675,5257
0.112,2111
0.119,2527
-0.449,7634
-0.7,10670
-0.746,8691
-0.664,9660
-0.423,10044
-0.301,7502
-0.0599,6471
0.373,514
-0.0673,7159
-0.0124,5491
-0.0298,6907
0.0541,2533
0.529,2162
0.216,1769
-0.219,9396
-0.127,7799
-0.0205,6050
0.0261,4236
-0.241,7747
-0.231,9739
0.139,2260
-0.199,9439
0.104,3439
-0.218,10645
0.401,251
-0.0299,5534
0.0955,3564
-0.258,7998
-0.133,8304
0.0276,4416
-0.151,7506
0.085,1776
0.126,2885
0.00483,5030
0.0471,3986
-0.126,8885
0.0783,3168
-0.0684,6808
0.374,1943
-0.152,8278
-0.0465,6873
0.0244,4479
0.00873,5255
0.0857,3967
-0.272,10420
0.0919,3750
0.0599,3874
-0.123,9275
0.201,2855
-0.139,9115
-0.124,7828
-0.141,8820
-0.0713,7252
-0.15,9456
-0.296,10552
-0.0366,5817
-0.0189,5680
-0.268,7926
0.00359,5156
-0.147,9441
-0.146,8385
0.633,213
0.125,2961
0.44,380
-0.0907,8668
-0.128,10782
0.0395,1399
-0.178,9238
0.118,3782
-0.00534,5244
-0.452,10223
-0.0526,7639
-0.0579,6338
-0.00829,5271
-0.253,9705
0.0344,4630
-0.112,7656
0.266,188
-0.109,7838
0.417,567
0.244,1427
-0.0846,7479
-0.0398,6641
-0.0594,7519
-0.338,10749
0.0956,3084
0.155,2615
0.132,1966
-0.0829,6610
0.101,2489
-0.0655,8209
4.1,18
0.233,2677
-0.275,9884
-0.013,5344
-0.0583,7441
0.0396,4662
-0.00279,5412
0.0532,4379
-0.0452,5953
0.00634,5011
-0.0333,6520
-0.419,10258
0.272,1864
-0.178,9642
0.334,1435
0.191,1588
-0.00606,5671
-0.013,6087
0.156,2457
0.266,1120
0.188,1497
0.387,56
0.135,1249
0.036,4547
0.193,2192
-0.564,10992
0.223,1620
-0.189,8654
0.181,1469
-0.0739,7717
-0.334,10423
-0.162,8519
0.0649,3242
-0.295,10719
0.227,844
0.00905,5289
-0.101,8039
0.474,892
0.0158,4598
0.0319,4630
-0.0252,6245
0.208,2214
-0.208,10609
-0.111,7504
0.00942,4995
-0.0134,5701
-0.132,9276
-0.172,10285
-0.0849,7773
-0.23,10634
0.122,2539
0.021,4775
0.0436,1802
0.0469,4273
-0.187,10470
-0.249,8430
-0.325,8962
-0.131,9370
-0.0202,5939
-0.108,9076
-0.125,8214
0.0231,4593
-0.855,10976
-0.251,10317
0.00454,4967
-0.0769,8108
-0.772,11014
0.395,243
-0.112,6155
-0.236,9520
0.784,41
-0.142,10116
-0.516,10181
0.255,2678
0.39,1560
0.302,2018
0.000845,5116
-0.12,9271
-0.00908,5765
0.224,386
-0.222,8661
-0.0773,6997
-0.115,9145
0.12,2714
-0.65,10577
0.0372,4540
0.186,2858
-0.55,9452
-0.0143,5809
-0.0766,7658
-0.0314,5707
0.0793,3716
-0.103,7947
0.0492,4550
-0.058,7196
0.0779,2010
0.547,2464
0.99,638
0.737,1182
-0.0468,5375
-0.185,10084
-0.12,7397
-0.183,9954
-0.293,10391
0.57,84
-0.0474,6574
0.0569,3508
0.161,2163
0.0431,4343
0.257,692
-0.34,8840
0.634,1287
0.108,2363
0.124,2776
-0.176,8920
-0.126,8196
-0.22,9758
-0.357,10793
-0.0448,6481
-0.0446,6032
-0.0405,6420
0.169,1183
-0.102,7302
-0.179,9179
0.0401,4102
0.048,3832
0.013,5138
0.0647,3561
-0.000181,5166
0.109,1766
-0.0464,7002
-0.203,8815
0.0595,3915
0.136,2492
-0.00657,5312
0.108,3134
0.0549,3737
-0.0361,6895
-0.128,6684
-0.111,8163
0.0313,4366
-0.404,8514
0.00737,5180
-0.0313,6112
-0.0833,6349
-0.065,7733
-0.0176,6016
0.148,2399
-0.0182,6007
0.132,1807
0.0103,5259
0.223,443
-0.428,10415
0.147,3417
-0.0481,7950
0.48,157
-0.0763,6567
-0.0833,7517
-0.158,8492
0.136,2118
0.085,3227
-0.0901,8033
-0.193,8905
0.00298,5015
-0.114,8308
-0.127,7654
0.0178,4655
0.0804,2698
-0.414,10232
-0.139,10231
0.384,1344
0.363,2129
0.146,1796
-0.044,6866
-0.0761,7060
-0.181,9658
-0.0644,6017
0.487,187
-0.0295,6093
-0.0618,7601
-0.0826,8917
0.0454,4117
0.119,2692
-0.299,10679
-0.0994,8199
0.517,317
-0.0699,7798
0.00958,5035
0.67,1249
0.0551,3805
0.0175,4508
0.00478,5189
0.0149,5093
0.143,2881
-0.0978,7237
-0.109,9261
-0.122,10429
0.0847,2752
-0.075,6487
-0.202,8873
0.271,1447
0.567,56
-0.336,10708
0.262,1662
0.149,2074
-0.362,10215
0.0253,4491
-0.0141,5950
0.157,1249
-0.507,7289
-0.14,9839
0.137,3235
0.501,277
-0.0478,7701
-0.0953,6518
-0.17,6263
2.14,758
-0.345,9211
0.416,1885
-0.216,8507
0.617,87
