coef,rank
-0.219,8503
0.0125,5033
0.0258,4537
-0.0729,6206
-0.13,4967
-0.229,6703
-0.286,8169
-0.123,8496
0.0196,4454
0.0897,3148
-0.167,8745
0.000443,5148
0.00717,5021
-0.023,6266
-0.207,10285
0.113,3104
-0.221,7565
0.143,3495
-0.0552,7893
-0.107,10224
0.106,2534
-0.0344,6465
-0.24,8332
-0.198,8072
0.107,2698
-0.139,8196
-0.352,10185
0.109,2992
0.00251,5517
0.762,1035
-0.0945,7451
0.163,1253
-0.164,8750
-0.506,10481
-0.0805,6874
0.0627,4183
0.117,2475
-0.0323,6719
-0.027,6056
0.283,1633
0.658,22
-0.118,7697
-0.0887,8323
-0.088,9748
0.407,264
-0.162,9292
-0.25,9761
-0.206,8211
-0.0221,6428
-0.0179,6416
0.289,1221
-0.129,9015
0.246,1461
-0.29,10131
-0.0684,6490
-0.0282,6421
0.0359,4070
0.0657,3982
0.567,729
-0.224,8959
-0.105,9542
0.185,886
-0.158,8238
-0.0289,5733
0.212,353
-0.0509,7658
-0.0482,6595
0.155,954
0.0973,2852
0.0447,3811
0.0553,3871
-0.242,7545
-0.0165,5655
-0.0502,6834
-0.155,9065
-0.162,8198
0.219,2692
0.0958,2545
-0.125,8822
0.0992,2458
-0.323,10960
0.027,4550
1.63,3
0.0454,4433
0.17,811
0.222,494
0.629,8
-0.417,10667
0.104,2844
0.0368,4447
-0.0129,6000
0.247,53
-0.0174,5652
-0.0966,7354
-0.13,7251
-0.0425,5927
0.0986,3402
-0.02,6042
0.223,2317
0.219,277
-0.0377,6180
-0.0496,6421
-0.03,6463
-0.0589,7278
0.152,1555
-0.188,9251
-0.239,8541
-0.184,8489
-0.161,8536
-0.24,10062
-0.229,9597
0.259,678
-0.324,7927
0.523,292
0.165,992
-0.056,8004
-0.149,8132
0.0853,3223
0.0238,4432
0.00968,5117
-0.224,10078
0.038,3749
0.237,243
-0.0207,6266
-0.332,9992
-0.505,10214
0.0926,2183
-0.146,8484
0.0243,4948
0.558,37
-0.0105,5527
0.00804,5091
0.234,381
0.067,3521
0.0279,4669
-0.158,9938
-0.719,8956
-0.0604,5962
0.187,610
-0.287,10879
-0.18,8324
-0.0366,7043
0.429,545
0.236,1253
-0.105,8007
-0.0307,6483
-0.0592,6054
0.189,1730
0.117,2065
-0.316,10012
0.0809,2943
0.104,1985
0.15,3766
-0.392,10900
0.605,645
0.276,875
-0.0794,8063
-0.0307,6281
-0.156,7837
-0.0831,7457
-0.0926,7931
0.173,1300
0.1,3217
-0.016,6232
-0.201,9703
-0.039,6615
0.0535,3539
0.0834,2440
-0.044,6523
0.0266,4474
-0.0631,6880
