coef,rank
0.163,2920
-0.0664,6912
0.215,499
0.0777,3955
0.572,2034
-0.475,9335
-0.0931,6030
-0.213,10094
-0.0669,7499
-0.211,9462
0.178,1940
-0.194,8729
-0.0583,6910
0.267,94
-0.00197,5614
-0.305,10563
-0.393,9417
-0.0227,4990
-0.0818,8937
-0.0568,8617
-0.0983,8079
-0.123,9134
-0.0558,5813
0.109,3747
-0.146,9156
-0.199,9276
0.132,3037
0.0206,4661
-0.0742,8351
-0.314,7487
-0.175,9011
0.0333,4285
-0.161,8703
-0.404,9819
0.00818,4965
0.536,289
-0.0369,6591
0.0886,1996
-0.181,9633
0.107,3488
-0.3,10416
-0.0588,6469
-0.144,9667
0.142,341
-0.117,7877
-0.0102,5467
0.158,2544
0.459,518
-0.0117,5883
-0.0452,7850
0.106,3423
-0.23,10481
-0.0367,5978
-0.198,8991
-0.00722,5139
0.0513,3280
-0.253,10574
-0.088,6442
0.245,2465
0.271,1396
-0.133,10187
0.183,918
0.186,2309
0.533,104
0.0124,4931
-0.0542,7826
-0.164,9286
-0.0223,6384
-0.121,8844
0.0647,3188
-0.33,10821
0.0746,4226
0.119,1992
0.207,827
0.139,2373
-0.0422,5985
-0.461,10293
0.00893,5177
0.029,4448
-0.0551,7263
-0.0412,6881
0.284,594
-0.201,7758
-0.187,7937
-0.0687,8118
-0.0964,8468
0.0413,4387
-0.0565,6320
-0.117,7830
0.00834,4867
-0.0741,8346
-0.175,10834
-0.026,5837
-0.368,10772
0.327,1179
0.075,3849
0.442,337
0.0239,4426
0.188,2663
-0.17,10623
-0.129,8418
-0.0102,5541
0.301,178
-0.226,10650
0.202,896
-0.111,7769
-0.156,7400
0.152,2746
0.218,1660
-9.33e-05,5251
0.0764,3550
0.501,33
-0.627,10292
-0.157,8009
-0.0712,8083
-0.105,9578
-0.0359,6052
0.206,1110
0.102,1887
-0.178,8904
0.115,2797
0.0151,4640
-0.0503,7344
-0.0297,6594
0.00339,5173
-0.174,7054
0.0749,2672
0.0895,3344
0.493,286
-0.00607,5234
-0.174,8730
0.249,1504
0.0692,3093
0.113,2482
-0.122,7268
0.0217,4554
0.12,3655
0.0272,4895
0.139,1205
0.311,164
0.262,1873
0.122,1528
0.127,3164
0.104,3131
-0.0945,7718
-0.215,10401
0.318,1039
-0.135,8428
0.00925,5275
0.118,3280
0.134,1743
0.0944,2244
0.712,2152
-0.0697,6651
-0.0939,6258
0.092,3273
0.124,1908
0.0311,4651
-0.185,8279
0.0711,3607
-0.0218,5992
0.102,2526
0.16,2162
0.0644,2346
-0.0105,5436
0.162,2137
0.0752,2897
-0.000812,5368
-0.0496,6649
0.026,4499
-0.124,8204
0.222,2325
-0.0254,6109
0.109,1766
0.132,353
-0.0327,6171
-0.0986,8604
0.173,2296
-0.335,8853
-0.156,10584
0.00345,5435
-0.0532,6688
-0.179,9519
-0.271,10658
-0.206,10714
-0.0106,5871
-0.0159,5861
-0.0924,8115
-0.0398,5937
-0.00688,5630
0.216,2995
-0.0625,7441
0.00985,5077
-0.134,10643
0.0945,2504
-0.315,10544
-0.156,7265
-0.153,9552
0.128,2937
0.129,2745
0.0964,2116
-0.0395,5922
-0.116,8306
-0.288,9252
-0.108,9367
-0.0589,7138
0.173,1981
-0.317,8899
0.337,350
0.55,82
-0.071,7616
0.259,86
-0.0367,6390
-0.063,6523
-0.0822,6835
-0.263,9948
-0.0293,7247
0.0124,5071
-0.2,9675
0.106,3170
-0.123,7137
-0.0646,6121
-0.043,6381
-0.186,10583
0.000393,5255
-0.131,7697
-0.234,8914
-0.102,8109
0.0437,3917
0.152,830
-0.0636,8111
0.0282,4640
0.116,3032
-0.313,10606
-0.434,10774
-0.101,10007
-0.336,10805
-0.00054,5231
-0.0449,5901
0.174,1765
-0.223,9253
-0.489,7870
-0.157,7270
-0.128,8982
0.158,1810
0.351,502
0.0801,2683
-0.0958,7857
-0.184,9129
-0.0206,5863
-0.707,9237
-0.134,7466
-0.131,9690
-0.075,8532
0.0289,4747
-0.238,8386
-0.125,6840
-0.113,5792
-0.0236,6056
0.114,2167
-0.344,10986
-0.234,10465
0.0426,4607
0.245,1175
0.0585,3719
0.0751,3514
0.339,1198
0.00354,5425
-0.0809,7640
0.0149,4844
-0.0324,6419
-0.0382,7352
0.0948,2702
-0.163,8949
-0.126,7959
-0.313,10841
0.0125,4778
-0.0228,5534
-0.0848,7351
0.397,282
-0.193,8999
-0.0533,6998
-0.000875,5287
0.494,231
-0.0129,5572
-0.113,7431
-0.0624,6292
0.013,5061
-0.0772,8686
0.151,1966
0.0303,4446
-0.157,8020
-0.0541,6362
0.136,2770
-0.0321,6943
-0.113,9125
0.136,3368
0.0508,3808
-0.19,8241
-0.167,7668
0.134,2089
-0.166,9839
-0.129,8769
-0.0575,6336
-0.219,9882
-0.335,9624
0.0154,4479
0.216,1543
-0.116,8722
0.0305,4753
-0.245,8935
0.294,148
0.0166,4578
0.158,1593
0.0426,4371
-0.19,7568
-0.243,9241
-0.304,10443
0.145,2869
-0.328,9994
-0.293,9762
-0.0908,7784
0.551,177
0.752,590
0.0852,2324
-0.151,9243
0.0343,4264
0.0411,4030
0.0533,3024
-0.334,9595
-0.0952,8986
0.0275,4504
-0.143,7803
0.0761,3783
-0.0234,6045
-0.125,6620
-0.0759,7796
-0.107,9134
-0.0139,5867
-0.0628,7417
-0.022,6069
0.0548,4132
-0.0415,6914
0.73,199
-0.0557,5881
-0.0461,7553
-0.166,10557
0.0668,3701
0.086,2725
0.34,298
-0.368,7033
-0.0992,5769
-0.364,5910
-0.803,10323
0.441,1168
-0.799,10688
-0.0102,5517
-0.0714,6922
-0.0542,6817
0.0449,4029
0.00253,5278
-0.0572,8118
0.239,3148
0.093,3557
-0.197,9015
-0.101,7306
-0.112,8234
0.133,1043
-0.415,9872
0.334,613
-0.0014,5664
0.064,3785
-0.209,8849
0.0496,3609
-0.0394,6369
-0.172,7973
-0.17,8014
0.229,2983
-0.136,8366
0.201,671
0.271,1690
0.0763,2048
0.0152,4872
-0.213,7553
-0.106,8500
-0.0407,6562
-0.0984,8027
0.0177,4807
0.317,2305
0.0603,3944
-0.165,9989
-0.0488,6649
0.00469,5344
0.0857,3968
0.273,846
-0.276,8797
0.0607,3857
-0.0294,6417
-0.065,6044
-0.0194,5910
0.0503,4155
0.126,2341
0.125,2275
-0.141,9262
-0.0533,6731
-0.263,9796
-0.23,9477
0.236,2839
0.0257,3058
-0.163,9747
0.212,1569
0.359,1146
-0.114,7557
0.126,2948
0.0657,3142
-0.129,10797
0.0437,1124
0.0407,4218
-0.215,7909
0.238,871
0.231,2436
0.101,1650
-0.204,8954
-0.153,8305
-0.0767,6635
0.0263,4727
-0.311,10409
0.0983,2264
0.111,2561
0.443,455
0.0431,4354
0.0909,3405
-0.123,9405
0.0391,4247
-0.298,10546
-0.0864,7380
-0.0187,5681
-0.0497,6972
0.177,2482
0.152,1440
-0.109,9665
-0.111,4192
0.00741,5203
0.263,1388
-0.243,8350
0.0815,2676
-0.334,10677
-0.407,10745
0.443,1381
-0.0662,6359
0.145,3258
-0.172,9897
0.18,2771
0.222,2354
0.279,444
0.215,2479
0.0821,3446
-0.0575,8006
0.0758,2229
0.242,1433
0.1,3217
-0.047,6721
0.219,712
0.0173,4676
0.269,1642
-0.234,9489
-0.304,9915
0.258,1269
0.037,4622
-0.0931,7752
-0.0796,7874
0.196,2028
0.0265,4474
-0.112,8885
-0.00538,5371
0.00434,4917
0.0039,5416
-0.0483,6603
0.775,184
-0.118,8517
-0.00933,5736
-0.216,10715
-0.0723,6044
-0.0366,6734
-0.19,8920
-0.204,8562
0.164,1561
0.0449,3974
-0.157,10059
0.135,1731
0.00568,5182
0.214,1154
0.0871,3102
-0.0459,9521
0.0289,4723
0.116,1818
-0.109,6498
-0.578,10640
-0.0533,7313
-0.0473,6876
-0.0355,6730
-0.03,5914
-0.106,7519
-0.382,9099
-0.056,6604
-0.0577,8013
-0.0337,6530
-0.307,9021
-0.149,8812
0.187,3030
0.0268,4780
-0.256,9137
-0.0106,5941
0.371,1880
-0.325,8777
-0.127,6855
-0.195,7839
0.0143,4542
0.0173,4787
-0.219,10680
-0.17,10088
0.264,1834
0.296,628
-0.173,10285
0.129,2549
-0.21,6952
-0.0768,6435
-0.183,8378
-0.56,9511
-0.111,9057
-0.11,8500
-0.127,7937
0.409,254
-0.0881,7572
0.185,2642
0.102,2181
-0.0987,9650
0.0756,4229
-0.323,7576
-0.0135,5079
-0.207,6649
-0.0183,5914
-0.023,5689
-0.055,7012
-0.336,10673
-0.0735,6794
0.0491,4126
-0.27,10740
0.25,1106
-0.0121,5811
0.063,3737
0.0183,4887
-0.399,8652
-0.104,8305
-0.554,11017
-0.0443,6071
-0.204,9608
0.00208,5235
-0.0145,5469
-0.182,9581
0.157,2337
0.123,2430
-0.192,10148
-0.0341,5875
0.213,1500
0.441,9
-0.0398,6739
0.0325,4601
0.0527,3865
-0.0251,5644
-0.0442,7033
0.223,708
-0.205,8841
-0.269,10416
-0.0703,7173
-0.013,5495
0.0918,3482
-0.0615,7115
-0.165,10509
-0.227,7915
0.0597,3639
0.188,1944
-0.514,9273
0.00129,5362
0.0302,4459
0.00702,4900
0.0666,3169
-0.0981,8709
-0.328,10633
-0.0532,7159
0.0987,2453
0.0779,3497
0.221,454
-0.145,7272
-0.209,8283
0.0151,4618
-0.0974,7543
-0.262,9551
-0.0863,7592
0.0682,3831
0.118,2450
0.0417,4306
-0.147,9380
-0.212,9194
-0.0109,5242
0.058,3979
-0.0591,6439
0.0646,3362
-0.106,9092
-0.0877,6282
-0.0133,5934
-0.368,9663
-0.288,7527
-0.0148,5891
0.0178,4967
0.00751,5187
0.317,268
-0.0775,6244
-0.177,8908
-0.0957,7939
0.127,1638
-0.0589,8083
0.0678,3528
0.0921,3199
-0.288,10619
-0.208,10275
0.0449,4459
0.0936,2064
0.195,2584
-0.227,6743
0.031,4592
-0.0367,6869
0.0115,4879
-0.00015,5608
-0.0544,6461
-0.0751,6782
0.0171,4736
-0.0768,9243
-0.198,10284
0.0727,3759
-0.0438,6138
-0.0375,5708
-0.107,7739
-0.105,7546
0.0327,4685
-0.167,9105
-0.00891,5334
0.0323,4306
-0.126,9655
0.201,752
-0.343,5881
0.0143,5065
-0.165,7469
0.518,250
-0.0748,8736
-0.0836,6376
-0.546,9197
0.436,2426
-0.179,7288
-0.0198,5172
-0.0294,5555
0.41,531
-0.0766,7964
-0.244,10565
0.173,1203
0.0148,4552
-0.193,9024
0.591,545
-0.342,9070
-0.197,10482
-0.136,8936
0.0218,4565
-0.241,9579
-0.166,9474
-0.313,9982
-0.112,8871
-0.0708,7348
0.307,623
1.05,7
-0.0743,6734
0.396,344
-0.175,8445
-0.101,8774
0.0319,4503
0.381,1014
0.152,1326
0.292,1205
-0.1,7210
-0.141,9515
-0.305,10088
0.00171,5413
0.359,1956
0.103,3029
0.236,1850
-0.088,7721
-0.0499,6672
0.195,2069
0.612,26
-0.0162,5543
-0.342,10237
-0.392,10728
0.0518,3824
-0.0634,6911
-0.317,8037
-0.284,9822
-0.108,7542
0.0556,3783
0.0569,3813
-0.0283,6424
0.187,1270
-0.3,8038
0.42,2344
-0.0813,7990
0.0137,4741
-0.0119,5950
-0.104,7563
0.0429,3226
-0.267,9201
-0.156,9029
0.0728,3130
0.0649,4109
-0.209,9119
0.211,1524
-0.166,8786
-0.0878,7238
-0.1,8722
0.204,2407
-0.04,5797
0.137,3982
0.467,658
0.211,360
-0.154,9003
-0.0872,7088
0.295,367
-0.178,9742
-0.367,9573
-0.147,8532
-0.0607,6997
-0.0716,7264
-0.103,8478
-0.257,7654
-0.516,8811
0.101,2578
-0.0483,7129
-0.204,10138
-0.22,10132
0.0457,4245
0.208,2176
-0.0446,6955
-0.0464,6656
0.313,398
-0.276,9121
-0.156,9057
0.0883,2611
0.192,903
0.121,1144
-0.0985,7896
-0.117,7202
-0.0635,8291
-0.0121,5578
0.287,1582
-0.13,9666
-0.0494,6426
0.131,2624
-0.161,8676
0.0172,4881
-0.0185,5826
0.0404,4493
-0.0619,6740
1.36,14
0.656,138
-0.0638,6798
0.0252,4403
0.00973,5242
-0.51,10561
-0.0786,6954
-0.101,7066
-0.118,7768
0.185,1027
-0.16,8730
-0.147,7713
-0.0659,8112
-0.616,10444
-0.266,8587
0.401,256
-0.225,10937
-0.115,8230
-0.0723,6646
0.261,542
0.0823,3738
0.12,1961
-0.068,7416
0.0793,415
-0.0317,9857
-0.0121,6821
-0.0208,8958
-0.0132,7936
2.83,360
0.262,991
0.0337,4353
-0.527,8384
-1.22,10291
-0.128,8291
-0.0909,7261
-0.312,7979
0.133,2982
-0.551,10398
-0.0983,8437
-0.256,9686
-0.915,9177
-0.0255,6072
-0.148,7802
-0.0027,5546
0.228,805
0.341,377
0.117,3650
-0.199,8561
-0.383,9457
0.0252,4595
-0.0621,6865
0.514,203
1.31,525
-0.00536,5225
-0.294,10100
-0.292,5917
0.313,572
0.00535,5426
0.44,562
-0.0305,6304
0.108,1988
0.211,319
-0.162,8459
-0.311,9811
0.197,1253
0.7,358
-0.113,8006
0.141,1281
0.0769,1605
0.11,2631
0.0917,2776
0.39,455
0.0287,4781
0.109,2825
-0.229,10358
0.0123,5014
0.115,3009
0.0518,4256
0.0967,2558
-0.0814,8422
0.108,2692
-0.0345,6244
0.265,222
0.205,2279
-0.3,8936
0.0794,3459
0.109,2146
1.98,237
0.106,2386
-0.0558,6028
-0.0204,5666
-0.0856,7960
0.231,1156
0.595,200
-0.0947,8934
-0.146,7266
-0.215,10200
-0.0914,8415
-0.000694,5271
-0.0106,5776
0.123,2513
-0.0907,7194
0.171,2918
0.0643,3189
0.0472,3582
0.668,862
-0.185,8611
-0.273,10773
0.135,2679
0.0522,3598
-0.0478,7439
-0.383,6250
-0.477,6898
0.0188,4706
-0.389,8574
0.0124,4787
0.0608,3024
0.561,346
0.204,880
-0.276,9633
-0.0817,9198
-0.171,10156
0.141,1469
-0.215,6709
-0.384,7539
-0.113,4993
0.0399,4426
0.267,1238
0.235,1220
-0.199,7147
-0.124,8569
0.0802,2687
0.0276,4785
-0.0223,5818
0.0278,4707
0.0186,4832
-0.128,8664
-0.0254,6146
0.125,2284
0.18,1457
0.519,280
-0.27,10793
-0.161,8039
0.16,2217
-0.128,8046
-0.114,8415
-0.652,10837
-0.311,9667
-0.268,10370
-0.124,7372
-0.24,10443
0.266,595
-0.0646,6723
-0.00515,5408
-0.00312,5263
0.0358,4200
-0.074,7777
-0.0365,7647
-0.25,10126
0.0576,4119
-0.133,7996
-0.112,10072
-0.239,9784
-0.00555,5783
-0.0551,5097
-0.202,8543
-0.156,7691
-0.158,7941
-0.0913,8978
-0.177,9077
0.302,2510
0.165,1802
-0.064,7130
0.0989,3899
0.164,983
0.42,222
-0.176,7642
0.176,1988
0.408,267
-0.17,8078
0.115,1168
0.035,4214
-0.245,8853
-0.102,8542
0.306,1355
0.746,286
-0.111,7233
-0.00565,5602
0.168,2061
-0.149,8541
-0.0276,6594
-0.351,10573
1.04,94
-0.0515,5950
-0.356,9752
-0.00214,5453
0.193,1542
0.0774,3469
0.468,875
-0.449,9984
1.39,640
0.071,2661
-0.0634,7303
-0.314,8692
0.0682,3637
0.447,924
-0.162,9611
-0.113,9415
-0.0886,8864
0.12,916
0.123,3185
0.0519,3438
-0.147,9731
-0.0233,6433
0.0915,2624
-0.0652,6968
-0.0817,7788
-0.423,10560
0.547,693
0.0272,4766
-0.00849,5822
-0.032,6245
0.293,963
-0.186,9079
-0.199,9008
0.0605,4186
-0.0471,6856
-0.246,9762
-0.289,9586
-0.114,7150
0.0655,3751
0.0314,4453
-0.436,10562
0.052,4133
0.00512,5268
-0.0155,5640
0.0866,2957
0.00253,5345
0.157,2766
0.414,2094
-0.507,10089
-0.168,9450
-0.0238,6269
-0.122,8811
0.0141,4724
-0.0408,6755
0.327,2351
0.0807,2684
-0.109,7683
0.0421,3416
-0.171,8573
-0.187,8537
-0.146,5855
-0.236,8891
0.0297,4691
-0.146,9282
-0.305,10203
-0.141,8514
0.267,1360
-0.103,6751
0.0125,4826
0.137,1776
-0.0342,5211
-0.0961,7788
-0.0356,6006
-0.425,10039
-0.149,9426
-0.0289,6262
0.131,3011
0.174,1813
0.0663,4096
0.246,2138
-0.297,10651
-0.235,10486
-0.0665,6993
-0.274,9690
-0.0263,6289
0.99,890
-0.131,10377
-0.287,10901
-0.252,9716
0.0944,3665
-0.272,8557
0.113,2803
-0.0855,7246
-0.141,7403
-0.275,9606
0.085,3182
0.00906,5119
0.237,924
0.0786,2793
-0.24,10644
-0.0422,6722
-0.1,8499
0.293,849
0.299,778
-0.13,9858
0.0521,3724
-0.0212,5712
0.188,1549
-0.0397,6642
0.0961,3430
0.256,510
-0.0403,7098
-0.162,6279
-0.0704,6611
-0.0702,6858
-0.371,10295
0.144,2134
0.0623,3629
0.543,196
0.258,551
-0.709,9168
-0.0412,6083
-0.111,8297
-0.166,9219
0.18,563
0.279,1604
-0.122,8763
-0.125,7939
-0.0401,6711
-0.502,10805
0.187,2202
0.00588,5338
-0.0949,8334
-0.104,9334
0.0811,3023
0.118,3016
-0.183,8103
0.0548,4034
0.0321,4311
0.0296,4452
-0.0683,7893
-0.177,10200
-0.0663,6285
-0.542,10292
0.0677,2681
-0.0111,5769
-0.376,10817
-0.016,5633
-0.245,8719
-0.318,10271
-0.041,5839
-0.102,7968
-0.103,7580
-0.0902,7325
0.426,1469
-0.287,9505
0.0722,3135
0.0416,3875
0.108,3354
0.0185,4933
0.538,55
-0.0681,6073
0.189,724
0.127,1360
0.0658,3784
0.284,1057
0.065,3903
-0.184,7038
-0.166,8696
-0.00884,5548
-0.0889,8317
0.518,166
-0.111,9034
-0.323,9479
-0.056,8295
-0.146,8230
-0.147,8211
-0.246,7748
0.216,3204
0.0125,5075
0.199,1352
0.0954,2060
-0.0674,7356
-0.181,10218
-0.2,6540
-0.115,6971
-0.163,10286
0.121,1840
0.216,2036
-0.161,7827
-0.0813,6769
-0.275,10803
0.106,1903
0.0534,3588
-0.347,10198
-0.026,6000
-0.0115,5653
0.0535,3976
-0.276,9990
-0.408,10660
-0.148,9122
0.165,1622
0.102,1285
-0.268,9844
0.0158,4873
0.11,3320
-0.136,8344
0.0552,4012
-0.0667,4519
0.568,220
-0.0655,8180
-0.0592,7425
0.0794,2962
-0.0455,6029
0.0193,4850
-0.248,8808
0.206,709
0.11,2171
0.23,2061
0.154,2476
-0.223,9507
0.122,3088
0.108,2750
0.00484,5361
-0.0557,6267
0.18,2638
-0.201,9793
0.134,1323
-0.335,10459
-0.0852,7100
0.355,681
-0.0868,7299
0.0246,4727
0.166,321
-0.13,9139
0.147,2358
0.107,2413
-0.341,10260
-0.0562,7273
-0.0311,6346
0.16,875
-0.09,8386
-0.294,8632
0.311,597
0.118,2126
-0.128,9167
-0.161,8504
-0.184,7296
0.303,877
-0.00121,5249
1.54,61
0.161,1502
-0.145,8728
-0.0873,7773
0.0138,5190
-0.183,9174
-0.161,8609
0.295,1338
0.0129,4882
0.114,2242
0.0142,4979
-0.373,9990
-0.0236,5233
-0.0707,6901
-0.0982,9525
-0.0447,6682
-0.195,9932
-0.0263,5670
0.196,1195
0.00633,4823
-0.119,9377
-0.09,8005
0.449,612
-0.021,4977
-0.298,8205
0.0837,3564
-0.0546,6823
0.037,4470
0.0637,2885
0.112,3474
-0.067,6657
-0.19,8740
-0.064,6874
-0.139,8955
-0.00903,5399
0.0597,3325
-0.158,7702
-0.18,10313
0.08,2211
0.0616,3565
-0.237,9252
-0.0927,7664
0.301,1682
-0.0363,7219
-0.15,9284
0.0217,4654
0.0791,3352
0.015,4980
-0.0454,5949
0.0575,4035
-0.223,7789
0.0453,4440
0.282,1231
0.18,2357
-0.177,5751
0.0974,3168
-0.221,8594
0.0248,4674
0.0714,3418
0.141,2804
0.0991,3779
-0.145,9393
-0.187,9323
0.0495,4060
0.157,3544
0.0156,4775
0.159,2381
-0.0912,9571
-0.196,10042
-0.0217,5505
0.039,4220
-0.405,10307
-0.262,10604
-0.0309,7191
-0.153,8248
0.144,2125
-0.233,8762
-0.142,9200
-0.031,6650
-0.105,8357
-0.249,9812
-0.207,10504
-0.108,8668
-0.0271,6382
-0.0822,8610
0.0587,3032
-0.198,10054
0.232,2239
-0.108,7053
0.268,125
0.0056,5168
0.115,2861
-0.174,9147
-0.0489,5913
-0.408,10204
-0.0717,6685
0.00341,5073
-0.0452,6934
-0.11,8572
-0.103,8471
0.101,3967
0.165,761
-0.0541,7194
-0.19,10403
0.268,1478
-0.0548,7150
-0.00431,4881
0.181,1780
-0.0439,7439
0.0925,2273
-0.0427,6435
0.0425,4451
-0.0319,5801
-0.12,7150
0.114,2799
-0.0804,8652
0.238,1555
-0.0958,8153
-0.0503,6320
-0.109,7323
-0.261,10583
-0.0987,9504
0.0961,2535
0.0196,4777
0.108,3175
-0.0427,6293
0.0633,2960
-0.0107,5841
-0.126,8204
0.334,289
0.166,2134
-0.15,8282
0.267,208
-0.221,10298
-0.33,10636
0.212,808
0.12,2226
0.102,3414
0.166,2073
0.00745,5141
0.0298,4561
0.803,473
-0.0198,6199
-0.0364,6112
0.0635,3114
1.43,1105
-0.445,10287
-0.436,8907
-0.302,6673
-0.197,10115
-0.122,7702
0.883,260
-0.167,9092
0.0509,3985
0.007,5226
-0.127,8338
0.111,1363
0.326,1051
-0.127,7152
-0.0745,6949
-0.117,6939
-0.0535,7059
-0.153,10108
-0.3,10299
-0.0983,7868
-0.203,8707
-0.0138,6110
-0.0837,6353
-0.111,8625
-0.325,9364
0.172,942
-0.0137,5311
0.151,1680
-0.0238,6545
0.107,2433
0.0572,3931
0.0271,4430
0.0227,5105
-0.158,6729
-0.00158,5335
-0.00744,5959
0.0276,4619
-0.0984,7981
0.579,647
-0.323,7312
0.136,1333
-0.0163,5828
-0.0865,7316
0.208,517
-0.232,9956
0.103,2857
0.0849,2859
0.081,2289
-0.00561,5726
