coef,rank
-0.231,8665
-0.32,10669
-0.142,9740
0.213,2347
-0.067,4567
2.07,46
0.374,1966
0.151,2029
-0.115,8967
0.0646,3665
0.256,1098
0.168,2460
-0.00935,5453
-0.0101,5749
0.107,2530
-0.418,10944
-0.382,9300
-0.689,10831
0.134,987
-0.0456,8112
0.159,1570
-0.0261,6161
-0.619,10880
-0.302,9318
0.318,319
0.112,2872
-0.0843,6554
-0.312,10321
-0.00244,5692
-0.511,9170
-0.385,10870
-0.148,9508
0.228,1598
-0.586,10773
-0.263,10087
0.718,73
0.245,673
-0.154,10391
0.151,1856
0.615,262
-0.624,11031
-0.128,7864
-0.12,9151
-0.00279,5621
0.102,3124
-0.0248,5852
-0.0214,5827
0.531,318
0.00375,5063
0.00903,4900
-0.045,6138
0.52,9
0.0301,4603
-0.229,9427
-0.0294,5629
0.00755,4904
0.173,1295
-0.127,7065
1.3,18
0.539,230
0.0338,3782
0.027,4694
-0.176,8512
-0.0564,6350
-0.0372,6852
-0.0332,6848
-0.169,9388
-0.0131,6026
-0.0904,8121
0.00629,5118
0.218,1154
-0.0602,5520
0.109,2218
0.198,917
0.212,1360
0.174,2380
0.163,3250
-0.182,10279
0.106,2479
-0.136,9508
0.0227,4997
-0.117,8326
0.0988,4088
0.0827,3960
-0.187,10648
-0.1,8565
-0.174,9634
0.499,392
0.0138,4746
-0.207,8379
0.127,1419
-0.0917,9429
0.0104,5032
0.28,882
0.123,3261
-0.0635,6334
0.503,204
0.0747,2865
0.176,2788
-0.0562,8029
-0.265,10429
0.0292,4609
0.0219,4716
-0.0289,6260
0.171,1260
-0.0136,5624
-0.201,8043
-0.0402,5997
-0.0986,7329
-0.183,9255
0.073,3629
-0.209,9937
-0.386,8577
-0.157,8010
0.013,5054
0.139,878
0.123,3248
-0.11,8484
-0.133,9862
0.393,420
0.183,1659
-0.039,6901
0.116,1749
0.0887,2398
0.403,840
0.0131,4806
0.00574,5120
0.0177,4916
-0.118,7734
-0.41,10974
0.268,1304
-0.124,7825
0.0299,4365
0.0569,3803
-0.166,8002
-0.134,9458
