coef,rank
-0.00536,5271
0.193,1660
0.127,1700
0.00164,5061
-0.29,6052
-0.914,10969
0.237,2858
0.0467,4167
0.0485,3470
0.176,1736
-0.388,10883
-0.12,7467
-0.0934,7884
0.0837,2330
-0.116,8771
0.0485,4353
-0.125,6430
-0.398,9268
-0.0859,9077
-0.0132,6356
-0.149,9190
0.153,1355
0.61,354
-0.293,9233
-0.0125,5736
0.518,92
-0.143,7557
0.108,3001
0.0496,3719
-0.289,7228
0.28,878
0.0599,3490
-0.0471,6401
0.647,459
0.0968,3170
-0.112,7287
-0.0822,7855
0.0725,2491
0.075,3322
0.885,41
0.0871,3498
-0.0276,5789
0.0177,4728
-0.0736,9241
0.4,292
0.00101,5136
0.184,2178
-0.139,7165
0.048,2933
0.00442,5150
0.0319,4666
-0.16,9598
0.0496,4231
0.263,1263
0.0717,3499
-0.194,10747
0.064,3317
0.245,1870
-0.323,9249
-0.0642,6210
0.196,233
0.0593,3605
0.0796,3861
0.104,3195
-0.0314,6617
0.0507,2996
0.136,2185
0.0492,3613
0.173,1414
0.143,1356
0.105,2843
0.517,1357
0.00641,4908
-0.0415,6554
-0.14,8809
-0.465,10903
-0.528,10633
0.149,1428
-0.0654,7220
-0.192,10394
-0.0705,7722
0.0612,3702
0.0896,4197
-0.434,10455
-0.0765,8377
0.0392,4053
0.0116,5184
0.0118,5127
-0.0158,5424
0.0506,4241
-0.0965,9067
-0.0721,8738
0.421,280
-0.45,10958
0.589,225
0.195,2249
-0.281,9998
0.112,1957
-0.329,9700
-0.0806,8848
0.306,506
0.332,576
-0.0151,5960
0.0978,2419
0.182,1117
0.0682,3866
0.194,2639
0.432,503
-0.288,10233
0.22,1284
-0.272,10129
-0.274,10582
-0.297,7644
-0.27,9656
0.0528,3600
0.0751,2459
-0.106,7347
0.121,2465
-0.145,10080
-0.0144,5674
0.00188,5339
0.228,205
0.0426,3855
0.097,2151
0.245,1926
1.06,122
-0.167,10347
-0.0804,7135
-0.103,7473
0.00418,5002
0.123,3080
-0.0609,6520
0.00191,5338
0.0892,2995
-0.0632,6239
0.168,1024
-0.339,6447
0.0435,4681
0.0188,4510
-0.0902,8143
0.73,97
-0.0614,7963
0.226,1932
-0.0127,5793
0.167,1750
-0.0612,7372
-0.314,9941
-0.0791,7193
0.014,5095
0.208,2170
0.0328,4311
-0.00756,5726
4.89,85
0.105,2948
0.0676,4311
0.023,4702
-0.0478,7043
-0.166,9368
0.0469,4511
0.212,1265
-0.0633,7139
-0.0377,6606
-0.0932,7662
0.101,1225
-0.0252,5810
-0.116,8389
-0.032,6528
-0.144,10021
0.123,2959
0.00825,5131
-0.0913,7492
-0.269,8902
-0.0432,6750
0.0667,2798
-0.0603,8797
0.321,159
-0.00215,5393
0.112,3211
-0.374,9213
0.114,1123
-0.153,9649
0.0554,4214
-0.164,9270
0.0603,3801
0.11,1550
0.0389,2927
0.00108,5265
-0.0208,6033
-0.141,7925
-0.0466,6894
-0.193,6852
0.114,2139
-0.0327,6545
0.0167,4689
0.14,1530
0.0135,4886
0.214,2265
0.373,69
0.189,2078
-0.255,10076
0.0178,4624
0.0951,3373
0.0835,2810
-0.108,6893
0.076,2376
-0.0772,7665
-0.168,8971
0.63,620
-0.145,8861
-0.0883,7369
0.0446,3834
0.0749,2471
0.0357,4268
-0.222,9357
-0.361,10612
-0.0845,6846
-0.0125,6289
-0.00207,5547
-0.186,9484
-0.132,8334
0.32,1163
-0.13,7199
0.0336,4612
-0.0186,6033
0.138,757
-0.299,10050
0.0419,4430
-0.157,9247
