coef,rank
0.0859,3906
0.0126,5031
-0.102,8827
-0.0489,5819
0.122,3493
1.25,329
-0.176,6936
-0.0962,7927
0.0329,4011
-0.282,10333
0.162,2151
0.244,1608
-0.0121,5545
0.0824,2361
0.00902,5262
0.112,3133
-0.475,10078
0.491,1297
0.16,630
-0.0509,8360
-0.123,8669
-0.106,8659
-0.225,8137
0.0801,4124
0.0319,4507
-0.191,9141
-0.287,9572
-0.262,9838
0.0203,4834
0.216,3177
0.151,2340
0.586,2
-0.0823,7127
-0.245,8181
-0.0958,7204
-0.255,9411
0.17,1536
0.0815,2189
-0.102,8002
-0.233,8743
0.279,935
0.106,3084
-0.0615,7447
-0.126,10586
-0.184,9133
0.0049,5022
0.149,2668
0.305,1317
0.0739,1997
-0.0242,6761
-0.14,7952
0.137,2223
-0.0818,6832
0.00261,5209
0.162,2094
-0.0189,6021
-0.0382,6247
-0.254,8985
-0.141,6986
-0.305,9921
0.0538,2975
-0.151,9997
0.183,2355
-0.228,9488
0.0237,4491
-0.091,9192
-0.0873,7623
0.00826,5170
0.0315,4534
0.0119,4904
0.17,1741
0.114,3877
0.0246,4365
-0.0857,7812
-0.0867,7642
0.539,204
0.873,136
0.0926,2627
0.147,1711
0.181,963
-0.12,8986
0.123,2436
0.269,2464
-0.203,8176
-2.37e-05,5520
0.0796,2832
-0.0603,7107
0.554,267
-0.0922,7260
-0.163,7753
0.0179,4705
0.0185,4501
0.317,693
-0.095,7336
-0.273,9361
0.213,2051
0.0128,4939
-0.0329,6496
-0.31,9491
-0.0238,6686
0.0871,3158
-0.239,9897
0.0547,3682
-0.0377,6566
0.199,924
-0.0131,5610
-0.115,6805
0.0533,4279
-0.166,8630
0.00442,5146
-0.303,10409
0.147,1955
-0.588,10117
7.51e-05,5256
0.0149,4987
-0.084,9009
0.234,1813
0.0468,4224
-0.0647,7854
0.179,2106
-0.0645,6997
0.0828,2285
-0.041,6981
-0.0276,6523
0.415,766
0.414,1560
0.0789,2565
0.0173,4927
0.221,1867
-0.167,8952
-0.118,7697
-0.0911,7149
-0.13,9443
-0.0574,7249
0.38,845
-0.0493,7047
-0.629,8408
0.879,179
-0.0563,7328
-0.0357,6539
-0.186,8418
0.119,1591
0.285,1405
-0.0491,6645
0.0589,3831
-0.0618,7384
0.195,2124
-0.0016,5292
0.0377,4252
0.539,291
-0.121,8873
-0.00161,5512
0.595,2391
0.0911,3207
-0.397,9664
0.0893,3317
-0.24,10781
0.11,2831
-0.00161,5306
0.108,2847
-0.0819,7643
0.0437,4060
-0.00875,5616
-0.032,7055
0.152,1955
-0.109,8245
-0.0706,7869
0.0657,2954
-0.00279,5585
-0.169,10199
0.0732,3754
0.875,102
0.231,357
-0.114,9158
-0.0399,7721
-0.0781,7533
-0.101,8674
-0.311,10473
0.362,2190
0.0164,4501
-0.194,10264
0.0657,4006
-0.118,8325
0.189,1412
0.0883,2071
-0.0117,5934
-0.0549,7258
0.0515,3911
-0.317,10301
-0.0202,6056
0.322,2292
-0.0648,7524
0.167,1142
0.0461,3119
0.0156,4750
0.327,608
0.178,2611
-0.11,8631
-0.251,9831
-0.0762,7025
-0.0565,7607
-0.0464,6075
0.165,1361
0.353,1405
0.0336,3860
-0.166,9594
0.0583,4103
0.285,2237
0.376,219
0.239,1419
-0.158,9756
-0.175,10634
0.235,771
0.0669,3967
0.179,2329
0.0913,3234
0.0914,1348
-0.00479,5627
-0.249,10285
-0.311,10614
0.354,962
-0.335,9914
0.225,1434
-0.0402,6871
0.0284,3961
-0.143,7921
-0.249,9108
0.276,727
0.062,3318
0.109,1690
0.0398,3845
0.0809,3578
0.0357,4728
0.0211,4921
0.215,2029
0.017,4492
0.252,927
0.115,2940
0.263,2092
0.155,2020
0.077,3700
-0.138,4590
-0.319,9247
0.196,1119
-0.114,8022
-0.342,10731
-0.0641,7665
0.0678,3837
0.279,1026
0.136,2133
-0.109,5977
0.0697,4183
0.00607,5059
-0.0684,8298
-0.0309,5664
0.1,3914
-0.0661,5956
0.0785,3861
-0.0397,6536
0.158,1395
-0.0746,7596
-0.168,9593
0.366,423
-0.0996,7688
-0.0831,7778
0.0054,5133
-0.0848,6286
0.0557,4009
-0.332,10900
-0.0743,6396
0.188,1637
-0.144,10604
0.00507,4950
0.0394,4205
0.285,1155
-0.0707,7139
0.0712,3391
-0.291,9981
0.155,2284
0.191,1657
-0.122,7848
-0.0606,7218
0.0422,4062
-0.0399,6392
-0.254,10186
-0.217,9148
-0.1,7054
-0.0481,6636
0.0104,5032
0.0103,5136
0.191,1788
-0.317,10073
0.25,1464
-0.136,7968
0.122,1448
-0.0629,7627
0.442,924
-0.236,10281
-0.116,7096
-0.318,9619
-0.283,10716
-0.0853,7950
-0.104,8171
-0.0995,7273
0.0347,4513
-0.266,8786
-0.0343,6775
-0.1,7187
0.0146,4894
-0.522,10826
-0.168,7764
-0.113,8668
