coef,rank
-0.266,9036
0.223,1310
-0.0149,6006
0.153,2960
-0.181,5285
-0.081,5280
0.398,1824
0.0486,4121
-0.111,8838
0.288,682
0.169,2057
-0.0275,5690
-0.0489,6629
0.186,480
0.266,458
0.147,2543
-0.217,7517
0.168,3265
-0.035,7068
0.0757,1891
0.269,465
0.134,1647
-0.169,7435
0.881,75
-0.0156,5834
-0.0251,5697
-0.0865,6593
-0.223,9328
-0.0537,7666
-0.485,8973
0.245,1177
0.365,83
-0.109,7684
0.659,441
0.105,3024
-0.344,10245
0.0602,3811
-0.212,10890
-0.0418,6473
-0.195,8200
-0.0536,6479
-0.222,9467
-0.138,9558
-0.0335,7368
0.0559,4080
-0.211,10102
-0.0805,7025
0.406,724
0.0474,2962
0.0555,2640
-0.0409,6071
-0.0531,7097
-0.159,8280
-0.256,9777
-0.000431,5003
-0.114,9450
0.109,2350
-0.319,9758
0.295,2095
-0.062,6162
-0.0895,9074
-0.273,10963
-0.252,9533
-0.165,8480
0.0354,4024
0.0668,2423
0.155,1874
0.016,4878
-0.00866,5748
0.137,1486
0.0641,3659
-0.511,9911
-0.0284,6066
0.0788,3021
0.283,732
-0.0727,6612
-0.0616,5922
0.285,224
-0.304,10920
-0.0347,6608
-0.00438,5804
0.171,1707
-0.288,8750
0.0578,4272
-0.146,10149
-0.0678,7581
-0.00332,5565
-0.3,9840
-0.145,8405
0.0488,4264
0.0103,5006
-0.0084,5854
0.284,901
-0.16,8615
0.578,240
-0.0604,6268
-0.269,9862
-0.11,8948
-0.322,9631
-0.0285,6899
0.131,2358
-0.153,8611
0.00415,5310
-0.058,7247
-0.0702,7275
-0.187,9222
0.155,3032
-0.15,7969
-0.0706,6770
-0.0915,7409
-0.183,8905
-0.252,10382
-0.0769,5486
0.0424,4491
0.232,365
0.0979,1779
0.0681,4126
0.0614,3821
0.033,4078
-0.204,9318
-0.256,10413
0.00574,5030
-0.0104,5788
0.0316,4298
0.0414,4601
0.825,329
0.022,4484
-0.348,10708
-0.456,10928
0.165,1771
-0.245,9753
-0.0383,6039
-0.151,9849
-0.0275,6386
-0.0409,5852
0.207,600
-0.481,7440
0.00833,5118
-0.0133,5690
0.0693,3262
0.197,2622
-0.0779,8540
0.214,2071
0.163,2164
-0.296,10685
-0.154,9573
-0.0892,6649
0.00697,5086
-0.218,10768
-0.322,10057
0.188,983
-0.0176,6138
0.214,3510
-0.142,8255
-0.4,9692
0.349,451
-0.101,8684
-0.028,6182
-0.182,8243
-0.0283,6090
-0.054,6906
0.0506,3868
-0.0418,6412
0.0644,2345
0.0735,3449
0.238,1184
0.0184,4721
0.136,1245
0.302,811
0.151,1237
0.0459,4317
0.117,3484
0.0143,4694
-0.139,9712
-0.000116,5341
0.179,1060
-0.0625,7454
0.155,2552
0.229,3096
0.00546,5016
-0.00142,5574
0.0673,3977
-0.118,8315
-0.186,9789
0.079,2315
-0.0512,8228
-0.0798,8079
0.211,968
-0.158,8227
-0.0851,8037
0.609,994
0.221,583
-0.000655,5440
0.0104,5005
0.389,31
-0.231,9743
-0.264,8743
-0.108,8575
-0.411,10881
0.147,2466
0.054,3329
-0.0484,6118
-0.175,9572
0.217,2536
-0.0456,7140
0.0917,2989
0.106,3130
-0.0378,5487
0.00116,5335
0.113,3096
0.202,777
0.089,2086
0.273,499
0.524,173
0.239,1694
-0.148,8175
0.0183,4544
0.549,1
-0.0399,6336
-0.0679,7003
-0.28,9497
0.0416,4411
-0.245,10077
0.0164,4656
0.00118,5224
-0.085,6895
-0.384,10336
-0.115,8412
0.0208,4698
0.171,613
0.115,1544
0.553,113
-0.321,10756
0.132,2777
-0.148,7784
-0.0252,6836
0.139,2255
-0.21,9403
-0.21,8355
-0.0672,6494
-0.316,10231
-0.626,9062
0.0356,4745
0.0872,3012
-0.107,7860
-0.139,8477
0.262,240
0.187,1657
-0.0751,7048
0.117,2479
-0.864,9797
-0.17,8021
0.00152,5258
0.0426,3617
0.797,144
-0.306,9206
0.173,2937
-0.264,7529
-0.0675,7342
0.0879,2735
-0.0681,7426
0.0564,3822
0.0362,4745
-0.045,6446
-0.128,8881
0.365,303
-0.0033,5038
0.111,2757
0.0595,4026
0.166,2548
0.159,2063
0.021,4426
-0.156,9261
0.154,2094
0.219,1819
0.379,154
-0.084,7373
-0.193,8708
0.145,2441
-0.0697,6866
-0.189,8925
-0.227,10387
-0.275,10761
