coef,rank
0.0895,3859
0.31,598
-0.173,10259
-0.0727,6204
-0.805,9207
-0.113,5588
-0.24,7653
-0.0475,6711
-0.21,10609
0.099,2973
0.234,1308
0.426,475
0.0377,4087
-0.133,9872
-0.232,10550
-0.0256,6027
-0.186,7133
-0.211,7151
-0.0423,7361
0.0359,3690
0.0155,4858
-0.106,8656
-0.359,9624
0.293,1808
-0.0186,5912
0.0326,4411
-0.135,7417
0.00353,4998
0.299,110
-0.154,5902
0.147,2396
-0.119,8862
-0.217,9577
-0.248,8214
0.259,1056
-0.252,9361
0.186,1324
-0.015,5958
-0.166,9399
0.736,108
0.158,2319
-0.0213,5644
0.0488,3716
0.0437,3013
-0.0898,7304
-0.00977,5454
-0.272,10017
0.219,2007
-0.032,6970
-0.0431,7748
0.115,3275
0.194,1299
-0.0619,6443
-0.00671,5392
-0.0975,7114
0.0849,2192
0.159,1498
-0.202,8261
-0.313,9148
0.0707,3904
-0.0217,6332
0.0681,3381
0.0881,3714
-0.137,7972
-0.0599,7714
-0.0597,8060
-0.165,9319
0.153,998
0.258,556
-0.133,9448
-0.146,8781
-0.13,6293
-0.0486,6697
-0.151,9405
0.00271,5411
0.432,483
-0.0731,6069
0.0449,4002
0.0016,5261
0.0909,2669
0.0186,5123
0.23,1049
1.17,44
-0.366,10019
0.104,1972
0.219,527
-0.0198,6024
0.00726,5208
0.366,302
-0.205,8354
0.22,308
0.0474,3176
-0.0124,5531
-0.129,8046
0.164,2713
0.237,1817
0.525,166
-0.136,9552
0.663,259
0.138,1070
-0.222,9995
-0.266,10229
-0.109,8866
-0.22,10597
-0.183,9907
-0.163,8819
-0.238,8532
-0.484,10888
-0.00896,5431
0.0381,4415
0.121,2771
0.157,1791
0.0337,4536
0.237,1872
-0.148,9977
0.0143,4866
0.325,1027
0.143,2070
-0.162,10350
0.348,618
0.000642,5361
0.0476,3413
-0.168,10283
-0.0996,8922
-0.257,9207
0.491,1219
-0.243,10912
0.238,1190
0.239,1681
0.129,2340
0.0502,4357
-0.132,7974
0.0798,2772
-0.142,9331
-0.125,7323
0.0682,3015
-1.49,10902
0.627,614
0.128,1409
-0.0729,7634
0.139,3342
-0.13,9914
-0.101,7091
-0.156,8912
-0.0903,7617
-0.0917,8185
-0.0342,5636
-0.278,10443
-0.0326,6778
-0.135,7556
0.105,2345
0.076,2784
0.0487,4234
0.0584,3831
-0.568,10666
0.0624,3849
0.1,2448
-0.154,9187
0.0267,4807
0.153,2075
0.219,1088
0.263,445
0.155,2228
0.0768,1893
0.0945,2999
-0.0596,7099
0.148,1314
0.186,574
-0.142,8589
0.137,1508
-0.229,9959
-0.345,9721
-0.0443,6793
-0.111,9087
-0.139,10794
-0.179,9859
-0.0292,6324
0.0723,3902
-0.491,10128
0.0236,4186
0.414,37
0.422,271
0.0231,4682
0.102,2925
0.131,1153
0.04,2880
-0.197,10437
-0.158,9566
0.222,1701
0.062,3479
0.3,2436
-0.0857,8094
0.335,98
-0.00362,5805
0.0648,3253
0.124,2680
-0.306,9290
-0.0183,5989
0.12,3064
-0.173,8921
-0.192,10626
0.0548,4076
-0.0753,7172
-0.0702,6341
0.0354,3788
-0.183,9890
-0.0318,6102
0.415,1382
-0.435,11011
-0.315,10552
0.434,21
-0.168,10565
-0.113,8439
-0.11,7454
0.00717,5123
0.23,1346
0.0103,4986
-0.0206,6198
-0.0872,7499
