coef,rank
-0.0134,5386
-0.0468,6462
0.123,1807
0.00429,5010
-0.297,6085
0.695,1266
-0.102,6107
0.0168,4944
-0.124,9173
0.0463,4023
0.0953,3175
-0.446,10842
-0.201,10038
-0.0509,7388
-0.062,7373
-0.219,9744
0.00828,4924
-0.217,7230
0.0582,3000
-0.0472,8179
-0.0229,5980
-0.00266,5347
-0.278,8777
0.617,379
-0.116,8484
0.0402,4246
-0.0765,6417
0.148,2422
-0.0179,6318
0.568,1586
0.427,231
-0.0538,7072
-0.27,10218
-0.003,5027
0.0383,4290
0.237,1860
0.187,1306
-0.133,10041
0.12,2412
-0.083,6403
0.264,1068
0.073,3714
0.00331,5220
0.0527,2619
0.106,3048
-0.0979,7846
-0.184,8820
-0.471,10761
-0.0526,7912
0.0878,1506
0.198,2097
0.222,968
-0.132,7807
0.17,2252
0.0256,4432
0.0309,3987
-0.102,8028
0.299,1439
0.143,3434
0.0742,3845
-0.0124,5895
-0.0902,8626
0.254,1565
-0.337,10535
-0.0611,7747
0.0268,3995
0.125,2390
-0.187,10625
0.0394,4330
0.0869,2577
0.0773,3355
0.152,3579
0.148,1471
0.0251,4543
0.255,950
-0.184,8586
0.179,3084
0.0501,3841
-0.118,8665
0.0777,3014
0.211,1016
0.129,2349
-0.289,8758
0.125,3398
0.215,365
0.0755,2959
-0.166,9480
0.304,1362
-0.296,10481
-0.146,7497
-0.0405,7121
-0.203,10953
0.0975,3273
0.289,832
-0.37,10290
0.0986,3484
-0.272,9897
-0.118,9148
1.16,10
-0.00259,5739
0.248,884
0.133,2651
0.0086,5158
-0.00237,5347
-0.0387,6384
-0.157,8696
1.15,7
-0.032,5836
0.545,120
0.119,2702
-0.0239,5660
0.154,1833
-0.574,10038
0.171,2653
-0.0659,7919
-0.0154,6260
-0.0231,5820
-0.137,9090
-0.118,9477
0.105,3250
0.151,2157
0.0786,2430
0.139,1275
-0.0181,6159
-0.0544,6130
-0.203,7372
-0.0774,8196
0.0226,4781
0.0461,4553
-0.229,9911
-0.177,8785
0.201,1992
0.0197,4706
0.205,1020
0.395,745
0.0552,3427
0.141,3554
-0.33,9101
0.12,1575
-0.0884,8094
-0.119,7431
0.0331,4258
-0.206,8794
0.000578,5468
-0.17,9352
0.135,2107
0.62,107
-0.207,9666
0.0838,2844
0.205,2200
0.0364,4187
-0.0705,8064
-0.575,7490
0.297,723
-0.0811,6090
0.0224,4722
0.188,902
0.117,2674
0.241,1960
0.121,2615
0.0488,4116
-0.194,10188
-0.0915,7619
-0.124,10333
-0.155,8932
-0.12,8468
0.0318,4268
-0.0153,5951
0.143,2627
0.0349,4164
-0.195,9513
-0.367,9926
-0.0693,7681
-0.0502,7063
0.0388,3114
-0.116,8566
0.205,567
0.0891,3597
-0.525,10306
-0.0974,9479
-0.0148,6032
0.108,3179
0.0133,4944
-0.22,10221
0.0415,3530
-0.0722,9251
0.0201,4697
-0.0889,8003
0.158,2457
0.134,1778
0.083,4085
-0.0356,6559
0.178,1011
-0.00835,6065
-0.0643,7344
-0.0552,6430
-0.168,7441
-0.272,10852
0.35,720
0.237,1319
0.126,1452
-0.0262,5667
0.0755,2992
0.0434,4658
0.0125,4710
0.181,1366
0.38,321
-0.0046,5107
-0.0988,7869
0.00611,5292
-0.0148,5765
0.121,1318
-0.148,9212
-0.0532,6331
0.154,2666
-0.0173,5373
0.252,13
0.0737,3174
-0.0431,6419
0.615,46
-0.095,6649
0.108,3473
0.104,3172
-0.149,10068
-0.0663,8311
-0.0656,6515
0.149,3009
0.235,1063
0.127,1651
-0.119,9757
0.0793,2493
-0.206,9608
0.0311,4836
0.106,3225
0.147,2843
0.016,4543
0.196,1497
-0.0406,6097
-0.43,10388
0.212,1317
-0.159,8161
1.6,572
0.0247,4871
-0.173,9837
-0.0619,6720
-0.0817,7279
0.0169,4640
-0.2,9815
0.186,2041
-0.183,9685
-0.584,8663
-0.265,9318
0.234,212
-0.0294,6720
-0.355,9940
0.243,2442
0.634,342
-0.0156,4723
0.0693,3490
-0.0357,6329
-0.152,9450
-0.115,8619
0.171,2138
0.201,1655
-0.00372,5515
-0.335,10812
-0.45,10509
0.189,1418
-0.275,10653
-0.141,7579
-0.00699,5743
0.0424,3404
0.0645,3381
0.0581,3787
-0.191,9029
0.0413,4145
-0.404,10996
0.0359,4417
0.277,869
0.0225,4728
-0.0286,6017
0.114,2422
0.0726,3240
-0.0876,7357
-0.0978,7517
-0.116,7486
0.0461,4234
-0.144,8864
-0.0333,7014
-0.259,10572
0.222,1449
0.0826,3868
-0.14,8034
-0.0272,5812
-0.0919,9212
0.228,376
0.172,2968
-0.103,7906
0.144,2995
0.029,4429
0.00362,5193
0.167,1169
-0.116,8494
0.251,1146
-0.0361,6250
-0.0522,5687
0.0815,1941
-0.0604,6391
-0.0364,6466
-0.528,10839
-0.261,9147
-0.0324,6118
-0.177,10549
0.0882,2880
-0.0369,6549
-0.191,7582
-0.199,8664
-0.136,8227
-0.208,8669
-0.269,9358
0.0348,4695
-0.0559,6926
-0.0799,6527
0.21,3091
-0.00255,5426
0.0778,3356
0.0848,2798
-0.0785,7171
0.102,1612
0.135,3431
-0.0416,7051
-0.126,9185
-0.0444,6036
0.11,3254
-0.11,8543
-0.422,10120
0.113,1920
-0.0153,5989
-0.106,8801
-0.0646,7470
-0.0883,7914
0.0274,4627
-0.0532,7330
-0.171,7706
-0.344,9798
0.146,619
0.0434,3443
-0.00364,5188
0.298,188
-0.153,9103
2.19,169
0.917,361
-0.312,5523
1.34,470
0.337,1787
-0.664,10227
0.169,2598
-0.171,8777
-0.112,8236
0.085,3076
0.0763,2105
-0.0951,9545
0.983,1034
-0.185,8787
-0.0983,7209
-0.255,9742
0.0945,3349
-0.00353,5575
0.304,1772
-0.0563,6601
0.00444,5488
0.00653,5085
0.0281,4703
-0.216,10628
0.0762,3649
-0.0147,5296
0.0212,4710
-0.0898,6072
-0.293,10464
0.0844,2634
0.342,1118
-0.0557,8113
-0.121,7733
0.107,4008
0.178,1175
-0.0177,5851
0.308,293
0.297,763
-0.362,8759
0.0728,3740
-0.183,10240
0.087,2883
0.151,2140
-0.391,10160
0.0534,4088
-0.479,10560
-0.132,8356
-0.0892,8378
-0.00848,5312
-0.0733,7530
-0.263,9951
0.156,1850
0.014,4870
0.0181,4710
-0.075,7250
0.00968,4894
0.0176,4939
-0.351,8829
-0.0238,7864
0.186,999
-0.349,10706
-0.482,10886
-0.0716,6729
0.0347,4487
-0.177,10438
-0.0299,7298
0.0923,50
-0.119,8106
-0.237,8188
-0.14,8681
0.0617,4262
0.0561,2964
-0.0853,6859
-0.131,7913
0.0451,4160
-0.458,10072
-0.103,7504
0.0836,2669
-0.0567,6497
0.00783,5121
-0.164,8354
0.103,3154
-0.0646,7610
0.113,2192
0.112,3055
-0.129,8342
0.346,788
0.191,1034
-0.141,7618
0.0989,2544
0.304,15
-0.522,8469
-0.407,10115
-0.0754,6687
0.269,2180
0.0923,2401
-0.00187,5559
0.449,489
-0.0807,5871
-0.279,9717
0.0866,3976
0.0337,4444
0.119,3480
-0.325,9931
0.115,2397
-0.44,10514
-0.0295,6115
-0.102,9477
0.175,340
0.144,2631
-0.291,10322
0.0477,4303
-0.227,10506
-0.111,9195
-0.267,9369
0.139,2928
-0.216,8880
0.0794,3950
0.924,10
0.155,1852
-0.138,9355
0.128,2924
0.0955,3170
-0.0948,8380
-0.0943,7794
-0.207,9976
0.356,307
0.0287,4279
-0.241,8861
0.0783,2910
0.0272,4754
0.0799,2594
-0.335,9759
-0.0383,6792
-0.345,10614
-0.428,10667
0.00948,5024
-0.0327,6456
-0.28,10976
-0.183,9970
-0.0625,7445
-0.211,9968
0.207,1157
-0.154,11033
0.113,2691
0.198,627
-0.218,8045
0.273,2168
-0.0526,7291
-0.149,9524
0.106,2088
-0.26,10303
-0.402,10894
-0.314,8380
0.475,50
0.0928,1443
0.466,0
0.156,3186
0.0106,5260
0.182,3080
-0.0906,7091
-0.0613,5987
0.116,1600
0.017,4750
0.119,3794
0.156,3440
-0.304,9141
0.169,573
0.263,245
