coef,rank
-0.119,7023
0.218,1366
-0.131,9538
-0.29,9221
-0.655,8408
0.304,2903
-0.311,8395
-0.0948,7889
-0.068,7548
-0.201,9316
-0.125,7886
0.14,2848
0.2,1032
0.115,1529
-0.161,9657
0.125,2882
0.802,348
-0.218,7245
-0.107,9643
0.0311,3944
-0.0724,7365
-0.126,9193
0.056,4205
0.35,1428
0.194,1247
0.343,515
-0.429,10650
-0.0806,6727
0.0221,4765
0.072,4031
-0.0871,7289
0.0565,3584
0.129,2903
0.187,2899
-0.21,9368
0.0264,4814
0.102,2784
0.0315,3981
0.28,522
-0.0123,5213
0.0823,3591
-0.277,10101
-0.0779,8001
-0.122,10530
0.333,565
0.128,2133
-0.141,8142
0.155,2676
-0.11,9908
-0.0605,8572
-0.000455,5283
0.157,1857
-0.0451,6140
0.112,3140
0.0437,4051
0.0342,3868
-0.0385,6257
0.0147,4737
-0.239,8275
-0.209,8714
-0.0108,5808
-0.0333,6805
0.000243,5233
0.156,2395
0.0199,4647
0.0654,2468
0.0346,4400
0.00472,5311
0.205,1005
0.0954,2351
0.00694,5049
1.15,141
5.26e-08,5141
0.118,2167
0.275,792
0.574,155
-0.348,9410
-0.0381,6831
0.0704,3300
0.146,1477
0.126,2338
-0.0293,6081
-0.167,7342
-0.227,8508
-0.0221,6376
0.0304,4302
0.0233,4881
0.0954,3797
-0.144,8404
0.475,521
0.0799,2576
-0.000495,5433
0.00404,5184
-0.219,9554
-0.146,7539
-0.312,10093
-0.0212,5605
0.0772,2811
-0.0532,5847
-0.134,10167
0.105,2813
-0.0264,5927
0.0106,5086
-0.196,10381
0.252,508
-0.151,8575
-0.0743,6201
-0.154,8037
-0.287,10225
-0.143,8501
0.181,1934
-0.0134,5573
-0.129,5979
0.0518,4329
-0.0495,7357
0.132,984
0.479,333
-0.0845,7878
-0.163,10354
-0.0386,6157
0.151,2150
-0.064,7894
-0.0502,7340
-0.152,10084
-0.288,9557
0.899,244
-0.0231,6231
0.201,1616
0.773,21
0.0902,3077
-0.247,9780
0.138,2749
-0.125,9331
0.259,507
0.192,2329
0.0515,3552
-1.12,10450
0.282,2292
-0.13,9489
-0.171,9880
0.171,2928
-0.0813,8656
0.111,3403
-0.203,9700
0.119,2552
-0.182,10029
-0.0727,6302
0.087,3362
-0.121,9396
-0.387,10524
-0.0627,7343
0.0551,3442
-0.335,6170
0.262,973
0.13,3643
-0.178,9072
-0.0184,6065
0.142,2223
-0.184,8262
0.0972,3065
-0.0144,5808
-0.303,10929
0.076,3722
0.104,1144
-0.00821,5374
-0.164,9283
0.315,79
0.0474,3554
-0.028,6184
-0.0181,6078
-0.0138,5673
-0.155,7291
-0.0713,7741
-0.0595,7416
-0.00433,5609
-0.0974,8061
-0.064,7504
0.185,2121
-0.0696,5986
0.0277,4027
-0.126,9146
-0.0437,6480
0.275,645
-0.165,9414
0.0734,2500
-0.0477,8056
-0.0567,7313
-0.209,10312
-0.333,10426
0.13,1862
-0.397,9031
0.0192,4697
0.0445,3947
-0.0573,8653
0.0561,3492
0.366,415
0.0594,4012
-0.103,8439
0.255,1389
0.0357,4505
-0.237,10903
0.222,1656
0.0348,4033
-0.0922,6656
0.19,405
0.0476,4098
0.168,2053
-0.183,7246
0.25,891
0.0921,3499
-0.0357,6435
-0.0333,6760
0.132,2123
-0.155,8274
-0.102,7242
0.342,563
0.000525,5567
-0.269,10896
-0.0284,6006
-0.178,9194
0.267,1529
-0.00586,5141
-0.0337,6165
-0.0614,7684
0.0199,4362
0.146,2776
0.0895,3777
-0.12,8513
0.0837,2718
0.0321,4156
-0.0565,7837
-0.228,9899
-0.0432,6645
-0.0352,6194
0.00123,5173
-0.00835,5926
-0.118,7996
-0.135,8081
0.407,1097
-0.0886,6996
-0.319,10258
2.07,264
0.743,369
-0.0622,7243
-0.285,10558
-0.327,10669
0.156,1136
-0.105,8085
-0.0418,6329
-0.11,8242
-0.342,7353
0.0613,4298
0.0334,4033
0.0823,2240
0.223,2485
-0.259,8638
-0.562,10783
-0.0897,5541
0.403,94
-0.0303,6148
0.0167,4900
-0.0395,6599
-0.193,9497
-0.123,8210
-0.178,9848
0.272,772
-0.0733,6124
0.052,4108
-0.0452,6697
-0.353,10350
-0.101,8124
0.0768,2051
-0.0159,5556
0.0369,4259
0.124,3133
0.406,101
0.194,1324
0.055,4024
0.00693,5265
-0.0786,7066
-0.183,8854
-0.127,8884
-0.133,8883
-0.304,10372
-0.208,9604
-0.0118,5526
-0.0237,5530
0.0108,5115
-0.105,9439
0.125,2400
0.27,978
-0.157,8003
0.0556,4266
-0.265,9924
-0.0157,6243
-0.212,10669
-0.414,10355
-0.0389,6217
-0.255,9155
-0.214,8344
0.0629,3621
0.048,3722
0.0443,4047
-0.153,8329
0.546,45
-0.132,6824
-0.0875,8862
-0.00586,5275
-0.0464,6756
0.0368,4648
-0.103,6661
-0.0129,5439
0.145,966
0.181,1258
-0.129,8825
-0.206,7761
-0.221,8958
0.169,2299
-0.0259,5567
-0.214,8593
-0.0972,6997
-0.135,8774
-0.156,7857
-0.0152,5306
0.0425,3633
0.223,987
-0.0474,6762
0.131,2209
-0.0808,8515
0.19,2834
-0.0457,7236
-0.218,10562
-0.144,7825
-0.331,10198
0.261,428
-0.262,8424
-0.0165,5804
0.0759,2757
-0.165,10044
-0.0468,6934
0.3,383
-0.234,9319
-0.0561,7434
0.263,2059
-0.323,9572
0.101,1458
-0.0102,5838
0.0027,5060
0.0394,4006
-0.164,9320
0.081,4060
-0.399,8837
-0.182,4610
-0.542,8838
0.199,2926
-0.26,7102
0.354,960
0.209,1802
0.108,2797
-0.113,7947
-0.178,10811
-0.16,10741
-0.303,6771
-0.0326,5939
0.256,1246
-0.295,10144
0.161,2190
0.117,1363
0.859,185
0.202,1712
0.215,1131
-0.317,10666
-0.235,9170
-0.0497,7040
0.325,538
-0.195,8338
-0.121,7144
0.201,3189
-0.494,11021
0.125,1723
-0.222,8534
0.207,108
0.144,2590
-0.464,10093
-0.113,8691
-0.0283,6179
-0.0345,6246
0.0828,3447
-0.0943,5723
0.163,2291
0.00306,5079
0.158,1521
-0.0309,6253
0.0442,4529
-0.0546,6678
-0.0288,5339
0.12,2595
0.169,953
0.0361,4711
0.098,2770
-0.136,8052
-0.0426,6416
0.429,60
-0.0124,5671
0.152,2316
0.192,1898
0.047,4386
1.45,48
0.0462,1601
0.113,2130
-0.16,8648
0.463,622
-0.405,10865
0.257,1379
0.0605,3316
0.0762,1314
0.0101,4276
0.174,1715
-0.0301,5581
-0.192,9629
-0.245,8302
-0.00872,5751
-0.133,7796
-0.048,6161
-0.0994,7100
-0.138,6609
0.187,2120
-0.11,9128
0.113,2527
0.115,3312
0.0866,3569
-0.173,9325
-0.195,10627
-0.0471,7112
-0.237,10030
0.381,230
0.0809,3808
0.177,1219
-0.497,10892
0.0697,3311
-0.0337,6939
-0.126,4299
0.0734,4341
0.00571,5109
-0.383,9810
-0.0289,6444
-0.308,10523
-0.168,8375
-0.276,8328
-0.16,8101
0.174,2955
0.143,1829
0.541,467
-0.137,7556
0.493,21
0.349,1305
-0.0891,7558
-0.167,10634
-0.126,10211
0.164,2332
-0.033,6005
0.0365,4576
-0.0809,7740
0.188,553
-0.234,8953
0.193,2195
0.276,1517
-0.0813,7615
0.0905,3741
-0.26,10504
-0.224,10578
0.0559,4138
-0.18,8819
-0.0814,7980
-0.134,8670
0.0599,3541
-0.0217,6089
-0.108,8210
0.669,317
-0.226,10381
0.00519,5355
0.0719,2854
-0.0118,5071
-0.158,9987
-0.204,9162
-0.0744,6406
-0.129,8788
-0.0609,7391
-0.0704,7914
0.201,813
-0.00838,5652
-0.128,8592
0.211,1100
-0.0736,10606
-0.058,7145
-0.0755,8096
-0.108,6486
-0.44,9938
-0.167,10016
-0.0232,6042
-0.0643,7738
0.157,2004
0.161,2035
-0.355,8809
-0.11,7966
0.00994,4679
0.0581,3095
-0.283,8759
0.259,1014
-0.345,8898
-0.173,8580
0.788,39
-0.102,9234
0.431,1517
0.479,1289
-0.0239,5528
-0.0412,5731
0.01,4758
-0.0338,6655
0.00213,5363
-0.13,9280
-0.103,6794
0.0393,4292
0.163,874
-0.0498,6626
0.404,2062
-0.405,10470
0.41,988
-0.391,8227
-0.011,5655
-0.145,9227
-0.125,7866
-0.156,8989
-0.0949,7753
-0.0481,6136
0.0491,3562
0.101,1381
-0.395,7970
0.0756,4129
-0.486,9053
-0.0501,5399
0.363,77
0.416,680
0.125,1975
-0.0735,6797
-0.126,7887
0.0985,2992
-0.0398,6306
-0.0376,6152
-0.0283,6259
0.0431,4262
-0.104,6237
0.238,3327
-0.0956,8061
0.343,610
-0.236,9804
0.019,4515
-0.124,8021
-0.0448,6165
-0.109,8096
-0.128,7778
0.269,624
-0.0353,6315
-0.0181,5530
0.325,595
-0.0274,6383
-0.141,9513
0.0417,4340
0.0973,2791
0.142,2994
0.189,541
-0.00426,5598
-0.0891,6934
-0.0503,6547
0.411,252
-0.0669,6751
-0.231,9880
-0.0371,6431
-0.0763,8480
0.593,647
-0.0122,5499
-0.113,7206
0.0927,4283
-0.124,8978
-0.22,10211
0.451,723
0.00356,5295
0.104,2142
-0.266,10200
-0.18,10147
-0.0349,6465
0.0414,4425
0.189,715
-0.0598,5990
-0.192,8056
-0.00613,5757
0.193,1840
0.523,245
-0.0714,7227
-0.175,8773
0.0137,5027
-0.161,9413
0.221,803
0.00359,5289
-0.198,8395
0.0642,3839
-0.00365,5452
-0.195,10048
0.073,2922
0.0512,4250
0.0322,3938
-0.182,7520
-0.0142,4700
0.131,2072
-0.0398,6735
-0.0802,7151
0.277,440
-0.292,9499
-0.0262,5855
0.114,2363
0.136,1457
-0.0199,6305
-0.115,8777
-0.0779,7570
-0.101,7926
0.172,1140
-0.11,7172
-0.0641,7588
0.117,3510
0.866,744
-0.146,9657
-0.0287,6529
0.0715,2419
-0.117,9251
0.391,601
0.087,3494
-0.179,10547
-0.114,10266
0.445,17
-0.132,7521
0.415,578
0.345,928
-0.106,7703
0.145,2315
-0.0263,5681
-0.126,8360
-0.254,9037
0.255,575
-0.13,9746
-0.0696,7468
-0.564,7706
0.0544,3693
-0.168,7503
0.304,1147
0.019,4879
-0.313,9133
0.242,3364
-0.542,7119
0.13,3588
-0.109,6066
-0.278,9309
-0.0408,6250
-0.0977,8604
0.0402,4535
-0.0411,7054
-0.0267,7060
0.301,1179
-0.262,8743
-0.0726,5734
0.0502,3809
0.158,1647
-0.0348,6606
-0.115,7557
-0.104,8107
-0.109,7112
-0.0575,7206
0.0952,3132
0.232,1187
0.0206,4445
0.3,1120
-0.0393,6350
-0.323,10199
0.173,883
-0.103,8829
-0.128,7076
0.101,2422
0.00101,5433
0.392,787
-0.16,9857
0.0832,3685
-0.186,9237
-0.418,9267
0.155,2142
-0.0985,7076
0.09,2901
0.159,1569
-0.235,9243
0.41,295
-0.2,8851
-0.172,8093
-0.0928,7058
-0.0851,7621
0.0174,5049
0.64,947
-0.383,10593
0.0602,4167
-0.104,8006
-0.0887,7813
-0.178,10352
-0.0822,7351
-0.206,6974
0.0665,3474
-0.166,9854
0.0918,1935
-0.0429,7081
0.344,611
0.0724,2107
0.067,4366
0.19,1426
-0.0889,8714
0.798,119
-0.199,8965
-0.258,9897
-0.0127,5631
-0.0702,6872
-0.134,9522
0.344,1167
-0.443,10643
0.688,1261
0.103,3818
-0.106,9021
-0.191,9589
-0.044,6154
-0.174,9898
0.0477,4192
-0.0147,5218
0.039,4309
-0.00448,5527
0.0387,4400
-0.057,7110
-0.332,8503
-0.119,5478
0.000241,5467
0.094,2175
-0.148,9274
0.124,2346
0.14,2387
-0.241,8931
-0.0295,6397
-0.137,8953
-0.0871,7352
-0.681,10996
-0.0649,7004
0.0753,2973
-0.0456,7078
0.000201,5311
-0.254,10525
-0.189,8411
0.034,3993
-0.216,9834
-0.343,10227
-0.109,9168
0.103,3046
-0.112,7617
-0.144,8383
0.158,3222
-0.0305,6095
-0.0687,6767
-0.137,8520
-0.0857,6234
-0.175,8079
-0.174,9203
-0.135,9731
-0.0504,6120
0.00936,4864
0.0124,5178
-0.117,7344
0.0456,4413
0.0357,4307
0.224,1333
-0.0602,6259
0.0313,4221
-0.0492,5366
-0.141,7092
0.24,1203
-0.00146,5685
0.209,1510
-0.313,10208
-0.0451,6645
0.336,1199
-0.167,9956
0.00129,5305
-0.0346,8786
0.0121,3193
-0.0222,7994
0.00234,4898
0.0112,3435
0.616,2358
-0.109,7817
-0.159,5998
-0.165,5326
-0.458,7005
-0.105,7772
-0.105,7560
-0.147,6149
-0.093,7153
-0.0404,5494
0.259,409
-0.124,7597
4.38,110
0.293,579
-0.0283,5715
0.0438,3117
0.212,961
-0.051,6505
0.0907,4016
-0.265,9476
0.176,3257
0.431,479
0.0267,4510
0.381,554
0.2,3305
-0.154,7522
-0.0643,6564
-0.151,5136
0.197,1614
-0.117,8721
0.0625,4170
-0.215,10100
0.00817,5370
-0.0786,8274
0.185,2322
-0.0394,5791
0.0272,4661
-0.434,10102
0.0343,4590
0.107,1951
-0.0204,6803
-0.0301,5897
0.095,2693
0.059,4326
-0.114,7046
-0.225,9735
0.00633,5017
0.445,362
0.0511,4356
-0.0807,7327
0.117,2082
-0.0612,7783
0.359,188
-0.0319,6169
0.0992,2267
-0.326,9870
-0.143,6937
0.398,233
-0.248,10651
1.75,352
-0.0134,5801
-0.204,8637
-0.24,9647
0.0663,3484
0.148,2185
0.289,1413
-0.0828,8586
0.104,3515
-0.203,10049
-0.0641,7528
-0.0529,7014
-0.162,9704
0.332,381
0.0106,4921
-0.0106,5298
-0.162,10392
0.145,1058
0.526,1372
-0.0999,7143
0.136,2047
-0.205,9427
-0.0809,7678
-0.0628,7969
3.8,193
-0.466,6839
-0.00704,5574
-0.422,8894
-0.331,10820
-0.135,10190
-0.134,7356
-0.0916,7977
-0.229,9061
0.0747,2268
-0.248,10825
-0.134,9390
0.214,3325
0.715,1799
-0.409,7141
-0.231,9082
-0.291,10248
-0.273,10374
0.203,2948
0.00615,5304
-0.15,9718
-0.0283,6377
-0.22,10243
0.0269,4734
-0.289,10382
0.0565,3937
-0.0741,7443
-0.168,9625
0.0957,2902
-0.254,9412
-0.184,9972
-0.0449,5969
0.0925,3285
-0.0147,5463
0.126,2754
0.123,3812
-0.177,7920
0.107,3011
0.314,932
0.0561,3728
0.156,1768
-0.0016,5372
-0.0892,7726
0.138,2512
0.134,1434
0.0882,2585
-0.0166,6350
0.116,3068
-0.0295,6227
0.0303,4393
-0.063,8435
0.0524,4388
0.116,1613
-0.227,6980
-0.153,7773
0.322,1462
0.0324,4454
0.0736,2374
0.424,213
-0.198,6795
0.12,2516
-0.168,9644
-0.181,7707
-0.181,10306
-0.304,10532
0.0378,4572
-0.162,8846
-0.0573,6502
0.0395,4575
0.028,4156
0.131,1811
-0.173,7845
0.00934,5270
-0.0547,6106
0.125,3558
0.0715,3983
-0.00791,5645
-0.147,8571
-0.199,9371
0.162,858
0.0584,4221
0.00843,4931
0.255,1696
0.0685,4315
-0.0399,6858
-0.131,8373
-0.186,10176
-0.0854,6214
0.209,2733
-0.55,8389
0.00903,4972
-0.0395,6639
-0.211,7446
0.094,3059
0.905,80
-0.0154,6095
-0.0161,6266
0.136,937
-0.146,10648
-0.117,7578
-0.175,10506
0.0698,3059
0.152,1062
-0.0356,6413
-0.19,9258
0.0169,4719
0.156,2918
0.384,1385
0.0399,4457
-0.132,8930
0.153,2154
-0.109,7801
-0.0203,5715
0.298,1227
-0.255,9979
-0.00566,5559
0.202,1711
-0.108,7015
0.0549,4493
-0.0582,6870
-0.0234,6127
0.123,3429
-0.0463,5950
0.0933,2685
0.0934,3449
0.0867,2954
-0.047,9110
-0.0733,6503
-0.382,7919
0.549,1144
0.0286,4677
-0.0727,8013
-0.0936,8146
-0.186,8565
-0.244,10586
-0.503,9810
-0.171,10225
-0.0662,6815
0.0804,2111
-0.1,7334
-0.345,10305
0.0125,4489
0.406,949
-0.155,7504
-0.0832,7819
-0.124,7725
-0.0843,7305
0.269,1340
0.356,1142
-0.107,8702
-0.00381,5324
-0.00851,4940
0.0635,3967
-0.0173,5618
-0.00863,5301
-0.0697,7345
0.013,5066
0.0408,4460
-0.204,9449
-0.143,7753
-0.332,9619
0.159,1950
0.136,1985
-0.0626,6913
0.493,258
-0.0256,6258
-0.147,5872
-0.0863,9228
-0.129,9201
-0.209,9165
0.198,2321
-0.227,8014
0.115,2755
-0.135,8232
0.0543,4382
0.0542,4244
-0.103,8105
-0.138,10289
-0.0378,6160
-0.00659,5642
0.13,1906
-0.245,10803
0.111,2299
-0.00492,5262
-0.000993,5563
0.0476,3361
0.157,1479
0.096,2602
-0.124,8271
-0.00927,5727
-0.417,10661
0.189,1127
-0.0155,6129
-0.154,6190
-0.188,8901
-0.0474,6290
-0.381,10353
0.0644,3759
-0.248,10691
-0.278,9987
0.0182,4923
-0.761,9436
-0.303,10670
0.235,1065
-0.17,9272
-0.0297,6487
0.225,2125
0.125,1985
0.18,1758
-0.113,8840
0.416,993
0.605,91
-0.221,9868
0.034,4219
-0.0205,6180
0.209,845
-0.21,9707
0.247,1829
-0.14,8761
0.108,2188
-0.0808,8317
0.0191,4773
0.035,4439
0.135,2859
-0.19,7021
0.156,661
0.0366,3975
-0.0635,6689
0.0252,4368
-0.279,9167
-0.189,8673
0.357,703
-0.0441,6472
0.234,1493
-0.465,10974
0.0661,4262
0.0567,4249
0.0151,4967
-0.131,9642
-0.0704,6562
0.312,507
-0.0859,7502
0.108,3469
-0.184,10276
0.0523,3295
-0.266,9717
-0.268,10120
0.348,862
-0.0805,5813
0.0926,3262
-0.0245,6050
-0.15,9598
0.0491,4247
0.0418,3801
0.556,486
0.0936,1273
0.00791,4995
0.363,596
-0.591,10652
-0.259,6717
-0.0631,6837
0.282,618
-0.0506,6945
0.0139,4991
0.0911,2754
-0.215,6703
-0.276,9477
0.0307,4122
-0.0313,6681
-0.0297,5767
-0.0181,5363
-0.238,9600
0.106,2480
0.0299,4072
-0.0505,6661
-0.203,8612
-0.013,5693
-0.178,9605
-0.37,7688
-0.164,8452
-0.222,8846
0.0809,3432
0.194,1266
0.0775,1956
-0.0375,5865
0.0203,4683
0.268,1431
-0.0475,6484
0.199,1294
0.135,3525
-0.0221,5444
0.0501,3342
0.023,4675
-0.108,8702
-0.216,9220
-0.172,8332
0.416,1083
-0.117,8936
0.0677,3286
0.205,2322
-0.0113,5525
-0.248,9824
-0.317,10561
-0.0371,6125
0.118,2344
-0.0441,6007
0.371,1097
0.164,1938
0.124,1525
0.312,899
-0.0828,7052
-0.347,10588
0.0956,3036
-0.0451,6525
-0.129,10424
0.177,1342
0.148,2343
