coef,rank
-0.183,7994
0.132,2561
-0.146,9829
-0.216,8372
-0.213,5519
-0.277,7205
-0.24,7658
-0.261,10559
-0.143,9622
0.22,1218
0.0404,4263
-0.111,7328
0.22,821
-0.116,9497
0.344,145
-0.0285,6105
0.266,2451
0.00109,4724
0.136,942
0.0239,4323
0.14,1880
0.163,1198
0.102,3663
-0.119,6979
0.00071,5343
-0.151,8419
0.304,1296
-0.132,7808
-0.176,10492
-0.131,5663
-0.181,9120
-0.0614,7304
-0.235,9824
0.121,3526
0.0225,4648
-0.332,10155
0.0202,4943
0.00557,5038
0.0907,2979
0.245,1960
-0.307,10452
0.125,2782
0.241,381
-0.0165,6420
0.301,760
0.0387,4108
-0.196,9020
0.148,2762
0.0744,1981
0.0184,4384
-0.172,8540
-0.0982,8327
0.0871,3599
-0.129,7867
0.433,226
-0.0285,6434
-0.0181,5640
0.357,1069
-0.262,8565
0.0154,4817
0.0211,4353
-0.0314,6744
0.276,1346
-0.073,6673
0.0702,2873
-0.0731,8578
-0.292,10718
-0.158,10287
-0.0667,7491
0.148,1294
-0.215,9897
0.0954,4048
0.0709,3096
-0.0903,7953
0.161,2040
-0.121,7511
-0.0808,6154
-0.0175,6098
0.127,2069
0.016,4921
0.0153,5205
-0.0175,5751
0.709,413
-0.464,10611
-0.17,10473
-0.0773,7905
-0.031,6306
0.5,386
-0.124,7975
-0.262,9097
0.139,1199
0.00756,5067
-0.255,10006
-0.153,8489
-0.179,8085
-0.383,10605
-0.426,10853
0.114,1909
-0.217,8294
0.107,1738
-0.0111,5528
0.155,2299
-0.153,9830
0.294,201
-0.267,10715
0.247,1230
0.114,3508
-0.0991,7084
-0.243,9766
-0.0555,6584
-0.0466,6168
-0.026,5906
0.552,1411
0.0858,3785
-0.156,10116
-0.0864,9085
-0.149,8119
-0.163,9610
0.0636,3006
-0.0995,7472
-0.199,9748
-0.022,6191
0.247,203
-0.169,10352
0.474,524
0.309,2162
0.0186,4615
-0.197,9335
0.0254,4926
-0.00391,5187
-0.125,7846
0.0635,3991
-0.189,10432
-0.179,9992
0.15,2865
0.0983,2254
-0.47,7359
0.15,3478
0.209,445
-0.0376,6600
0.0692,4408
-0.069,8216
-0.376,10488
-0.00439,5603
0.203,1273
0.112,2582
-0.111,7018
0.142,2400
0.0485,3920
-0.0668,6351
0.0885,2742
-0.12,9497
3.51,319
0.474,120
0.231,2748
0.0819,3456
0.0232,4670
-0.273,10614
0.0339,4699
-0.00513,5466
0.132,2362
-0.104,8444
0.174,1952
-0.0772,9071
-0.0553,6628
-0.0553,6993
0.14,1430
0.0116,4897
-0.276,10376
0.161,1093
-0.129,8332
0.293,1775
-0.131,9419
0.00409,5001
0.0919,1076
-0.0142,5562
-0.133,9443
0.0538,4264
-0.435,9715
0.0101,4795
0.23,642
0.0313,4713
-0.211,9969
-0.0913,7849
0.288,71
-0.0882,9814
-0.0367,6598
-0.111,8628
-0.0817,6791
0.0551,3713
0.751,630
0.0645,3367
-0.0543,7275
-0.0546,8535
-0.0907,8136
-0.207,9407
0.0871,3617
-0.0195,6029
0.0539,4240
-0.31,10572
0.0424,3745
-0.218,9187
-0.0238,5679
-0.224,8510
0.248,124
-0.0278,6260
0.524,75
-0.267,8332
0.179,1748
-0.0641,6831
-0.0679,7519
-0.157,10410
-0.0518,6813
0.0022,5279
-0.115,7480
0.0889,3278
-0.00262,5755
0.236,492
-0.0281,6002
-0.0492,6566
0.302,1286
-0.422,10498
0.0854,3533
-0.0371,6735
0.0116,4736
-0.394,10689
-0.128,7234
-0.0635,7177
0.0449,3878
-0.0237,6484
0.00663,5180
0.0444,4287
0.0765,3807
0.277,1011
0.365,890
-0.0367,7455
-0.0509,6309
-0.0422,6125
-0.147,7474
-0.269,10169
-0.378,10625
1.72,464
0.496,1016
-0.199,10200
-0.000222,5096
0.282,963
-0.0347,6630
0.227,1185
0.00693,5214
-0.0846,7624
-0.637,8942
-0.337,9992
-0.0688,7944
-0.0914,9096
0.273,2062
-0.397,10073
-0.325,9357
-0.617,10486
0.095,2877
0.176,1116
-0.0297,6304
-0.178,9751
-0.0156,5905
-0.282,10459
0.111,2494
0.211,1320
0.0825,3749
-0.0503,6888
-0.0968,8022
-0.0397,5794
-0.292,10709
0.00372,5255
0.0921,2763
0.0707,3518
0.219,1821
0.104,2682
0.0878,3030
-0.000747,5108
0.268,942
0.106,3001
0.186,2322
-0.113,8566
-0.231,10438
0.288,1208
-0.0376,6136
-0.414,10780
0.0308,4527
0.135,2378
-0.0102,5982
0.155,1894
-0.139,8034
-0.434,10765
0.0392,4553
0.101,3334
-0.118,9857
-0.203,10593
-0.0365,5715
-0.0125,5497
-0.382,10330
-0.00144,4887
0.328,265
-0.0863,7976
0.186,1208
0.267,997
-0.116,8163
-0.241,8404
-0.122,9875
-0.114,7480
-0.162,9667
0.0562,4390
-0.0785,6257
-0.082,7785
-0.0161,5946
-0.244,10631
0.197,1326
-0.146,7035
-0.374,10433
-0.00636,5573
-0.0482,5970
-0.176,8009
-0.291,9741
0.122,2671
0.142,2757
-0.165,7028
-0.0618,7596
-0.0932,7948
0.0318,4332
0.0574,3633
-0.0629,7869
0.867,92
0.016,4545
-0.0633,7488
-0.128,7561
0.0144,4817
0.14,1778
-0.433,10206
-0.0151,5755
0.0714,2882
-0.106,8782
0.222,513
-0.0293,6301
0.0505,4201
0.18,710
-0.189,7941
-0.123,6912
0.148,589
0.247,92
-0.127,7845
0.032,4233
0.056,3856
0.388,2782
0.682,799
-0.951,9739
-0.361,7306
0.0506,4491
-0.0529,5154
-0.18,8612
-0.188,9015
-0.102,8004
0.148,2027
-0.0848,9141
0.104,978
-0.299,6732
0.349,696
0.105,3110
-0.11,7480
0.163,2145
0.0202,4487
-0.172,6830
-0.0518,6500
0.0397,4527
0.115,2821
-0.122,7420
-0.069,7681
-0.0271,6040
0.233,1866
0.0573,4148
0.62,874
0.419,228
0.0142,4851
-0.0141,5313
-0.0995,9659
0.053,4162
-0.2,7411
0.212,818
0.122,2141
-0.158,9354
-0.17,8939
-0.305,8144
-0.402,10832
-0.0908,8259
0.297,331
-0.103,8008
0.1,3793
-0.185,9369
0.0896,3780
0.529,42
-0.124,9311
0.507,895
-0.134,8987
-0.143,8204
-0.0886,7596
-0.0797,7469
-0.152,9481
-0.0452,6518
-0.0903,6947
0.198,2009
0.067,4276
-0.0225,7738
-0.161,9713
-0.0592,6586
0.36,1139
-0.198,9147
0.125,2962
0.00102,5449
0.00155,5252
-0.0579,10627
-0.0156,5607
0.279,2295
-0.0465,6351
0.0862,3974
-0.16,10500
-0.377,10678
-0.159,8409
0.101,3170
-0.0573,5626
0.123,3052
-0.0763,8178
0.127,2277
0.196,2232
-0.224,9275
-0.293,10636
-0.141,9801
-0.0994,8695
-0.0463,6502
0.172,1762
0.164,2486
-0.0563,7179
0.258,1661
0.0183,4898
0.0346,3937
0.83,1440
-0.369,9818
-0.189,8685
-0.129,6870
-0.118,9222
-0.219,9605
0.222,1993
-0.234,7798
-0.0883,6777
-0.0581,5906
0.137,1946
0.225,2297
0.241,2153
0.115,2381
0.166,2996
0.149,2192
-0.00332,5552
-0.0123,6051
-0.014,5626
-0.205,9350
0.046,4339
0.0898,2720
0.0744,2778
-0.304,9786
-0.0294,5855
-0.318,10028
-0.0768,7501
0.257,1567
-0.0663,7036
-0.114,8819
-0.176,8569
-0.0384,5939
0.238,342
0.203,1099
-0.213,10057
-0.243,10342
0.136,1793
-0.363,10033
-0.213,10240
-0.136,8943
-0.0693,7795
-0.111,6613
0.0263,4496
0.0556,4098
-0.223,8866
-0.065,7196
0.133,1748
0.00956,5045
-0.0307,6125
-0.0377,6650
0.111,2749
-0.158,9293
0.0796,392
0.0988,3022
0.155,1090
0.188,2905
0.166,3131
-0.0926,8480
0.185,1039
0.00975,5053
0.0298,4483
0.14,2351
-0.543,10271
0.291,514
-0.0509,7691
0.068,2788
0.165,3103
0.00878,5307
0.379,1679
0.303,1008
-0.144,7460
0.0256,4439
-0.000381,4945
-0.35,9061
-0.223,8104
1.03,73
-0.0274,6295
0.103,2133
0.164,1147
-0.108,8705
0.255,1920
-0.225,9778
0.0921,2204
0.0528,4120
0.369,2240
-0.146,7568
-0.157,7986
-0.0252,4965
-0.000372,5282
0.0356,4476
0.079,3355
0.049,4384
0.0224,4580
0.296,1547
0.19,721
0.00514,5235
-0.265,6549
0.311,2777
-0.65,10001
0.427,2526
0.144,1576
0.265,1646
-0.266,10791
0.0269,4470
0.175,2092
0.0367,4410
-0.0826,7615
-0.0707,6970
0.0196,4962
-0.0536,6761
-0.128,6531
-0.928,10809
0.108,2364
0.285,969
-0.0538,6298
0.321,394
0.326,495
-0.199,9362
-0.285,10696
-0.0895,7002
0.23,923
-0.0569,7056
0.182,1983
0.196,1718
0.187,923
-0.204,10479
0.0243,4813
-0.0384,6444
0.0255,4731
0.153,970
-0.0268,6376
-0.261,9600
-0.202,9645
0.01,5179
-0.0427,6176
0.276,1013
0.288,394
0.188,387
0.333,1797
-0.0355,6147
0.229,1503
-0.337,7964
-0.0495,7008
-0.0279,6028
0.394,980
0.16,1102
-0.145,9757
-0.123,7976
0.136,1672
-0.159,9720
0.0111,5241
0.039,3866
-0.284,9128
-0.147,7427
-0.0135,6112
0.402,350
-0.276,9713
0.177,1531
-0.115,7697
0.393,127
-0.0608,7136
0.153,1602
0.0393,4587
-0.0441,5826
-0.218,10069
-0.332,10255
0.132,1854
0.00266,5258
0.51,576
0.0596,2881
-0.273,8632
-0.336,8089
0.0663,3590
-0.231,10586
0.166,2178
0.381,116
-0.269,9259
-0.102,7533
-0.221,10280
0.179,779
0.241,79
0.188,1180
-0.057,7005
-0.183,9479
0.0865,2738
-0.0223,5635
0.0692,2755
-0.231,8860
-1.29,11019
0.0829,3071
0.0452,3380
-0.0104,5919
0.141,1654
-0.164,8446
-0.417,10921
-0.026,6419
-0.025,6848
-0.166,9836
-0.222,9004
0.18,2526
-0.0569,6063
0.073,3790
0.095,3164
-0.0271,5702
0.0116,4993
-0.0469,5945
0.0789,3139
-0.115,9401
-0.1,8373
-0.794,9320
-0.0318,6752
-0.125,6888
0.0307,4599
-0.0902,9221
0.199,3187
-0.844,10530
-0.288,5511
0.0206,4780
-0.465,9442
-0.0215,5431
0.0951,3630
0.0639,3681
-0.0275,6411
-0.0693,7934
0.1,972
-0.252,9811
0.0297,4646
0.215,2564
-0.186,10342
-0.0635,7116
0.0704,3013
-0.197,8960
-0.169,9527
-0.188,8394
0.181,829
0.158,1968
-0.0545,6542
0.00546,4671
-0.0799,6854
0.161,2231
-0.0195,5578
-0.0135,5962
-0.173,10216
0.375,1053
0.00459,5345
-0.0278,6040
-0.0023,5478
-0.0353,6622
-0.431,10829
0.192,1891
-0.462,9648
-0.274,10444
0.419,598
0.146,1804
0.251,535
-0.278,9721
0.521,84
0.527,191
0.247,1865
-0.275,9930
0.211,988
-0.0543,6693
-0.101,5578
-0.284,9819
0.094,3522
-0.0587,6854
0.181,1410
0.0589,3343
-0.138,8700
-0.138,6190
0.127,3225
-0.102,8544
-0.052,7668
0.122,1814
-0.073,6921
0.0209,4203
-0.146,7534
-0.0289,5995
0.0389,4219
-0.0909,6260
0.0869,3577
-0.26,9923
-0.0189,5778
-0.249,10008
-0.136,9564
0.0128,5159
0.0977,3768
0.267,3177
-0.0627,6358
0.133,1210
-0.085,7615
0.246,1266
0.0231,4798
-0.0896,7912
0.329,1900
-0.106,7685
-0.252,10435
0.0574,3969
-0.0521,6980
0.731,562
1.38,443
0.0297,4535
-0.156,10191
0.14,1758
-0.0735,7273
-0.095,7555
0.15,2832
-0.165,9955
-0.0786,7545
0.102,2753
-0.295,9328
-0.0847,7503
0.213,582
0.0988,2585
-0.0612,8124
-0.104,8058
0.278,1566
-0.156,10570
0.0369,4409
-0.297,9827
-0.164,10271
-0.0579,6648
0.0385,4337
-0.21,9457
0.394,1378
0.00572,5206
0.213,1754
0.172,1658
0.146,3442
0.328,1158
0.11,2765
-0.0342,6638
-0.015,5621
-0.458,10271
0.0434,4578
-0.0997,7049
-0.0167,5701
-0.218,10590
0.0525,4066
-0.195,8477
0.0435,3759
-0.494,9792
-0.034,5705
-0.00337,5581
-0.064,8307
0.246,1097
-0.0798,6771
-0.221,10310
-0.294,9430
-0.199,10352
-0.122,8902
0.0122,4372
0.0337,897
0.0417,1246
0.0105,3426
0.0203,2088
-0.518,7217
0.0495,4178
-0.375,8209
-0.412,7420
3.12,173
-0.0915,7469
-0.134,8078
-0.695,10639
0.212,1928
0.397,1636
-0.139,9448
0.426,461
0.902,1655
0.0257,4753
0.177,2368
-0.041,7526
-0.0902,7500
-0.0542,6589
-0.337,9964
-0.213,8780
0.12,3801
0.358,790
0.0514,3884
0.104,3326
-0.627,9355
0.312,1494
0.134,2918
-0.525,7155
-0.186,9353
-0.0278,6416
-0.256,9524
0.0581,4081
-0.0464,7483
-0.181,10543
-0.112,7558
-0.475,10823
-0.264,10618
-0.177,7241
-0.141,8567
