coef,rank
-0.104,6815
-0.0322,6113
-0.146,9835
-0.207,8231
-0.106,4814
0.477,2043
0.0763,4203
-0.0392,6495
0.187,657
-0.353,10782
-0.361,10793
-0.138,7801
0.107,2423
0.105,1766
0.0757,3332
0.0587,4153
0.967,189
0.515,1196
0.0715,2531
-0.121,10499
0.348,183
0.0872,2652
0.598,381
-0.182,7850
-0.121,8615
0.0263,4550
0.033,4505
0.388,396
-0.0322,6886
0.318,2640
-0.0884,7318
-0.0698,7527
-0.264,10153
0.0921,3873
0.00821,4964
-0.0424,6074
-0.176,9821
-0.105,9378
0.0122,4954
0.443,688
0.023,4847
0.0571,4024
0.103,2220
-0.0288,7122
0.292,832
-0.0492,6567
0.0108,5133
0.398,766
-0.033,7009
0.114,847
-0.0827,6904
0.151,1970
-0.439,10865
0.118,3040
-0.238,9650
0.0807,2303
0.283,375
-0.0948,6559
0.156,3316
-0.177,8222
0.0117,4753
-0.0271,6569
-0.0574,6376
0.0412,4287
0.0304,4221
-0.171,10746
-0.285,10678
-0.0886,8732
0.143,1929
0.213,558
-0.251,10301
0.254,2794
-0.0199,5775
-0.214,10361
0.0838,3482
-0.321,10216
-0.161,7203
-0.232,10730
-0.116,8614
-0.209,10547
-0.0308,6570
0.0235,4646
-0.0222,5503
-0.196,8062
0.198,486
0.193,766
0.158,1939
0.273,1614
0.0878,3170
0.452,605
0.157,903
-0.0212,6500
0.294,835
-0.00215,5253
0.0364,4507
-0.125,7454
-0.377,10704
-0.13,9440
-0.347,9884
-0.198,10829
0.302,539
0.0941,3306
0.423,17
-0.0316,6371
0.195,971
-0.228,9805
0.109,3562
0.0347,4591
-0.143,8174
0.0347,4489
0.192,1799
0.0526,3927
-0.722,10643
-0.135,7666
0.074,2978
-0.0459,7603
-0.231,9248
0.348,221
0.0256,4372
-0.108,7650
0.25,929
-0.197,10754
0.104,2009
-0.213,10771
-0.412,10542
-0.228,7687
-0.158,10201
-0.0419,6229
-0.185,8867
-0.0143,5436
0.396,537
0.0351,4527
0.0995,2280
-0.0177,6089
-0.0224,5517
0.0776,2758
-0.384,6754
-0.219,7857
-0.164,10120
0.174,1145
0.156,3101
-0.0329,6887
-0.219,8968
-0.0104,5731
-0.0291,6002
-0.154,9574
-0.286,9659
-0.0808,7242
0.0301,4499
-0.0498,6068
-0.121,8886
0.0049,5239
-0.206,5495
-0.0232,5585
0.222,2811
0.412,223
-0.0226,6193
0.0179,4982
0.0525,4421
0.0808,3398
0.236,917
-0.41,11024
-0.202,9638
-0.0881,9428
-0.295,10669
0.000625,5655
-0.172,10223
0.16,878
0.147,2553
0.0596,3358
0.119,2835
-0.199,7950
0.00109,5165
-0.128,9464
0.0452,2796
0.16,1300
0.135,1468
0.133,2870
0.306,2517
-0.0386,7108
-0.25,10752
0.00794,5245
0.147,2093
0.152,1999
0.174,618
0.0117,4401
0.0971,2435
-0.146,9342
-0.23,9384
-0.225,10563
0.268,2656
0.172,1096
-0.127,9303
0.0829,1665
-0.237,10711
0.103,3024
0.333,1306
0.0944,2641
0.246,1475
0.0662,3846
-0.142,9962
-0.108,7247
0.126,1986
0.556,504
-0.00491,5455
0.000906,5381
0.00201,5335
0.419,1357
-0.175,9383
0.0834,3660
-0.0352,6416
-0.0424,7115
0.0787,3265
0.323,839
-0.11,7388
-0.283,10190
-0.0794,9549
0.0366,4249
-0.00782,5493
-0.0463,6486
0.275,1483
-0.498,10803
0.0785,3658
-0.242,10912
0.274,28
0.283,1288
0.338,1253
0.0555,4185
0.0762,2932
0.00131,5422
-0.083,8746
-0.0166,5674
0.135,2711
-0.0923,7414
0.36,912
0.0283,3889
-0.205,9612
0.282,908
-0.415,10298
-0.13,7893
-0.148,7937
2.81,65
0.787,292
0.00973,5071
-0.263,10393
0.201,1777
-0.0311,6492
-0.0645,7127
-0.215,9614
0.187,1338
-0.561,8576
0.0347,4706
0.0576,3164
0.0881,2043
-0.225,8508
-0.391,10031
-0.127,6864
0.106,3627
0.0925,2936
0.359,100
-0.181,9954
-0.0155,5905
0.043,4601
-0.164,9046
0.0382,4305
-0.0004,5287
-0.239,8562
-0.0619,7229
0.011,5263
0.597,163
-0.0432,6669
-0.131,10411
-0.267,10654
-0.0593,6618
-0.241,9689
0.0648,3541
-0.115,8123
-0.0374,5830
-0.226,9920
0.237,1188
-0.254,9804
0.0223,4780
0.122,2193
0.152,2785
0.0986,3169
0.184,2341
-0.179,8524
0.349,323
-0.073,8549
0.0741,3505
0.157,2226
0.157,2769
0.0748,3920
-0.106,7384
-0.0358,7109
-0.0768,8058
0.0198,4884
0.111,2521
0.167,2722
0.199,2301
0.0168,4839
-0.141,9366
-0.125,8670
-0.0186,5485
0.363,322
-0.0693,5938
0.162,456
0.0887,3352
0.145,1758
-0.283,9173
0.255,1795
0.149,1263
0.118,1432
0.0456,4026
-0.193,9901
-0.348,9428
0.319,1348
-0.367,10777
-0.115,7170
0.0131,4852
-0.146,7770
-0.166,9303
-0.228,8986
0.0397,4731
-0.12,9381
0.0244,4705
-0.206,10403
0.0825,3092
-0.11,9440
-0.35,9752
-0.167,10455
-0.0776,7930
-0.259,9532
0.0414,4363
0.171,1277
-0.155,7043
0.0265,4330
0.0573,3341
-0.131,9403
0.209,624
0.0201,4877
-0.272,9778
-0.0433,6985
-0.249,8712
-0.0501,5807
0.0572,2805
-0.158,10464
0.303,736
0.0288,4320
0.0498,4022
-0.734,9403
-0.36,8452
-0.245,5046
1.69,223
-0.172,7288
-0.552,9627
0.184,2428
-0.142,8283
-0.0356,6347
0.197,1336
0.249,57
0.117,732
-0.399,7560
-0.0793,6900
0.0409,4351
0.127,3184
0.0237,4961
-0.00211,5519
-0.146,6454
0.196,1785
-0.152,9339
0.0601,3872
-0.0787,6644
-0.143,9655
-0.108,7988
-0.31,9821
-0.434,10709
-0.0636,5777
-0.0193,5764
0.00581,5167
-0.284,9315
0.0161,4540
-0.00284,5224
-0.0061,5168
0.138,1817
-0.00296,5417
0.301,321
-0.0578,6549
-0.282,7883
-0.0873,6952
0.0363,3976
-0.208,10222
0.304,510
-0.236,8486
-0.0922,7563
0.49,789
0.236,1004
-0.013,5825
0.313,1947
-0.273,10743
0.154,2410
0.0347,4394
-0.163,9383
-0.103,8359
0.132,2652
-0.344,10483
-0.212,9229
-0.428,9533
0.0427,1778
-0.0557,7027
0.135,2619
-0.197,8702
-0.0716,6728
0.203,1916
0.0217,4665
-0.00988,6002
-0.0298,9027
0.068,3581
0.185,3099
-0.105,7868
0.181,2926
0.137,944
-0.238,9468
0.0872,3469
0.0205,4648
-0.0157,5162
0.0797,3823
0.203,564
0.211,1158
0.063,4139
-0.16,8264
-0.067,7069
0.0438,3426
0.14,1651
0.157,2319
0.403,182
0.0138,5036
0.112,2376
-0.0823,6603
-0.108,8960
-0.128,10072
1.13,970
-0.333,9490
-0.434,10866
0.794,219
-0.0578,7425
-0.129,8165
0.15,2920
0.0315,4585
0.181,2241
-0.357,9739
0.129,2093
0.194,2614
-0.188,8280
0.206,1038
-0.0955,6745
-0.19,9548
0.00562,5113
-0.0254,6711
-0.158,8667
0.000907,5267
-0.122,8543
0.0101,4955
0.225,304
0.128,3223
-0.0307,5877
0.126,3191
-0.425,10989
-0.281,9811
0.0209,4666
-0.103,8505
0.114,3139
-0.0547,6306
-1.29e-05,5347
-0.359,10945
0.032,4196
-0.0348,6408
0.13,1882
0.492,805
-0.153,9251
0.343,306
0.103,2009
0.224,2070
0.00746,5156
-0.128,7861
0.981,22
0.353,162
0.0944,2587
0.325,91
0.0473,3810
-0.0214,6092
0.101,2966
-0.0734,7373
0.0597,972
-0.218,10289
-0.00316,5527
-0.0915,6244
-0.11,6317
-0.161,9915
0.172,1208
0.00701,5154
0.0275,4547
0.0478,4030
0.129,3841
-0.391,10971
-0.0656,8352
-0.066,7734
-0.29,8835
-0.0318,6312
0.124,3619
0.199,1962
-0.27,9319
-0.195,10727
-0.612,10587
0.267,2570
-0.102,6542
-0.0883,6401
-0.219,10874
0.147,1273
-0.259,10896
-0.112,8845
-0.226,8724
0.162,1946
0.0963,2089
-0.166,9130
-0.0399,5223
-0.107,6974
0.231,2349
0.629,1609
0.262,218
-0.224,10344
0.182,1734
0.226,1323
0.0378,4223
0.0571,4419
-0.109,8733
0.0861,1774
-0.542,9394
-0.336,7706
0.387,2511
-0.233,6880
-0.0379,6536
0.239,1881
-0.0926,8069
0.131,2553
0.127,2812
-0.0871,7601
0.0527,3622
-0.0691,6930
0.023,4873
-0.304,10775
-0.0604,5775
-0.519,9458
-0.0486,6729
0.237,1381
-0.0366,5894
0.016,4594
0.208,1461
0.0714,3603
-0.097,7833
0.0954,3332
0.00664,5108
-0.104,8439
0.287,974
-0.0247,6022
0.0138,4938
-0.183,10223
-0.356,10985
-0.0943,8071
-0.00826,5318
-0.162,10250
0.198,968
0.141,2969
-0.332,10780
0.0565,4090
0.11,2852
-0.0302,6183
-0.149,9231
-0.151,10318
0.319,1884
-0.0541,6690
0.0311,4368
0.26,3085
0.199,946
0.137,1978
0.359,1165
-0.0623,7642
-0.114,9088
0.34,556
-0.0158,5924
0.237,523
-0.0861,7918
0.2,612
7.46e-05,5034
-0.399,10172
-0.0335,7222
0.122,2865
-0.0775,6591
0.23,950
0.163,2249
-0.0819,7742
0.0557,3918
-0.00552,5537
0.302,1107
-0.0778,6384
0.236,1029
0.179,2676
-0.00591,5343
-0.0289,6478
-0.239,8459
0.0839,2070
-0.358,9565
-0.353,8266
0.105,2645
0.0433,4200
-0.128,8123
0.195,1123
-0.502,10834
-0.219,9533
0.0793,3127
-0.134,9608
0.0877,1818
0.113,2405
0.112,2796
-0.0736,7283
0.182,1012
-0.0577,6250
0.0758,2541
0.261,1929
0.531,1756
-0.183,10207
0.0178,4490
-0.0787,8922
-0.0645,7835
0.47,321
0.0439,4337
-0.00274,5503
-0.0446,7857
0.0939,2502
0.203,1903
-0.147,7977
-0.159,7868
-0.0887,7350
-0.0549,6485
-0.373,10442
0.27,724
-0.0311,5680
0.103,2598
0.0207,4652
-0.183,10109
-0.624,8204
0.14,1503
0.118,3480
-0.367,10479
-0.0551,7976
-0.0427,5878
-0.23,6759
-0.497,6815
0.185,3014
0.0388,4608
-0.326,9813
0.0809,3875
-0.149,9759
-0.0224,6264
-0.183,10243
-0.0484,8236
-0.102,7457
0.0218,4747
0.0254,4542
0.0049,5281
-0.0192,5817
0.224,423
-0.0226,5745
-0.263,10620
-0.113,7177
-0.108,8768
-0.169,9412
-0.0336,6029
0.0888,3520
-0.154,8206
-0.164,8914
-0.0446,6059
0.212,489
-0.135,9591
-0.465,10710
0.141,1513
-0.444,10934
-0.352,10445
0.152,1464
0.0962,3438
-0.145,8527
0.809,509
-0.0936,7571
-0.288,9876
0.0586,3689
0.239,624
-0.0797,6601
-0.15,8227
0.249,1486
-0.205,8597
0.0894,3592
-0.197,9940
0.0805,3647
0.0747,4063
-0.133,7623
-0.0833,7070
-0.197,9832
0.086,3077
-0.251,10902
0.072,3310
-0.695,10732
-0.165,4723
-0.0998,8494
0.158,689
-0.127,9550
0.134,2790
0.012,4634
0.229,2456
0.117,2504
0.102,2355
0.268,2005
0.167,2426
-0.248,9760
-0.363,10786
0.0689,3921
0.0399,4137
-0.117,7335
0.0108,5031
1.09,448
-0.199,8383
-0.05,7162
-0.255,10307
-0.0771,6863
0.177,1368
-0.209,10182
-0.141,6897
0.121,2671
-0.133,8739
-0.102,7963
-0.19,10214
-0.192,6898
-0.242,6497
0.0325,4449
0.122,1512
0.126,2012
-0.00805,5531
0.22,1293
0.0928,3591
0.0109,4949
-0.336,10947
-0.158,8954
1.22,10
0.639,12
0.0119,4978
0.245,450
-0.0998,9420
0.115,2299
0.238,1940
0.135,959
-0.113,7981
-0.0748,6640
0.109,1762
0.198,1619
0.479,178
0.121,3010
-0.0229,5359
0.213,1334
-0.326,10466
-0.0268,5824
-0.484,10492
0.0895,3753
0.0944,3084
0.0856,2506
-0.122,7225
0.00153,4961
-0.206,9122
-0.278,9780
-0.25,9788
0.0135,5024
0.0735,3630
-0.153,7797
0.000574,5401
0.543,1320
-0.0236,5562
0.406,236
0.106,1813
0.109,3103
0.242,1771
-0.00225,5417
0.205,2275
0.0222,4549
0.0687,3309
-0.119,11012
0.00197,4847
0.0488,901
-0.0068,6620
0.0914,3
0.284,3322
0.0118,5034
-0.55,9657
-0.591,8833
-0.667,8219
0.0398,4209
0.271,1273
0.105,3918
-0.143,8108
-0.461,9899
-0.142,9498
-0.0532,6195
-0.786,8614
0.0971,3087
0.0719,3855
0.0685,2107
0.36,151
-0.0844,7348
-0.323,9840
0.183,2614
0.601,785
0.167,2494
-0.0961,7767
-0.494,10970
-0.502,8411
1.03,16
-0.194,8877
2.66,270
0.172,1928
0.0151,5132
0.519,312
-0.244,10369
-0.245,10917
-0.0566,7497
-0.171,8610
-0.0419,5817
-0.0411,6608
0.189,2852
0.0662,3929
0.0365,4083
0.0654,2019
0.158,1839
-0.112,8363
0.119,3168
-0.16,7782
-0.189,9216
0.094,2814
0.0518,4277
-0.124,8308
0.372,398
0.148,1468
-0.00373,5700
-0.158,9146
0.0935,3002
-0.132,9583
-0.172,7914
-0.149,6998
0.0489,4116
0.0633,3202
-0.485,8169
0.0813,2995
-0.337,10248
-0.111,7513
0.0657,3497
0.0427,4161
0.249,1744
0.19,707
-0.0243,5368
-0.124,8582
-0.0129,5626
0.0569,3555
-0.141,9319
-0.191,9540
-0.0107,5396
-0.0638,6127
0.112,1790
-0.0356,6734
-0.0163,5480
0.0462,4305
0.0672,3548
-0.0206,5853
-0.0909,7973
-0.0562,7728
-0.876,8876
1.8,849
-0.108,8705
1.34,239
-0.0259,5749
-0.0828,8843
0.422,787
0.0482,3862
0.713,131
-0.081,9171
-0.0986,8673
0.0126,4913
-0.105,5679
-1.22,10682
0.859,1588
-0.187,8392
0.0835,3686
0.0764,3601
-0.219,7370
0.504,36
0.282,161
0.2,1253
-0.00815,5435
-0.0183,5822
-0.168,8856
0.024,4727
-0.269,10591
0.129,2212
-0.133,8639
-0.0791,6677
-0.126,8865
0.0426,4388
0.0968,3197
0.267,832
0.0387,4691
-0.178,7248
-0.119,7004
0.0347,4575
-0.125,7403
-0.242,10461
