coef,rank
0.15,3079
-0.0533,6609
0.0145,4929
0.258,1924
-0.752,8943
-0.483,9409
-0.587,10464
-0.214,10098
0.157,983
-0.325,10634
0.377,371
0.129,3018
-0.171,9624
-0.0719,8141
0.314,231
0.05,4326
0.468,1250
-0.372,9033
0.164,578
0.0733,1965
-0.0951,7989
-0.0755,7727
0.109,3560
0.199,2697
0.235,831
0.00801,4970
0.0435,4331
0.257,1136
-0.091,8836
-0.473,8871
-0.135,8305
-0.163,9767
-0.265,10164
0.22,2566
-0.289,10341
-0.0678,6541
-0.067,7439
-0.0355,6841
-0.12,8414
0.0554,4170
-0.343,10669
0.155,2337
-0.127,9306
-0.0458,8007
0.178,1943
0.0118,4835
-0.142,8157
0.61,172
-0.152,10641
0.0142,4617
0.0431,4470
0.518,10
-0.0572,6362
0.176,2181
-0.166,8471
0.219,223
-0.0734,7240
0.259,1763
0.167,3195
0.0224,4688
-0.0096,5751
0.288,179
-0.246,9481
-0.0847,6942
0.0719,2828
-0.0403,7171
0.00892,5051
-0.00537,5710
-0.205,10313
0.0888,2513
-0.273,10486
0.629,965
0.00339,5022
-0.125,8828
-0.248,10342
0.104,3345
-0.371,9646
-0.0158,6045
0.204,897
-0.0515,7155
0.234,773
0.195,1418
-0.186,7560
-0.0967,6596
-0.0181,6237
-0.344,11016
0.12,2612
0.199,2366
-0.0931,7279
-0.03,5526
-0.0649,8023
-0.0226,6564
0.0298,4631
0.113,2945
-0.241,8950
0.342,965
-0.0371,5931
-0.0658,7672
-0.213,8242
0.121,1379
-0.0824,7317
0.167,2118
-0.0735,7846
0.117,2003
-0.166,9639
0.0525,4202
-0.0587,5980
0.0122,4989
0.232,1490
-0.157,8785
-0.316,10503
-0.244,10312
-0.101,5722
0.123,3281
0.0233,4654
0.171,481
0.266,1522
-0.208,10236
0.014,4798
0.255,1258
0.134,2427
0.0593,3028
-0.00712,5661
-0.0805,8358
-0.593,10977
-0.207,7419
-0.0322,6569
-0.22,9643
-0.00925,5650
-0.0522,6405
0.0397,4559
-0.0297,5854
-0.153,9890
0.0408,4252
-0.161,7934
0.0326,4156
2.6,190
-0.204,7687
-0.0811,8126
0.125,1953
0.247,2028
-0.0464,7409
-0.342,10257
-0.0847,7474
0.147,2068
0.0353,4562
-0.434,10723
0.328,523
-0.0232,6423
-0.0973,6910
0.0348,4247
-0.0515,7422
-0.128,5088
-0.174,8894
-0.472,10231
0.149,2243
-0.202,10497
-0.0913,7844
-0.221,8783
0.276,711
0.0596,3872
0.121,2134
-0.248,10195
0.0301,3801
-0.0844,7349
0.129,2730
-0.0952,8597
-0.0398,6907
-0.154,8821
0.046,3809
-0.0685,6992
-0.162,7384
-0.123,9192
0.143,1133
0.0478,2676
0.0506,3572
0.06,3290
-0.14,8212
-0.00836,5322
0.00907,4855
-0.0561,7331
-0.185,9380
0.0393,4288
0.0814,3331
0.203,379
0.18,88
0.0361,4175
0.0023,5312
0.0725,3747
-0.196,10294
-0.702,10746
0.0493,3775
-0.176,10151
0.0704,2101
-0.3,10962
0.301,762
-0.109,6516
-0.173,9897
0.019,4921
0.143,2532
0.105,1898
-0.178,8545
-0.21,10095
-0.0882,6591
-0.0725,8181
0.0607,3756
-0.159,8814
-0.494,10361
-0.0747,7245
0.0485,4328
-0.066,7453
-0.0208,6213
0.133,2103
0.078,3806
-0.00974,5429
0.159,2185
-0.0307,7315
0.212,668
-0.195,9608
-0.141,8520
-0.133,7307
-0.67,10999
0.131,2680
0.053,3340
-0.0687,8398
0.0399,4452
0.0377,4497
-0.307,10818
-0.368,11030
0.00602,5226
0.037,3961
0.0402,4364
0.148,2470
0.339,613
0.189,2339
0.119,780
-0.147,8626
0.326,625
-0.173,7850
-0.00483,5024
-0.223,9241
-0.206,5144
-0.321,9274
-0.125,8910
0.345,275
-0.0663,6933
0.0948,2289
-0.19,9668
-0.0464,6429
-0.00528,5443
1.47,589
0.229,2165
-0.133,9728
0.0659,2768
0.345,1510
0.301,1979
-0.226,8226
-0.0649,5285
-0.0341,6385
0.0619,3396
0.0221,4740
0.00928,5147
0.235,1343
-0.222,9835
0.0792,3197
-0.162,8972
-0.199,8038
-0.000546,5533
0.115,2737
0.373,807
0.0506,4323
-0.021,6493
-0.382,11001
0.0956,3021
-0.0944,7370
-0.017,5698
0.0974,2821
-0.135,7725
0.088,3456
-0.109,7725
-0.013,5717
-0.0409,6662
-0.0807,7579
-0.179,8930
-0.11,7816
0.0396,4521
0.234,1520
0.138,2333
0.03,4241
-0.166,9395
0.181,1909
-0.0535,6166
-0.00285,5354
-0.0194,5632
0.0143,4953
0.0865,2571
-0.321,9569
-0.19,9684
0.271,1680
-0.162,7580
-0.199,9880
0.00192,5109
-0.0283,6148
0.318,658
-0.0156,5734
-0.0457,5584
0.0154,4482
-0.0284,5729
-0.253,10696
-0.154,7439
0.864,71
-0.0313,6082
0.261,106
-0.167,9734
-0.158,9379
0.238,2556
-0.108,7250
0.124,3016
-0.0894,6709
-0.159,7745
-0.194,8532
0.0951,3235
0.812,13
0.0654,4469
-0.0494,7156
-0.106,8255
0.00592,5096
0.231,950
0.311,15
0.502,787
0.215,246
-0.0905,8267
-0.266,9622
-0.0795,6528
0.0763,3183
0.49,970
-0.125,9193
0.0149,4820
0.172,1054
-0.146,9659
-0.0229,6102
-0.28,9873
-0.0449,7045
0.27,2003
-0.346,9818
-0.0105,5838
0.0627,2751
-0.34,10635
0.146,1474
0.176,1605
0.459,2560
0.166,3452
-0.975,9857
-0.242,6239
0.241,2532
-0.479,9118
0.0354,4693
-0.135,8179
0.061,3830
0.0962,2877
-0.178,10805
-0.0325,6908
0.028,4222
-0.142,8078
-0.0262,5731
0.179,2454
0.193,1719
0.114,1422
0.236,2258
0.179,1998
-0.245,10514
0.0378,4357
0.221,1940
0.169,997
0.121,2764
-0.202,8442
-0.149,7620
-0.153,6792
0.13,2679
-0.0933,8521
-0.288,9366
0.136,671
0.151,2498
-0.347,9073
0.176,1210
0.114,2321
-0.14,8983
-0.257,10147
0.722,658
0.145,2541
0.0457,3704
-0.000996,5185
-0.0375,6420
-0.0795,6245
0.102,3150
0.505,735
-0.302,10664
0.0762,2856
-0.196,7722
0.0487,3972
-0.0892,7102
0.314,389
0.0833,3098
-0.0237,6011
-0.117,8219
-0.23,9386
-0.0551,6423
0.081,4141
0.03,2722
0.0175,4666
-0.094,7343
0.12,3600
-0.402,10858
-0.166,8470
0.0249,4551
0.0103,4643
0.0797,123
0.172,1732
-0.163,7239
-0.254,10370
-0.525,10596
-0.0877,8925
-0.0133,5475
-0.128,7849
-0.00464,5146
0.421,1573
0.0505,4415
-0.0111,5888
-0.263,10321
-0.0686,6532
-0.00335,5245
-0.0417,6472
-0.0322,6330
-0.0666,7759
-0.274,10391
-0.0983,7662
-0.067,6647
0.109,2419
-0.196,8481
-0.211,10620
-0.158,10530
-0.122,4276
0.345,1803
-0.254,9615
0.108,3827
-0.107,8933
0.156,2567
-0.0694,6675
-0.281,8388
0.161,2500
0.00431,5035
0.0477,4009
-0.175,7592
-0.0396,5991
0.0304,4455
-0.259,9007
-0.102,7857
0.261,82
0.00499,5178
0.62,69
0.087,3498
0.0538,4133
-0.106,8405
0.112,1753
9.25e-05,5188
0.111,3336
0.00465,5155
0.0756,4020
0.0805,3908
-0.0247,5896
-0.0947,8297
0.655,68
0.253,1142
-0.0753,7795
-0.00926,5481
-0.0605,6775
0.269,791
-0.0714,7257
0.87,96
-0.163,9448
0.182,1542
0.0999,2070
-0.106,6529
-0.0886,8378
0.572,86
0.0244,4731
-0.0683,7273
0.0767,3028
-0.0342,6633
0.12,2029
0.00928,5053
-0.0772,7409
-0.121,8544
-0.0225,7831
0.106,2841
0.063,3205
0.28,2102
