coef,rank
-0.195,8179
-0.25,10118
0.123,1777
0.458,689
-1.24,10570
-0.283,7262
-0.091,6002
-0.22,10184
0.105,1938
-0.0422,5953
-0.0827,7022
0.274,1362
-0.214,10190
0.0922,2105
0.0578,3793
-0.317,10636
0.579,857
0.711,587
0.15,743
0.0918,1389
-0.0209,5925
-0.125,9177
-0.158,7269
-0.00411,5344
0.0654,3626
0.19,1678
-0.0186,5379
0.0488,4077
0.066,3143
-0.18,6177
0.184,1852
-0.201,10319
-0.118,7868
-0.0479,5598
0.26,1039
0.134,3082
0.137,2065
0.0991,1713
-0.126,8547
-0.232,8734
-0.25,9951
-0.132,7954
0.295,172
-0.103,10171
0.189,1815
0.0742,3238
-0.0854,7114
0.24,1826
-0.0269,6708
-0.0261,6856
0.1,3502
-0.0388,6719
-0.0443,6123
-0.324,10397
-0.197,9004
0.0912,2012
0.149,1649
-0.104,6710
0.488,1000
-0.44,10798
0.0897,1858
0.0593,3607
0.0523,4313
0.254,1279
0.0778,2643
-0.0928,9256
-0.0741,7267
-0.202,10755
0.199,1069
0.01,4983
-0.114,8086
0.713,716
-0.0875,7877
-0.0482,6758
-0.0413,6516
0.223,1806
0.152,3354
-0.241,10780
-0.146,9305
-0.138,9553
-0.00415,5797
0.411,133
-0.456,10115
-0.0238,5460
-0.0156,6145
0.174,997
0.0377,4482
0.185,2551
-0.0376,5967
0.242,1916
0.0558,3332
0.0361,3682
-0.00171,5309
-0.121,7884
-0.0575,6042
-0.0792,6622
-0.191,8863
0.047,3661
0.0362,4510
-0.0354,7197
-0.291,10609
0.0363,4461
0.068,3288
-0.202,10441
-0.174,9773
-0.0892,7290
-0.222,8313
-0.231,9155
-0.265,10011
0.0635,3802
0.134,2570
-0.0731,7163
-0.125,5939
-0.0854,6788
-0.0371,6945
0.0471,3453
-0.368,10505
0.178,1471
-0.0605,7709
0.0476,4292
-0.271,10539
-0.0592,7715
0.0814,2605
-0.115,9331
0.427,713
-0.0865,5972
-0.105,9081
-0.0258,5896
-0.0497,6467
0.198,1369
0.11,3291
-0.0327,5918
0.129,1630
0.0386,4325
-0.247,9184
0.0292,4276
0.0842,3833
-0.174,7345
-0.102,8755
0.162,1315
0.522,373
0.0688,2947
0.0197,4854
0.0584,4087
0.0573,3864
0.153,1749
-0.2,8481
0.274,843
-0.193,10560
0.31,1270
0.0543,3664
-0.075,8244
0.252,3357
-0.247,9975
0.152,3430
-0.128,8138
-0.089,8349
0.167,1760
0.00165,5245
-0.0106,5601
-0.0868,7770
0.0357,4299
-0.0509,6643
-0.138,10555
-0.0347,6065
0.0118,5375
0.127,1624
-0.00106,5380
-0.203,9568
0.319,79
0.267,929
-0.349,9767
0.0568,3334
-0.01,5547
0.0721,1658
0.102,2312
-0.0872,8250
-0.227,9623
0.722,686
0.0995,1435
0.106,2547
0.291,886
0.0474,4092
0.0476,4129
-0.0116,5572
-0.00257,5339
-0.203,10511
0.291,355
-0.326,10373
0.273,298
0.269,2653
0.0207,4644
-0.0426,6900
-0.133,10636
0.0312,4278
-0.113,7719
-0.0232,5196
-0.128,9040
0.0625,4071
0.0293,4615
0.124,1488
0.0216,4728
-0.043,6257
0.244,2272
-0.0465,7178
-0.132,8963
-0.32,10676
0.571,774
-0.037,6298
0.0527,4259
0.0592,3425
-0.0927,8954
0.195,1186
-0.271,9948
0.196,2115
0.00177,4971
-0.0829,9651
0.0102,5128
-0.0308,6076
-0.117,8058
0.184,2394
0.257,1809
-0.12,8103
-0.144,9993
-0.079,8794
-0.177,8480
0.587,287
0.13,2516
-0.0602,7552
-0.0982,9199
-0.00427,5655
-0.238,10035
-0.0613,7099
-0.0977,7537
-0.208,8745
-0.00554,5767
0.0299,4367
-0.316,10491
-0.334,9689
-0.2,9244
-0.42,10788
-0.128,4506
-0.205,7902
-0.173,9829
-0.32,10782
-0.218,9749
-0.116,9150
0.0474,4310
-0.345,10717
-0.0808,7503
-0.804,9607
-0.00152,5248
0.0516,3351
0.181,428
0.644,341
0.116,3736
0.266,2059
-0.273,7628
-0.207,10196
0.0413,3938
0.294,328
0.137,2081
0.0335,4812
-0.0482,6512
0.131,2092
-0.161,8947
-0.0218,5302
-0.25,10560
-0.038,6514
-0.0645,6228
-0.069,7356
0.171,307
-0.166,9441
0.201,1475
-0.194,9073
-0.0332,6156
0.383,186
-0.0248,5585
-0.187,9353
0.231,1253
-0.0883,7160
0.179,1312
-0.122,8626
-0.264,10027
0.0392,4367
-0.0482,6231
0.196,1956
0.0655,3807
-0.0476,7625
0.084,3271
-0.335,10631
-0.357,10416
0.00166,5271
0.0211,4804
-0.00326,5717
0.344,53
-0.361,9956
0.0713,3323
0.00996,5014
0.238,1931
0.0799,3221
-0.0799,7785
0.0992,2748
-0.207,9300
0.0479,4192
0.141,3080
-0.19,10795
0.035,4409
-0.135,9173
0.278,1848
0.00229,4927
-0.01,5354
0.25,124
0.241,649
-0.225,10272
-0.211,7833
-0.18,8386
-0.0326,6110
0.113,3298
-0.219,8681
0.335,1224
0.106,2990
0.2,2087
-0.194,7355
-0.123,9446
-0.117,8507
0.036,4210
-0.0042,5230
-0.0377,6800
-0.233,8448
0.0386,3680
-0.0757,7864
0.366,1062
-0.0811,6563
0.0653,3476
-0.0845,6077
0.114,1916
0.0879,2428
0.177,977
0.149,1378
0.216,988
-0.0413,5956
-0.0852,8406
0.35,1425
-0.00402,5139
-0.00446,5568
0.0199,4453
0.125,2601
-0.0299,6228
0.0778,3378
0.212,3442
-0.393,8792
-1.18,10456
-0.168,5568
-0.217,7895
-0.577,9791
-0.115,7486
-0.135,8172
-0.108,8145
0.052,3854
-0.146,10502
-0.0225,6327
-0.254,6340
-0.0803,6919
-0.115,7506
0.0414,4652
-0.219,9995
-0.00313,5559
-0.2,7202
0.34,576
-0.0719,7580
0.124,2649
0.13,3059
-0.223,10684
-0.0685,7065
0.211,2041
-0.0301,5570
-0.309,8510
0.209,1516
-0.0947,8569
-0.0562,5964
0.117,1000
0.00487,5088
-0.658,10814
-0.00187,5416
0.0506,3864
-0.0191,5818
-0.169,8924
-0.42,9307
-0.061,6370
-0.0299,6258
-0.102,8213
0.0107,5213
-0.309,9384
-0.299,10615
-0.311,9218
0.142,2223
-0.0624,7557
0.533,799
-0.0467,6728
-0.162,8538
0.353,242
0.0037,5126
0.0904,2796
0.139,2537
-0.0723,6596
0.179,2242
0.19,3193
-0.0926,10865
0.0405,3925
0.0526,4096
-0.124,7558
0.0114,5049
-0.104,7290
-0.0262,6444
-0.027,7132
-0.00797,6597
0.0152,4836
0.37,1652
0.25,773
-0.336,9274
0.0109,4857
-0.026,5708
0.114,2999
0.383,495
0.0943,4019
0.226,1653
0.172,893
-0.000186,5027
-0.0711,6571
-0.135,7817
0.117,2868
-0.0883,8437
-0.0491,7170
0.14,2575
-0.0446,6321
0.893,4
0.325,178
0.121,3236
0.0197,4840
-0.0653,8200
-0.377,6830
-0.372,9854
0.241,1577
-0.43,10142
-0.0822,8224
-0.108,7736
-0.157,8221
-0.282,8398
-0.11,7191
-0.196,7867
-0.0736,7723
0.0265,4708
0.0822,4101
0.206,1044
-0.0923,6697
-0.101,7817
-0.0358,7081
-0.0763,8851
-0.38,10847
0.147,2470
0.31,439
-0.307,10923
-0.0652,7853
0.343,1123
0.117,3242
-0.27,9567
0.324,751
0.179,2466
-0.0184,5738
-0.0508,7013
-0.122,7635
0.307,736
-0.0965,8435
0.0811,3177
-0.247,10401
0.135,2483
0.0229,4452
0.231,2588
0.116,2101
-0.102,8200
-0.00137,5390
0.058,4037
-0.166,10136
-0.242,9668
0.742,114
0.0911,2883
0.0743,3111
-0.129,9493
0.0891,2726
-0.0891,8212
0.315,428
-0.0188,5918
-0.127,11023
0.131,2320
0.0189,4723
0.559,615
-0.0873,6035
0.0248,4715
0.0614,3390
-0.00938,5776
0.00313,5133
-0.105,7500
0.654,879
-0.118,8152
0.0765,1903
-0.196,10619
0.0544,4353
-0.0953,7784
