coef,rank
-0.00411,5250
0.173,1942
-0.113,9112
-0.0793,6304
0.312,2739
-0.4,8591
0.623,860
0.0294,4605
-0.025,6007
0.0173,4608
-0.275,10231
0.105,3342
0.0292,4353
0.00282,5210
-0.157,9589
-0.0245,5993
0.543,973
0.0515,4277
-0.00855,5906
-0.0772,9430
-0.0331,6250
0.261,329
-0.161,7320
0.758,155
0.0298,4562
-0.00829,5321
-0.105,6902
-0.13,7778
0.0854,2563
0.0432,4235
0.17,2070
0.108,2292
0.0713,3931
0.27,2165
-0.257,10021
0.22,2036
-0.217,10345
0.0152,4634
-0.0494,6681
0.207,2352
-0.106,7590
-0.00588,5322
0.303,149
0.0607,2299
0.01,5062
-0.1,7931
-0.0948,7325
-0.281,9298
0.258,18
0.0345,3591
0.0895,3676
-0.0441,6872
0.314,910
-0.027,5823
-0.0521,6120
0.123,1284
0.135,1881
-0.0225,5387
0.0945,3998
0.0928,3533
-0.00656,5620
0.043,4114
-0.166,8359
-0.39,10797
-0.128,9745
0.0834,1867
0.141,2096
-0.122,9601
-0.231,10566
0.0851,2621
0.144,2125
1.29,76
0.302,205
-0.234,10546
0.0541,4132
0.125,3065
-0.165,7280
0.0909,2679
-0.156,9508
0.0395,4150
0.152,1811
-0.0448,6490
-0.428,9935
-0.104,6718
-0.094,8926
0.00442,5147
-0.39,10984
0.304,1364
0.0709,3480
0.113,3340
-0.0279,6608
-0.2,10943
0.0834,3538
-0.311,10489
0.33,1166
-0.484,10917
-0.258,9728
0.165,998
-0.259,8876
-0.0653,8335
0.354,314
0.14,2535
-0.0504,7128
-0.00438,5417
0.277,368
-0.33,10679
-0.357,9840
-0.0206,5629
-0.26,9964
0.0589,3905
0.093,3264
-0.051,6567
-0.012,4923
-0.124,7481
-0.063,7809
-0.00115,5591
-0.0915,7092
0.0596,3863
0.0716,2757
0.0107,5097
-0.05,6624
0.166,659
0.022,4565
0.0523,3557
0.366,1026
-0.0567,5603
-0.155,10135
-0.091,7365
0.0798,3948
-0.0413,6113
0.217,1782
0.082,3647
0.0537,3553
-0.13,9047
0.467,447
-0.0671,7662
1.24,1175
0.0444,4661
0.0935,2166
0.0909,2699
-0.383,10377
0.125,1483
0.339,1000
-0.396,10963
-0.0049,5346
-0.116,8775
0.144,2773
-0.0635,6823
0.028,4565
0.49,403
0.281,267
-0.0681,7978
-1.22,9973
-0.0346,5848
0.65,525
-0.328,10692
0.105,2316
-0.178,9576
-0.304,9812
-0.226,10036
0.0687,3665
0.0439,4057
-0.0835,7422
0.109,1025
-0.00444,5274
0.0622,4138
-0.044,6971
0.0718,2764
0.0397,4625
-0.107,8944
-0.0999,7679
-0.473,10578
0.0564,3347
-0.0774,8049
-0.0222,6720
0.167,1200
-0.0251,6188
-0.0836,7112
0.0784,4428
0.000854,5248
0.109,2477
-0.06,6848
0.0104,5013
0.0675,3626
0.0851,2140
0.0238,3732
-0.103,8714
0.203,1042
0.146,2596
-0.19,10214
-0.386,8929
-0.0536,7143
0.134,1683
-0.0794,9479
-0.0603,7223
-0.18,9009
0.321,1383
-0.244,10695
-0.222,9461
0.31,723
0.207,380
0.0202,4756
0.131,1914
-0.00407,5366
0.0026,5114
-0.214,10299
-0.00572,5495
0.0999,3914
-0.217,10029
-0.247,10011
-0.0571,7142
-0.0483,7373
-0.119,8594
0.192,2021
-0.279,9958
0.0366,4268
0.0509,2843
-0.0622,7585
0.227,1108
-0.0259,6008
0.403,709
0.208,2268
-0.245,10073
-0.00803,5614
0.0708,2306
-0.124,7584
-0.251,9129
-0.14,8917
0.0874,2606
0.0822,2432
0.00882,5086
0.297,852
0.0546,4296
-0.135,8341
0.232,1851
-0.0908,9737
0.2,1449
-0.156,8464
0.215,2515
-0.0282,5566
0.0225,4720
0.809,1665
-0.169,7447
0.147,1800
0.165,1700
0.112,3150
-0.164,10116
-0.0205,6013
-0.0449,6391
-0.0674,7130
0.847,1673
-0.0331,5785
-0.0909,8658
-0.134,10060
0.568,531
0.139,3469
-0.235,8337
-0.575,10289
-0.148,9302
0.21,748
0.184,1225
0.0322,4495
-0.0447,6594
0.0215,4875
0.00361,5291
0.0762,3495
-0.325,9553
0.0534,4071
0.188,1462
-0.226,8940
-0.0246,6208
-0.0455,7701
-0.0101,5378
-0.108,7768
-0.163,8619
-0.143,8897
0.0783,3217
-0.213,9000
0.16,2189
-0.189,9215
-0.111,7625
-0.0503,6916
0.164,1491
-0.463,10948
-0.143,8468
-0.145,8005
0.449,337
-0.116,8267
0.0632,2979
0.186,1467
0.48,136
0.28,1445
-0.0563,6416
-0.128,7807
-0.0253,6675
-0.0945,8632
-0.0962,6625
-0.0644,6947
0.901,32
0.144,2901
