coef,rank
-0.134,7258
0.0234,4777
-0.0182,6127
0.116,3417
-0.921,9721
0.815,969
-0.154,6676
-0.257,10540
-0.00409,5293
-0.0276,5639
0.172,2020
-0.125,7567
-0.181,9794
-0.0235,6290
-0.00746,5771
0.142,2618
-0.394,9434
0.15,3418
-0.157,10564
0.00121,5578
0.152,1688
-0.0761,7745
-0.327,9334
-0.145,7359
-0.238,10437
0.14,2409
-0.263,9288
0.595,40
0.00404,5465
-0.352,7848
0.284,834
-0.253,10757
-0.198,9306
-0.112,6436
0.0525,4012
-0.16,8069
0.0211,4921
0.044,3481
-0.169,9443
0.26,1843
-0.05,6388
0.00122,5139
-0.0774,7982
0.152,249
-0.122,7998
0.0498,3829
-0.0348,6119
-0.312,9650
-0.05,7793
0.109,925
0.596,116
-0.137,9168
-0.0822,6842
0.0433,4385
-0.0267,5562
0.0317,3957
-0.117,8414
-0.293,9469
-0.14,6957
-0.132,7487
-0.0334,6907
-0.0783,8273
0.0777,3898
0.0918,3410
0.0399,3871
0.147,585
0.291,506
-0.013,6025
0.0274,4654
-0.0106,5694
-0.0303,6008
0.54,1264
-0.0475,6660
-0.206,10256
-0.167,9306
-0.215,9039
0.282,2132
-0.0224,6275
-0.246,10629
-0.173,10165
0.106,2820
-0.0191,5799
-0.587,10659
-0.322,9648
0.0965,2183
-0.0599,7330
-0.202,10052
-0.0774,6696
-0.207,9498
0.0601,4095
-0.0335,6840
-0.00767,5816
-0.301,10407
0.0697,3728
-0.0565,6022
0.493,334
0.293,1049
0.0511,3547
-0.213,8251
-0.0408,7443
-0.119,8171
-0.256,10106
0.266,310
-0.145,9533
0.0805,2986
-0.194,9349
0.142,3170
-0.0319,5834
-0.0322,5933
-0.0585,6663
0.0303,4508
-0.188,9638
0.214,3208
-0.111,7269
-0.105,9078
0.22,177
0.182,2438
-0.117,8649
0.026,4351
0.716,12
-0.0587,6842
-0.0457,7204
0.143,1207
0.000365,5495
-0.199,8429
-0.185,7163
0.0807,2510
-0.202,9404
0.198,2136
-0.088,7245
-0.00652,5441
-0.197,9114
-0.128,9379
-0.11,8613
-0.0848,6627
0.101,2196
-0.443,7178
-0.0316,5610
-0.00755,5468
0.103,2426
-0.0954,7064
0.258,151
-0.121,7430
-0.0387,6404
-0.119,8308
0.0193,5034
-0.0304,5562
0.0259,4656
-0.0743,8142
0.364,918
-0.141,9295
-0.0303,6591
-1.79,10772
0.571,38
-0.107,6392
-0.055,6530
0.0166,4889
0.553,25
0.0643,4254
0.237,1017
-0.032,6316
0.167,1384
-0.13,8454
0.0137,4632
-0.35,10895
0.203,1573
0.0335,4197
-0.183,10583
-0.0486,6621
0.0373,4095
0.108,3049
-0.13,6927
0.111,1849
0.148,1042
-0.0238,6832
-0.00893,5367
0.0593,3321
-0.103,7511
-0.242,7899
0.0403,3423
-0.0482,7081
0.0616,4087
-0.00364,5400
0.0704,3559
-0.0618,7543
0.067,1732
0.0515,3732
0.122,2263
0.018,4758
0.0427,4098
0.3,2439
0.115,2121
-0.0447,6974
0.1,1151
-0.133,9257
-0.146,8392
-0.0756,6024
-0.0328,6466
-0.0517,6374
0.246,1219
-0.0732,8178
-0.217,9172
-0.0227,5644
0.078,4173
-0.107,9322
0.0382,4368
-0.00379,5452
-0.606,10774
-0.117,8259
-0.0149,5742
-0.0215,5976
0.058,3038
0.0808,3218
-0.0579,6428
-0.289,10065
-0.138,7992
0.0518,2802
-0.054,7316
-0.227,10041
-0.11,7934
-0.0174,5320
-0.286,9406
0.214,1575
-0.0293,6442
-0.0464,7488
0.461,381
-0.121,7092
0.102,3066
-0.142,9754
-0.066,8177
0.0367,3975
0.0743,3709
-0.00553,5701
-0.255,10146
-0.0748,6546
0.0748,1887
0.05,3943
-0.0558,6393
0.115,3655
0.312,557
0.194,2014
-0.412,7102
-0.183,7610
-0.0292,6230
-0.264,10406
0.354,486
0.061,3224
0.183,1723
-0.0968,7509
-0.189,9771
0.889,1575
-0.113,7094
-0.101,8962
0.0331,3984
-0.232,8601
-0.113,6723
0.0887,3908
0.0227,4327
-0.0156,5843
0.112,2208
0.2,1043
-0.144,9185
-0.0722,7234
0.0165,4999
0.292,399
-0.0962,7582
0.227,2070
0.182,1523
-0.0409,6577
-0.188,8369
-0.0125,5895
0.0912,1562
0.0104,4826
0.237,1089
-0.22,9419
-0.0236,5886
-0.266,10502
0.603,80
-0.119,8121
-0.0807,7122
0.0317,4813
0.0116,5110
-0.0225,5936
-0.0817,7237
0.0633,3882
0.493,286
0.245,1420
-0.178,9472
0.121,1338
-0.184,9699
0.0134,4787
0.046,4449
-0.113,7520
-0.339,10547
0.123,1415
-0.185,10421
-0.00607,5268
-0.105,7945
-0.0891,6652
-0.0748,6115
-0.144,8966
-0.0865,7978
0.101,2716
0.119,2726
0.0776,3528
0.735,176
-0.0644,8057
0.114,2925
5.18e-05,5321
0.603,344
-0.444,10662
-0.119,8816
-0.149,10139
-0.0412,6596
0.261,685
-0.16,7216
-0.209,8794
-0.035,6156
0.447,515
-0.335,10063
0.361,1057
0.225,1155
-0.114,7140
-0.107,6315
0.0376,3818
-0.178,9738
0.296,229
-0.294,10705
-0.211,10888
0.328,1696
-0.0472,7298
-0.00375,5527
-0.124,7466
-0.0572,6125
-0.0587,7111
-0.159,7107
0.217,491
0.0919,2336
-0.0445,6924
-0.201,10471
-0.0854,7845
0.0651,3946
-0.192,10581
-0.293,9252
0.0585,4264
0.077,2110
-0.0872,8965
-0.215,9432
0.153,1354
0.0883,3141
-0.192,5750
0.717,704
-0.672,8228
0.787,1290
0.781,226
-0.268,7194
-0.358,10581
-0.106,7622
-0.234,10280
-0.0579,6642
-0.0308,6965
0.0651,2091
-0.262,6397
0.161,2483
-0.197,9016
-0.0452,6281
-0.00585,5690
0.0539,3131
-0.31,8659
-0.0283,5958
0.151,2027
0.119,2744
0.122,3159
-0.121,9204
-0.0501,6620
0.125,3074
0.00312,5007
-0.38,9117
-0.0745,7064
0.00824,5071
0.232,2071
0.0473,3137
0.0104,4985
0.703,545
-0.0429,6680
-0.0956,8129
0.0387,4163
-0.289,10436
-0.234,7315
-0.0281,5638
0.151,1217
0.0621,3502
0.193,1534
-0.133,7018
-0.136,8464
-0.283,8886
-0.0931,7558
-0.114,9098
0.139,3488
-0.065,7284
-0.13,7955
0.0108,5029
-0.237,10404
0.289,303
-0.0568,6808
-0.0997,7150
0.271,1255
-0.233,7525
-0.0666,10348
-0.0486,6785
-0.116,7796
0.298,1612
-0.124,7761
-0.297,10272
0.0687,3048
-0.118,10680
0.04,1351
-0.124,8201
-0.401,9834
-0.27,10493
0.571,602
0.0107,4872
0.168,2343
0.0493,4160
-0.166,8364
0.163,3381
0.313,910
0.248,262
0.139,2091
-0.183,8461
-0.02,5568
-0.0636,6997
-0.084,8301
0.255,352
-0.0892,7517
-0.0989,7678
0.0174,4970
0.19,1046
-0.0196,5527
0.195,809
0.01,5022
-0.391,6977
0.815,217
-0.127,7693
-0.0872,6318
-0.162,10093
0.678,33
-0.287,9938
-0.361,9347
-0.0491,6032
-0.33,9478
-0.0519,7063
-0.238,8437
-0.113,7158
0.0812,3172
-0.0652,6261
0.0125,5078
0.0752,2370
-0.122,10130
-0.159,8703
0.0889,3461
0.0322,4685
0.076,3105
0.273,107
-0.329,10046
0.117,3251
-0.0841,6734
-0.198,9712
0.0728,4021
-0.0504,6587
-0.0103,5792
0.0575,4113
-0.164,8564
0.107,2127
0.0673,3466
-0.0809,7294
-0.228,10186
-0.00499,5218
0.585,495
-0.0778,7433
0.117,2628
0.109,1864
0.476,572
0.201,675
-0.0962,7202
-0.565,10978
-0.19,9926
0.0675,3298
-0.148,9869
0.0236,4433
-0.0152,5870
-0.0412,6493
-0.0396,6466
-0.0311,8521
0.0168,5059
0.0523,3516
-0.454,10327
-0.15,6853
0.143,1661
0.172,1210
0.169,907
0.0746,3441
-0.171,8778
-0.488,9907
-0.0811,7233
0.00996,4676
0.178,580
-0.372,9642
0.282,814
0.0609,4237
-0.0285,5862
-0.278,9409
-0.0778,8510
0.0751,4203
-0.173,7046
0.222,2788
0.195,2955
0.0165,4456
-0.057,7468
0.114,2103
0.189,655
-0.138,7349
0.0717,3556
0.079,2550
0.124,2638
-0.246,7391
-0.584,10969
-0.276,9549
0.135,3853
0.0707,2968
-0.064,7341
-0.0594,6357
0.231,1279
-0.0498,6577
0.0545,4467
0.186,767
-0.0368,7295
-0.431,8363
-0.0636,5198
0.261,3205
-0.466,8704
-0.00985,5686
0.144,3002
0.0482,3840
-0.199,9309
0.0209,4718
0.252,852
-0.0596,6951
-0.0409,6223
-0.127,8662
0.395,146
0.0549,4505
-0.0877,5955
-0.0677,7275
-0.169,8627
-0.0719,6740
-0.115,7937
0.138,2421
-0.303,10527
-0.221,10156
-0.0416,5955
0.023,4668
-0.179,9976
-0.179,8796
0.353,456
-0.207,10547
0.0481,3829
-0.184,9872
-0.0317,6238
-0.171,8175
-0.0212,6133
0.404,42
0.204,2179
-0.213,9800
-0.118,8206
0.118,2729
-0.148,8623
0.00228,5261
0.057,2993
-0.318,8887
0.309,327
-0.0314,5607
-0.171,6562
-0.0246,6163
0.366,153
0.39,997
0.207,570
0.103,2181
-0.207,9492
-0.0973,8445
-0.169,9904
0.152,1987
-0.0681,7614
0.499,705
0.317,1752
0.0951,1294
0.0329,4620
-0.266,9580
0.0573,3813
0.168,2168
-0.0329,6377
0.234,867
0.0975,2732
-0.0811,6944
0.0637,4069
0.455,102
-0.272,9720
-0.0246,5893
-0.0569,7514
-0.0558,5790
0.116,1271
-0.244,8330
0.452,1660
-0.296,10883
0.0431,4211
0.0551,4145
-0.0429,6296
-0.194,8215
-0.0199,5731
-0.158,9354
0.0105,5068
-0.0725,8574
0.0045,5297
-0.0282,6221
-0.341,10856
-0.00559,5362
0.214,2098
-0.0408,6740
-0.203,8466
2.24,8
-0.203,10444
-0.0361,6841
-0.0547,7986
-0.0348,6813
0.201,2149
0.00578,5144
-0.0828,8482
0.0456,3022
-0.153,9616
-0.166,8087
-0.342,10357
-0.36,10288
0.218,1589
-0.0328,5958
-0.115,7252
-0.134,8519
0.176,2695
-0.0413,6427
-0.106,9184
0.0702,3048
1.58,971
0.0562,3636
-0.169,7515
0.0475,4302
-0.0991,9490
-0.241,8330
-0.213,6613
-0.54,7108
0.0943,3948
-0.485,9572
0.377,983
0.148,2818
0.1,2709
0.0292,4817
-0.107,8918
0.0301,3677
