coef,rank
0.25,1980
-0.168,9025
-0.0161,6057
-0.149,7409
-0.14,5027
0.219,3383
1.37,50
-0.0363,6420
-0.0387,6502
-0.151,8484
0.27,981
0.0424,4384
0.353,171
0.0954,2024
-0.113,8693
-0.188,9297
0.316,2149
0.319,2161
-0.133,10206
0.0593,2541
-0.154,9285
-0.0321,6388
-0.351,9556
-0.0621,6213
0.219,980
0.0143,4815
-0.0593,6126
0.15,2393
-0.107,9269
-0.713,10334
-0.0442,6336
-0.041,6670
-0.227,9713
0.769,243
-0.299,10414
-0.139,7743
0.291,385
0.0802,2230
0.0692,3446
-0.032,5527
-0.0631,6696
0.0925,3348
-0.159,9926
-0.195,10996
-0.366,10821
0.138,1949
-0.0756,6920
-0.0903,6343
-0.0214,6389
0.0937,1338
0.346,832
0.086,3317
0.52,181
0.247,1403
0.164,2078
-0.0138,5812
-0.0211,5725
-0.299,9550
0.253,2403
-0.138,7593
-0.0221,6356
-0.0933,8703
-0.126,7655
0.0135,4862
0.0628,3120
-0.0512,7675
0.335,306
-0.0576,7707
-0.123,8873
0.0525,3571
0.357,303
-0.309,8271
-0.0262,5990
0.14,1726
0.368,302
-0.223,9148
-0.426,10092
0.282,241
-0.0705,7387
0.0598,3484
-0.122,9038
-0.21,10012
-0.0518,5865
0.0311,4649
0.0493,3637
-0.0262,6206
-0.123,8649
0.074,4136
0.0992,2943
-0.353,10058
0.0341,4111
0.127,869
-0.174,8862
0.0824,3475
-0.163,7797
0.175,2475
0.138,2798
0.0353,4053
-0.168,7598
0.00393,5449
-0.0616,6768
-0.162,8781
-0.123,9190
0.112,2115
-0.0157,5682
-0.0632,6705
0.125,3363
0.00989,5037
0.397,442
0.168,1891
0.32,669
-0.0384,6238
-0.356,8272
0.0518,4332
0.175,844
0.0139,4887
0.447,430
0.135,2210
-0.0909,8773
0.0278,4721
0.069,3749
0.0656,2806
-0.0635,7802
-0.0702,8016
0.0773,4068
0.367,1795
0.058,3231
-0.0137,5641
-0.155,8404
0.193,1417
-0.434,10940
0.11,3208
-0.089,8400
0.034,4467
-0.249,9206
0.0539,3465
-0.726,8992
-0.396,9707
-0.0302,6331
-0.0731,7637
-0.358,10233
-0.0306,6806
-0.296,9835
-0.201,9684
0.294,517
-0.0877,8074
0.109,3265
-0.326,10747
0.0606,3544
0.0553,4202
0.443,13
0.152,1034
-0.906,8974
-0.0223,5565
0.46,1190
-0.194,9334
0.00479,5289
-0.181,9629
-0.0723,6507
-0.0779,7330
0.0861,3259
-0.0492,6952
0.212,1460
0.0353,3550
-0.106,7861
0.0929,3442
-0.145,9782
0.0822,2475
-0.0267,6149
0.252,268
-0.207,9682
-0.34,9667
-0.192,10426
0.09,2206
-0.0358,7487
-0.119,8640
0.0786,2752
0.177,2229
-0.4,9445
-0.0374,7052
-0.0515,7187
0.12,2964
-0.0409,6396
0.138,2235
-0.00461,5259
-0.102,10174
0.0511,3742
0.00392,5254
-0.2,8920
-0.0883,8137
-0.243,7399
0.152,1395
-0.163,9975
0.00942,5077
0.21,645
0.0319,4503
-0.189,7744
0.0855,2895
-0.202,9163
-0.0522,6449
0.298,69
-0.319,10301
-0.0772,7230
0.146,3349
-0.043,7024
-0.0572,7091
-0.0857,7330
0.501,1013
0.224,1179
-0.082,7202
0.256,361
0.145,874
-0.26,10640
0.547,139
-0.131,7809
-0.0951,7075
0.0415,3313
0.141,1603
-0.249,10296
-0.0452,6456
-0.0936,6617
-0.19,8114
0.244,1256
0.0281,4205
-0.14,10356
-0.0303,5827
0.0572,4220
0.315,473
0.0987,2300
-0.107,9455
0.114,1565
0.0622,3937
0.0123,5296
-0.224,9803
-0.19,8482
0.0214,4260
-0.106,7718
-0.187,9050
0.338,1507
-0.0496,6057
0.0863,3544
-0.344,6428
-0.171,7471
-0.0381,6524
0.00723,4885
0.122,2974
-0.183,10377
0.00378,5404
0.244,1333
0.164,1663
-0.128,6097
-0.103,6930
-0.112,9240
0.0354,3889
0.101,3785
-0.277,8873
-0.213,8037
-0.596,10385
0.00688,5229
-0.0368,6365
0.0716,3346
0.236,726
-0.418,10965
0.111,3024
-0.0308,6305
0.0345,4415
0.285,1604
0.268,616
-0.0112,5821
0.0711,3918
0.141,2374
-0.0216,6524
0.128,2048
-0.28,10415
0.408,463
-0.345,10927
-0.215,9956
0.0825,3552
-0.12,8152
0.183,1759
0.39,601
-0.156,9446
-0.0197,5853
0.0487,4617
0.126,2656
-0.0551,6367
-0.145,7918
-0.247,10352
0.076,2515
0.00132,5383
-0.00618,5172
0.0438,4501
-0.0888,7052
0.298,1035
0.0997,1973
-0.195,10526
-0.0307,5631
0.0334,4262
-0.0935,6735
0.651,177
0.314,335
0.347,91
-0.131,8825
0.172,1944
0.0496,4148
-0.231,8264
-0.0258,6420
0.219,1498
-0.0785,7714
1.11,21
0.923,54
0.235,381
-0.039,6833
-0.0782,7717
-0.092,7977
0.525,869
0.478,547
0.000501,5425
