coef,rank
-0.363,10011
0.0244,4753
0.0338,4269
0.0102,4907
-0.526,7624
-0.202,6425
0.465,1480
0.087,3198
0.352,42
0.0974,3000
-0.119,7756
0.134,2947
0.192,1130
-0.0282,6460
0.235,675
-0.0883,7421
1,164
-0.245,7567
-0.123,10028
0.0907,1430
-0.0378,6384
0.0056,5098
0.112,3519
-0.00896,5424
-0.241,10450
-0.264,10131
-0.19,8295
0.125,2762
-0.078,8476
-0.197,6327
0.255,1100
-0.104,8506
0.791,14
1.03,55
0.122,2724
-0.0111,5537
0.059,3842
0.0112,4806
0.0164,4826
-0.357,10175
-0.196,9216
0.175,2058
-0.181,10279
-0.0771,9373
-0.0283,5923
0.00965,4893
0.125,3036
-0.234,8633
-0.0722,8776
-0.0506,8123
-0.313,10273
0.0129,5250
0.0827,3663
0.0726,3819
-0.00887,5171
-0.127,9774
0.0609,3400
0.15,2834
-0.396,9922
0.137,2849
-0.0789,8732
0.0584,3635
-0.0469,6175
-0.0702,6609
-0.0701,8074
0.0231,4172
-5.46e-05,5285
0.212,394
-0.0397,6695
-0.0717,7801
0.287,626
-0.11,6074
0.0231,4409
0.173,1246
-0.229,10154
0.254,1524
-0.493,10472
-0.0756,8012
-0.165,9674
0.0886,2730
-0.314,10939
0.34,310
-0.229,8067
-0.16,7537
-0.0843,8626
-0.0834,8076
-0.142,9037
-0.0436,6096
-0.115,7763
-0.164,7764
0.104,1952
-0.165,10751
-0.0642,6695
-0.319,10548
0.161,2765
0.171,2522
-0.224,9320
-0.0238,6182
0.675,241
0.0193,4797
0.000301,5244
0.069,3812
0.0764,3030
-0.0242,6108
0.352,126
-0.139,8337
-0.441,10424
-0.315,10068
-0.156,8429
-0.114,7927
0.167,2121
-0.21,9958
0.0965,4025
-0.0492,6158
0.0479,3748
-0.112,9767
0.155,2799
-0.074,7607
0.0283,4261
-0.232,9677
-0.0249,5970
-0.0661,7975
0.0161,4785
-0.0368,6850
0.411,804
-0.0387,5396
0.0578,3235
-0.0884,7312
0.102,3555
-0.138,8383
-0.195,9070
0.297,1123
0.0145,4866
-0.251,10684
0.109,3419
0.0612,3240
5.08,9
0.551,860
0.111,1740
-0.137,9285
-0.433,10641
0.0453,3816
0.446,476
-0.143,8692
0.0474,4084
-0.0253,6338
0.00334,4952
-0.141,8536
0.223,555
-0.196,8549
-0.18,10008
0.068,3052
-0.38,6421
0.137,2417
0.69,432
-0.0158,5616
-0.101,8688
0.208,1212
0.0956,3767
-0.00106,5359
-0.151,9175
0.00305,5289
-0.205,9689
0.128,670
-0.121,8221
0.196,1654
0.218,466
-0.0884,8577
0.0935,3513
-0.0966,8659
-0.193,9485
-0.169,7497
0.169,897
0.00324,5042
-0.0209,6627
-0.179,9852
-0.113,9038
0.185,2125
-0.182,7245
0.114,1114
-0.0481,7079
-0.288,10539
-0.165,9286
0.316,406
-0.018,5820
0.00386,4912
0.0542,3644
0.00169,5335
-0.277,9932
-0.336,10994
0.0851,4066
0.181,964
-0.22,10588
-0.0163,6523
0.0959,2466
-0.0552,6431
0.459,678
0.239,503
-0.136,8053
-0.185,9144
-0.0107,5783
-0.177,8532
-0.156,9179
-0.423,10395
-0.0945,8947
-0.0601,7174
-0.147,8632
0.254,2468
-0.197,9751
0.215,1668
-0.0413,6653
-0.163,10497
0.0845,3133
-0.0684,6637
-0.247,9604
0.178,1921
0.128,567
-0.00696,5701
-0.177,9337
-0.199,9511
0.198,2212
0.156,2876
-0.278,10360
0.00594,5083
0.15,576
-0.00586,5347
-0.091,6589
-0.228,10211
0.142,1363
0.155,794
0.0438,3689
-0.207,9629
-0.197,9684
-0.0382,6280
-0.305,9968
0.0182,4424
0.337,421
-0.075,6822
-0.161,7675
-0.341,10689
0.233,1606
-0.506,8036
0.376,1617
-0.209,10325
-0.0914,7487
-0.0173,5833
0.0414,3823
0.0773,3625
0.434,260
0.221,960
-0.197,6505
-0.171,8039
0.127,1313
-0.0555,7834
-0.402,10299
0.545,666
-0.351,9605
-0.133,6002
-0.22,10357
-0.13,8903
0.182,1263
0.0385,4333
-0.261,10284
-0.238,10048
-0.157,9486
-0.0584,6675
-0.00817,5097
0.212,1123
0.254,801
0.446,506
0.00319,5506
-0.0752,8960
0.187,1173
0.0755,3415
-0.167,8692
-0.0757,7285
0.111,2565
-0.0211,5498
-0.166,9024
0.0821,3440
-0.0795,6996
-0.0724,7556
-0.0283,6082
-0.306,10387
0.113,2905
-0.355,10504
-0.172,8406
0.401,171
-0.146,10342
0.171,1666
-0.37,10782
0.0368,4619
-0.159,8360
0.579,101
-0.0526,7822
-0.00576,5604
-0.183,7875
-0.149,8927
-0.06,6168
-0.182,7866
-0.00156,5323
-0.321,10980
-0.173,9597
0.157,2147
0.186,1668
0.0302,4490
0.0492,3027
-0.135,7892
-0.0625,7220
0.2,2538
-0.301,9652
0.202,616
-0.139,9958
-0.0575,7113
0.389,132
0.309,2018
0.296,1546
0.0981,3486
-0.0491,5994
-0.303,9756
0.0799,3996
0.0183,4990
0.493,284
0.452,1569
0.00976,4911
0.131,2244
-0.283,10903
0.139,2072
-0.0982,9088
0.424,1119
0.24,135
0.00933,5089
-0.079,6670
-0.0316,5668
0.0293,4457
-0.138,6816
-0.0442,6758
0.0977,2185
0.00426,5216
-0.13,9318
0.0551,3936
-0.466,10917
0.124,1526
-0.265,8891
0.0273,4695
-0.0507,7726
-0.0662,8214
-0.162,8541
-0.0579,7130
-0.17,9425
-0.239,6089
-0.00601,4835
-0.127,4243
-0.0339,4582
-0.269,8517
-0.769,10604
0.14,2995
0.626,50
0.0281,4661
0.186,1482
-0.15,10552
-0.149,10619
-0.124,5242
0.763,21
0.0341,4474
0.143,2980
0.383,263
0.181,451
-0.114,6037
-0.0988,7491
0.261,685
0.436,164
0.281,1378
-0.00186,5399
0.161,2109
0.29,1360
-0.0392,5718
1.65,10
0.431,202
0.0297,4347
-0.409,10412
-0.0546,8057
-0.219,9338
0.568,930
0.00299,5265
-0.105,8386
-0.0586,6941
0.00953,4990
-0.114,5946
-0.238,9622
-0.0138,5683
-0.234,10494
0.0285,4789
-0.432,10451
-0.0116,5634
0.197,2627
0.0907,3195
-0.095,8561
-0.296,8895
-0.112,8502
0.536,97
-0.123,8390
-0.0605,6930
0.127,1992
0.195,1679
-0.223,9264
-0.137,8018
-0.0482,5453
0.0413,1873
-0.0753,7637
-0.111,7685
0.0637,4442
-0.0396,6055
-0.0104,5404
0.256,208
-0.0667,9268
-0.0108,6929
-0.0534,6523
-0.318,9109
-0.0147,5507
-0.0931,6248
0.0245,4210
0.0631,3992
-0.199,9051
-0.11,7311
-0.0983,6105
0.154,2605
-0.00142,5530
0.0478,3857
-0.137,7740
-0.25,9620
-0.126,8415
-0.0226,5952
-0.0409,6887
-0.325,10700
0.156,2003
0.0849,3744
0.118,2243
0.228,1945
-0.00224,5633
-0.192,10824
-0.396,7039
-0.39,9979
-0.0204,5586
0.0955,3981
0.142,1365
-0.00786,5693
0.179,2507
1.31,38
-0.218,8975
-0.123,6786
-0.208,10382
0.364,1221
-0.303,9733
-0.116,8367
-0.427,10458
0.0758,3580
0.21,195
0.014,4765
0.0415,4406
0.0283,4690
0.263,726
-0.16,9583
-0.145,9999
-0.328,10040
0.259,1471
-0.351,10270
-0.0546,6966
0.101,3595
-0.196,9815
0.0701,3330
-0.104,7322
-0.0685,6597
0.0702,3089
-0.231,10242
-0.148,8919
-0.213,10013
0.0507,3676
-0.105,7060
0.127,1886
-0.168,9503
-0.0701,7818
-0.221,8355
0.0457,3856
0.371,502
-0.106,6978
0.0548,3750
-0.193,10285
-0.00913,5739
0.105,2342
0.122,2047
0.142,2196
0.0171,4881
0.00214,5409
0.187,1439
-0.0686,7876
0.0984,3872
0.116,3633
-0.00441,5707
-0.0484,6909
-0.0813,8323
-0.298,10594
-0.259,9991
-0.606,10541
0.29,522
-0.052,7738
-0.128,9583
0.198,2769
0.121,2816
0.335,1934
0.122,2965
0.00664,4747
-0.216,10864
-0.208,7302
-0.501,10253
-0.278,8759
0.048,4597
0.21,247
0.117,1823
-0.0844,8340
-0.167,10041
0.00965,4995
0.242,1006
-0.0545,7161
-0.0417,6413
-0.22,7074
-0.189,8253
0.397,1061
-0.466,8875
-0.124,9356
-0.0478,6856
0.118,2656
0.257,1028
-0.31,10796
0.234,2129
-0.112,8830
0.059,2709
0.785,1725
-0.679,10160
-0.796,10549
-0.733,10144
-0.0999,8379
0.601,183
0.0276,4445
-0.277,10232
-0.21,9352
-0.0729,7257
0.00143,5080
-0.285,10401
0.388,166
0.142,2071
0.298,2360
0.138,4084
-0.0831,7703
-0.117,7687
-0.31,10501
-0.302,10636
-0.15,8548
-0.0638,6602
-0.0193,5782
0.0538,4056
0.000112,5283
0.111,2166
0.18,2019
0.0905,3412
0.235,488
-0.00249,5482
0.263,657
0.142,1912
-0.183,8365
-0.00952,5708
-0.0614,7409
0.54,231
0.0404,4343
-0.0422,6495
0.144,2301
-0.0219,6006
0.0205,4733
0.163,615
-0.0931,6238
-0.266,10563
0.123,2802
1.46,105
0.119,2175
0.0695,3418
0.176,2705
0.101,2232
0.0188,4749
-0.0176,5634
0.0029,5272
0.105,2335
-0.156,9426
-0.0465,6865
-0.32,9507
0.00193,5290
0.0279,3957
-0.1,7609
-0.103,7073
-0.0637,7010
-0.0119,5536
-0.334,10932
0.0848,3234
-0.166,9740
0.0336,4706
-0.27,9416
0.0742,3615
-0.286,9884
0.186,1043
-0.122,9500
0.299,1661
-0.137,10193
-0.303,9013
-0.163,6133
-0.133,9180
0.0799,3201
-0.0315,6059
-0.013,5461
-0.216,8540
-0.343,10648
-0.186,9860
-0.154,9973
-0.156,10580
0.295,320
-0.0258,6155
0.238,1047
0.161,1286
-0.378,10483
0.149,922
0.0921,3827
-0.0729,5410
-0.0951,8467
0.0322,3891
-0.088,9239
0.165,1269
-0.273,9950
0.00136,5235
-0.126,9685
0.015,4607
-0.16,9743
-0.0395,5813
-0.0494,6250
-0.134,7437
-0.359,10764
0.0379,4294
-0.0314,5781
0.222,1150
0.115,3492
-0.00521,5379
0.183,647
-0.0632,7254
-1.4,10915
0.146,1397
-0.0586,5888
-0.0566,6204
-0.0447,7561
1.22,38
-0.395,8162
0.499,2321
-0.296,8708
0.448,1730
-0.0714,6200
0.0901,3716
-0.0844,8231
0.00551,5482
-0.0135,6131
-0.0477,8201
0.201,2183
-0.0789,6159
-0.296,8567
0.146,1451
-0.0597,7005
0.119,1782
0.00254,5230
0.0112,4920
0.355,1008
0.252,295
0.0668,3773
-0.334,10730
-0.23,8412
-0.278,9941
-0.0405,6382
-0.0205,5599
-0.155,9958
0.199,771
-0.288,9397
0.128,1774
-0.289,10176
0.428,609
0.188,980
-0.396,10692
0.334,638
-0.281,7868
-0.174,9165
0.118,3320
0.0755,3244
0.137,1935
-0.0544,6116
0.227,1398
-0.581,11011
0.0434,4441
-0.2,8965
0.293,377
-0.172,9170
-0.259,7336
0.157,2626
-0.251,9796
0.264,600
0.101,2785
0.0832,2648
-0.0667,6954
-0.167,6522
3.35,228
0.0166,4922
0.0497,3299
0.0777,2957
0.033,4707
-0.0958,9420
-0.352,10017
0.244,860
-0.086,8649
-0.524,10699
-0.197,8926
0.376,378
0.0263,4829
0.249,1336
-0.0194,6144
-0.184,8365
0.0905,3869
-0.771,10617
0.335,1351
-0.138,9814
0.167,2321
-0.0623,6539
-0.151,9528
0.0512,4100
1.75,3
0.0215,4697
0.146,2127
-0.116,8277
-0.0603,7221
-0.281,7917
-0.977,10796
-0.0337,6592
-0.0955,8760
0.113,2260
0.126,2312
-0.227,9853
0.164,2686
-0.0103,5704
-0.0223,5929
-0.231,10073
-0.137,7245
-0.0653,7015
0.146,1447
0.23,535
0.218,151
-0.126,8555
-0.229,9018
0.229,139
0.482,109
-0.0232,5773
-0.0619,7647
-0.15,8596
0.347,568
-0.00238,5422
-0.0871,6252
-0.0359,6216
-0.0326,5994
0.225,1071
-0.159,7231
-0.275,9455
0.27,745
0.21,472
-0.252,8977
0.227,2633
0.356,738
0.36,823
0.0598,4145
0.00114,5435
-0.212,9568
0.297,1459
0.0311,4225
-0.276,7810
0.15,3523
-0.286,10463
-0.12,9891
0.0246,4941
-0.0465,6161
-0.179,9731
0.584,278
0.227,511
-0.0366,6480
-0.018,7337
-0.00429,5950
-0.0526,10315
-0.0219,9106
0.0124,3275
-0.444,6800
-0.00414,5418
-0.392,8384
0.0482,3937
-1.59,10837
0.0332,4351
-0.263,9922
-0.119,5869
-0.153,8265
-0.267,8135
0.159,1360
-0.000309,5185
-0.138,4911
-0.296,10724
0.0846,3673
0.0693,2071
-0.078,7154
-0.0495,6476
0.353,1309
-0.464,10812
-0.222,7660
0.00984,4887
0.339,271
0.142,2719
0.153,3499
0.232,2172
-0.117,7532
-1.54,10478
0.0587,4036
0.128,2294
-0.368,10514
-0.207,10004
-0.124,9746
-0.0823,8416
0.118,3273
-0.26,9266
-0.129,8844
0.158,3148
-0.217,9795
-0.0741,8166
0.0723,1767
-0.141,8592
-0.0471,6629
0.174,2312
-0.347,10033
-0.246,9991
-0.247,10522
-0.177,8568
0.23,1282
-0.0944,7649
0.223,533
0.0106,5109
0.357,194
0.258,676
0.00248,5307
0.0885,3737
0.207,2883
-0.0623,7008
-0.164,9610
1.47,552
-0.0568,7216
0.182,2258
-0.21,9248
-0.178,9925
0.207,1409
-0.176,7837
0.000594,5592
0.113,3418
0.332,210
-0.123,9280
0.00955,4951
-0.173,9893
0.0454,4069
-0.237,9789
-0.0569,5999
0.0453,3825
-0.0408,6963
-0.203,7438
-0.346,10401
0.117,2409
0.43,221
0.229,570
0.0324,4327
0.254,3100
0.0672,4215
-0.0858,8069
-0.327,7948
-0.0534,6463
0.165,651
-0.0402,5853
-0.01,5576
0.471,615
0.102,1447
-0.123,9291
0.337,82
-0.271,7287
-0.0255,5120
-0.71,9186
-0.483,10897
0.297,1003
-0.181,9137
0.00851,4799
0.0499,4176
-0.116,8989
-0.0708,7467
0.289,397
0.01,5142
-0.274,10251
-0.077,7410
-0.192,9780
-0.191,9992
-0.0789,7350
0.0213,4913
0.0603,3354
-0.154,7927
-0.342,10665
0.219,1258
0.024,5055
-0.429,9871
-0.324,9799
-0.113,8015
0.405,472
0.131,2110
0.0958,2909
-0.00619,5457
-0.114,8352
-0.259,10025
0.0159,4957
-0.0127,5754
0.0296,3490
-0.125,8232
-0.141,8904
0.314,709
-0.045,7660
0.364,643
0.101,1995
0.416,1785
-0.235,9063
-0.474,10717
-0.143,7685
0.0395,3506
-0.0995,7535
0.101,3856
0.129,2364
-0.0311,6176
-0.436,10211
0.0159,4750
0.236,1242
0.608,377
0.236,1251
0.118,2764
-0.1,6910
-0.141,10495
-0.0973,8384
-0.153,7575
-0.00471,5736
-0.201,8539
-0.339,9186
-0.312,10038
-0.108,7402
-0.122,8042
-0.0595,6665
-0.00803,5834
0.166,2475
-0.203,7605
-0.443,10710
0.0775,4185
-0.0164,6003
-0.116,8040
0.189,1290
-0.472,10537
-0.242,7707
0.00299,4293
0.11,1595
0.113,2727
0.235,2749
-0.369,10926
0.208,2631
0.111,2881
-0.198,10707
0.047,3347
-0.0177,6509
0.499,319
-0.0618,7751
-0.148,9762
-0.0383,7047
-0.000686,5252
0.098,3471
0.165,1262
-0.0438,5853
0.347,1591
-0.00915,5686
0.649,59
-0.0473,6620
-0.0926,7478
0.328,697
-0.221,9313
0.37,579
-0.101,8359
0.1,3178
0.0895,3756
0.0622,4363
0.0141,5012
0.133,1984
0.204,2473
-0.33,10228
-0.0263,6301
0.262,1241
-0.0552,6808
0.0693,1044
-0.333,10149
-0.0263,4458
-0.165,6607
0.0241,4816
0.131,1471
-0.203,10230
-0.00521,5096
-0.0141,5969
0.318,2415
-0.0578,7448
0.28,1026
-0.0233,6214
-0.25,9707
0.113,3557
-0.513,9664
0.754,118
-0.157,7546
-0.134,9000
-0.0873,7056
0.225,1362
-0.238,9360
-0.0232,5459
0.0573,3386
0.00694,4982
-0.27,8098
0.0732,3767
-0.0282,5847
-0.14,6910
-0.255,10727
0.0659,3605
0.0196,4861
-0.106,7591
-0.368,10414
-0.199,7939
0.0443,4213
0.0397,4188
-0.091,7606
-0.148,7868
-0.0203,6073
0.0196,4630
-0.134,10427
0.113,2489
0.31,1135
0.0491,4399
-0.0184,5135
-0.24,10205
0.287,983
0.726,136
0.198,2222
-0.262,10566
-0.0444,7596
0.105,2808
-0.0536,7261
-0.292,10901
-0.0481,6915
-0.0635,7429
-0.00853,5357
0.365,406
-0.0556,7591
0.19,1052
-0.102,8084
0.0698,3682
-0.0939,8141
0.16,2540
0.0401,4112
-0.0259,6534
-0.0322,4990
-0.273,10063
0.0512,3810
-0.222,8769
-0.231,10239
0.14,1794
0.281,1299
-0.208,10305
-0.135,5113
-0.263,10377
-0.131,8743
0.0357,4602
0.0584,3102
0.348,1053
0.163,1341
-0.335,10658
-0.0621,7394
-0.333,9832
0.166,2424
-0.258,10264
-0.00254,5385
-0.105,9355
0.583,3
0.0265,4941
0.146,2911
0.167,1885
0.0116,4965
-0.0592,7634
-0.099,8825
-0.113,9041
0.478,291
-0.448,9708
0.0457,3444
-0.119,9329
-0.00735,5489
-0.157,9513
-0.408,10344
0.297,1061
0.0603,3947
-0.121,8418
0.335,750
0.345,663
-0.341,8926
-0.124,7179
