coef,rank
-0.0248,5551
-0.0352,6185
-0.0659,7766
-0.294,9268
0.0764,3743
-0.309,7563
-0.402,9306
-0.219,10182
0.0311,4069
0.166,1859
-0.00714,5347
0.0223,4748
0.083,2929
-0.114,9441
0.0129,5146
-0.147,8603
0.113,3791
-0.335,8620
0.0128,4916
0.0159,4767
-0.158,9358
-0.235,10729
-0.0169,5240
0.186,2852
-0.0645,7166
-0.335,10693
-0.105,6891
-0.0303,5677
0.0817,2660
-0.143,5783
0.159,2218
0.0259,4533
-0.0216,5821
-0.043,5547
0.00428,5053
-0.111,7270
0.199,1110
0.0339,3881
-0.0689,7168
-0.121,7026
-0.0801,7027
-0.156,8367
0.135,1570
-0.0011,5516
-0.0651,6763
0.0149,4743
0.0741,3913
-0.295,9461
-0.101,9669
-0.0625,8663
0.0533,4279
-0.0465,6931
0.349,710
-0.112,7547
-0.162,8388
0.187,427
0.0461,3811
-0.269,9180
-0.133,6868
0.276,1345
-0.0424,7312
0.195,773
-0.495,10953
-0.138,7981
-0.00361,5534
-0.0421,7255
0.133,2243
-0.0649,7960
0.123,2304
0.301,142
0.254,864
-0.308,8252
0.0757,2953
0.246,492
0.124,2629
0.159,2572
0.00932,5035
0.286,219
0.182,1172
-0.0355,6631
-0.0247,6389
0.00422,5188
-0.00222,5274
0.219,2331
-0.0471,7338
-0.106,8735
-0.159,9355
0.0746,4130
-0.0159,5425
-0.112,6906
0.0375,3976
-0.137,10407
0.293,837
0.0133,4907
0.0107,4901
0.319,1115
0.033,4572
-0.102,8762
-0.161,7480
0.0975,2014
-0.0197,5741
-0.198,9353
0.0907,2671
0.00141,5209
0.0757,3106
0.319,678
0.287,1789
-0.0445,6064
0.294,997
-0.113,7896
0.326,635
0.199,1236
0.888,520
0.0869,3771
-0.0773,8280
-0.135,10252
0.206,2137
-0.09,8006
-0.108,9239
-0.08,7053
-0.195,9698
0.169,630
-0.045,7143
0.153,995
-0.156,7808
-0.188,7200
0.0586,3200
-0.208,9471
0.257,1511
0.157,1882
0.0645,4113
-0.103,7393
0.101,2225
-0.101,8390
0.0517,4268
-0.0722,7813
-0.573,8059
-0.0294,5579
0.0803,2535
0.0047,5258
0.0417,4825
-0.0716,8307
0.0671,4094
-0.034,6288
0.062,3747
-0.144,9393
-0.345,10225
-0.044,6355
-0.0613,7742
-0.0706,6413
-0.0878,8110
-0.078,8349
0.0136,4388
-0.00496,5156
-0.207,7649
-0.135,8303
-0.0509,7140
-0.0551,6915
0.301,1431
-0.281,10554
0.0489,4113
-0.0893,8065
0.034,4621
0.0549,2697
0.198,1300
0.0599,4193
0.0036,5260
-0.016,5980
-0.145,8653
0.287,131
0.0119,5058
0.402,1106
0.0381,3897
0.0599,3005
0.0439,2864
0.176,1093
-0.224,10681
-0.137,8151
0.227,3116
0.041,3383
-0.0419,6868
-0.0589,6824
0.0112,5000
-0.0867,7724
-0.0555,7312
0.0278,3493
-0.0858,8229
-0.206,10267
-0.178,8558
-0.304,10932
0.56,1164
0.0642,3376
-0.0433,6931
0.0347,3702
-0.0684,7467
-0.278,10274
-0.365,9943
-0.0468,6891
0.0313,4662
-0.0767,7038
0.0219,4495
-0.168,8400
0.0661,3225
-0.116,7018
-0.169,10504
-0.324,10948
0.146,2380
-0.0883,6048
0.315,459
0.208,1736
-0.111,8737
0.0616,2914
-0.133,8919
-0.313,10327
-0.0888,6979
0.114,2878
-0.0813,9602
-0.0912,8455
0.0169,4866
0.157,2368
0.31,1225
-0.203,8323
-0.25,10137
0.153,943
0.0737,2188
0.247,1584
0.212,2279
0.108,2938
-0.041,6895
0.0947,2030
0.0552,3271
0.134,2619
-0.155,9062
-0.165,8932
-0.0726,6507
0.0396,3346
0.153,2023
0.11,3030
-0.197,8166
-0.0588,6285
0.175,2238
-0.179,4899
0.278,2293
0.101,2687
0.255,773
0.0529,4342
-0.0941,8561
0.0376,4530
0.45,225
0.186,1351
-0.563,8587
-0.0799,6535
0.0131,4767
0.0656,2775
0.176,2927
-0.0505,5889
-0.258,8598
0.234,2670
-0.0563,7029
-0.0573,6946
-0.228,10497
-0.148,9277
-0.218,9845
-0.163,9010
-0.139,9148
-0.0389,6216
0.0296,4531
0.198,1305
0.309,445
-0.422,10715
-0.0644,7261
-0.0474,7796
0.482,17
-0.036,6042
0.0223,4963
-0.228,10215
-0.241,10265
0.242,1461
-0.0292,6096
0.0683,3726
-0.0285,6011
-0.185,9881
0.0912,2804
0.0253,5070
0.262,1031
-0.304,10135
0.0608,3963
-0.0781,7416
0.0106,5021
-0.108,8195
0.323,651
-0.0678,6433
0.0356,4626
0.051,4229
0.178,574
-0.148,9903
-0.29,9249
-0.179,9494
0.254,1841
-0.139,7204
0.354,188
-0.165,9826
0.0678,3448
-0.0297,5733
-0.13,8439
0.0333,4442
-0.198,10849
-0.0692,6561
-0.00549,5499
-0.0187,5456
-0.426,10586
-0.124,8945
-0.132,9775
0.161,1549
0.00626,5369
0.16,3281
-0.136,7694
-0.159,8677
-0.255,9313
0.196,2461
-0.434,10704
-0.128,8626
0.161,2530
-0.297,8554
0.1,1925
0.00888,5109
0.167,1188
-0.0507,6418
0.00836,4837
-0.298,9223
-0.043,7115
-0.16,9839
-0.0125,5439
0.467,447
-0.000261,5337
0.142,3389
-0.136,9428
-0.206,10735
-0.061,7432
0.0937,2506
-0.225,10319
-0.108,7210
0.112,1803
0.775,143
0.579,328
0.0674,2410
0.11,1408
-0.134,7993
-0.0942,8248
-0.203,9943
-0.336,6774
-0.324,8094
0.622,1953
-0.0305,4559
-0.566,10760
0.0506,4333
-0.157,8219
0.156,2492
-0.102,8010
-0.168,9119
-0.135,10343
-0.00336,5301
2.98,21
0.0368,4523
-0.196,9001
0.139,3022
0.145,2438
-0.115,9751
-0.357,9227
-0.306,10451
0.103,2984
-0.151,8582
-0.275,9653
0.0798,2755
-0.162,9095
0.255,1679
-0.0375,5690
0.045,4627
-0.0381,6221
-0.149,9867
0.497,489
0.0859,1743
-0.0394,5982
0.0399,4669
0.379,99
0.0738,3225
-0.154,9283
0.0812,3490
0.226,2908
0.0303,4524
0.00159,5140
-0.173,9697
0.0432,4449
-0.379,10058
-0.245,10157
-0.418,10211
-0.0741,7085
-0.0979,8643
-0.184,7595
0.185,1260
-0.0911,7134
-0.279,10630
0.157,1759
-0.0971,8202
0.147,2411
0.137,2594
0.223,1730
-0.35,8815
-0.00418,5952
-0.214,10463
-0.262,10053
0.0387,4801
-0.154,8362
0.252,1427
-0.167,10297
0.0534,2153
0.0631,378
-0.00599,5368
-0.127,6816
-0.154,8976
0.844,152
-0.0761,8541
0.15,2586
-0.322,10471
-0.153,8105
-0.584,10691
0.368,597
0.159,1072
0.00942,4781
-0.125,7515
0.238,1480
-0.191,9592
0.0308,3868
-0.0589,7501
-0.135,8469
-0.0845,7325
0.194,2116
-0.184,10100
-0.101,6910
0.287,208
-0.0873,9027
-0.183,4764
0.573,669
0.318,947
0.152,3311
0.194,671
0.17,2380
-0.205,8951
-0.281,8391
0.0805,3621
0.396,1164
0.175,1319
-0.0716,6073
-0.218,8686
-0.116,8377
0.317,1558
-0.0277,6079
0.208,212
-0.0143,6150
-0.111,7757
-0.197,9237
0.247,861
-0.0528,6933
-0.0129,5863
0.0935,3692
-0.456,10920
0.0241,4821
-0.29,10548
0.0635,4162
-0.154,9110
-0.148,9564
-0.316,10303
0.0216,4594
-0.206,10526
0.103,2678
0.288,437
0.122,2729
-0.232,10436
-0.427,10416
-0.0032,5190
0.224,1066
0.0506,3508
-0.271,9033
0.24,387
0.237,1387
-0.111,7051
-0.0887,7825
-0.286,10922
0.0844,2637
0.109,2242
-0.0129,5796
-0.105,8056
0.055,3861
0.00705,4915
0.18,1521
0.1,2145
-0.0243,5371
-0.169,7101
0.0588,3668
-0.112,8690
-0.0825,8367
-0.188,9393
0.0931,3143
0.42,1835
-0.129,8406
0.102,1208
-0.0318,6450
-0.0104,5182
0.0343,4688
0.122,3634
-0.0682,6647
0.217,1986
-0.0735,8384
0.039,4542
-0.264,8088
0.0657,4427
0.0231,4888
0.0777,2309
-0.126,9388
0.00765,5180
0.0618,3114
0.576,313
-0.379,10883
0.23,278
0.139,2362
-0.42,9153
-0.152,7666
-0.263,9407
-0.64,9948
0.149,1222
-0.25,10582
0.16,2002
-0.186,9499
-0.0961,7777
-0.0941,6876
0.0108,4805
0.0123,4865
0.817,1642
0.229,3179
-0.199,6671
-0.274,7232
-0.111,8700
0.117,3372
0.031,4339
0.0503,4051
-0.0123,5451
-0.108,8055
-0.00134,5170
-0.0427,6276
-0.126,8647
0.297,474
0.105,3973
0.259,3175
0.0408,4023
0.202,1769
-0.278,10240
0.00229,4934
0.169,1952
-0.334,10695
0.29,496
-0.271,9970
0.494,31
0.193,867
0.0449,4193
0.22,1422
-0.0172,6027
0.0183,4781
-0.158,9438
-0.103,8263
-0.102,6999
0.178,655
0.0288,4560
-0.0925,7008
-0.0555,6683
-0.225,9963
0.0164,4793
-0.219,9762
0.0286,4507
-0.0331,6781
0.048,4452
-0.0932,7719
-0.107,7064
0.216,3371
-0.0664,7473
0.248,680
0.0415,4392
-0.0516,7279
0.0463,3820
0.27,1003
0.0797,2913
0.0225,4602
-0.247,10574
0.145,1301
1.48,2
0.263,2197
0.056,2633
0.131,2722
-0.181,8437
0.0195,4756
-0.0138,5577
0.0227,4779
-0.0553,6969
-0.0229,6052
-0.257,9741
-0.173,8038
0.187,1597
0.00563,5294
0.152,1544
0.206,496
0.786,134
-0.0568,7861
-0.178,7472
1.57,43
0.158,1579
0.152,1633
-0.324,10679
0.101,2652
0.022,4570
-0.0395,6187
-0.0602,7000
0.113,1949
0.0718,2330
-0.205,10321
-0.174,9580
-0.173,9325
0.112,2172
-0.147,7804
-0.177,10369
-0.292,9661
-0.218,6653
-0.00206,5660
-0.0541,7565
-0.0277,6757
0.0342,4460
0.567,152
-0.296,10305
-0.099,8977
-0.0224,6677
0.0648,3289
-0.283,9800
-0.258,9541
-0.265,9354
-0.172,8904
-0.111,7675
-0.0672,6403
-0.0856,7425
-0.11,7000
-0.197,9977
-0.081,8459
-0.0296,6196
0.454,2311
0.228,433
-0.442,10415
0.0643,4035
-0.0329,7122
-0.46,10284
-0.561,9285
4.07,143
0.0336,4632
-0.414,9045
-0.146,7400
-0.0405,6246
-0.11,8938
-0.026,6374
-0.23,10650
0.0635,2046
-0.0378,6270
-0.479,10591
-0.406,9677
0.0502,3810
0.0915,2913
-0.0158,5958
0.162,2522
0.0907,2923
-0.514,10926
-0.00568,5407
0.0131,5120
0.131,2590
-0.395,10193
-0.234,9417
-0.0965,7638
-0.167,8311
-0.112,9043
0.0685,3380
0.0548,4225
-0.00687,5748
-0.25,9814
0.0354,4826
0.0625,3526
-0.198,8696
0.113,3110
-0.229,7267
-0.113,8031
0.221,2017
-0.14,8957
0.0878,2897
-0.355,10370
-0.236,9613
0.314,976
0.0572,4253
0.0144,4900
-0.195,9924
-0.00792,5663
-0.148,6087
0.311,1064
0.173,2249
0.0493,3948
-0.236,10407
-0.159,10061
-0.054,6599
0.423,1789
-0.164,4717
-0.0391,6696
0.096,1834
0.129,1674
0.252,1293
-0.035,7001
-0.012,5510
0.353,260
0.0515,3766
0.0348,4506
-0.0853,6843
-0.102,7222
0.0334,4686
-0.47,10997
0.156,1305
-0.0157,5602
-0.238,8878
0.156,3838
-0.181,8134
-0.0853,8407
-0.213,9846
-0.342,10633
0.173,1432
0.0918,3079
-0.243,8196
-0.0699,6895
0.067,3724
-0.0213,5962
0.15,1412
-0.254,7623
1.41,419
0.21,703
-0.138,9867
0.0324,4317
0.237,848
-0.15,8635
-0.241,8940
0.173,955
0.105,2585
0.294,495
-0.13,7138
-0.139,8719
-0.192,10405
0.104,2467
-0.157,10564
-0.0884,7631
-0.129,7421
-0.0681,8466
0.199,1603
-0.0813,6752
-0.047,7117
-0.168,8926
-0.104,7434
-0.114,7777
-0.0973,6389
0.0236,4761
-0.191,9005
0.0276,4465
-0.454,10310
0.161,2735
0.0149,4820
0.0633,3151
-0.156,7726
0.0437,4460
0.568,130
-0.438,10806
0.304,989
0.0725,3232
0.11,2895
-0.0669,6366
0.107,1807
-0.422,9233
0.0378,4770
0.182,1868
-0.128,10027
-0.146,8844
-0.126,7604
