coef,rank
0.00902,5043
-0.145,8587
-0.0205,6213
-0.0677,6115
-0.064,4549
-0.0863,5333
-0.296,8257
0.127,2426
0.0852,2440
-0.0841,7043
0.101,3076
-0.11,7316
0.217,843
-0.0125,5835
-0.018,6085
-0.122,8125
0.0359,4589
-0.386,9150
0.0104,5028
0.0165,4727
0.00999,5017
-0.0909,8216
-0.189,7708
-0.141,7306
-0.0571,6988
-0.184,9036
-0.137,7445
-0.231,9439
-0.076,8411
-0.406,8343
0.226,1357
-0.224,10561
0.361,594
0.219,2585
-0.304,10461
-0.293,9801
-0.147,9341
0.00389,5113
0.151,1857
-0.11,6847
0.135,2706
-0.254,9844
0.0907,2524
-0.104,10182
-0.184,9130
0.0586,3621
0.0772,3861
0.348,1039
-0.108,9858
0.0693,2074
0.0993,3527
0.0565,4045
-0.243,9496
0.135,2769
-0.12,7596
-0.0535,7458
0.0217,4485
-0.00733,5119
0.301,2047
-0.225,8964
-0.0309,6784
-0.0278,6601
-0.36,10509
-0.355,10657
-0.169,10432
0.0485,3094
-0.118,8324
-0.0613,7845
0.0554,3897
0.136,1509
0.0992,2955
-0.421,9258
0.209,717
0.0982,2556
0.0345,4601
-0.0725,6605
0.136,3534
-0.142,9650
-0.231,10526
-0.061,7440
-0.00123,5713
0.355,273
-0.035,5656
0.196,2589
-0.193,10705
0.271,243
-0.0222,6080
-0.0236,5763
0.0503,3912
-0.113,6929
0.0104,5002
0.00994,4933
0.133,2627
0.023,4705
-0.162,7787
-0.152,7916
0.164,2385
-0.0619,7533
-0.0886,6432
-0.117,9838
-0.118,8152
-0.199,9373
0.192,881
-0.149,9607
-0.0735,7374
0.0461,4342
0.0384,4524
0.322,1103
0.481,221
-0.127,8181
-0.283,10223
-0.0817,7390
-0.0496,5234
-0.349,10380
-0.104,9044
-0.115,9831
0.0662,4159
0.0362,4505
0.00207,5273
-0.133,8130
-0.136,8689
0.00184,5206
-0.0488,7283
0.00129,5454
-0.214,8677
0.303,2206
0.217,314
-0.0686,6853
-0.155,8412
-0.0421,6134
-0.307,10396
-0.237,9704
0.0687,3116
0.128,2209
-0.0709,6387
-0.097,8606
-0.524,7719
0.303,2126
0.09,2264
0.179,1070
-0.0554,6388
-0.0216,6447
0.276,1471
0.612,26
-0.0705,7111
0.196,1114
0.571,160
-0.109,7874
0.0532,3780
-0.314,9982
0.0489,3843
-0.0629,7798
0.176,3663
0.235,1209
0.223,2805
-0.219,9705
-0.0709,7815
-0.222,10137
-0.417,10624
0.0293,4622
0.0845,3299
-0.0592,7252
-0.161,9022
-0.00179,5447
-0.264,10441
-0.0871,7738
0.204,571
-0.0354,6711
0.223,1534
-0.0217,6224
0.289,760
-0.159,7350
-0.22,10677
-0.131,9531
0.0363,3249
-0.127,8822
-0.0681,7641
0.166,2400
1.34,63
0.0191,4378
0.054,3882
-0.0135,5763
-0.0559,6783
0.427,114
0.0383,3639
0.00924,4559
-0.00222,5378
0.137,1995
-0.243,9563
0.0267,4585
-0.736,10810
0.164,1192
0.224,542
0.0264,4158
0.162,1156
0.0951,3212
0.0133,4668
-0.206,10329
0.0236,4815
0.113,2988
0.0556,3284
0.133,2783
0.0301,4153
-0.0803,6475
-0.00667,5503
0.107,2658
0.649,19
0.266,2372
-0.288,10611
-0.171,8924
-0.0223,5999
0.0524,3235
0.201,1111
0.0705,3910
-0.158,8293
0.107,2994
0.035,3660
-0.0436,6978
0.247,925
0.349,549
-0.373,10333
-0.00829,5189
-0.218,9747
-0.0453,7068
0.0249,4119
0.0926,3566
0.473,599
0.401,160
-0.0141,5925
0.0839,2375
-0.132,9990
0.00566,5167
0.156,2318
-0.11,7820
-0.216,8879
-0.0319,7195
-0.00346,5121
0.208,1622
-0.313,9512
-0.0925,7080
-0.0796,6663
0.0364,3537
0.158,3299
-0.0652,7336
-0.109,7920
0.0959,3452
0.391,21
-0.0324,6301
0.216,1651
0.137,2100
-0.46,8042
-0.166,7952
-0.0801,8313
0.0637,2848
-0.0496,5962
-0.181,7639
-0.225,8206
-0.0681,5319
-0.0463,6722
-0.099,8123
0.0847,3025
0.142,2000
-0.274,10374
-0.164,9040
0.0119,5042
0.168,1882
0.0261,4578
0.0107,5216
-0.122,8580
0.274,1467
0.0199,5099
0.00864,5016
0.183,1228
0.388,232
-0.0944,7373
-0.0054,5366
-0.153,8920
-0.19,8670
-0.419,10971
0.284,794
0.0617,4269
0.113,2433
-0.214,10246
0.354,754
0.053,4093
-0.141,7936
-0.386,10754
-0.311,10737
-0.0593,8063
-0.00774,5619
-0.121,7640
0.207,2140
-0.284,9988
-0.0543,6349
-0.00682,5882
-0.0695,7822
-0.392,10214
-0.0504,6556
-0.161,7821
-0.214,8354
0.17,1533
0.141,1573
-0.0568,6960
-0.162,8478
