coef,rank
0.289,1636
0.0671,3828
0.027,4498
0.208,2391
-0.3,6108
-0.832,10887
-0.527,10165
-0.0789,7526
0.113,1754
0.395,254
-0.0528,6353
-0.116,7398
-0.0493,6642
-0.0316,6607
0.00399,5425
0.0444,4441
0.662,626
-0.309,8330
0.0624,2835
0.00896,5136
-0.0165,5788
0.117,1977
-0.706,10967
0.166,3080
0.0689,3537
-0.0797,6932
-0.0887,6626
-0.358,10607
-0.166,10380
-0.684,10224
0.0937,3308
0.11,2247
-0.385,10870
-0.0368,5459
0.00593,5008
-0.196,8614
0.219,939
0.253,90
0.00424,5155
0.0627,4072
-0.139,8238
-0.207,9237
0.106,2151
0.066,2082
-0.0415,6231
0.00145,5122
0.106,3361
-0.348,10024
-0.00152,5343
0.121,723
0.213,1934
-0.0708,7629
0.0477,4276
-0.105,7408
-0.107,7323
-0.0586,7644
0.0705,3150
0.00573,4900
0.0936,4012
-0.131,7466
-0.0789,8738
0.108,2276
-0.362,10526
-0.0435,6056
0.13,1287
0.0552,2823
0.0604,3785
0.118,1644
-0.0441,6827
0.233,405
-0.0913,7573
-0.223,7318
-0.0129,5556
0.224,661
0.18,1745
0.188,2236
-0.1,6412
0.208,726
-0.0236,5991
-0.13,9363
-0.178,10012
-0.124,8478
0.191,3137
-0.0821,6359
-0.00672,5829
-0.0512,7032
0.145,2134
0.111,3577
0.264,818
0.00966,4842
0.0163,4761
-0.144,10510
0.137,2557
-0.163,8676
-0.188,8223
0.029,4586
-0.125,7686
0.0983,2252
-0.336,9771
-0.0324,7049
-0.0693,6982
0.0592,4017
0.0389,4164
0.114,2076
-0.0124,5568
0.357,480
-0.207,8133
0.281,1409
0.111,3126
0.363,322
0.113,2934
0.0317,4406
0.805,673
0.708,71
-0.109,9178
0.0927,1906
-0.186,8684
0.208,1088
-0.13,9775
0.117,3050
0.0394,4433
-0.0556,7583
-0.0888,8612
0.0193,4777
-0.208,8579
0.127,3635
0.0261,4339
-0.144,8453
0.298,1169
-0.161,8843
0.261,1360
0.105,3286
0.00308,5290
0.256,544
0.247,1788
0.0417,3847
-1.13,10458
-0.393,9677
0.0368,3916
-0.138,9308
-0.133,7650
-0.226,10912
0.316,1149
0.308,648
0.222,1074
-0.00935,5881
0.0599,4037
-0.283,10481
0.103,2384
-0.3,9838
-0.102,8428
-0.0802,8425
0.297,3208
0.255,1037
0.083,4147
0.449,146
-0.0782,8031
0.182,1540
0.0636,4266
-0.264,10432
0.0108,5084
-0.0634,7366
0.0602,4044
0.0187,4338
0.2,1284
-0.18,9570
0.272,204
0.0829,2455
-0.295,10507
-0.0653,7727
-0.189,9411
-0.391,10092
0.0271,4238
-0.146,9846
0.0262,3787
0.0622,3288
0.00482,5138
0.0287,4797
-0.374,9215
-0.0131,5941
0.0784,3212
-0.14,8548
0.149,2061
0.0837,3284
0.132,1114
-0.1,10144
0.0441,3950
-0.0366,6510
-0.398,10766
-0.289,10894
-0.193,6859
0.0432,3963
0.0274,4473
-0.004,5832
-0.196,10354
-0.0823,7042
0.085,3639
0.141,1678
0.216,1775
-0.0123,5534
-0.00962,5736
-0.0202,5545
-0.0205,5578
-0.175,7874
-0.0852,8628
-0.223,10393
-0.256,10194
0.375,1615
-0.103,7976
-0.224,9736
0.126,1847
0.0021,5278
-0.218,10287
0.31,914
0.274,1356
-0.178,8756
0.102,1084
0.146,1502
-0.0515,6613
0.189,1914
-0.297,9696
-0.064,6108
0.307,742
-0.0606,7659
0.0506,3057
0.0295,4659
0.165,2810
-0.237,10313
-0.0475,7110
-0.019,6259
-0.0928,9049
0.172,2061
0.279,862
-0.127,8189
-0.0301,5752
-0.0504,8160
0.0289,4405
-0.123,7841
0.393,1175
-0.226,9642
0.235,1585
1.06,1234
-0.0596,5952
-0.153,9490
-0.00909,5329
-0.0714,7054
-0.0535,7285
-0.21,9932
-0.0789,7133
0.0534,3916
-0.642,8964
-0.0812,6559
0.215,333
-0.0773,8629
-0.343,9849
0.173,3115
0.406,1106
-0.862,10960
0.234,765
-0.0617,7082
0.0289,4527
-0.0305,6354
-0.188,9432
-0.188,9413
-0.0827,7768
-0.149,8698
0.144,2985
0.0239,4847
-0.229,10279
0.0866,3690
-0.0918,7923
0.0498,3072
-0.126,8608
0.0354,4288
-0.185,8945
0.0683,3453
0.122,2378
-0.332,10358
-0.107,7840
0.287,767
0.157,2716
0.00785,5225
0.133,1982
0.017,5236
0.00621,5121
-0.176,8531
-0.134,7709
-0.179,9493
0.135,1101
-0.00875,5644
0.0928,3252
-0.397,10628
0.247,1495
0.197,1960
-0.0546,7902
-0.0303,6505
0.532,584
-0.14,8736
0.362,1043
0.229,2003
-0.0397,6396
0.00678,4939
-0.0295,6183
-0.0367,5875
-0.155,8927
-0.211,7975
0.134,806
0.332,655
-0.0473,6773
-0.00379,5242
-0.408,10505
0.024,4220
0.00844,4907
0.115,2293
0.259,702
-0.581,10745
0.297,1528
-0.104,7603
0.444,525
-0.0579,6002
0.188,2551
-0.259,10473
0.242,1647
0.15,3650
-0.0672,7806
-0.0231,6034
0.377,66
0.0325,4256
-0.0838,8628
0.00246,5170
0.119,1358
0.0272,4513
0.0925,3732
-0.247,9311
-0.191,10094
-0.461,10376
-0.216,10628
0.0271,4349
-0.2,10504
0.156,1268
-0.0418,6651
0.257,1511
-0.0748,8072
-0.245,8653
-0.121,6894
-0.212,10960
-0.0686,8297
0.0461,4100
-0.134,9286
0.276,614
0.971,1294
0.29,2566
-0.462,6710
0.547,1927
0.325,1865
-0.478,9111
0.0856,3812
0.116,3171
-0.0874,7653
0.0469,3989
0.086,1813
0.0383,3180
0.144,3570
0.0712,3914
-0.161,8400
0.222,1956
0.0638,4003
0.0429,3541
0.301,1797
-0.196,9264
0.151,2029
-0.0452,6286
0.117,3241
0.0435,3815
0.123,2736
-0.196,8344
-0.0251,5475
0.0874,4192
0.0305,4670
-0.0637,7647
0.0792,3919
-0.0381,7285
-0.0285,5744
-0.461,10061
-0.103,8430
-0.0212,5952
0.0908,2875
-0.017,5605
-0.0204,4977
0.236,1429
-0.107,8716
0.0549,3679
-0.0843,7600
0.446,874
-0.112,7990
0.0102,4817
0.0414,4292
0.0223,4562
0.146,3412
-0.125,8827
0.149,2492
-0.417,11010
-0.203,9998
0.018,4716
0.000927,5403
0.125,2773
-0.197,9020
0.306,2354
0.0276,2919
0.0354,4098
-0.0293,5912
-0.00365,5539
0.208,1794
-0.00938,5391
-0.0143,6018
0.0988,719
-0.0778,10946
0.0215,4692
0.242,2609
0.0408,4151
0.264,2147
-0.103,9366
-0.0205,5606
0.0021,5040
-0.154,8128
0.596,826
-0.0583,6650
-0.19,10544
0.0925,2900
-0.416,10698
-0.0604,6390
-0.241,10214
0.0837,2208
0.00668,5296
0.154,2360
0.0983,3044
0.273,1298
-0.0909,8189
0.665,110
0.0282,4549
0.112,1345
0.637,1779
-0.519,10692
-0.0189,5565
0.23,2523
-0.159,10058
-0.264,10139
0.298,1313
0.101,3880
-0.345,10365
-0.0601,5937
0.155,1608
0.39,1074
-0.407,10489
0.0587,3696
0.0533,4476
-0.311,10765
-0.0897,9136
-0.0461,7663
0.213,1711
0.12,2855
-0.422,11009
0.07,3270
0.00693,5084
-0.198,8461
-0.0203,5691
0.0485,4399
-0.106,8148
0.136,3049
-0.0773,7346
0.0313,4467
-0.0405,6030
0.229,1353
0.402,19
0.329,274
0.27,535
0.145,2326
-0.149,9166
0.237,2531
-0.0568,6781
-0.0796,7693
-0.0655,7655
-0.154,7330
0.115,1986
0.483,198
-0.282,9617
-0.033,6261
-0.0963,8444
0.175,888
-0.0742,7463
-0.206,10409
0.276,645
0.0871,3105
-0.035,8841
-0.162,9468
0.0486,3642
0.153,3276
0.0409,4420
-0.235,10735
0.198,893
0.102,2174
-0.118,8041
0.222,1323
0.766,584
-0.0931,7530
0.00573,4906
