coef,rank
-0.0741,6346
-0.0998,7694
-0.0517,7259
0.215,2332
-0.191,5364
-0.227,6686
0.424,1691
0.0624,3784
-0.117,9007
0.231,1128
-0.0965,7303
-0.246,9493
0.0567,3588
0.296,49
-0.0175,6073
0.0187,5008
0.27,2415
0.281,2412
-0.0446,7460
0.0437,3292
0.102,2653
0.0359,4107
0.268,1952
-0.105,6774
0.121,2416
-0.172,8802
0.0505,4220
-0.0541,6152
-0.118,9527
0.969,607
0.175,1990
-0.346,10997
0.0444,4466
-0.0378,5474
0.0169,4779
0.153,2778
-0.071,7551
0.154,698
-0.0856,7583
0.066,4023
-0.249,9941
-0.237,9655
0.0265,4421
0.027,3915
0.038,4420
0.0251,4486
0.436,342
0.0891,3492
0.0255,3922
-0.0884,9595
-0.224,9318
0.00023,5645
0.339,760
0.239,1472
-0.514,11008
-0.0554,7541
-0.0311,6033
-0.209,8352
-0.24,8290
-0.237,9147
-0.0927,9173
0.256,311
0.132,2986
-0.293,10239
0.115,1617
0.0552,2826
-0.00777,5483
0.0449,3751
-0.0749,7732
0.254,275
0.0075,5033
0.0505,4438
-0.169,9791
0.0745,3126
-0.0874,7660
0.316,1017
-0.151,7072
0.292,194
-0.0602,7074
-0.0809,8061
0.0531,4128
-0.133,8653
-0.476,10215
-0.0954,6571
-0.0626,7888
-0.0138,5754
0.0757,3547
-0.129,7559
0.0246,4499
-0.0525,5905
-0.0947,9001
0.166,390
0.0697,3799
0.194,1735
0.13,3157
-0.0782,6600
0.4,479
-0.00331,5422
0.0813,3926
0.0999,1941
0.124,2476
0.0499,4198
-0.133,9441
0.0613,3396
-0.00587,5373
-0.0984,7488
-0.219,8264
0.057,4208
-0.138,8091
-0.0146,5591
-0.0821,6922
0.0409,4189
-0.399,8714
0.0646,4127
0.0589,3424
-0.0356,7190
-0.136,7911
0.139,2141
0.0111,4905
0.413,348
0.142,2286
0.0467,3439
0.118,1701
0.0243,4563
-0.105,6982
-0.157,6824
0.0685,2855
-0.238,9869
0.169,2527
0.0175,4669
0.0413,4524
-0.185,8904
-0.0282,6393
-0.0812,7908
0.0778,3883
0.366,38
2.49,236
0.495,1054
0.143,1141
-0.00821,5674
0.0184,5175
0.0205,4739
0.142,2960
-0.254,10305
0.239,922
0.298,320
-0.105,6930
-0.123,8192
0.174,1051
0.177,2508
-0.268,10814
-0.192,10614
0.231,3449
0.043,4146
-0.294,8680
0.0872,3352
-0.0601,7476
0.341,321
0.321,1275
-0.213,9884
0.274,606
-0.105,8475
-0.155,8915
-0.0488,7910
-0.0415,6263
-0.101,8068
0.0437,3863
-0.0386,6853
0.102,3335
0.0545,3518
-0.144,8632
0.238,2193
-0.0728,7796
0.12,1538
0.0198,4153
0.00243,5001
0.14,1370
-0.00551,5545
-0.0253,5506
-0.108,9755
0.115,2335
-0.0754,7203
-0.0926,7732
-0.225,10271
0.268,104
-0.0566,8538
-0.251,10842
-0.101,8351
-0.0772,6697
0.0498,3875
0.0852,4065
-0.0687,7619
0.252,363
-0.0366,7649
-0.0284,6195
-0.214,9510
-0.0269,5252
-0.119,8844
-0.36,10710
-0.216,9629
0.0417,3778
-0.297,10081
-0.248,10525
-0.38,10099
0.035,3798
0.0646,3657
-0.13,8274
-0.591,10740
0.0106,5117
-0.322,10595
-0.125,9090
-0.0712,8246
-0.0558,6939
-0.0898,7066
-0.105,7303
0.114,2889
-0.0465,8176
0.0949,2609
-0.0353,6204
-0.069,7027
0.132,2979
0.472,560
0.00925,5169
-0.0253,6294
-0.00111,5318
0.0355,4538
-0.0802,6412
0.358,276
0.00648,5158
0.0978,1954
-0.0879,8907
0.122,2839
-0.152,9005
-0.171,9023
-0.0465,6014
-0.0825,9455
-0.108,7748
-0.0176,5631
0.428,1005
-0.236,9779
-0.144,7860
-0.288,5932
0.261,2425
-0.183,9976
-0.354,10898
0.0568,4258
-0.0185,6019
-0.0174,5936
-0.181,9070
-0.0838,7593
0.0377,5072
-0.216,8689
0.0849,2315
-0.0646,8171
-0.0847,6498
0.497,841
-0.141,7061
0.341,2024
0.0943,2890
-0.173,9774
-0.157,9530
-0.0463,6790
0.41,268
-0.171,9144
-0.00149,5447
-0.137,8464
-0.292,9178
0.0588,3920
-0.126,8656
-0.325,10131
-0.026,6239
0.0415,3445
-0.147,9068
0.0232,4578
