coef,rank
0.254,1934
0.0463,4267
0.068,3169
-0.256,8849
0.13,3458
-0.347,7984
0.0876,4091
-0.194,9832
-0.0532,7018
0.207,1357
-0.172,8819
0.259,1486
-0.0291,6057
0.00854,4973
0.0675,3543
0.724,24
-0.0854,5946
0.363,1933
0.176,440
0.0574,2650
0.124,2175
-0.128,9242
0.0793,3916
0.381,1229
0.197,1216
-0.0938,7248
-0.164,7921
0.197,1750
0.016,5007
-0.963,10897
0.0578,4065
-0.0554,7114
0.234,1540
0.0452,4433
-0.13,7926
0.271,1551
0.022,4889
0.0163,4592
-0.13,8661
-0.0523,5872
0.13,2780
-0.301,10319
0.0891,2561
0.00951,4927
0.0988,3191
-0.0371,6212
0.00642,5228
0.376,877
0.0937,1448
-0.0786,9274
-0.356,10547
-0.0721,7661
-0.118,7544
-0.367,10663
0.187,1805
0.0281,4094
0.118,2187
0.114,3278
-0.251,8420
-0.0525,5997
-0.0349,6964
0.0622,3513
-0.0433,6097
0.0386,4333
-0.0323,6656
-0.0636,8212
-0.111,8204
-0.0679,8067
0.0618,3734
-0.0576,7343
0.0104,4952
-0.206,7111
-0.104,8360
-0.272,10800
0.0635,3896
-0.134,7698
-0.345,9379
-0.0321,6614
-0.158,9553
0.265,303
0.203,1093
0.271,684
-0.129,6847
0.0112,4956
0.121,1588
-0.12,9081
-0.098,8074
-0.0691,6561
-0.0486,6218
0.000351,4995
-0.0906,8892
0.04,3489
-0.0339,6015
-0.431,10925
0.0691,4000
-0.121,7392
0.493,230
-0.0337,6526
-0.0607,5955
0.249,144
-0.23,10091
0.0286,4624
0.0126,5022
-0.0111,5655
-0.0163,5697
0.0714,3813
0.242,2186
-0.232,9176
0.308,905
0.406,201
-0.442,10957
-0.0518,6584
1.15,221
-0.0846,6778
0.0924,2469
-0.111,9751
0.123,3258
-0.0952,8146
-0.0291,6527
-0.0764,6986
0.124,2631
-0.0235,6246
-0.0435,7088
-0.0928,8722
-0.156,7812
-4.37e-05,4965
-0.0206,6133
0.209,1524
-0.0525,6526
-0.187,9278
-0.202,9173
-0.363,10734
0.111,1979
0.178,1383
0.0243,4716
-0.174,10182
-0.599,8234
0.178,3204
-0.0274,6219
0.0502,3814
-0.0948,7051
-0.0216,6452
0.0698,4044
0.23,1309
-0.197,9767
0.14,1997
-0.308,9887
0.196,1639
-0.0747,8153
0.33,1137
-0.15,9482
0.205,469
-0.925,9056
0.415,240
-0.215,7740
-0.161,8773
-0.105,8803
-0.0217,6014
-0.197,8441
0.442,101
0.199,1329
0.231,665
0.0717,3827
0.0598,2532
0.0863,3181
-0.000107,5664
0.228,403
0.00631,5108
-0.0199,5981
0.00934,5075
0.316,603
0.178,2752
-0.0396,6637
-0.0296,6320
0.0858,1257
0.171,1148
0.135,1474
-0.00174,5448
-0.0923,6238
-0.0563,7907
