coef,rank
-0.336,9778
-0.292,10510
0.0233,4633
-0.443,10493
-0.42,6901
-0.145,5879
-0.357,8860
0.0984,2955
0.0146,4625
-0.252,10021
0.209,1573
0.0457,4324
0.0121,4879
-0.0549,7536
0.17,1384
-0.0968,7587
-0.177,7027
0.314,2192
0.16,616
0.0335,3809
0.288,388
-0.05,6959
-0.251,8469
0.259,2100
0.21,1074
0.12,2722
0.274,1545
0.503,124
0.00993,5225
-0.11,5491
0.0581,4056
-0.206,10384
-0.368,10823
0.0253,4664
0.0296,4496
-0.0155,5604
0.121,2403
0.0395,3646
0.0104,4993
-0.0722,6212
-0.218,9546
0.536,113
0.0951,2415
0.0415,3126
-0.0303,5968
0.00791,4940
-0.023,5871
-0.0575,5794
-0.087,9248
0.0302,3783
0.123,3174
-0.454,11030
0.128,2928
0.0178,4885
-0.11,7367
0.154,761
0.172,1314
-0.276,9253
-0.101,6415
0.32,1029
0.00338,5142
-0.249,10889
0.0898,3693
-0.0474,6152
-0.214,10813
0.0914,1636
-0.0662,7037
-0.0499,7407
-0.171,9846
0.0996,2262
0.108,2775
0.107,3936
0.0279,4269
0.164,1363
-0.283,10615
0.0522,4228
-0.341,9341
-0.051,7244
0.245,561
-0.0985,8563
-0.189,10155
-0.245,10379
0.0762,4343
0.188,2689
-0.174,10527
0.000902,5258
0.035,4550
0.142,3113
-0.15,8532
-0.43,10567
0.231,249
-0.0381,7311
0.147,2416
0.0997,3147
-0.278,9414
-0.362,10472
-0.484,10972
-0.258,10886
-0.00606,5128
0.0517,3486
-0.187,9467
0.107,3074
0.138,1656
-0.0377,6564
0.261,450
-0.278,10319
-0.271,8945
0.084,3746
0.108,3174
-0.279,10448
0.376,408
-0.0978,7805
0.646,1078
-0.0528,6216
0.00668,5314
0.0657,2782
-0.000163,5390
0.124,2406
-0.157,10278
0.222,1570
-0.0822,7412
0.00356,5128
0.0723,2852
-0.114,9317
-0.181,8191
-0.419,9654
-0.0683,7898
0.163,2077
0.157,2695
-0.167,8940
-0.12,7752
0.214,1845
-0.148,9804
-0.119,8835
-0.134,7482
-0.257,10857
2.53,214
-0.168,7278
-0.211,10681
0.000195,5416
0.0702,4391
-0.0617,7971
-0.325,10122
-0.129,8424
0.017,4790
-0.0199,6179
-0.0909,6685
0.389,276
-0.0226,6393
-0.196,8543
-0.0396,6651
0.36,16
-0.0596,4741
-0.0369,5909
-0.529,10523
-0.207,9528
-0.115,9033
-0.139,8887
-0.148,7716
0.0318,4554
0.103,2923
-0.00286,5474
0.29,731
-0.0065,5697
-0.241,10226
-0.26,10454
0.169,989
-0.0509,7347
0.135,2749
0.059,3377
0.228,1269
-0.299,9242
0.0694,2921
-0.0769,8035
0.0352,3306
-0.0583,6949
0.256,258
0.0607,4130
0.808,518
-0.0907,9230
-0.102,8570
0.142,2550
0.0479,4070
0.0714,3532
-0.115,9234
-0.0574,8571
0.062,3413
0.0548,3819
0.484,295
0.0163,4900
-0.507,9947
0.16,1256
-0.0509,7174
0.0419,3313
0.0701,3119
0.169,2020
0.223,2174
-0.133,9147
0.46,278
0.201,1699
0.141,1154
-0.091,6955
-0.155,9163
-0.121,7092
-0.0529,7419
0.445,44
0.11,3058
-0.0658,5776
-0.116,8237
0.383,437
0.0137,4777
-0.045,7234
-0.303,10835
0.0722,3887
-0.143,8000
0.0091,4829
-0.00824,6057
-0.0632,7629
0.501,53
-0.119,8117
-0.151,7629
-0.231,8724
0.0439,4376
-0.0441,7024
0.0849,1856
-0.089,6982
0.0207,4776
0.526,34
-0.0857,8365
-0.0908,8987
0.131,1225
-0.291,10515
-0.0762,7465
-0.0611,6742
0.195,2259
-0.0746,9178
-0.0418,6068
-0.193,9139
-0.539,10811
-0.0778,6738
-0.0506,6091
-0.498,7966
-0.469,10455
-0.0416,6652
-0.0754,7053
-0.108,7844
-0.0747,8006
-0.0669,7179
-0.0437,6364
0.154,1817
0.266,3860
0.297,1560
-0.0526,7396
0.0606,2965
-0.0312,5670
-0.00125,5259
0.341,1486
-0.228,7137
-0.137,9058
-0.0287,6088
-0.00396,5504
-0.294,10835
-0.151,8843
-0.306,10620
0.0286,4589
0.0551,3926
-0.0829,6254
0.0555,4017
0.0319,4716
0.415,608
0.371,249
-0.0302,6952
0.0717,3211
0.0713,3504
-0.257,9879
-0.168,9336
0.183,1436
-0.0619,6316
-0.0136,5712
-0.0132,5581
0.16,2662
0.221,853
-0.0555,6859
0.202,2097
-0.177,9125
-0.173,8482
-0.109,7228
0.274,710
0.0396,3864
0.281,578
0.0238,4574
0.182,2436
0.054,4296
-0.135,7925
0.216,298
0.124,1671
0.0892,3974
-0.172,9367
-0.0419,5891
0.169,2618
0.113,2501
-0.236,10662
-0.0557,6924
-0.377,10787
0.143,2279
0.371,1177
0.121,1036
0.0543,3994
-0.0429,6653
-0.457,10607
-0.143,7360
0.0729,2814
0.104,1741
0.188,1168
-0.0623,7232
-0.0303,5553
0.298,1523
-0.252,9965
-0.147,7711
-0.00869,5186
-0.362,10351
0.253,881
0.0734,3805
-0.267,8209
0.00179,5244
-0.057,6999
-0.139,9360
-0.217,10004
0.0584,2828
0.412,1175
-0.00982,5671
0.214,645
0.197,2415
0.197,2179
0.135,1884
0.372,1546
0.0601,3261
0.0705,2917
-0.0903,8373
-0.319,10995
0.223,925
-0.0673,6428
0.0595,3233
-0.0748,6301
-0.351,9875
-0.0283,6698
0.218,172
-0.223,9527
-0.00765,5468
-0.129,8612
0.802,1632
0.0509,4344
-0.433,6488
-0.121,5199
-0.533,10649
-0.0151,4832
-0.0609,6491
0.249,1373
-0.195,9795
0.151,1980
-0.117,9995
0.119,698
-0.774,10052
-0.178,8671
0.0854,3462
-0.119,7653
0.0539,4238
0.105,1624
-0.439,10065
-0.105,7644
-0.242,10487
-0.0722,6919
-0.28,9694
-0.203,10509
-0.18,9402
-0.489,10877
0.267,1558
-0.857,10974
-0.147,8584
-0.0596,7506
0.124,3354
-0.0681,8630
0.147,2549
0.292,2339
0.187,1067
-0.0446,6687
-0.0668,7164
-0.106,7623
0.00371,4749
-0.146,8169
0.104,2117
0.0549,3680
-0.00305,5530
0.388,1144
0.049,4201
-0.301,9104
-0.024,5874
-0.249,10858
-0.223,8058
-0.271,10727
0.196,1814
0.221,1060
-0.129,8691
-0.0534,6940
-0.0331,6210
-0.204,8991
-0.366,10661
0.0514,4427
-0.00207,5735
0.22,628
0.0968,3280
-0.0576,6439
-0.301,10347
0.206,1872
0.023,4620
-0.0227,6850
0.00872,4444
0.0917,3096
-0.084,6264
-0.165,9195
-0.291,8833
0.0526,3091
0.0318,4569
-0.266,9980
0.494,204
-0.0392,5411
0.162,2468
0.0963,2309
0.15,1923
0.0615,4169
0.123,2959
-0.106,7986
0.19,465
0.144,1568
-0.205,9645
0.198,1423
0.397,526
-0.0257,6210
0.231,1914
-0.0555,7457
0.0343,3948
-0.506,8323
0.0462,4684
0.358,734
-0.398,9919
0.0536,3541
-0.0189,5934
0.757,39
0.317,2088
-0.372,10544
0.466,806
0.11,2473
0.469,702
0.248,2087
0.124,2229
-0.386,10203
-0.135,8519
0.207,214
0.0921,1770
-0.0341,6086
-0.176,8920
0.0392,4501
-0.0924,8047
0.00236,5249
0.136,3115
-0.109,7407
-0.0727,6534
-0.11,8230
0.227,1896
-0.127,8573
0.279,330
0.592,116
-0.296,10318
-0.0232,6112
-0.0424,6421
-0.123,8329
-0.0577,7002
-0.167,9522
0.867,101
-0.326,10931
-0.146,9127
-0.113,9117
-0.358,9984
0.413,13
0.0747,3766
-0.261,9351
-0.13,8799
0.0341,4309
0.00691,5152
-0.000271,5170
-0.0498,7064
-0.135,8749
0.155,1810
0.00826,4790
-0.158,9399
-0.286,10984
-0.0227,5352
-0.0954,6135
-0.257,10855
-0.016,5812
0.142,1330
0.141,2217
-0.212,9435
0.448,1702
-0.0259,5836
-0.105,9742
-0.275,10984
-0.243,8260
0.142,2483
1.02,132
-0.177,8636
-0.249,9043
0.0936,2172
-0.0588,5620
1.81,4
0.613,683
0.482,1018
-0.127,9807
-0.0847,8340
-0.176,10235
-0.0835,8004
-0.329,9886
0.689,5
-0.107,8929
-0.0918,7661
-0.307,8038
0.54,353
0.443,825
0.0554,4376
-0.00214,5345
0.113,2618
0.0835,3269
-0.325,10783
-0.216,10032
0.288,1624
-0.00997,5527
-0.211,10957
-0.483,8892
-0.427,8522
-0.658,10038
-0.424,8400
-0.0925,8189
0.27,1589
-0.156,9495
-0.0828,7026
-0.0568,6454
-0.00869,5532
-0.258,10658
-0.224,9787
-0.0608,7090
-0.00166,5413
-0.0919,6095
1.1,336
0.125,2040
0.254,1226
-0.208,9431
0.165,1776
-0.122,7995
-0.201,9393
0.0102,4982
0.178,2062
-0.276,10633
-0.0188,5793
-0.158,8423
-0.225,9823
-0.0478,7078
0.062,3431
-0.0554,6987
-0.128,8866
-0.254,9320
-0.0118,5800
0.00514,5294
0.18,2435
-0.173,9201
-0.175,9268
-0.221,9650
0.07,3972
0.078,3148
-0.137,10083
0.0469,4463
-0.175,9479
0.644,48
-0.361,8170
0.0366,4278
0.101,2699
-0.0608,6001
-0.127,9372
-0.163,10083
-0.0448,6252
0.203,739
0.0408,4039
-0.247,10575
0.00832,4953
-0.258,8814
-0.482,10578
0.0469,3028
-0.0501,6515
0.258,1543
-0.025,5985
0.274,989
0.0218,4804
0.395,121
0.0642,3547
-0.164,8395
-0.115,7047
-0.244,10357
0.0658,4277
0.0809,2955
0.0162,4756
-0.112,6623
0.0426,3509
-0.3,8962
-0.493,9651
-0.0563,7194
0.0215,4848
0.176,2026
-0.0392,6191
-0.296,9541
0.0727,3843
-0.255,10627
-0.044,6993
-0.166,10678
-0.0873,8041
0.193,1421
-0.25,10318
0.132,1774
-0.1,6992
-0.144,9858
0.0116,5000
-0.708,10175
0.203,878
-0.123,9769
0.187,265
0.0546,3832
0.311,1083
0.118,2965
0.00565,5180
-0.0588,8509
