coef,rank
-0.151,7525
-0.189,9374
-0.171,10210
-0.309,9438
-0.166,5192
-0.131,5750
-0.438,9615
-0.128,8621
-0.113,8891
0.246,986
-0.135,8097
-0.0235,5613
0.0646,3363
0.0179,4611
-0.0937,8227
0.313,784
0.319,2122
-0.01,4833
0.0696,2590
-0.0249,7043
-0.396,11015
-0.00878,5550
-0.629,10894
-0.207,8168
0.0344,4436
-0.0556,6364
-0.0149,5329
0.402,344
-0.174,10468
-0.393,8229
-0.11,7789
-0.0816,7894
-0.321,10591
-0.105,6348
0.189,1737
0.343,1049
-0.171,9728
0.168,519
-0.107,8127
-0.352,10129
-0.275,10209
-0.143,8143
0.0713,3052
0.267,4
0.127,2692
-0.289,10759
0.0286,4786
0.581,224
-0.141,10514
-0.186,10966
0.205,2021
0.0493,4240
-0.093,7077
-0.0794,6921
0.253,1139
-0.00764,5552
0.00967,4819
0.195,2338
0.702,388
0.0406,4393
-0.0651,8212
-0.0394,7020
-0.11,7345
0.174,2135
0.257,150
-0.143,10430
-0.143,8903
0.14,1219
-0.0635,7398
-0.115,9025
-0.151,8871
-0.416,9203
0.0628,3287
0.0908,2714
-0.068,7175
0.0213,4793
-0.00404,5192
0.0869,2775
-0.109,8411
0.124,1893
-0.092,8290
-0.0649,7034
-0.232,8100
0.257,1918
0.289,83
0.0234,4563
0.44,91
-0.0969,7002
-0.085,7097
-0.00625,5115
-0.116,9539
-0.0404,7407
-0.103,7485
0.104,3066
-0.268,9304
-0.092,6880
0.131,2892
-0.154,9910
-0.403,10308
0.0344,4171
0.16,1916
0.381,360
0.0819,2899
-0.0581,7250
-0.00789,5443
0.445,218
-0.042,5712
-0.0531,6240
0.0388,4468
-0.384,10930
0.0295,4525
0.44,84
0.211,3221
-0.247,9367
0.136,1466
-0.0495,7737
0.27,1501
0.0936,3040
-0.0703,8062
-0.294,10309
-0.0126,5700
-0.153,10248
0.0633,3138
0.0842,2529
-0.141,7548
-0.234,7748
-0.0727,8041
-0.189,9211
-0.22,9382
0.113,2626
0.292,1089
0.0175,4897
-0.0845,8266
0.146,1884
-0.078,6511
-0.0268,6255
-0.148,5140
0.335,1913
-0.0401,6728
-0.0929,8218
0.0655,4457
0.0307,4348
0.188,2399
-0.318,10742
-0.0236,5878
0.0925,2992
0.233,1711
0.117,2848
-0.109,9114
0.00114,5179
0.0887,2735
0.287,98
-0.631,7739
-0.263,10147
-0.197,7525
0.308,657
-0.00575,5627
-0.0775,7524
0.275,1640
0.279,694
-0.279,10671
-0.0367,6575
0.135,2558
-0.0137,6103
0.11,2690
-0.0887,7768
-0.126,9357
-0.0473,7210
0.0896,3582
0.0799,2754
0.342,471
0.522,619
-0.0842,8168
0.0584,3065
-0.0565,8614
0.0686,3119
-0.0614,7418
-0.297,10353
0.0968,4247
-0.0931,9319
0.0531,3907
-0.134,8422
-0.024,5953
0.0228,4753
-0.2,10655
0.106,677
0.0412,4019
-0.12,8806
-0.0734,6623
-0.0512,7034
-0.273,7726
-0.153,9730
0.167,1141
-0.0145,6426
0.297,173
0.0154,4846
0.232,2095
0.025,4603
0.491,223
-0.173,8924
0.0066,5100
0.619,79
-0.229,10335
-0.328,9687
0.00877,4867
-0.137,9064
0.142,2443
0.281,2266
0.0311,4631
-0.00347,5517
0.178,1049
-0.0398,7027
-0.0456,6625
-0.283,10063
0.446,406
0.363,461
-0.00209,5719
-0.0855,8279
0.029,4548
-0.026,6009
-0.23,8857
-0.18,7964
0.103,3184
0.0139,4764
0.173,356
0.0363,4520
-0.137,7378
-0.0103,5810
0.142,1367
-0.0225,6428
-0.0582,7912
0.019,4844
-0.238,10165
-0.18,9206
-0.192,8516
0.0225,4205
-0.312,10692
-0.122,7813
0.811,129
-0.00827,5093
0.0115,4929
-0.349,6473
-0.0359,5646
0.373,121
-0.0124,5429
-0.176,9128
-0.0279,6373
-0.0923,7796
-0.18,9052
0.288,470
0.219,4093
-0.103,6939
-0.0187,6084
0.0173,4625
-0.212,8335
0.0217,4945
-0.0343,5500
-0.136,6040
0.109,2554
-0.106,8313
0.0235,4693
-0.131,8977
0.109,3193
0.132,2664
0.192,1164
0.155,2068
-0.0118,5164
-0.183,9816
0.0282,4817
0.0241,4707
-0.106,8232
0.0918,1548
-0.166,9457
-0.322,10698
0.0234,4941
0.0597,3665
-0.184,9457
-0.127,7554
-0.254,10245
-0.0507,6423
-0.22,9358
0.061,3692
-0.147,9194
-0.0876,7359
-0.152,8647
-0.394,10705
-0.0986,7012
-0.09,7687
0.107,1664
0.121,2490
-0.359,10744
-0.186,8531
-0.151,8238
0.145,2640
0.0708,2775
0.188,694
-0.455,10549
0.14,1984
-0.387,10364
-0.114,6797
0.329,264
0.212,662
0.243,664
-0.213,9384
-0.0966,7728
0.115,3353
-0.0613,7923
-0.0912,7002
0.0183,4779
-0.281,9145
-0.237,8808
0.0864,2466
0.133,1156
0.0195,4773
-0.131,8862
0.0748,4216
-0.000305,5397
0.185,2089
-0.04,5812
-0.00397,5124
-0.0866,6797
-0.142,8894
-0.299,9880
-0.465,10004
0.0371,3837
0.137,2151
-0.0734,7638
-0.193,9657
-0.106,9334
0.157,3170
0.0209,4345
0.0376,4192
-0.12,7403
0.785,30
-0.0513,6882
0.187,2947
0.216,498
-0.182,10522
-0.0278,6356
-0.136,9466
0.143,2002
-0.116,7347
0.00269,5249
0.376,1276
0.344,1257
-0.121,10033
0.0524,3114
-0.307,10405
0.0475,3765
0.0303,4515
-0.257,6221
-0.362,8473
-0.977,9867
0.599,1762
0.104,3876
-0.104,5607
-0.382,10692
-0.108,7651
-0.0673,7158
-0.174,9227
0.176,309
-0.00196,5235
-0.279,6550
0.263,1301
0.0671,3845
-0.176,8654
0.0501,4317
0.12,1302
-0.0509,5205
-0.00344,5415
-0.0499,6944
-0.153,8624
0.056,4197
-0.193,10420
-0.0873,7534
0.371,822
-0.236,9039
-0.0819,5989
0.0903,3474
0.0215,4617
0.446,645
-0.109,9935
0.041,4387
0.503,1171
0.0548,3753
0.196,1056
0.123,2218
-0.0619,6635
0.182,3216
-0.0177,5428
0.0176,4570
0.405,86
0.434,114
-0.36,9909
-0.0616,6827
-0.348,9634
-0.146,8644
0.172,927
-0.261,8508
-0.0805,7717
-0.0598,6478
-0.209,9938
0.13,2193
-0.00629,5463
-0.0664,7058
-0.341,10464
-0.121,7689
-0.308,8374
0.037,2160
0.0355,4086
-0.126,8011
0.498,503
-0.0888,7081
0.157,2488
0.0416,3929
0.0551,2088
-0.00525,6288
-0.257,10303
-0.204,7776
-0.0588,6675
-0.387,9747
-0.135,10124
-0.0466,6117
-0.0143,5414
-0.449,10920
-0.106,6195
-0.183,8910
-0.0346,6775
-0.171,9098
0.169,2567
-0.0724,6607
-0.273,10505
-0.0808,8197
0.181,967
-0.0643,6929
-0.102,7738
-0.185,8749
0.156,1508
0.26,1636
-0.133,9527
0.0355,3901
-0.139,4411
0.251,2512
0.617,98
-0.528,10675
0.00708,5139
-0.323,10612
0.305,1260
-0.287,8478
0.0693,3802
-0.12,6746
-0.0714,7656
-0.314,9318
-0.184,8217
0.0961,2836
-0.0129,5468
0.0516,4129
-0.0968,9332
-0.11,9864
0.0542,4145
-0.0861,7197
0.0787,3506
0.0521,3739
-0.00587,5572
-0.128,7362
-0.301,10197
0.0966,3647
-0.348,10846
-0.107,7186
-0.127,8552
-0.145,9482
0.102,3338
-0.437,10941
0.0633,3287
0.181,1399
0.0708,3294
0.107,3034
-0.122,8518
-0.0702,6531
-0.0577,6804
-0.113,8449
-0.0604,7479
0.104,3415
0.154,1252
-0.0119,5451
-0.453,10766
0.115,2376
-0.0595,7346
-0.0824,8268
0.205,767
0.107,2363
0.234,972
-0.104,8125
-0.0431,9371
-0.327,10936
-0.162,10123
0.167,3118
0.213,2658
-0.0572,7437
-0.152,9594
-0.18,10391
-0.181,9285
0.0917,3165
-0.558,10357
-0.284,10605
-0.0967,9494
0.197,442
-0.546,10707
0.0867,3476
-0.705,10846
0.411,432
-0.324,9902
-0.167,10483
-0.372,9086
0.151,3512
-0.576,10797
0.16,3303
-0.122,9683
0.0598,3322
-0.0798,8225
0.0662,2984
0.399,915
-0.253,10113
-0.00892,5480
-0.084,7455
-0.218,7052
-0.274,9381
0.855,62
-0.291,7322
-0.251,10892
0.167,1651
-0.0257,5580
0.301,702
-0.171,9400
0.307,1472
0.131,1559
0.088,1723
3.18,35
-0.0874,5402
-0.248,7131
0.351,2918
-0.0941,8229
-0.221,8958
-0.0738,7558
0.0164,4698
-0.0725,6777
-0.0852,7556
-0.334,10955
-0.0681,6916
-0.153,9207
-0.32,10836
1.52,16
-0.204,7094
0.00421,5086
0.181,2003
-0.159,8605
-0.158,8833
0.0542,4032
0.105,2972
0.052,3925
0.0611,3923
-0.126,8569
0.102,2375
-0.186,8904
0.00625,5262
0.209,690
0.000112,5393
0.135,2231
0.223,848
0.0619,4164
0.213,349
-0.147,9538
-0.364,10468
-0.0928,7567
-0.2,9632
-0.393,10904
0.0497,4398
0.0895,2912
-0.0665,8126
-0.244,8117
-0.213,10031
0.129,2708
-0.524,9329
0.139,1779
-0.0432,6440
-0.105,6673
-0.0869,8367
0.155,1164
0.044,4306
-0.0448,6896
-0.0183,5929
0.0385,4497
-0.233,10745
-0.00457,5106
-0.0922,6632
0.0336,3657
-0.25,10048
0.415,544
-0.134,8650
0.191,1891
0.211,1081
-0.133,8893
0.112,2379
-0.00163,5391
-0.243,9060
-0.222,10111
0.111,3602
-0.135,8954
0.117,1740
-0.353,9757
0.144,800
-0.395,9888
0.368,2093
0.0668,3574
-0.0842,8057
-0.00647,5489
-0.215,10083
-0.363,10139
0.0491,4308
-0.19,9914
-0.00864,5763
-0.0693,8450
-0.0931,8201
0.042,4366
-0.0899,7670
-0.0509,6788
-0.0813,6671
0.0574,3121
-0.158,7748
-0.707,10172
0.15,1570
-0.14,10132
-0.0691,8579
-0.00947,5927
0.0225,4934
-0.03,5836
-0.0807,8426
-0.0284,7021
0.113,2125
0.163,2416
0.0298,4823
1.09,2
0.24,1337
0.273,873
0.369,899
-0.115,8117
-0.241,8891
-0.213,10190
-0.0898,8727
-0.109,8635
-0.27,5291
-0.149,9990
0.0738,4062
0.139,2856
-0.0174,6478
0.0851,4392
-0.963,10766
-0.7,8099
-0.293,8680
-0.267,7659
0.177,2673
-0.00697,5548
-0.204,10473
0.133,2364
0.116,2236
-0.0378,7720
-0.233,9586
0.016,4828
-0.256,8114
0.0424,4066
0.107,2590
-0.0668,7710
-0.0549,6374
0.143,1833
-0.235,9070
-0.0939,8378
-0.13,8690
-0.337,10742
0.192,2288
-0.00472,5362
-0.0411,6395
-0.0751,6666
-0.107,8939
-0.0179,6171
0.117,3395
-0.0834,8328
0.0189,5085
-0.0975,7172
0.223,615
-0.113,7277
0.261,1146
0.629,878
-0.0693,7001
-0.0866,6840
-0.146,9096
0.25,544
-0.219,9040
-0.125,7785
-0.0523,6241
0.276,1631
-0.0443,6057
-0.176,9622
-0.108,7929
-0.306,7898
-0.279,9768
0.458,271
0.134,2101
0.26,621
0.0934,2379
0.0777,3187
-0.0296,5061
-0.175,4794
0.0928,2798
0.0447,3503
0.0386,4159
0.419,306
0.0596,2549
-0.285,9388
-0.0542,6679
-0.0779,8415
-0.226,8232
0.514,270
-0.123,7688
-0.139,8307
0.301,938
-0.0518,7270
-0.378,10430
0.677,140
-0.207,6899
-0.119,7211
-0.185,10557
0.265,1144
-0.244,9767
0.0635,3634
0.127,2341
-0.319,9070
0.55,53
0.293,580
0.155,2011
0.00637,5073
-0.543,10295
-0.127,5547
0.152,1466
-0.0119,5750
-0.0161,5731
-0.143,8916
0.0509,4129
0.234,1933
0.0924,2449
0.0312,4405
-0.0881,7366
-0.276,9114
0.206,1347
0.00343,5299
0.206,740
0.0875,1912
-0.203,9929
0.357,1021
-0.00908,5989
-0.0675,6951
-0.112,7250
-0.213,10753
-0.138,8367
-0.15,8347
-0.083,7161
0.289,2018
0.209,1374
0.361,554
-0.18,9295
-0.159,7234
-0.278,9488
0.000963,5158
-0.0953,8745
0.327,1561
0.0312,4603
-0.0804,6998
-0.0226,5606
-0.261,9901
-0.179,10211
-0.166,8827
0.0401,4616
-0.0444,7267
0.24,2962
0.641,564
-0.377,10883
0.0802,2528
-0.0132,5885
0.26,1623
-0.0444,6632
