coef,rank
0.254,1931
0.0449,4302
-0.18,10331
-0.3,9354
-0.779,9087
0.304,2902
-0.418,9455
-0.0651,7181
0.106,1925
-0.122,7897
0.151,2312
0.333,932
-0.0162,5671
-0.0725,8165
0.0821,3164
-0.191,9347
0.358,1841
-0.215,7212
0.0929,1913
-0.123,10526
0.0377,4188
0.131,1691
-0.375,9781
0.108,3753
0.336,245
-0.0346,5917
-0.241,9015
-0.233,9485
-0.0406,7205
-0.277,7100
-0.333,10672
-0.132,9150
-0.099,7467
-0.19,7443
-0.0461,6113
-0.116,7370
0.0884,3085
0.0794,2264
-0.228,10268
0.0257,4632
0.264,1059
0.5,162
0.113,1999
-0.0153,6346
-0.131,8175
0.0238,4518
0.535,124
-0.0749,6083
-0.104,9766
-0.165,10875
-0.143,8004
0.0324,4703
0.437,346
0.199,1892
0.0677,3571
-0.0692,8056
-0.00486,5281
0.00147,4979
0.0955,3991
-0.111,7104
0.0451,3310
-0.0855,8505
0.761,25
0.205,1757
-0.215,10820
-0.0845,8980
-0.21,10002
0.0629,3137
-0.268,10799
0.146,1323
-0.112,8046
0.784,552
-0.253,10732
-0.115,8595
0.181,1732
-0.123,7543
-0.334,9279
0.121,1976
0.0635,3498
-0.144,9669
-0.0724,7777
0.292,543
0.138,3647
0.847,48
0.00934,5164
0.0226,4588
0.042,4367
-0.146,7859
0.0722,3450
-0.146,7499
-0.00202,5537
-0.0514,7906
0.309,745
-0.0843,7103
-0.089,6575
0.117,3245
-0.364,10635
-0.133,9501
-0.355,9960
0.0258,4514
-0.0886,7449
-0.178,9026
0.332,116
-0.0152,5788
0.0813,2967
-0.154,8637
0.0385,4519
-0.15,7978
-0.225,9511
-0.0203,5716
-0.0225,5626
0.0424,4159
1.1,267
-0.183,8464
-0.0029,5660
0.019,4637
0.34,904
-0.209,10253
-0.0248,6357
0.195,1894
0.126,2596
0.115,1470
0.134,1370
0.124,1489
0.241,1965
-0.155,6798
0.025,4380
-0.383,10845
0.062,4255
-0.326,10735
-0.0364,6043
0.114,3148
0.0797,2775
0.104,2656
0.00977,4965
-0.0291,6348
-0.674,8690
-0.0769,6157
-0.0266,6196
0.0106,5076
-0.169,8173
0.104,1939
-0.197,8667
0.0989,3224
0.173,1672
0.226,808
0.0691,3887
-0.0202,5781
0.229,507
-0.306,9911
0.104,2374
0.129,1432
-0.0638,4760
-0.00662,5197
-0.214,7729
-0.0256,5815
0.00451,5299
0.024,4825
-0.184,8263
0.11,2823
0.0364,4433
0.169,1366
-0.103,7880
-0.123,10292
-0.0261,5840
-0.245,10339
-0.0811,8200
-0.133,9786
0.228,1466
0.0146,4883
0.00677,5183
0.0453,4384
-0.0603,7360
-0.0556,7265
-0.0185,6456
0.0895,2587
0.0769,2800
-0.164,8653
-0.0787,6086
-0.00561,5561
0.129,2041
-0.0679,7040
-0.0096,5592
-0.12,8529
-0.0349,6493
-0.0864,9758
-0.06,7437
0.126,2187
0.372,656
-0.00166,5453
0.333,2217
-0.114,8900
-0.0499,7139
0.00239,5438
-0.0153,5766
0.174,1970
0.269,1763
0.0376,4214
0.257,1365
0.143,2538
-0.0529,7462
-0.313,10246
0.279,382
-0.205,8283
0.136,1067
0.0624,3709
0.453,163
-0.16,6961
-0.0299,6106
-0.000959,5452
0.252,381
0.028,4185
-0.34,10954
0.156,2572
0.0742,3940
-0.173,8667
-0.0633,8945
0.0776,3068
0.164,1904
-0.0599,6821
-0.0241,5433
-0.365,10151
0.0676,3874
0.127,1410
0.0261,4061
-0.116,7447
-0.0512,5940
-0.158,9285
-0.00826,5718
0.00861,5118
0.202,327
0.158,2259
-0.102,8026
-0.208,9599
0.548,278
0.0268,3965
-0.045,6158
0.131,2677
0.207,2592
-0.158,8488
-0.303,10135
0.156,3070
0.756,350
0.0249,4622
0.447,68
0.473,141
-0.0171,5970
0.012,5196
0.255,1221
-0.0919,7794
-1.82,10980
0.0167,4970
0.0324,4067
0.0435,3589
0.165,3042
0.351,1581
-0.124,6832
-0.341,8410
-0.0789,7641
-0.0262,5999
-0.184,9994
-0.00681,5641
0.0845,3725
-0.13,8375
0.0141,4985
0.0157,4854
0.209,2229
0.466,47
0.11,2856
0.56,228
-0.275,10613
0.0278,4100
0.554,5
0.157,2046
-0.236,9629
0.156,1727
0.219,1049
-0.447,10876
-0.0229,5929
0.0541,4040
0.324,994
0.0163,4972
-0.125,8702
-0.0626,6833
-0.101,7613
-0.181,8612
-0.000282,5103
0.203,1417
0.0114,4987
0.572,15
0.0467,4132
0.609,162
-0.0776,6837
0.297,1040
-0.146,10318
0.156,1107
0.0202,4877
-0.127,8461
-0.131,7333
-0.222,8460
-0.201,9902
0.263,333
0.109,2515
0.0745,3498
-0.116,8165
-0.311,9333
-0.0195,6153
-0.241,9609
-0.077,7670
-0.18,7820
0.231,1982
-0.157,9716
0.311,22
0.202,1006
0.111,2689
-0.592,10776
-0.0309,5925
-0.24,9836
-0.0301,5645
-0.16,7771
-0.302,9862
-0.114,8331
-0.0904,6708
0.712,689
0.0186,4568
0.024,4715
-0.189,10201
-0.19,9605
0.0274,4022
0.669,334
-0.105,9249
0.172,1109
-0.0888,6853
-0.0901,6739
0.165,1353
-0.235,8124
0.0365,4021
-0.126,9618
0.00927,5040
-0.0347,6504
0.168,1580
0.617,108
-0.127,9569
0.132,3390
-0.145,7241
-0.00784,5715
-0.0754,8548
0.124,2614
-0.236,10670
0.0895,3108
-0.973,10340
-0.0368,5138
0.0524,3296
-0.249,6293
0.212,2808
-0.0327,4961
-0.0121,5559
-0.034,6117
0.0513,4042
0.138,2151
-0.0517,7894
0.18,143
-0.0597,4764
-0.373,10700
0.208,1685
-0.0717,6778
-0.158,9102
-0.0562,7866
0.255,2115
-0.168,8810
0.014,5227
0.149,2239
0.391,695
-0.24,10790
0.564,50
-0.243,9063
0.0136,4835
-0.173,7037
-0.0918,7441
-0.0797,8112
-0.128,7150
0.0598,2621
-0.147,8181
-0.317,8720
0.0999,2577
-0.183,9964
-0.0379,6348
0.124,2694
-0.508,9986
-0.273,10020
-0.0118,5608
0.0283,4370
0.199,1459
-0.14,7148
-0.0615,6824
0.0336,4528
0.272,727
-0.0381,6733
0.517,864
-0.0619,7193
0.0343,4485
-0.0491,6576
-0.127,8649
-0.0349,6376
-0.193,9583
-0.144,7967
-0.169,8568
0.108,3883
-0.00583,6123
0.241,438
0.456,165
0.0591,4507
-0.409,10872
-0.102,7252
-0.0969,8859
-0.0835,9880
-0.079,10954
0.171,1756
-0.00669,5287
0.0558,3789
-0.4,9856
-0.108,9525
0.107,3249
0.367,518
0.133,2713
-0.437,9914
0.41,436
-0.0464,7201
0.114,2518
-0.112,7288
0.0633,3964
-0.0579,6862
0.0842,2195
0.0321,4468
-0.106,7874
0.121,2608
0.252,1482
-0.319,10971
0.195,2288
0.102,2471
-0.0263,6637
-0.289,5836
-0.192,7856
-0.174,8462
-0.169,7405
0.0206,4666
0.351,667
-0.189,8715
0.0435,4471
0.224,1734
-0.319,9353
0.221,802
0.261,1973
-0.12,7277
-0.0527,6753
-0.299,9430
-0.21,9868
-0.0607,8126
-0.0619,8324
-0.171,8911
-0.378,10811
-0.0683,7264
-0.0443,6668
0.0297,4220
-0.0571,6164
0.179,2360
-0.255,9367
-0.11,8221
-0.00862,5389
-0.00379,5368
0.201,907
0.165,2414
0.304,752
-0.132,9402
0.0661,3490
0.189,1231
-0.11,8210
-0.214,10248
-0.349,9935
0.139,1686
-0.278,10648
0.0237,4428
0.0769,3791
-0.155,9934
-0.114,7558
0.088,3827
0.188,1200
-0.157,9745
-0.153,9975
0.0822,2894
-0.0148,5862
0.149,2067
-0.0918,7840
0.0355,2352
0.277,598
0.109,1940
-0.489,10521
-0.246,8024
-0.0837,8222
-0.0322,6383
0.0678,3067
-0.0457,6285
0.12,2675
-0.374,9006
-0.0472,6363
-0.0575,8006
0.011,4824
0.282,2037
0.0936,3331
0.318,2027
0.257,1367
0.0204,4535
0.0503,3524
0.0966,3998
0.117,3810
-0.352,9547
-0.371,9797
0.0315,3879
-0.194,10548
0.066,3294
0.00544,4887
-0.0756,6349
0.0582,3852
-0.156,10032
-0.0458,6517
0.447,1827
-0.0439,5885
-0.23,8995
1.23,454
0.037,3962
-0.037,6543
-0.015,5341
-0.251,10310
-0.00954,5452
0.349,1171
-0.2,10430
0.00272,5367
-0.474,8809
-0.611,9801
-0.114,5890
-0.333,7709
-0.0993,8353
-0.34,10253
-0.135,9072
-0.133,8114
-0.266,10066
-0.0524,6727
0.0699,3188
-0.15,8628
0.0473,4242
0.0638,3718
0.0667,4380
0.359,2570
-0.156,9416
-0.0695,6679
-0.249,9940
-0.189,9371
-0.199,9445
-0.323,10637
-0.127,8512
0.0183,4715
-0.0198,5837
-0.245,10671
-0.141,8116
-0.211,9659
-0.0464,7037
-0.0815,7999
0.0435,4298
0.139,1974
-0.336,10136
0.0228,4406
-0.178,10042
-0.197,8730
-0.108,7898
-0.0266,6088
0.101,3030
-0.00123,5518
0.269,496
-0.0639,8034
0.558,741
0.0913,2883
-0.133,7611
0.0638,4522
-0.148,9509
-0.199,9930
-0.198,8087
0.0167,4798
-0.158,9997
-0.0576,6534
0.15,1426
-0.051,6963
-0.279,10760
-0.0829,8078
-0.125,6941
-0.233,8604
0.0751,1911
0.045,4329
0.354,845
-0.142,8815
0.205,1697
0.225,919
0.155,1861
0.0741,3287
-0.101,7293
0.19,2351
0.285,621
-0.193,8723
-0.16,9473
-0.101,8948
-0.163,7373
-0.0304,6785
-0.299,8957
-0.218,6726
0.0698,3489
-0.139,9346
0.246,1237
0.312,289
-0.274,9317
0.204,1824
0.0213,4645
-0.168,10222
0.0318,3862
-0.102,8449
-0.17,9520
-0.227,10085
-0.021,5884
0.0552,4292
-0.151,9983
-0.00735,5313
-0.26,7026
-0.144,9628
-0.011,5761
-0.123,10130
0.126,1949
0.511,241
0.028,4686
0.177,623
0.0666,2164
-0.0124,5576
0.331,842
-0.268,9673
0.112,3210
-0.184,9107
0.0438,4179
-0.129,7509
-0.118,8176
-0.000866,5192
0.00735,5017
0.0884,2369
0.0753,2933
-0.325,5735
0.0531,3739
-0.0469,5727
-0.163,8054
0.158,741
-0.268,8652
-0.223,6703
0.0212,3780
0.431,1293
-0.307,8062
0.422,771
-0.262,9873
-0.0245,6451
-0.0319,6535
0.0669,3561
-0.0193,6625
0.364,782
-0.299,9190
-0.403,9633
0.0573,3601
-0.0808,7589
-0.0376,6718
-0.214,9222
-0.0549,6810
0.105,3540
0.124,1768
0.146,2170
0.102,3116
-0.056,5668
0.0813,3780
0.0827,3663
-0.288,9903
0.111,1949
-0.109,8994
-0.421,10520
-0.0559,7438
-0.0962,7388
0.0433,4683
0.0535,3768
-0.129,7541
-0.043,6390
0.2,3046
-0.295,10587
-0.305,10048
-0.18,9711
0.0351,4231
0.007,4948
-0.155,8319
0.14,2754
-0.0956,6807
0.174,2341
0.232,787
0.0085,5261
-0.325,8128
-0.0426,5973
-0.178,8762
-0.193,9777
0.0335,4416
-0.163,10123
-0.283,10665
-0.282,7821
-1.32,10608
0.0524,3858
-0.0309,6760
-0.0729,8077
0.21,1732
0.0167,4400
-0.133,7367
0.0418,4127
0.188,758
0.141,3186
-0.0938,7007
0.161,2119
0.00583,5235
-0.222,9658
-0.123,9271
-0.356,10290
-0.41,10511
-0.338,8083
0.401,962
-0.145,9927
0.22,1604
-0.286,10241
0.113,2443
0.262,659
-0.237,8127
-0.0735,6979
-0.102,8014
0.398,153
0.234,493
-0.0754,5631
-0.761,10234
-0.253,10791
0.073,2779
-0.0589,6992
-0.182,9619
0.0384,4406
0.274,1561
0.0771,2838
0.159,1617
0.181,1499
0.156,3110
-0.066,7038
-0.0582,7463
0.0466,4068
-0.137,10279
-0.153,9046
-0.0471,5980
-0.157,10581
0.277,817
-0.534,10948
-0.0733,8041
-0.0995,7618
0.205,1658
0.207,1781
0.8,226
-0.0303,6092
0.293,995
-0.211,9776
0.365,1661
0.308,1300
-0.226,9993
0.0243,4438
-0.046,6052
0.207,2803
-0.16,8423
-0.364,10506
0.0387,4535
-0.0032,5566
0.142,2335
0.157,2870
-0.0981,9087
0.721,745
-0.0153,5450
-0.097,7662
-0.026,6767
-0.131,8545
0.595,159
0.135,2023
-0.108,6709
0.119,1978
0.0746,3155
-0.0532,9910
-0.0296,9645
-0.114,11028
-0.0162,8290
-0.00614,6661
-0.0848,4860
-0.316,10675
-0.296,7366
-0.278,6253
-0.0873,4774
-0.146,8641
-0.0657,6708
-0.358,8486
-0.402,10837
-0.104,6254
0.0063,5208
0.193,2131
-0.669,8038
-0.00242,5468
-0.33,10116
-0.0189,6397
-0.3,10735
-0.198,9605
-0.637,10983
-0.287,9714
0.0807,4174
-0.193,8520
-0.257,10524
-0.112,7504
-0.305,6641
0.142,3116
0.0844,3669
0.146,3689
0.0319,4654
0.174,1510
0.0629,4160
0.475,71
0.281,123
0.124,1374
-0.222,9389
-0.349,10161
0.0843,3223
0.305,1922
-0.0173,5825
-0.0627,7771
-0.012,6311
0.257,776
-0.146,9122
-0.154,8659
-0.0125,5389
-0.00195,5118
-0.0499,6714
0.438,388
0.182,1890
-0.212,9764
0.209,648
0.161,1003
-0.0712,7139
0.238,833
0.00262,5302
0.326,1239
-0.201,7666
-0.259,10483
-0.229,10499
-0.695,9783
-0.156,9713
-0.0894,6647
0.0421,4378
0.11,2466
-0.21,9583
-0.0466,5716
-0.0111,6048
-0.017,5238
-0.15,9156
0.091,2197
0.507,2
0.0552,3824
-0.0815,7305
-0.011,5399
0.142,3260
-0.105,9298
-0.156,10190
-0.428,9520
0.23,1628
0.169,1478
0.0314,4668
-0.195,10114
0.0396,4090
0.474,2491
-0.604,7538
0.0957,2503
0.774,993
0.188,1376
0.133,1159
0.00256,5136
0.00653,5074
-0.22,8915
-0.0309,7153
-0.0312,6639
0.0317,4285
0.203,3393
-1.17,10607
0.604,2123
-0.0895,6728
0.0409,4485
-0.0241,5818
0.181,3114
-0.152,9123
0.115,1885
0.0178,5083
0.0859,3001
0.0889,3382
0.15,2402
-0.141,8918
-0.048,6753
-0.0788,7641
-0.199,9849
0.0203,4931
0.0397,3897
-0.42,10703
0.0699,3708
-0.066,6661
0.155,2254
0.882,223
-0.199,8241
-0.112,7981
0.126,2833
0.185,1250
-0.134,8895
-0.29,10242
0.354,188
0.0221,4726
0.023,4676
0.167,1083
0.0156,4282
-0.132,8375
0.359,301
0.134,2543
-0.0466,7723
-0.0848,7273
-0.113,9586
-0.398,9063
0.0913,3502
-0.0857,6650
-0.209,8775
-0.184,10725
0.105,2989
-0.192,6735
-0.237,10149
0.163,1438
0.426,1047
-0.0388,6749
0.135,2585
0.166,2991
-0.0183,5819
-0.245,10023
-0.192,8384
0.0956,1622
0.0203,4706
-0.153,7586
0.0875,3037
0.251,1819
-0.142,6792
0.147,2831
-0.0523,6479
-0.0447,6274
0.0886,3412
-0.0962,8992
-0.136,7975
-0.33,9070
-0.197,8429
-0.388,10023
-0.0247,6305
0.0945,3132
-0.0672,7682
0.519,668
0.446,1224
-0.525,8203
0.0452,3503
-0.0259,6233
0.674,610
-0.0618,6877
-0.234,8519
0.185,1577
0.0675,3225
-0.128,9962
0.00033,5552
0.6,156
-0.011,5831
0.103,2211
0.0959,2234
0.0939,2566
0.0811,3807
0.0761,3012
-0.214,8556
-0.266,8628
0.0546,4125
0.00124,5551
-0.0427,6508
-0.312,10500
0.106,3179
-0.0893,7193
0.124,3051
0.142,1712
-0.235,9618
0.373,902
-0.172,8042
0.115,2684
-0.154,9433
-0.00452,5345
-0.185,8494
0.219,641
-0.269,10125
0.0346,4299
0.00298,5300
0.475,421
-0.256,6491
-0.101,5875
0.269,670
0.209,455
-0.00815,5733
-0.00563,5108
-0.132,8969
-0.312,8190
0.000708,5347
0.0398,4415
-0.0821,8583
-0.161,8420
0.116,3506
-0.253,7016
0.286,1728
0.0731,4056
0.0171,4975
-0.139,7986
0.00871,5197
-0.125,7637
0.656,219
0.0161,4714
0.163,1354
-0.413,9596
0.185,1874
0.29,1002
-0.344,9350
-0.0488,6695
-0.181,9824
-0.269,9713
-0.0163,5479
0.0897,3702
-0.587,10908
-0.221,9937
-0.0451,6623
-0.253,10374
-0.00132,5078
0.0974,2091
-0.448,8327
0.00904,4879
0.0378,4452
0.234,1786
-0.179,8324
0.156,2996
0.326,408
0.291,951
-0.178,7978
-0.21,8774
-0.0928,7845
-0.0836,9037
0.0717,3458
-0.0469,7036
0.129,1932
-0.106,8715
-0.158,9773
0.349,537
-0.254,10190
-0.0529,7478
0.291,287
0.233,603
-0.223,9934
0.227,712
-0.0578,6065
-0.134,9009
0.0167,4850
0.343,2298
0.121,2889
-0.0909,7358
-0.219,8738
-0.142,8912
-0.197,10252
0.151,2721
0.0234,4769
-0.374,6902
0.0405,4087
-0.0334,6354
-0.119,8310
0.133,1168
-0.323,10075
0.229,605
0.671,14
0.181,1032
-0.122,7107
-0.059,6168
0.207,1638
-0.0125,5695
-0.0881,8883
0.0448,4007
-0.207,9656
0.438,554
-0.274,10564
-0.18,10207
-0.11,9107
0.00775,5208
0.0183,4949
0.051,4153
-0.0109,4954
0.0564,3094
-0.0597,7524
0.0235,4795
-0.256,10689
-0.382,10185
-0.218,9112
-0.0249,5498
-0.0719,7201
-0.161,8700
0.253,1318
0.0484,4441
0.594,220
-0.177,10296
0.0263,4421
-0.163,8216
-0.0272,6129
-0.231,10103
0.337,1342
-0.126,9243
0.276,104
0.16,2407
0.304,904
0.0946,3481
-0.258,7921
-0.146,8352
-0.144,9109
-0.0574,7509
-0.21,9215
-0.0434,6897
-0.284,9043
0.00897,4808
-0.0283,5768
-0.296,10292
-0.422,9664
-0.18,5939
-0.23,9983
0.258,781
0.000119,5067
0.152,1774
-0.303,10967
