coef,rank
0.132,3313
-0.157,8825
-0.0761,8099
-0.481,10644
1.15,1199
0.0412,4415
0.405,1792
0.174,1679
0.0978,2116
0.0534,3881
0.319,646
0.0213,4762
0.201,1018
0.0735,2620
0.204,984
0.166,2267
0.985,177
0.242,2691
-0.211,10940
-0.0514,8383
-0.212,10208
-0.0314,6359
-0.275,8743
0.122,3592
0.176,1480
0.0389,4271
0.15,2799
-0.274,9977
0.00839,5283
-0.283,7156
-0.403,10914
-0.166,9828
-0.352,10747
0.423,1193
-0.211,9389
0.221,2027
0.269,506
0.103,1632
0.0587,3694
-0.0151,5250
-0.0852,7133
-0.00266,5232
0.139,1475
0.132,440
-0.157,8675
-0.0117,5503
0.00759,5198
0.22,2001
0.0603,2423
-0.0524,8205
-0.273,9875
-0.114,8681
-0.0114,5459
0.075,3778
-0.0324,5688
0.138,1014
-0.134,8794
-0.0479,5797
-0.4,9958
-0.658,11028
0.186,285
0.0135,5146
0.0522,4317
-0.354,10639
0.00292,5303
0.0648,2487
-0.14,8844
0.226,307
-0.114,8688
0.147,1308
-0.246,10260
-0.32,8383
0.187,931
-0.0783,7610
0.00522,5341
-0.452,10876
0.0249,4830
0.0446,4012
-0.0947,8072
0.0213,4733
-0.205,10338
-0.0606,6926
0.346,1888
-0.0178,5359
0.0516,3562
-0.132,9361
-0.0747,7520
-0.234,9151
0.114,2660
-0.346,9997
0.313,43
0.00819,5023
-0.183,9021
0.0411,4313
-0.432,10642
0.00338,5055
-0.139,7950
-0.142,9676
-0.489,10734
0.067,2953
0.103,2868
-0.256,10104
-0.106,8803
0.019,4667
0.0494,3785
-0.133,8228
0.835,110
0.353,897
0.00961,5034
0.0192,4818
-0.264,10039
0.0503,3993
0.483,1710
-0.212,8895
0.0326,4294
0.0115,4998
-0.134,7862
-0.176,9829
-0.106,9171
-0.0512,6426
-0.176,9449
-0.125,9694
0.149,1093
0.0787,2709
-0.18,8174
-0.205,7397
-0.0255,6318
-0.0666,6798
0.11,3422
-0.0358,5962
-0.0511,6357
-0.0207,5661
0.15,1294
0.0292,4623
0.235,1898
-0.0503,7079
-0.855,9618
-0.229,7983
-0.0999,8696
0.0238,4636
-0.263,9404
-0.164,10480
0.55,202
0.129,2665
0.116,2612
-0.0498,7036
0.371,737
0.13,2630
-0.0437,7161
-0.23,9023
-0.204,10315
0.0887,2391
-0.552,7353
0.122,2643
-0.731,10941
-0.254,10089
-0.172,10155
0.0963,3131
0.17,2760
0.0841,3324
0.16,1880
0.0448,4035
0.192,1695
-0.0371,7312
0.0799,3309
-0.0666,7295
-0.0299,6457
-0.194,10696
0.395,344
0.241,310
-0.271,10379
0.117,3488
0.0567,3337
0.104,1871
0.0228,3977
-0.00479,5223
-0.0666,7586
-0.0345,6109
-0.339,8900
0.0125,4673
-0.315,10961
-0.264,10348
-0.0196,5844
-0.112,8364
0.0574,3006
0.0153,4191
0.292,161
-0.103,8415
0.0894,3465
-0.0881,8130
0.0414,4462
0.0718,3184
-0.0747,7877
-0.0244,6963
-0.014,5715
0.0529,4073
-0.579,10924
-0.0766,7767
-0.129,7916
-0.21,9549
0.0551,3296
-0.344,10474
0.00269,4905
-0.263,8950
0.14,992
0.28,438
-0.307,10605
0.0392,4585
-0.16,9127
0.0205,4969
-0.277,10882
0.168,584
-0.0609,7073
-0.346,10575
-0.169,8497
0.0565,3890
-0.0626,8911
-0.0583,7460
0.172,1784
-0.106,7858
-0.106,6864
-0.0102,5220
-0.0213,5881
-0.0377,6766
-0.0561,7896
0.333,932
-0.112,6947
-0.04,6586
0.0345,4209
0.169,626
-0.202,10827
0.066,3864
0.287,808
0.129,2820
-0.122,7375
0.0425,3202
0.352,360
-0.264,10034
-0.0277,5660
-0.191,9102
0.125,2933
0.865,1570
-0.281,8871
0.000612,5355
-0.242,10187
-0.492,11011
0.18,803
0.0804,3562
-0.00131,5418
-0.228,10275
-0.242,6767
0.326,1342
-0.0121,5781
0.109,1528
0.58,492
-0.39,10016
0.266,2053
-0.335,8330
0.127,2186
-0.0074,5431
0.102,2619
-0.107,8402
0.0262,4982
0.479,128
-0.0166,5885
0.00356,5181
0.364,1042
-0.189,9912
-0.0906,7869
-0.0114,5272
0.188,1634
-0.0429,7581
-0.302,10845
-0.184,9303
-0.263,9926
-0.0393,6324
-0.0955,7637
-0.0842,6769
-0.213,9752
0.129,2621
-0.185,8877
0.323,265
-0.151,9266
0.129,3170
0.27,952
0.181,2373
-0.31,10247
-0.0106,5697
-0.0487,7673
0.0578,3889
-0.0973,7123
0.181,2452
-0.105,7393
0.0969,3405
-0.113,9742
0.0481,3671
0.65,310
-0.066,6992
0.123,3284
-0.114,6795
0.0935,2899
0.213,659
0.178,1320
0.161,2092
-0.188,9478
-0.109,6481
-0.16,10532
0.115,2906
0.0473,3934
-0.742,11025
0.0466,4242
-0.0467,6618
-0.168,10421
-0.0188,5900
-0.148,9179
0.211,2795
-0.0328,5958
0.22,1629
-0.0651,6262
-0.151,7622
-0.0745,6590
0.0572,4053
0.28,1298
0.23,2919
-0.0335,6592
-0.126,8720
-0.0676,7440
0.0643,3495
0.00356,5029
0.00297,5155
0.0886,2108
-0.0817,8049
-0.195,8648
0.096,3482
-0.0726,7518
-0.0232,5290
-0.0457,6829
0.0793,2663
0.103,2284
0.0663,3255
-0.256,10590
0.0597,4043
-0.328,11025
-0.402,10191
-0.0853,6330
-0.00723,5692
-0.139,10162
-0.357,10716
-0.133,9261
-0.0675,7134
-0.839,9902
-0.32,8054
-0.518,7133
0.241,3052
0.0475,4525
-0.0401,5024
-0.0957,7137
0.347,621
-0.0277,6142
-0.238,10141
0.125,897
-0.00335,5300
0.899,1203
0.079,3785
0.295,949
-0.23,9435
0.0813,3608
0.00892,4994
0.108,3428
0.123,2827
0.0457,4362
0.0547,4005
0.0506,4292
0.105,2133
-0.0494,6601
-0.0891,6577
-0.0897,6567
-0.0639,5783
0.22,1405
-0.0698,7828
-0.185,8021
-0.0059,5690
0.0442,4320
-0.495,10264
-0.0261,6157
-0.209,10308
-0.14,8990
-0.295,10468
-0.357,8705
0.179,2073
-0.107,8711
-0.159,9469
0.0153,5095
-0.0266,5502
0.0996,3180
-0.372,9841
0.0987,3013
0.194,687
-0.0395,5724
0.133,2088
0.0964,3314
0.0459,4132
-0.193,9862
0.237,598
0.0132,5142
-0.00899,5278
0.116,3157
0.261,2646
-0.0757,10597
-0.0287,6161
-0.344,10689
-0.101,7157
0.00713,5151
0.109,3184
0.0869,2517
-0.0277,7159
0.0325,1909
0.224,1132
-0.0854,6284
0.0198,4681
-0.0291,5394
0.0795,2236
-0.00491,5284
-0.00558,5204
-0.259,9792
-0.0933,6036
-0.127,7946
0.053,3585
0.334,335
-0.0515,6211
-0.0863,6872
0.119,2834
0.00588,4829
-0.142,9637
-0.00473,5540
0.0554,3921
-0.141,8031
-0.193,10229
-0.348,10228
-0.0865,8384
0.0607,2905
-0.8,10387
-0.00798,5397
-0.0186,5562
0.215,2664
-0.0287,6434
0.0371,4713
0.0529,4417
-0.538,10577
0.151,2639
0.0887,3944
-0.159,9683
0.67,218
-0.236,8926
0.0917,2916
-0.0838,6566
0.296,626
-0.0333,6961
0.101,1555
-0.121,7937
0.588,58
0.0448,4367
0.00879,4994
0.00813,5032
-0.37,10347
0.0732,3980
0.695,90
0.063,4295
0.426,565
0.249,723
-0.0258,6268
-0.0806,6848
0.361,462
-0.19,10348
0.147,1904
-0.115,8137
-0.0873,7712
-0.177,9730
-0.288,9382
0.0123,4720
-0.232,10330
0.161,935
-0.441,10552
0.0583,3441
0.0814,3635
-0.334,10121
-0.0985,8071
0.082,2887
-0.0366,6711
0.337,118
0.0894,2740
-0.108,8136
-0.00148,5413
-0.00388,6035
0.0436,4348
-0.211,10679
-0.00919,5191
1.09,55
-0.0234,6323
-0.138,9322
-0.00705,5681
0.32,511
0.0154,4767
0.538,1281
-0.183,9501
0.0628,2363
0.12,1447
-0.00537,5121
0.369,326
0.281,2259
-0.19,8843
0.131,2976
-0.00642,5766
-0.443,9674
-0.321,8742
-0.364,9669
-0.203,7948
-0.102,9167
0.0937,2357
-0.0309,6566
0.168,888
-0.0325,5680
-0.124,8077
0.0492,3440
-0.155,8964
0.837,564
0.128,3244
1.23,4
-0.679,10147
-0.0367,6668
-0.19,9936
-0.262,10178
-0.0799,7500
-0.208,9952
0.698,106
-0.0423,6641
0.0464,3235
0.805,1676
-0.149,5951
0.111,4151
-0.68,9922
-0.0201,5964
-0.143,7758
-0.168,9696
0.039,4239
0.359,538
-0.29,10640
-0.123,8689
-0.0017,5285
-0.302,10809
-0.0261,6059
-0.498,10018
-0.615,9968
0.0791,3043
-0.179,8797
-0.105,7519
0.244,878
-0.287,10434
0.23,1245
0.0427,4125
-0.11,7428
0.0269,4580
-0.117,8773
-0.00597,5279
-0.00344,5513
0.133,1758
0.105,2319
0.036,4506
-0.0772,7591
-0.22,8867
-0.078,8220
0.159,1428
0.15,2828
0.103,3013
-0.0285,6133
0.0631,3756
-0.0926,7506
-0.16,9452
0.0707,2516
0.337,1769
-0.14,8811
-0.0213,5387
-0.931,10806
0.176,1202
0.0387,4222
0.221,2215
-0.0881,8395
0.225,451
0.0344,4495
0.109,2206
0.167,1217
-0.235,10462
0.0938,2348
0.26,2057
-0.218,8415
-0.0936,9719
-0.117,7940
0.241,1676
0.0703,3494
-0.197,9116
0.663,1
-0.104,8230
0.0151,4912
-0.00631,5481
0.344,1058
-0.155,9103
-0.0375,6053
0.068,3265
-0.0973,8875
0.87,70
-0.108,9570
-0.0412,5600
-0.571,10161
-0.02,6052
0.0145,5064
0.195,1772
-0.0901,7648
-0.223,8657
-0.25,9916
-0.0721,7327
-0.0818,8299
0.0134,4718
-0.095,8252
0.107,2875
0.029,4685
0.134,1735
-0.239,9211
0.0237,4274
0.347,1267
0.116,3944
-0.205,10457
0.0458,3357
-0.0682,8536
-0.207,10631
-0.0267,5954
-0.215,9372
0.000786,5365
-0.169,10911
-0.0522,6913
0.00279,5006
0.332,1007
0.302,1202
-0.112,7833
-0.0864,7155
0.0502,4380
-0.203,9722
0.581,274
0.0789,3138
-0.0549,7545
0.0275,4316
1.31,1254
-0.0792,8332
-0.282,9066
0.11,3303
0.0146,5081
-0.0373,5813
-0.211,6594
0.176,3164
-0.359,9350
-0.252,7500
-0.229,8672
0.00831,5256
-0.036,6805
0.139,2252
-0.0164,6207
-0.0697,9238
-0.342,10543
0.655,413
0.298,1927
-0.172,10177
0.0906,2930
0.161,1059
-0.249,9666
-0.29,10782
-0.307,9936
0.021,4498
-0.0628,7134
-0.0315,5981
0.0502,4042
-0.0822,6917
-0.157,8794
0.346,821
-0.0904,8478
0.172,1107
0.194,2455
-0.0509,7271
0.156,2671
0.364,949
0.175,1138
0.348,816
-0.264,10202
0.0378,4434
-0.181,9273
0.0726,4013
-0.208,10104
-0.148,9132
0.442,423
-0.0425,6036
-0.0466,6128
-0.246,9173
-0.237,9476
-0.0675,7153
-0.101,7768
0.502,1394
-0.326,10201
0.2,1908
0.243,754
0.00543,5177
-0.113,9104
0.169,1516
0.112,3796
-0.874,9256
0.142,1773
-0.0619,8051
0.171,927
-0.183,9057
-0.0197,6196
0.411,1065
-0.15,8919
0.0853,2793
0.435,919
-0.228,9403
-0.0109,5227
-0.246,9885
0.135,2804
-0.0349,6720
-0.2,8596
-0.0165,5444
0.311,2914
0.283,1771
0.0643,2876
0.194,1934
0.172,2147
