coef,rank
0.221,2267
0.147,2325
-0.0158,6044
-0.202,8158
-1.06,10169
-0.501,9556
0.466,1473
-0.281,10700
0.102,2007
0.0365,4203
0.00863,4988
0.206,1972
-0.108,8243
0.123,1350
0.105,2580
-0.141,8510
0.242,2643
-0.029,5065
-0.0861,9083
0.0596,2531
0.157,1609
-0.0426,6699
0.433,928
0.52,628
-0.00407,5483
0.321,631
0.29,1421
-0.151,8151
-0.00131,5652
-0.559,9510
0.262,1042
-0.125,9009
-0.12,7892
-0.115,6461
0.0547,3973
0.009,5138
0.0865,3128
0.0579,2980
0.0497,3911
0.279,1678
0.315,701
-0.139,8063
-0.0421,6810
-0.0768,9356
0.0159,4918
0.252,592
-0.247,9713
-0.0244,5251
0.227,57
0.133,565
-0.0288,5831
0.146,2064
0.25,1406
0.255,1334
0.291,851
0.0683,2693
-0.0806,7451
0.115,3254
-0.601,10850
-0.0146,5350
0.0878,1905
0.0173,5015
0.491,290
0.191,1912
0.0522,3486
-0.085,8996
-0.152,9094
0.0104,5103
-0.191,10120
-0.248,10834
0.133,2313
-0.644,10542
0.116,2049
-0.105,8326
-0.153,9031
-0.0759,6679
0.703,335
0.0657,3359
-0.104,8310
0.0819,2902
-0.0417,6900
0.244,908
-0.253,8356
-0.491,10721
0.1,2069
0.132,1647
-0.15,9169
0.0225,4946
0.176,1732
0.327,1230
0.0136,4867
-0.0337,7117
0.106,3099
0.00585,5067
0.392,799
0.0875,3661
-0.0481,6165
-0.0966,8620
0.0263,4655
-0.184,10732
0.154,1993
0.168,2095
0.0206,4747
0.0846,2770
-0.135,8999
0.0374,4534
0.604,374
-0.172,8297
-0.00694,5396
0.0239,4725
-0.239,9727
0.0544,3881
0.182,3418
-0.294,9907
-0.0353,6882
-0.0841,9013
-0.348,10402
0.116,2568
-0.0647,7853
-0.322,10517
-0.0354,6234
-0.0589,7700
-0.0922,8717
0.185,613
-0.00524,5325
0.22,2854
0.163,792
-0.239,9885
0.181,2355
0.156,1888
0.438,411
0.221,1757
0.00777,5098
-0.0274,6383
-0.317,9970
-0.205,10530
0.359,2771
0.0341,4804
0.0284,4194
0.0558,3654
-0.419,10583
-0.0358,7017
0.151,2861
0.323,554
0.304,463
-0.0261,6357
-0.0245,5458
-0.178,9231
0.00612,5390
-0.177,8253
-0.217,10440
-0.00357,5590
1.46,1398
0.0948,3131
0.212,2891
0.0911,3287
-0.311,10982
0.478,66
-0.49,10877
-0.00147,5366
0.175,1655
0.115,2266
-0.31,10683
-0.0989,9752
-0.157,8979
0.103,3244
0.133,1536
0.101,1965
-0.182,9294
-0.0732,7989
-0.202,9608
-0.52,10737
-0.0968,8522
0.105,1841
-0.021,6640
0.296,239
-0.06,7370
0.055,4239
0.12,4038
0.207,142
-0.0724,7782
-0.102,7793
0.144,2161
-0.0657,7199
0.116,1418
0.0273,3533
-0.214,10610
0.0607,3638
-0.472,10960
-0.0562,7166
-0.13,6117
-0.0923,8293
0.282,230
0.0576,2614
-0.0692,7494
-0.0308,5887
0.305,1495
-0.144,9364
-0.00955,5488
0.116,2935
-0.0875,8624
0.154,2492
0.216,788
-0.069,6321
0.0517,3178
-0.272,10758
-0.274,10357
-0.0761,5900
0.191,1588
-0.0709,6988
-0.119,8918
-0.109,9446
0.186,1301
0.00817,5152
-0.154,8228
0.0196,4629
-0.0599,8792
-0.0967,8610
0.116,2670
0.0465,4361
0.232,1845
-0.267,9186
-0.0868,7384
-0.0778,8268
0.056,2840
-0.316,10188
-0.221,8745
-0.175,9533
-0.0444,7010
-0.102,9296
0.211,279
0.107,3075
0.147,2493
0.0472,4364
0.141,2921
-0.056,8417
-0.0568,6458
0.127,2736
-0.0599,6125
-0.306,10455
-0.0107,5350
-0.453,7519
0.394,1520
0.186,1251
0.0692,3426
-0.31,10595
0.0947,2290
0.209,1381
-0.327,10636
0.0808,3253
0.159,4391
0.049,4488
-0.0109,5733
-0.0316,6802
-0.0426,5852
0.237,2489
0.294,1853
0.126,3460
0.139,1944
-0.153,9397
-0.159,9568
-0.038,6559
0.00542,5437
-0.294,10564
-0.0378,6505
-0.309,10678
0.284,1617
-0.0101,5816
0.0875,3344
-0.133,7444
0.0231,5027
-0.0838,9252
0.00171,5059
0.249,979
-0.286,10180
-0.163,9263
0.363,237
-0.233,9287
0.244,1148
-0.153,8598
-0.136,8097
-0.106,8406
0.147,1758
0.114,3395
0.0946,3253
-0.169,8426
0.0852,3529
-0.102,7991
-0.18,10740
-0.0495,6688
0.176,1983
0.335,1013
0.042,4489
-0.0698,6659
-0.176,10677
0.162,1018
0.345,1463
0.0245,4483
0.0412,4487
0.125,3124
-0.107,8173
0.114,2072
0.0535,3792
0.119,2709
-0.26,10330
-0.0331,5408
0.0135,4576
0.29,902
-0.0266,6130
0.129,3391
-0.548,10931
0.129,1587
-0.00872,5644
0.00429,5221
-0.0282,6324
0.358,1695
-0.504,10901
0.284,1020
0.147,2830
-0.213,8581
0.258,1815
0.119,2728
-0.0108,5259
-0.62,10733
-0.133,9658
0.177,1530
-0.261,10796
0.0138,4743
-0.0692,8105
0.0941,3939
0.221,215
-0.084,8124
-0.466,10887
0.292,1293
-0.0854,7902
-0.0793,6019
0.165,1049
0.0195,4664
0.057,3522
0.0482,3781
0.294,412
-0.0847,6766
-0.0423,6946
0.695,243
0.0189,4819
0.0373,3610
0.0533,3075
0.145,2271
-0.13,9207
-0.127,8565
-0.936,10212
-0.607,10324
-0.706,8447
-0.444,8034
-0.0744,6019
-0.644,10115
0.406,687
0.0658,4079
0.0753,3516
-0.138,8479
0.0432,3390
0.0535,2556
0.733,1609
-0.377,10718
0.0553,4074
0.121,3276
-0.686,11034
-0.0169,6201
0.0544,3994
0.44,218
0.00251,5534
-0.232,9902
0.223,1916
-0.209,10570
-0.177,9349
-0.0789,6409
-0.131,7301
-0.792,10925
0.0554,4152
-0.0528,7294
-0.0161,5340
-0.00672,5734
-0.172,8611
0.481,1258
-0.0648,7339
0.153,1629
0.0281,4448
0.0968,3175
-0.237,7360
-0.13,7868
0.0981,2249
-0.111,8432
-0.388,10979
0.019,4873
-0.251,10234
0.32,1647
0.0858,3284
0.0951,2346
0.427,1250
0.0487,3973
-0.209,9263
0.121,2406
-0.0151,5657
-0.287,10882
0.089,3459
-0.122,7568
-0.0823,6988
0.0436,4501
-0.0646,10287
-0.0117,5593
-0.109,7648
-0.149,7967
-0.0417,6106
-0.34,10603
-0.178,10449
-0.0347,7605
-0.0806,10969
0.206,1316
0.0709,4306
-0.167,9238
0.0313,4628
-0.0195,6254
-0.0456,6098
-0.148,8225
0.145,2538
0.201,3041
-0.0454,6390
0.129,1599
-0.274,10426
-0.00932,5458
0.241,1453
-0.308,10720
0.228,211
0.0782,3068
-0.0679,7013
0.346,336
0.0182,4954
-0.105,8536
0.133,3082
0.0594,3607
-0.0327,6899
0.171,2879
0.179,3188
-0.0672,6515
-0.16,7298
0.0153,4855
0.0521,4390
0.227,1947
-0.0478,5485
-0.143,7812
-0.475,10522
0.0146,5003
0.325,1472
0.183,2765
-0.141,8952
0.108,3720
0.0598,3929
0.0707,2509
-0.102,9661
0.129,2845
0.348,560
-0.104,8108
-0.0139,5693
0.196,494
-0.392,10485
-0.0102,5491
-0.0163,5534
-0.171,9353
-0.236,9292
-0.199,9870
-0.0507,7011
0.147,2654
0.0385,4243
0.139,1490
0.0913,2943
0.144,1842
-0.168,9346
-0.123,8560
0.0297,5076
0.319,169
-0.123,8695
-0.0488,7086
-0.3,9403
-0.102,8739
0.0594,4032
0.0724,4036
-0.0897,7849
0.105,2321
-0.102,8808
-0.0723,7392
0.0941,2637
-0.205,9892
0.248,764
-0.0386,9123
-0.407,11025
-0.0319,6559
-0.0523,5727
0.261,2260
-0.0453,7083
-0.137,9296
-0.104,8955
0.147,2139
0.521,72
0.0698,4323
-0.141,8671
0.0388,3369
0.284,93
-0.206,7797
-0.177,9313
-0.317,8582
-0.179,8669
-0.141,7395
0.197,428
0.0708,4234
-0.31,8624
-0.301,9011
0.0126,5037
0.0269,4062
-0.0314,6580
0.0161,4889
0.117,1715
-0.0117,5339
0.488,76
0.157,960
0.0424,4361
0.0739,4234
-0.0955,6755
-0.257,9333
0.0523,4409
-0.0211,6075
0.232,846
0.149,2197
-0.315,10740
0.111,2535
0.156,2973
0.183,816
-0.0296,6978
-0.232,6199
0.153,3643
-0.654,10020
-0.417,8350
-0.108,8615
0.326,1132
0.136,1758
-0.0767,6870
-0.024,5720
0.0327,4505
-0.0399,6311
0.0698,3765
0.157,1976
0.0361,4448
0.15,3566
-0.855,10684
-0.0589,7017
-0.0133,5421
0.322,588
0.28,628
0.209,1446
-0.186,9133
0.0279,4505
-0.112,7473
0.0474,4059
0.0699,3163
-0.297,10248
0.0565,4134
0.057,3598
-0.0352,6574
0.0819,3360
-0.106,8363
-0.00768,5312
0.0174,4605
0.117,2230
0.00972,5124
0.251,884
-0.0599,6917
-0.0561,6495
-0.354,10811
0.209,962
-0.0168,6043
-0.0426,5578
-0.0952,7770
0.0301,4387
-0.477,9043
-0.0275,6251
0.0638,3570
-0.13,7054
-0.093,8522
0.139,1449
0.143,2460
0.217,629
-0.0892,8092
0.0191,5035
0.072,2894
-0.143,7251
-0.0942,6667
-0.0713,8927
-0.125,8089
0.116,3202
0.421,100
0.126,2811
0.46,50
0.00445,5330
-0.0635,7269
-0.392,10749
-0.33,10048
0.46,90
0.144,3119
0.0208,4560
0.119,1711
0.167,2814
0.198,279
-0.0454,5659
-0.22,6749
-0.257,10723
-0.137,9317
0.0518,4210
-0.0416,6262
0.324,1157
-0.503,11002
0.224,796
-0.022,6253
0.0567,2854
-0.0313,6392
-0.119,8537
-0.0535,6773
-0.242,10613
0.296,1358
-0.0927,8569
0.231,2193
0.732,1081
-0.149,9696
0.0584,2883
0.127,942
-0.194,10519
-0.141,8055
0.0924,3387
-0.154,10223
0.0385,3372
0.0862,2707
0.429,420
0.191,2386
0.209,2028
-0.0126,5680
-0.141,8311
-0.383,10515
0.136,2312
-0.0856,6606
0.135,1967
-0.0524,7448
-0.0293,6183
1.7,875
0.0147,5048
0.0754,4032
-0.0434,5976
0.0239,4647
-0.179,7540
-0.602,9522
0.0544,3628
-0.302,8779
0.473,1615
0.242,1977
-0.116,7715
0.251,545
0.237,888
0.221,677
0.048,2717
-0.254,9839
0.36,1479
0.0663,4058
-0.0366,6767
0.116,2386
0.0376,4047
0.019,4920
-0.0726,7314
0.243,1874
0.00754,4936
0.0289,4681
0.386,291
-0.0697,5872
-0.0653,6561
0.157,2298
0.178,2272
0.0216,4607
-0.0365,6804
0.447,688
-0.41,11034
0.169,2495
-0.258,9626
0.0465,4010
-0.388,10654
0.02,5002
0.223,2854
0.123,2663
0.0376,4600
0.147,1783
