coef,rank
0.196,2528
0.273,875
-0.317,11010
0.000786,5078
0.54,2102
-0.867,10937
-0.0594,5622
-0.134,8767
-0.0934,8350
-0.00897,5200
0.249,1170
0.862,13
-0.0121,5540
-0.00341,5464
-0.17,9800
-0.435,10963
-0.151,6738
0.529,1137
-0.0217,6494
-0.0236,6953
0.292,373
-0.0827,7962
-0.623,10886
-0.0964,6674
0.245,751
0.281,876
0.395,760
-0.00458,5176
0.163,922
-0.0962,5362
-0.192,9262
0.0797,2944
-0.0259,5916
-0.396,9753
-0.156,8444
-0.227,9053
-0.166,9638
-0.0473,7353
0.0433,4073
-0.232,8732
-0.188,9107
0.0821,3528
0.226,463
0.102,1002
0.263,1055
0.102,2593
0.365,591
0.401,740
0.0492,2884
-0.00669,5757
0.157,2685
-0.146,9328
0.119,3080
0.0156,4934
-0.0178,5369
-0.0354,6730
0.223,757
0.249,1847
-0.185,7596
0.344,890
-0.177,10778
-0.139,9753
0.0868,3735
0.149,2481
0.0907,2264
-0.0727,8559
0.33,325
-0.0891,8750
0.332,202
0.236,390
0.188,1481
-0.068,5596
0.235,513
0.189,1043
-0.11,8180
-0.14,7816
0.0891,4017
0.00317,5387
0.0909,2820
-0.131,9392
-0.0444,6986
-0.103,7970
-0.0131,5404
0.159,2999
0.0395,4028
0.00739,5056
-0.0919,7917
-0.195,8596
0.238,1040
0.119,3255
-0.012,5960
0.145,599
0.142,2495
-0.091,7252
0.132,3124
0.121,3187
-0.0571,6354
-0.0637,7603
-0.402,10294
-0.222,10921
0.0665,3598
-0.263,10186
-0.0346,6614
0.224,567
-0.0208,5812
0.015,4960
0.039,4510
0.0109,5017
0.0517,4216
0.193,1570
0.228,1386
-0.254,10397
-0.101,5718
-0.138,7717
-0.106,9103
0.0339,3979
-0.444,10844
-0.273,10757
-0.0288,6508
0.0504,4249
-0.0965,7763
0.098,1883
0.241,233
0.149,1077
0.255,1831
-0.284,8347
0.0937,2151
-0.237,9854
0.136,3025
0.0821,3241
-0.0638,6598
0.476,354
0.112,1953
-0.0783,7837
0.14,2997
0.0468,3685
-0.188,5396
0.313,2052
0.114,1695
-0.031,6394
-0.0791,6792
-0.0228,6503
-0.237,9234
0.158,2240
0.181,1567
-0.0142,6006
0.0632,3980
0.187,1765
0.0524,3801
0.241,1854
0.112,2180
0.065,3139
