coef,rank
-0.201,8272
-0.139,8466
-0.0832,8315
0.227,2204
-0.619,8196
0.26,3145
0.581,999
0.368,253
0.109,1868
-0.0816,6995
-0.279,10277
-0.229,9288
0.0647,3359
0.0203,4509
-0.122,8901
-0.0703,7058
0.353,1875
0.0671,4120
0.104,1619
-0.139,10734
-0.0249,6034
-0.0755,7726
-0.263,8621
-0.118,6960
-0.272,10670
-0.059,6425
0.411,686
-0.111,7377
-0.0708,8242
0.0692,4055
0.641,21
0.19,903
0.573,97
0.698,353
0.199,1594
0.0399,4562
-0.0374,6611
-0.0599,7856
-0.104,8032
0.0175,4758
0.06,4071
-0.408,10887
0.0975,2350
-0.0808,9501
-0.00787,5464
0.154,1685
0.213,1839
-0.0587,5814
-0.0615,8325
-0.0765,9195
-0.177,8631
0.0933,3146
-0.495,10959
0.28,1132
-0.222,9398
0.213,250
-0.215,10186
-0.0094,5167
-0.263,8571
0.0796,3767
0.0965,1661
0.105,2368
-0.0975,7113
-0.372,10730
0.0716,2835
-0.023,6371
-0.123,8450
-0.00266,5605
0.0651,3659
0.237,383
-0.0323,6055
-0.411,9164
-0.22,10471
-0.101,8237
0.0257,4818
-0.134,7703
0.0903,4010
0.0799,2971
0.212,831
0.143,1536
0.222,897
0.129,2354
-0.0736,6135
0.352,1215
-0.119,9558
-0.238,10774
-0.197,9983
-0.243,9266
-0.0507,6259
0.21,2231
-0.142,10099
-0.0379,7298
0.114,2975
0.209,1563
-0.0546,5993
-0.277,9690
0.105,3293
-0.00808,5594
-0.0383,5643
0.0608,3169
0.168,1789
0.158,2255
-0.13,9394
0.0217,4587
0.0895,2750
0.0247,4790
-0.0635,6030
-0.247,9376
-0.0823,7014
0.27,825
-0.0428,6084
-0.0999,7846
0.0553,4348
-0.289,9864
-0.13,9654
-0.0971,9377
0.192,2326
0.076,3457
0.159,834
0.114,3095
-0.201,9770
0.109,1630
-0.144,9908
-0.144,9925
-0.21,8619
-0.307,8590
-0.0318,6558
0.222,1366
-0.324,10422
0.0514,3892
0.0319,4696
-0.254,9903
0.0525,3593
-0.00901,5795
-0.0303,5667
-0.0209,6048
0.0216,4121
-0.267,8433
-0.262,10935
-0.133,9194
0.184,2780
0.078,2675
-0.0469,6085
-0.078,7325
0.161,1844
-0.126,8990
-0.0937,6741
0.613,15
-0.0789,8295
-0.111,7145
-0.0281,6296
-0.0197,6208
0.474,2687
0.0917,3199
0.198,3003
0.0372,4409
0.117,2054
0.0905,3256
-0.12,7288
-0.168,9206
0.115,2711
0.0276,4529
-0.0255,6020
-0.0237,6636
0.0153,4769
0.133,2649
-0.0733,7959
-0.216,10815
-0.0594,6843
0.00778,5152
0.0637,3949
0.515,636
-0.306,11002
-0.0467,6946
-0.0314,7236
-0.00623,5275
-0.0685,7656
0.0203,4973
0.421,1843
0.128,850
-0.0775,7936
0.126,2847
-0.0791,7378
-0.197,9950
0.0596,2922
0.0676,1712
0.0523,3704
0.171,1442
0.0254,4622
0.136,1737
0.103,3903
0.268,288
0.16,1238
-0.0191,6697
0.0127,4844
0.134,2544
-0.453,10554
-0.15,9503
0.11,3216
0.0989,3255
0.0165,4679
0.163,2361
-0.11,8149
-0.103,6818
-0.102,9179
-0.0863,7902
0.0211,4914
0.564,798
0.331,376
0.165,2292
-0.0812,7931
-0.107,9379
0.0549,3829
0.0436,4428
0.0129,5003
0.393,353
0.108,951
0.042,4066
0.0892,3190
-0.106,7854
-0.102,6790
-0.27,9222
0.00364,5290
0.139,1167
0.0321,3799
-0.126,7606
-0.246,9071
0.316,470
-0.14,9724
0.104,1805
0.0914,2137
-0.231,9954
-0.193,9642
0.289,912
-0.355,10353
-0.0614,8671
-0.0906,7320
0.216,1526
-0.473,10600
-0.273,10201
-0.158,8131
-0.665,9344
0.113,3797
0.135,2003
0.0217,4517
0.234,1397
0.127,1569
-0.126,8516
-0.081,7180
0.0212,4734
-0.619,8864
0.641,198
0.0337,4019
-0.0839,8864
0.828,126
-0.141,7101
-0.123,6810
-0.169,6422
0.0213,4806
-0.097,8062
-0.126,8893
0.0437,4162
-0.0725,7241
0.314,664
0.17,1446
-0.225,9976
0.144,2983
-0.131,8876
0.107,2933
-0.43,10758
0.0289,4876
-0.0146,6163
0.0559,3589
0.413,164
-0.181,8887
0.0782,3262
-0.147,8796
-0.12,7408
-0.291,10529
-0.3,10509
-0.338,10529
-0.25,10616
0.00137,5214
0.0534,4522
0.000128,5257
0.238,1743
0.218,1673
0.0216,4861
0.0695,2722
-0.15,9132
-0.156,8386
-0.0145,5508
-0.254,9660
-0.127,7762
-0.00121,5631
0.186,708
0.0505,4499
0.211,1080
0.347,1124
-0.349,9940
-0.222,10178
-0.125,9036
0.0339,4343
-0.0449,6072
-0.0795,7318
-0.162,7254
-0.0881,8890
0.064,3801
0.087,2912
0.293,1723
0.112,3321
-0.176,10063
0.0217,4362
-0.256,10720
0.0381,4478
1.07,66
-0.0787,6731
-0.105,7636
-0.174,8143
-0.122,7128
-0.153,7904
0.0981,3172
-0.414,10690
-0.89,11020
0.119,1502
-0.0811,7628
0.054,3666
0.145,1981
-0.0323,6556
0.604,460
0.000992,5179
-0.0338,6546
0.173,2702
-0.155,7901
0.0713,3316
-0.196,7592
-0.341,11016
0.0203,4630
-0.0155,5915
-0.0984,8475
-0.11,8439
-0.0552,6218
0.0556,3357
-0.0349,5699
-0.138,7155
0.219,116
-0.0892,9029
0.457,194
-0.0157,5742
0.209,1190
-0.296,6497
0.204,3166
-1.02,10020
0.539,1942
-0.0894,6214
1.32,297
-0.376,10670
-0.119,7867
0.132,2337
-0.166,9079
0.0996,1426
-0.045,7542
-0.13,5291
-0.229,9461
-0.0904,7050
0.0463,4548
0.153,2315
-0.24,10980
-0.0285,4901
-0.13,8138
0.0586,4033
0.268,901
0.778,27
-0.136,9528
0.188,1733
-0.133,7355
0.161,2668
0.347,2107
0.69,7
-0.167,10156
0.156,2926
-0.0365,7195
-0.0177,5525
0.195,3138
-0.143,9337
-0.274,10794
-0.0779,7486
0.0777,3554
-0.285,7914
0.45,256
0.0542,3455
-0.0959,8034
0.103,3046
0.352,1374
0.00196,5298
-0.284,8896
-0.0449,6391
-0.243,10835
0.217,2726
-0.0078,5560
-0.0393,6064
0.0354,4377
0.0514,3892
0.147,1644
0.0456,4372
-0.252,9680
-0.0168,5643
0.889,337
-0.0381,8999
-0.03,6211
-0.162,8689
0.206,2498
0.0835,3640
0.106,3248
-0.0226,6319
-0.0433,8108
6.86e-05,5596
-0.0503,6441
-0.302,8936
-0.0291,5894
0.0934,3901
0.00385,5171
-0.00902,5373
-0.155,8349
-0.303,10210
0.17,3320
0.293,1057
-0.0812,8333
0.014,4660
-0.0376,5947
-0.371,10659
-0.0611,6938
0.121,1367
-0.17,10132
0.396,310
0.447,114
0.48,278
0.0237,4716
-0.232,9000
0.155,1388
0.0767,2371
2.17,316
0.479,1028
0.0383,4488
-0.579,10827
-0.0798,8153
0.282,1145
-0.196,8830
0.137,3490
0.233,1658
-0.0927,6393
0.0291,4577
0.0127,4913
-0.107,7059
-0.0711,7236
0.117,3605
-0.228,10097
-0.0623,8188
-0.213,10943
0.38,522
-0.0122,5546
0.157,1974
-0.188,10061
0.162,832
0.396,826
0.493,238
0.125,3195
-0.0427,6696
0.225,1913
0.0596,3688
0.0555,3749
-0.252,9665
0.00705,4881
0.155,1229
-0.103,7998
0.106,2538
0.0839,3507
-0.067,7138
-0.0589,6364
-0.15,9202
-0.267,10600
-0.185,10428
-0.293,9310
0.132,1671
0.0397,4413
0.197,2461
0.0128,4917
0.0107,5055
0.128,1591
-0.0257,5970
-0.0479,6992
-0.0414,6498
-0.191,9860
0.12,43
0.201,1296
-0.192,10510
-0.33,9340
-0.614,10756
-0.00747,5808
-0.0778,7843
-0.0413,6964
0.548,36
-0.495,11006
-0.141,6419
-0.168,9211
0.0395,3338
0.204,388
-0.213,7884
-0.0588,6985
-0.266,7972
-0.215,9236
0.662,118
-0.029,6725
0.176,3277
0.317,2203
-0.304,9042
0.238,2537
0.192,355
-0.101,8813
0.278,206
-0.153,9774
-0.0598,6110
-0.154,8652
-0.0946,8534
-0.0906,7633
-0.666,10636
-0.0717,6340
0.192,2794
-0.469,8891
-0.00726,5528
-0.156,9424
-0.134,8074
-0.215,9907
-0.0675,7061
0.158,2942
0.118,1830
0.191,204
0.619,2226
-0.129,5782
-0.136,6106
0.732,1422
0.0388,4139
-0.116,7312
0.041,4024
0.0838,3340
-0.187,8980
0.0594,3882
-0.0759,7413
0.128,2663
-0.0994,8068
-0.137,8768
0.962,178
0.676,1158
-0.248,10586
-0.151,8301
0.00853,4854
0.0354,4157
0.211,1428
-0.23,9785
-0.0542,6733
-0.262,9846
-0.18,9569
0.126,1864
-0.146,8205
-0.13,8316
-0.0487,7100
0.00938,5091
-0.0716,7438
0.0477,4014
0.0733,4001
0.0611,3156
0.0441,4141
-0.0556,6287
-0.247,10208
0.21,1446
0.0253,4563
0.21,1652
-0.0645,7201
-0.118,9675
-0.476,10183
-0.00602,5332
-0.139,7711
0.0692,4472
0.0454,4041
0.329,252
-0.162,7526
-0.0407,6881
0.246,326
-0.0521,6417
-0.362,11019
0.0662,3315
0.377,167
-0.000937,5261
-0.527,10811
-0.408,10229
-0.0535,8204
-0.247,10021
-0.146,7833
0.0747,3400
0.0369,4458
-0.0839,7798
0.0235,4758
-0.132,9059
-0.146,8103
0.111,3397
-0.0844,7640
0.282,1621
-0.142,9103
-0.0545,7436
0.27,1870
0.0488,3256
-0.0329,5493
0.671,862
-0.116,8793
-0.156,9671
-0.223,9721
-0.267,10596
0.065,3892
0.24,1446
0.0213,4644
-0.0304,6550
-0.0875,9068
-0.141,9342
0.157,1964
-0.3,10692
-0.218,10390
-0.278,9676
-0.0417,6776
-0.0712,6355
1.12,357
-0.0481,7139
0.133,1004
-0.0183,6287
0.0128,5166
0.508,246
-0.145,8191
0.0793,2513
0.0115,4799
0.283,279
-0.052,6057
0.368,793
0.229,1836
-0.129,8166
-0.458,10988
0.474,440
-0.0603,6819
0.324,1296
-0.229,10354
0.0499,3543
-0.071,7514
-0.946,10060
-0.116,9314
0.388,1115
-0.0752,6541
0.159,726
0.332,2148
-0.0446,5266
-0.488,6769
-0.139,6767
-0.406,8971
-0.247,8920
0.136,2981
-0.0488,7170
-0.14,9135
0.0394,4410
-0.0129,6231
-0.217,9375
-0.0886,6285
-0.034,5256
-0.167,10088
-0.0844,7696
-0.125,9368
0.00238,5235
0.473,26
0.424,699
0.13,1657
0.0884,3270
-0.143,8511
-0.115,6640
-0.202,8960
0.00136,5437
-0.0813,6771
0.0105,5008
-0.0542,7391
-0.194,8097
-0.145,9763
-0.125,7904
-0.233,9275
-0.00266,5544
-0.305,10089
0.0143,5138
-0.491,9850
0.353,395
0.202,2230
-0.0921,7814
-0.0771,7451
-0.0895,6834
-0.302,10353
-0.21,9002
0.498,446
0.0901,3581
-0.042,6419
-0.304,10614
0.754,641
-0.36,10459
-0.0997,7379
-0.0102,5530
-0.254,10557
0.0484,3693
-0.0581,6716
0.423,1790
-1.52,10836
0.297,226
-0.142,10265
-0.0521,7384
-0.228,9711
