coef,rank
-0.13,7201
0.194,1649
0.0878,2571
-0.00183,5119
0.219,3078
-0.224,6654
0.0964,4000
-0.14,8896
0.0266,4231
0.03,4340
0.0862,3347
0.157,2605
0.12,2184
-0.0677,7975
-0.266,10767
0.028,4794
0.00774,4930
-0.438,9609
0.137,930
0.192,92
-0.2,10084
0.175,1033
-0.207,7919
-0.299,9283
-0.16,9378
-0.00919,5344
-0.208,8561
-0.0988,7114
-0.0089,5955
0.0638,4088
-0.0559,6596
-0.0985,8351
-0.227,9720
-0.172,7185
0.111,2932
0.109,3442
-0.2,10163
-0.104,9364
0.00719,5073
-0.194,8188
-0.277,10224
0.214,1600
0.175,935
0.0409,3156
-0.0572,6587
-0.136,8775
-0.19,8913
-0.184,7844
0.000882,5218
0.102,1121
-0.149,8137
0.272,533
-0.0733,6673
-0.232,9479
-0.152,8220
-0.128,9798
0.192,1077
-0.0326,5537
-0.228,8136
-0.164,8032
0.0351,3729
-0.2,10595
0.0937,3627
-0.0313,5794
0.127,1371
-0.0176,6102
-0.108,8128
-0.0174,6191
0.371,108
-0.107,8829
-0.135,8546
0.0711,4255
-0.0636,7193
-0.114,8558
-0.0403,6486
0.0226,4770
-0.211,7866
-0.0329,6638
0.11,2401
-0.0684,7675
0.18,1390
0.00377,5201
-0.0271,5567
0.317,1447
0.0566,3410
-0.0142,5768
-0.12,8576
0.00405,5248
0.0887,3146
0.00831,4868
0.104,1949
0.141,667
0.123,2805
-0.182,8999
0.133,3109
-0.116,7313
0.125,2977
0.169,957
-0.0887,6433
-0.202,10842
0.233,1025
0.184,1868
0.0515,3788
-0.0634,7402
-0.00968,5487
0.111,3083
0.125,3365
0.595,135
0.0153,4925
0.0139,4925
-0.0898,7078
-0.167,9275
-0.52,9689
-0.0901,6884
-0.00956,5902
-0.0103,6027
-0.0519,6371
-0.152,9385
-0.034,6724
0.00482,5227
0.0445,4304
-0.0123,5799
0.0287,4320
-0.155,10137
0.184,2597
0.0309,4639
-0.0173,5995
0.124,2672
-0.0956,7316
-0.285,10490
-0.0667,6664
-0.269,10046
-0.0707,7784
0.0206,4886
0.105,3479
-0.115,9052
-0.115,4915
0.119,3817
-0.11,8978
0.0581,3580
-0.0477,6244
0.0175,4842
-0.089,6882
-0.255,10317
0.157,1905
-0.0674,7545
0.408,552
-0.317,10707
-0.0358,6890
-0.111,7144
-0.0989,8367
-0.0529,7461
0.0309,4321
0.0413,4187
0.405,1482
0.113,2850
0.0389,4169
-0.101,8069
-0.18,8197
0.0484,4129
-0.0962,8006
-0.226,10508
0.0648,3953
0.0889,1505
0.0907,3077
-0.113,8338
-0.0636,7636
-0.101,8962
0.086,3658
0.134,1558
0.0494,4251
-0.166,7454
-0.0619,7419
0.0706,2676
-0.107,10299
-0.103,8209
-0.0242,6155
0.485,221
0.0445,4792
0.0217,4273
0.124,2147
0.0188,4990
0.0152,4891
0.319,393
-0.0262,6147
-0.0297,7060
-0.0585,7373
-0.0013,5427
-0.106,7243
0.232,548
0.667,829
-0.016,5867
-0.0778,7979
0.000937,5533
-0.0654,7375
0.29,831
0.324,1363
-0.0203,6061
0.263,1304
-0.0739,6975
-0.168,10374
0.0253,4657
0.226,704
-0.188,8075
0.0744,2426
-0.271,10748
-0.129,8234
-0.132,6609
-0.0861,7546
-0.0245,5959
-0.109,8698
0.125,1227
0.148,1828
-0.219,9318
0.0258,4773
-0.0641,6388
0.121,684
0.031,4454
-0.295,10645
-0.351,10793
0.338,1052
-0.0987,6698
-0.291,10464
0.142,1104
-0.0444,7385
-0.0622,6446
0.452,696
-0.0704,7360
0.192,680
0.0553,3288
-0.041,7202
0.162,2209
0.293,757
0.119,2989
-0.277,9654
-0.0794,9351
-0.0536,6369
0.134,2634
0.133,3427
0.00841,4719
-0.142,7835
1.42,735
-0.0617,5979
0.269,454
0.0504,3818
0.00411,5366
0.0424,3790
-0.00337,5578
-0.245,9959
-0.0284,6056
-0.381,7595
0.0453,4545
-0.0295,6519
-0.045,7386
-0.0192,5493
-0.44,10362
0.0871,3925
0.499,1325
-0.148,9299
0.00411,5105
0.148,1732
0.0972,2922
-0.14,8625
-0.067,6971
-0.079,7667
-0.156,8844
-0.197,8003
-0.0514,6918
0.0135,5204
0.0613,4079
0.0428,4528
-0.0677,8687
0.137,1899
-0.164,8961
-0.163,8612
0.22,956
-0.182,9421
0.133,2792
-0.0597,6820
-0.074,6963
-0.0721,6846
0.00851,5199
0.141,1856
0.0229,5123
-0.104,7664
0.532,222
0.285,1103
0.149,2159
0.0673,2816
0.0894,3156
-0.0204,5480
0.165,2681
-0.0299,5853
0.268,1258
-0.0904,9166
-0.0959,8671
0.239,2290
0.103,2676
0.0199,4830
-0.317,9605
-0.181,9595
0.00514,4994
0.103,2657
-0.176,8758
-0.117,8172
0.187,2593
-0.028,6506
-0.0294,5747
-0.055,6995
0.0704,4187
-0.138,7277
-0.00466,5188
-0.106,9172
0.321,209
0.0468,4251
0.0808,4148
0.178,2690
-0.256,9997
0.241,1786
-0.0879,6546
0.669,129
0.274,732
0.0263,4595
0.244,2827
0.0433,3613
-0.0158,5833
-0.0307,6269
-0.127,8318
0.088,1978
0.371,1413
-0.00703,5553
-0.0113,5783
-0.108,7187
0.543,254
0.0489,3920
0.284,2119
0.119,1816
-0.0784,8289
0.0266,4480
0.256,331
-0.0536,6981
-0.159,8139
-0.13,9661
0.0843,4007
0.152,3023
0.108,1266
0.0186,4503
0.107,2928
0.114,2083
-0.247,10432
-0.549,8328
0.72,695
-0.753,8732
0.0362,4104
-0.116,6546
0.653,1354
0.253,1723
0.661,27
0.00616,5244
-0.161,8979
-0.0614,8314
-0.0145,5896
-0.329,7002
-0.0873,7054
-0.22,9422
0.232,1844
0.152,2330
-0.0886,8998
-0.154,6560
0.119,2887
-0.0697,7509
0.311,609
-0.259,9446
0.107,2097
0.301,660
-0.371,10371
-0.035,5650
0.0111,4958
0.077,3740
0.216,527
-0.233,8687
0.0478,3115
-0.0872,7030
0.127,3807
-0.257,10737
-0.095,8110
-0.0653,7128
-0.0338,5992
-0.468,9703
0.0668,3836
0.0122,4747
0.24,623
0.0227,4927
-0.331,9609
-0.0631,6860
-0.209,7854
-0.00266,5383
-0.24,10814
-0.147,7139
-0.307,10884
-0.109,7507
-0.124,8424
-0.102,8054
-0.0464,6741
0.119,2898
0.103,3135
0.11,3253
0.121,3762
-0.00282,5806
0.246,403
-0.337,10647
-0.00903,5628
-0.261,9941
0.423,422
-0.0866,8537
-0.0548,8690
-0.0476,10262
-0.199,9579
0.364,1694
0.164,1748
-0.221,7999
-0.0431,7251
0.0842,3620
-0.0528,6268
-0.0603,6290
0.154,3463
-0.279,10153
-0.148,9962
-0.139,8476
0.105,3460
-0.285,10016
0.166,2005
-0.0359,6472
0.144,1557
0.764,11
-0.206,9712
0.748,26
-0.109,8642
0.0399,4505
-0.197,10481
-0.044,7396
-0.367,6712
-0.183,7730
0.00645,5097
0.232,2497
-0.212,10652
-0.396,10899
0.376,797
-0.173,7002
-0.0888,6785
0.338,1515
0.0344,4424
0.584,372
-0.282,9493
-0.0487,6644
0.000374,5277
0.186,1665
-0.065,8297
0.0112,4880
0.191,1959
0.048,4292
-0.141,8953
0.0317,4326
0.0491,3530
0.0472,4352
0.335,852
-0.165,8112
-0.132,8640
0.115,3370
-0.109,8143
-0.0067,5663
-0.116,7538
-0.178,8800
0.104,2212
0.059,3657
-0.127,8425
-0.336,10865
-0.215,10268
0.272,2221
-0.0195,5698
0.0703,3679
0.0271,4310
0.606,270
0.265,262
0.208,1722
-0.22,8820
0.159,1640
-0.126,9150
-0.103,8819
-0.159,9566
0.134,1778
-0.00542,5558
-0.14,8947
0.0298,2799
0.234,960
0.0776,2771
-0.421,10123
0.521,812
0.0335,4431
0.0483,3740
-0.0978,8777
0.287,679
0.181,1754
0.277,2726
-0.29,10657
0.0233,4035
0.0532,3266
-0.378,9700
-0.191,9533
0.0382,4473
-0.259,9781
0.138,2886
-0.0962,9076
0.136,3647
0.509,1161
0.489,1107
-0.467,10424
0.1,1700
-0.0516,7298
0.015,4936
-0.0412,6562
-0.493,10809
0.0664,3661
-0.0829,8167
-0.0148,5721
0.317,2558
-0.0267,5564
0.0125,5259
0.156,3727
-0.0424,6869
0.012,5132
-0.0877,7051
0.288,793
-0.13,8573
0.0302,4841
-0.197,10402
0.148,542
-0.0879,5042
0.252,3054
-0.624,9871
-0.185,6478
-0.13,9158
0.246,1807
-0.155,9473
-0.0964,7331
-0.112,7584
-0.0302,6090
0.0229,4454
0.102,3120
0.0832,3429
-0.028,6111
0.33,2128
1.26,195
-0.0376,6380
0.134,2630
0.154,2096
-0.243,10103
-0.179,9119
0.141,2369
-0.178,9513
0.12,2899
0.177,1561
-0.0702,7479
-0.227,9522
0.111,3016
-0.149,9769
0.0425,4009
0.0445,4276
-0.0215,5950
0.168,2651
