coef,rank
0.181,2710
-0.158,8851
-0.0935,8584
0.314,1495
-0.478,7262
-0.397,8552
0.258,2707
-0.136,8813
-0.0184,5787
-0.194,9212
0.305,730
-0.146,7933
-0.09,7794
0.0372,3816
0.0285,4646
-0.366,10838
-0.752,10946
0.388,1793
0.0453,3510
-0.0651,8965
-0.0321,6226
-0.105,8632
-0.376,9784
0.0106,5137
0.0765,3357
-0.0272,5754
-0.194,8362
-0.295,10184
-0.0727,8308
-0.0476,4934
0.14,2501
-0.0666,7439
0.00249,5321
-0.541,10638
0.208,1505
-0.257,9417
-0.0894,8065
0.0487,3298
-0.31,10844
0.0675,3997
-0.032,6044
0.107,3071
-0.0643,7536
0.0361,3420
0.0943,3274
0.0493,3842
-0.088,7169
-0.185,7869
-0.0923,9416
0.189,126
-0.228,9377
0.171,1623
-0.00709,5360
-0.125,7783
-0.286,10171
-0.295,11019
0.0867,2803
-0.33,9880
-0.204,7838
0.0172,4784
0.0507,3104
-0.0983,8834
0.16,2634
0.127,2813
0.132,1241
0.0575,2737
-0.156,9166
0.066,3052
-0.0196,6068
-0.121,9173
0.078,3344
-0.237,7471
-0.015,5621
-0.187,10009
0.164,2004
0.187,2242
0.0626,4345
0.0162,4956
0.0467,3961
0.00939,5151
-0.108,8719
-0.128,8574
-0.093,6380
-0.0698,6172
0.0945,2240
0.0605,3391
-0.184,9792
0.846,29
0.0551,3805
-0.203,8334
0.0189,4677
0.0155,4654
0.169,2110
-0.12,7851
0.436,614
-0.239,9196
0.222,1698
0.014,4791
-0.259,8880
-0.123,9952
-0.173,9236
0.0473,4249
0.132,1744
-0.0619,7364
-0.207,10241
0.182,1955
-0.133,7070
0.0506,4333
0.125,2889
-0.165,8941
-0.255,9917
0.155,1812
-0.527,9730
-0.163,8116
0.0672,3168
0.0795,2321
0.409,558
0.113,2651
0.231,239
0.459,217
0.175,1784
0.0707,2655
0.0752,2770
-0.0793,8320
-0.267,9330
0.13,3601
-0.0409,6861
-0.138,8336
-0.118,7737
-0.0788,7018
-0.279,10134
-0.353,10686
-0.00672,5660
-0.0722,7671
-0.207,8608
0.096,2301
-0.938,9923
-0.227,7956
-0.0416,6792
-0.0923,8204
-0.072,6663
0.0969,2118
-0.145,7819
0.168,2081
-0.147,8921
-0.076,7781
0.13,2975
0.155,2217
0.279,238
0.0945,3592
0.219,645
-0.00713,5710
1.61,1285
0.0423,4162
0.392,1568
-0.242,9972
0.0385,4182
0.147,2129
-0.000307,5283
0.0935,3131
0.35,264
0.0915,2775
-0.165,9080
-0.0973,9715
0.0508,3953
0.037,4730
0.00266,5298
-0.103,9012
-0.0707,7084
-0.096,8645
-0.181,9280
-0.62,10934
-0.0532,7106
0.1,1945
-0.0129,6130
0.216,695
-0.124,9284
-0.0574,6574
0.381,2078
0.0417,3351
-0.284,10886
-0.425,10980
0.0203,4753
0.103,2894
0.0383,3638
0.0401,2874
-0.0854,8214
0.247,613
-0.216,9172
-0.0704,7586
-0.125,6071
-0.0413,6743
0.145,1466
0.0562,2678
-0.155,9736
-0.117,7821
0.318,1398
0.0492,3867
0.173,2281
-0.145,8427
-0.125,9584
-0.19,8764
-0.423,11024
