coef,rank
-0.0967,6710
0.205,1512
-0.126,9421
-0.0738,6224
-0.255,5792
0.449,2159
-0.639,10641
0.258,750
0.0704,2811
-0.0129,5290
0.3,763
0.0408,4413
0.0186,4666
0.0325,4006
0.194,1087
-0.191,9348
0.0407,4537
-0.532,10266
0.0292,4198
0.0118,4970
-0.133,8865
-0.16,9900
-0.529,10638
-0.433,10355
0.125,2352
0.269,962
-0.0694,6308
0.0382,4285
-0.0105,6012
-0.0601,5031
0.218,1433
-0.0724,7614
0.15,2577
0.00463,4923
-0.323,10559
0.116,3353
0.038,4422
-0.0936,9072
0.111,2562
-0.353,10134
-0.23,9719
-0.252,9824
0.167,1039
0.0115,4832
-0.111,7757
0.0851,2992
0.236,1569
0.119,3078
-0.106,9817
-0.019,6474
-0.168,8474
-0.00721,5860
-0.0147,5516
-0.115,7604
-0.121,7625
-0.142,10060
-0.207,10086
0.057,4103
-0.112,6587
0.0606,4058
-0.0574,7923
0.0496,3923
-0.0575,6378
0.114,3023
0.00782,5113
-0.0284,6631
0.174,1627
-0.103,9157
-0.164,9727
0.00546,5143
0.215,1177
-0.0337,5270
-0.0337,6241
-0.0712,7421
-0.213,9975
-0.0114,5394
-0.408,9942
0.0998,2460
0.193,1038
-0.145,9695
-0.133,9252
-0.0278,6047
-0.494,10308
-0.00609,5188
0.189,596
0.0695,3135
-0.131,8807
0.181,2609
-0.192,9278
0.321,1274
0.115,1672
-0.0715,8718
-0.172,8838
-0.314,10507
0.0762,3896
0.621,121
0.243,1458
-0.0682,7755
0.525,557
0.0384,4023
0.0339,4373
-0.0336,6093
-0.222,10681
0.0328,4258
-0.186,9956
-0.0577,6594
0.0477,4388
-0.308,10008
0.351,637
-0.228,9917
0.0241,4635
0.142,2037
0.0637,4288
-0.291,9879
-0.0681,7988
0.145,797
-0.115,7516
0.205,1121
-0.133,9861
0.247,1327
-0.35,10896
-0.00312,5425
0.118,1709
-0.012,5958
-0.0898,6725
0.721,517
0.0627,3058
0.0211,4823
-0.27,9957
-0.0697,6816
-0.0793,6931
0.0864,3572
0.0219,4647
-0.0914,8143
-0.315,9954
-0.138,9545
-0.92,9864
-0.479,10303
-0.0153,5756
0.0393,4157
0.54,328
0.232,256
-0.11,7248
0.227,1346
-0.147,8935
0.069,3626
0.307,1107
0.0216,4754
0.0958,2542
-0.187,8412
0.0785,3015
-0.112,9314
-0.71,8102
-0.135,8116
0.384,1617
-0.104,7653
-0.0324,6508
0.119,2633
-0.231,8924
0.19,1517
-0.0122,5749
0.119,2175
-0.0719,7135
-0.215,11006
0.251,775
0.084,3627
-0.145,9781
-0.133,9789
-0.247,10107
-0.136,9619
0.193,1709
0.223,2317
-0.0893,8297
0.0111,4732
-0.0804,9590
-0.0315,6128
-0.0453,6866
-0.392,10845
-0.499,10166
-0.0497,7618
0.11,2443
-0.0336,6247
