coef,rank
-0.172,7844
0.0136,4999
-0.0708,7935
-0.288,9209
0.542,2100
-0.245,6866
0.276,2575
-0.0268,6159
-0.0975,8453
0.144,2209
-0.0348,5976
-0.381,10594
0.0913,2745
0.288,62
-0.132,9118
-0.0875,7401
-0.265,8113
-0.00441,4770
0.0636,2782
0.0116,4984
-0.0643,7108
0.112,2093
-0.217,8048
-0.599,10880
0.0913,3032
0.0231,4614
-0.242,9031
-0.198,8978
0.228,362
-0.286,7185
-0.284,10319
0.208,724
-0.0338,6083
0.492,913
0.059,3883
-0.151,7935
-0.108,8531
0.0799,2246
-0.142,8943
-0.419,10578
-0.166,8743
0.0419,4312
-0.0646,7547
-0.127,10603
0.0204,4817
0.159,1594
0.277,1170
0.168,2527
-0.0737,8823
-0.0423,7703
0.257,1518
0.228,914
-0.245,9517
0.511,170
-0.0373,5799
0.0513,3281
0.0201,4518
-0.41,10513
0.0302,4742
0.0886,3604
0.0642,2634
0.129,1802
-0.138,7891
-0.0159,5460
0.184,568
0.0601,2638
0.049,4069
0.196,498
-0.13,9016
-0.105,8780
-0.125,8320
0.729,667
-0.0135,5577
-0.0648,7236
-0.00647,5639
0.0399,4449
-0.209,7823
-0.107,8879
-0.0794,7662
-0.0669,7635
0.0134,5267
0.0961,2939
0.615,619
-0.271,9083
0.0516,3564
0.0418,3967
-0.0835,7726
0.034,4759
-0.0297,5770
0.0872,3708
-0.0376,7016
-0.0674,8567
0.153,2345
-0.0604,6554
-0.354,10159
-0.0332,5716
-0.0502,6204
-0.00655,5533
-0.276,9085
0.162,732
-0.035,6102
0.0701,3788
-0.0901,8367
0.0769,2966
-0.134,8977
-0.181,9134
0.108,3583
-0.101,7111
0.484,213
-0.0216,5754
-0.0862,6998
0.245,780
-0.353,8236
0.129,3182
-0.143,9893
-0.0768,8763
-0.0496,6332
0.381,135
0.134,1216
0.0166,4968
0.217,1269
-0.037,6816
0.126,1528
0.00121,5463
0.286,1546
0.716,523
0.0115,4911
0.0205,4839
-0.00816,5622
0.0321,4335
0.0973,3508
0.267,1343
0.0339,4223
-0.0526,7110
-0.129,7397
0.199,667
-0.189,5404
-0.262,8382
0.0126,4742
-0.0117,5803
-0.389,10409
0.31,49
0.199,2277
0.0274,4773
0.0125,4890
0.329,205
-0.0622,6125
0.074,3621
-0.00772,5853
0.241,1853
-0.234,10608
-0.273,10986
0.311,3164
-0.117,7727
-0.697,10913
-0.0669,6825
-0.188,10347
-0.057,6959
-0.335,10088
0.19,1520
0.169,1756
0.0939,2706
-0.436,10979
-0.0717,8864
-0.043,6303
0.165,2083
0.121,1753
0.133,1291
0.177,2117
-0.163,10117
0.341,478
-0.375,9983
0.0448,3704
0.0984,1999
-0.0576,8675
-0.213,10314
-0.226,10696
-0.109,7618
1.21,117
0.077,2068
-0.00339,5641
-0.327,10751
0.116,2606
-0.173,9599
0.07,2598
-0.25,11031
0.203,674
-0.0473,6804
-0.0679,6518
0.343,109
0.0337,4525
0.156,1330
-0.0335,6567
0.155,304
-0.075,7667
-0.0027,5241
0.121,3227
0.032,4392
0.00493,5202
0.105,3144
-0.0113,5828
0.307,970
-0.269,10669
-0.107,6884
0.106,1613
0.0707,3514
0.11,3055
0.154,3367
0.15,2174
-0.149,8550
0.15,1428
0.0476,3418
0.0825,3179
-0.0862,6985
-0.0658,6507
0.192,1746
0.097,1200
0.221,590
0.0774,3415
0.124,2845
0.438,562
-0.0127,5254
0.339,563
-0.177,10481
0.0517,3015
-0.228,9249
0.202,2379
-0.136,8837
-0.128,9459
0.0408,3797
-0.00192,5546
0.267,1068
-0.165,9202
-0.224,9794
-0.167,8111
-0.0385,7556
-0.136,8406
-0.129,7952
-0.125,7138
-0.345,10713
-0.502,10965
0.0299,3562
-0.0186,5419
-0.0645,7316
-0.209,9780
-0.156,8810
0.00891,4932
-0.0363,6403
0.0379,4563
0.136,2120
0.272,3818
0.197,2508
-0.113,9257
-0.0262,6583
0.378,1304
-0.598,10903
-0.496,10539
-0.12,5853
-0.219,10347
0.0403,3978
-0.086,7924
0.086,3157
0.116,3057
