coef,rank
0.44,725
-0.00135,5332
-0.0313,6552
-0.322,9589
-0.418,6893
-0.435,8932
-0.149,6633
0.0311,4563
-0.089,8220
-0.144,8344
0.0102,4942
0.204,1984
-0.0196,5793
-0.18,10547
0.181,1250
0.179,2082
-0.0971,6089
0.0998,3833
0.159,632
0.00478,5365
-0.103,8197
-0.0131,5688
0.195,2650
0.012,5115
0.0476,4086
0.0857,3331
-0.0381,5721
-0.0495,6060
0.0459,3845
0.0874,3929
-0.0425,6295
-0.0315,6350
-0.0246,5880
0.0574,4280
0.076,3554
0.156,2742
0.0736,3451
-0.153,10380
0.117,2460
-0.0743,6253
0.000948,5328
0.209,1648
-0.153,9822
0.0741,1781
-0.228,9741
0.215,892
0.182,2198
-0.25,8854
-0.112,9947
0.0442,3137
-0.328,10379
-0.331,10951
0.156,2525
-0.2,9018
0.116,2741
0.166,620
0.0033,5039
-0.419,10565
0.111,3806
-0.063,6182
-0.135,10214
-0.142,9807
0.107,3413
-0.239,9647
0.0159,4793
0.0899,1680
0.143,2055
0.141,1177
0.253,588
0.0454,3791
0.168,1776
-0.247,7607
0.0595,3373
-0.197,10140
-0.0602,6994
0.0176,4844
-0.186,7532
0.102,2412
0.173,1279
-0.0619,7463
-0.0733,7802
-0.026,5995
0.369,1735
-0.166,7626
-0.104,9211
0.174,995
-0.0471,6764
0.0309,4801
-0.0809,7002
0.343,1134
0.104,1951
0.0982,1500
0.098,3255
0.021,4750
0.129,3180
0.327,1051
0.119,3083
-0.141,9663
0.126,3374
-0.0144,6264
-0.252,10326
-0.0935,7399
-0.0192,6085
-0.128,9143
-0.0607,7017
0.303,778
-0.467,10557
-0.00459,5311
0.292,1012
-0.131,8270
-0.133,7950
0.128,2295
0.0295,4565
0.277,1524
-0.133,9726
-0.00327,5704
-0.0467,6264
-0.13,8928
-0.0908,8770
-0.273,10117
0.00594,5225
-0.0908,8832
-0.0425,7049
0.0694,2992
-0.0392,5882
-0.0305,5302
-0.173,10436
-0.354,10739
0.11,3419
0.0126,4787
-0.279,10136
0.226,1714
0.0819,2712
0.205,1015
-0.0143,5358
-0.0637,7563
0.65,2085
-0.278,8569
-0.0311,6369
-0.00146,5460
0.0468,4734
-0.158,10389
0.22,2006
-0.208,9767
-0.235,10228
-0.105,8521
-0.36,10319
0.249,1074
0.0408,4168
-0.123,7346
-0.0651,7430
0.0199,4685
1.86,1085
0.329,542
-0.275,8470
-0.241,9953
0.00802,5164
0.0965,3123
-0.0332,5831
0.273,731
-0.107,8266
-0.104,8452
0.247,1093
