coef,rank
-0.216,8463
0.0748,3666
-0.0342,6648
-0.00331,5136
1.27,1045
0.0914,4111
0.608,915
0.00756,5186
0.246,270
0.125,2551
-0.055,6409
0.0394,4445
0.091,2753
0.0366,3848
0.0577,3803
-0.00668,5564
-0.493,10191
0.0284,4474
-0.0496,7671
-0.103,10131
-0.215,10246
0.0363,4084
-0.0936,6363
-0.198,8071
-0.031,6276
-0.0678,6665
-0.0196,5396
0.164,2182
0.144,1207
-0.656,10097
-0.28,10287
-0.15,9538
-0.0865,7204
0.458,1050
-0.0451,6091
0.112,3404
0.202,1083
0.13,1072
0.0235,4633
0.0204,4710
0.276,957
-0.138,8052
-0.039,6703
0.0797,1594
0.129,2659
-0.19,9787
0.227,1677
0.125,3019
-0.105,9776
-0.0937,9761
-0.304,10191
0.000193,5647
0.0535,4176
-0.0498,6293
-0.134,7873
0.0092,4826
0.0602,3414
0.0225,4605
0.0684,4297
-0.312,10007
0.13,945
-0.0543,7492
-0.297,10035
-0.249,9775
-0.0471,7228
-0.0239,6416
-0.0472,6570
0.00626,5257
0.285,397
-0.179,10259
-0.102,7826
-0.0516,5437
-0.16,9642
0.119,2124
-0.0838,7561
0.25,1556
0.321,1842
0.239,454
-0.0869,7884
-0.084,8179
-0.191,10175
-0.0197,5813
0.465,1185
0.143,3200
0.0226,4636
-0.116,8983
0.162,1873
0.308,1329
-0.377,10867
0.194,2392
-0.167,10470
0.0196,4449
0.432,250
0.108,3018
-0.125,7171
0.00734,4968
-0.284,10019
0.0248,4388
0.467,741
-0.113,9725
0.152,2016
-0.0277,5960
0.135,1712
0.214,648
0.0307,4303
-0.25,10051
0.576,453
-0.0779,6689
-0.0325,5942
-0.151,8658
0.0548,4015
-0.089,7581
-0.556,9927
-0.00141,5288
-0.0276,6590
-0.0226,6607
0.111,3427
0.184,1391
0.0716,2755
-0.196,9204
0.0822,3484
-0.0768,8373
0.221,318
0.1,2070
-0.13,7382
0.274,2431
0.121,1498
0.0262,4686
0.417,518
0.026,4492
-0.198,9109
0.318,988
-0.146,9769
0.236,690
-0.225,8893
-0.00723,5551
0.209,3281
-0.0924,6330
-0.0158,5774
0.072,3195
0.65,176
-0.00472,5762
-0.241,9287
-0.177,9299
-0.0765,7254
0.115,2514
0.308,1097
0.351,417
0.0353,4329
0.388,795
-0.112,8672
-0.314,11015
-0.609,7641
-0.11,7544
-0.76,10971
-0.0735,6972
-0.0194,6099
-0.106,8179
-0.0941,6839
0.156,2031
-0.102,8128
0.356,122
-0.202,9641
-0.0646,8552
0.359,230
0.37,307
0.0249,4493
0.0242,4382
0.00473,5410
-0.0306,6548
0.416,217
0.347,1419
0.0305,4132
-0.0979,8728
0.0779,1472
