coef,rank
0.335,1292
-0.116,8004
0.152,1230
-0.187,7977
-0.103,4786
-0.183,6240
0.0666,4281
-0.0255,6134
-0.0516,6974
-0.0136,5303
-0.29,10369
-0.337,10352
-0.0157,5661
0.000197,5325
0.338,155
-0.292,10469
-0.167,6923
0.0248,4502
0.117,1330
-0.0851,9680
-0.17,9589
0.107,2204
-0.447,10274
0.367,1320
0.201,1174
-0.215,9516
-0.238,8978
-0.0405,5894
-0.029,6768
-0.0161,4688
-0.0976,7509
0.192,884
-0.367,10822
-0.341,9241
-0.142,8176
0.0756,3966
0.0919,3014
-0.0545,7655
-0.184,9694
-0.0197,5314
0.0648,3968
0.00149,5135
-0.139,9563
-0.0377,7604
0.0446,4298
-0.146,8975
-0.107,7550
-0.256,8972
0.0419,3190
0.0374,3460
0.073,3962
0.0593,3971
-0.202,8965
0.196,1916
-0.129,7792
-0.0816,8478
0.0782,2983
-0.0189,5331
-0.0879,6222
-0.152,7846
-0.04,7209
-0.186,10461
0.12,3178
-0.242,9684
-0.0282,6496
-0.116,9926
0.239,870
-0.000747,5555
-0.242,10664
-0.221,10673
0.0494,4024
-0.462,9592
0.195,859
-0.137,9103
-0.0303,6226
0.463,370
0.631,458
0.149,1433
0.0757,3193
-0.206,10518
-0.0426,6929
-0.322,10842
-0.454,10105
-0.129,7079
0.00287,5429
-0.143,9590
-0.00873,5714
0.00135,5300
-0.0923,7262
-0.192,8163
0.0115,4956
0.168,373
-0.204,9343
-0.0321,5930
-0.112,6985
0.0165,4805
-0.0817,6840
-0.0513,7145
-0.409,10346
-0.0362,7228
0.0947,3009
-0.188,9196
0.182,1015
0.023,4544
-0.112,8470
-0.0407,6204
-0.528,10758
-0.162,8148
-0.0365,6035
-0.169,9023
0.0325,4454
-0.0615,6845
-0.186,6504
-0.197,8680
-0.0373,6951
0.115,1320
-0.145,8078
0.11,2700
0.0292,4218
-0.0302,5984
-0.0165,5802
-0.0356,6743
0.0638,3122
0.00817,5186
-0.297,9660
0.00484,4909
-0.0924,8690
0.107,3004
-0.156,8428
-0.107,7713
0.0395,4563
-0.062,6542
-0.0178,6031
-0.0257,6345
0.099,3570
-0.128,9332
-0.592,8180
-0.322,9015
-0.0359,6560
-0.123,8995
-0.0862,6912
-0.129,9896
-0.0254,5689
0.0501,4266
-0.0375,6244
-0.181,10016
0.155,2625
-0.117,8069
-0.153,10021
-0.285,9667
-0.0436,6773
0.0342,4165
-0.795,8503
-0.167,8770
-0.115,6497
-0.137,8365
-0.0773,7999
-0.093,7882
-0.139,7603
-0.213,9887
0.293,497
-0.264,10773
-0.281,10499
0.16,310
-0.134,8483
0.119,2923
0.173,931
0.05,3453
-0.148,8705
-0.018,6077
0.091,3371
0.0335,4568
0.0411,3807
-0.0881,8392
-0.0229,6768
-0.0667,7191
-0.0988,8610
0.153,2564
-0.297,8486
-0.0467,7474
0.286,302
-0.139,8518
-0.0381,6329
-0.232,10352
0.049,3276
-0.0495,8147
-0.0629,7532
-0.092,8106
0.0634,3915
0.235,527
-0.0678,5475
-0.0374,6618
0.0538,3677
-0.0385,7750
0.0168,4703
-0.215,9533
-0.237,8395
0.14,1694
0.128,2936
-0.00418,5350
0.0752,2667
-0.0511,6181
0.128,1967
-0.354,9896
-0.179,10615
0.163,1631
0.0375,4570
0.227,2706
0.0143,5028
-0.0401,6338
0.298,196
0.0286,4168
0.0327,4360
0.248,1421
-0.232,9396
0.318,680
-0.0979,10089
-0.0282,6472
-0.00464,5410
-0.353,10799
-0.106,6857
-0.169,7785
-0.034,6170
0.0346,3987
-0.0414,7252
-0.0884,6964
-0.351,10119
-0.167,9420
-0.00731,5683
-0.0455,7378
0.0694,2813
0.0784,3633
-0.0775,7490
0.0988,3375
-0.291,9819
-0.00408,5678
-0.0232,5611
-0.0601,6482
1.09,21
