coef,rank
-0.0701,6281
0.0487,4196
-0.23,10771
-0.223,8455
0.159,3313
-0.29,7354
0.175,3375
-0.103,8082
-0.00843,5440
-0.186,9077
-0.0635,6604
0.323,1005
-0.155,9331
0.101,1870
-0.0153,6005
-0.0928,7517
-0.388,9376
0.0185,4567
-0.0879,9137
-0.0708,9196
0.152,1685
-0.101,8531
0.977,35
-0.125,7060
-0.226,10312
-0.0421,6067
-0.212,8618
-0.133,7828
-0.0572,7791
-0.467,8826
0.0762,3641
0.0697,3215
-0.105,7602
-0.28,8605
0.251,1124
0.464,482
-0.00383,5606
0.0356,3798
-0.175,9560
0.127,3239
-0.161,8654
-0.103,7401
0.117,1906
0.0249,4035
0.0095,5076
-0.279,10719
0.477,242
-0.255,8939
-0.0533,7941
0.162,288
0.166,2544
-0.185,10010
-0.375,10638
-0.228,9414
-0.17,8566
0.102,1716
0.0288,4281
-0.193,8118
-0.0581,5847
-0.0778,6459
-0.0807,8786
0.0218,4862
-0.207,8962
-0.0243,5638
0.0852,2419
0.0237,4138
0.145,2023
-0.0876,8704
-0.0722,7662
0.114,1925
-0.0605,6771
0.327,2272
0.051,3620
-0.0395,6499
0.00657,5315
-0.367,10534
0.726,298
-0.125,9300
-0.0743,7504
0.105,2300
0.0312,4752
-0.00465,5412
0.0877,4217
-0.00719,5203
0.108,1873
-0.167,10041
0.00802,5275
0.543,292
-0.18,9105
-0.332,9880
0.205,413
0.0337,3778
0.193,1816
0.266,995
-0.179,8068
0.0326,4528
0.18,2186
-0.179,10275
0.00326,5011
-0.0522,7864
0.254,844
-0.198,9348
0.166,1217
-0.129,9177
-0.0969,8059
0.564,64
-0.0537,5897
0.582,151
0.424,360
-0.13,8252
-0.0866,7005
-0.111,8084
0.84,604
-0.108,7229
-0.065,7891
0.0322,4040
0.217,2018
0.0266,4801
-0.0263,6417
0.0124,5058
0.223,1194
0.0954,1942
-0.143,9904
-0.00928,5873
0.534,335
0.297,2251
-0.0508,7248
0.0171,4930
-0.22,9383
-0.0817,7101
-0.282,10167
-0.103,7398
-0.127,9366
-0.0666,7507
0.287,1439
-0.119,9140
4.92,11
-0.197,7600
0.118,1614
0.0997,2487
-0.164,8085
0.045,3823
-0.259,9475
-0.103,7876
0.454,80
0.255,581
0.335,929
0.109,2986
0.207,685
-0.0366,5845
-0.0457,6835
-0.234,10899
0.626,2318
-0.241,9903
1.07,69
-0.0277,5853
-0.0036,5551
0.177,1617
-0.0556,6231
-0.134,8556
-0.0387,6498
-0.0698,7539
0.0137,5074
-0.00521,5627
-0.234,10150
0.0672,4018
-0.155,9961
-0.0751,8203
0.0348,4732
-0.0684,7842
0.0979,3251
0.458,841
0.102,2059
-0.0495,7042
-0.0438,7926
-0.013,5516
-0.0185,5966
0.016,5061
-0.402,9464
-0.0826,8943
-0.0887,8229
0.295,846
-0.0439,6484
0.043,4237
-0.124,9479
0.066,1779
0.187,839
0.00755,5165
0.398,554
0.127,1923
-0.255,7538
-0.00945,5639
0.159,1240
-0.0385,7747
0.114,2063
0.146,2344
-0.25,8558
-0.0303,6376
0.244,1492
0.139,2589
0.344,23
0.0826,3582
-0.154,9133
-0.0615,6211
-0.016,5847
0.0259,4701
-0.0218,5863
-0.104,6256
-0.00412,5471
-0.245,9992
-0.102,8542
-0.125,9837
-0.058,6989
-0.0241,5790
0.103,3451
-0.133,7876
-0.0763,9456
-0.0901,8418
-0.0567,6739
-0.0189,5829
0.168,2563
