coef,rank
-0.28,9187
0.0155,4959
-0.222,10727
-0.0741,6229
-0.723,8783
0.393,2448
1.41,41
-0.119,8430
-0.19,10405
0.279,749
-0.193,9190
-0.0781,6671
0.0165,4729
-0.0435,7072
-0.17,9795
-0.118,8012
-0.42,9654
0.429,1577
0.0401,3732
0.0609,2467
-0.193,9978
-0.0118,5644
0.271,1921
-0.231,8461
-0.0736,7440
0.286,851
0.116,3277
0.065,3749
-0.0714,8266
-0.886,10793
0.121,2819
-0.0577,7188
0.0563,4217
0.398,1308
0.00601,5006
-0.3,9882
-0.125,8911
0.0777,2325
0.161,1705
-0.162,7701
-0.000625,5365
-0.281,10142
-0.00512,5499
0.0254,4009
0.385,337
0.0997,2650
-0.064,6683
0.106,3270
0.0781,1861
-0.0412,7633
-0.0677,6582
-0.117,8754
0.231,1593
0.361,642
-0.0639,6401
-0.152,10222
0.184,1178
0.418,745
0.0606,4386
-0.157,7921
-0.0216,6329
0.434,10
0.128,3071
0.269,1162
0.0418,3806
-0.108,9712
-0.123,8463
0.03,4323
-0.146,9357
-0.0311,6417
0.04,4250
0.0264,4681
0.00374,5008
0.0569,3637
-0.242,10281
0.488,302
-0.307,9007
0.371,51
-0.0598,7059
0.04,4130
0.179,1405
0.0998,2867
-0.398,9710
-0.308,9509
0.323,36
-0.0249,6151
0.0648,3818
-0.14,7731
-0.332,10709
0.194,2402
0.178,645
0.122,980
-0.0733,6870
0.212,1524
-0.229,8814
-0.114,7267
-0.0134,5453
-0.0502,7106
0.164,2921
-0.135,10179
0.105,2808
0.151,2353
-0.0758,7933
0.203,733
-0.0303,6142
-0.294,10437
0.107,3592
0.25,1667
-0.0929,7221
0.0781,3503
0.373,419
-0.0327,6091
0.642,1086
-0.138,7706
-0.00718,5829
0.0341,3961
0.108,3460
0.13,2303
0.13,1284
-0.098,7438
-0.183,9564
0.0693,2703
0.0197,4653
0.00416,5347
0.161,2877
0.0442,4472
-0.255,10946
0.171,1977
0.0758,4018
-0.0892,7274
0.466,336
-0.183,8870
-0.0713,7810
-0.297,10894
-0.453,10782
0.0309,4215
0.489,2429
-0.444,10061
0.114,1690
0.211,735
0.0989,3916
0.0805,2607
0.0395,4535
-0.196,9606
-0.374,10947
-0.181,10014
0.129,2993
-0.224,9875
-0.171,10306
0.303,1316
0.0133,4937
-0.112,9309
1.24,1555
0.311,636
0.186,3120
-0.122,8013
-0.119,9138
0.288,582
-0.17,8056
0.132,2411
-0.172,9542
-0.0733,7650
0.124,2747
-0.0322,7067
0.151,1961
-0.166,9327
-0.101,8784
0.0881,2312
0.134,2765
-0.0831,8281
-0.0519,6617
-0.0107,5151
0.153,1125
0.0565,3128
0.0349,3321
-0.334,10971
-0.0657,7567
0.594,86
0.659,847
0.0606,2640
-0.121,9024
0.102,3291
-0.423,11015
-0.304,10822
-0.179,10450
-0.0877,9798
0.197,730
0.0359,4370
0.123,2920
-0.14,9429
0.4,1852
-0.144,9532
-0.12,9157
0.0139,4829
0.241,410
0.0443,4244
0.0571,4048
-0.295,10913
-0.0625,6605
-0.25,10021
-0.154,10171
0.00965,4962
-0.301,10834
-0.41,10315
0.119,1365
0.177,1420
-0.23,9925
0.319,1975
-0.0225,5919
0.219,1633
0.255,364
0.121,1306
0.0772,3291
-0.159,8362
0.184,2245
-0.084,6831
0.0382,3488
0.0201,4827
0.241,988
-0.121,8158
-0.037,5665
1.53,3
0.0582,4062
0.124,1449
-0.0228,6380
-0.389,10668
-0.182,8115
0.00542,5406
0.0561,3510
-0.199,10824
0.083,2381
0.0977,3254
-0.184,9508
0.0183,4983
0.0799,3884
0.235,30
-0.181,9231
0.0473,4248
0.0419,4629
0.00681,4748
0.527,167
0.61,2068
-0.511,10652
-0.157,9551
0.0717,3369
0.214,1613
-0.161,10055
-0.159,9186
-0.0229,5931
-0.0358,6266
0.112,4654
0.16,2976
-0.187,10574
-0.242,10973
-0.202,8198
1,54
-0.0131,5233
-0.0929,5565
-0.198,10076
-0.0469,6655
-0.0603,7205
-0.0453,6769
0.028,4938
0.336,542
-0.0509,6867
-0.0549,6596
0.127,3177
-0.00838,5763
-0.193,9834
-0.125,7326
0.189,1622
0.0304,3987
-0.046,6424
-0.0176,5607
0.0215,4975
0.0527,3832
0.197,1287
-0.284,9900
-0.0419,6410
-0.195,9332
0.293,1236
-0.23,10432
0.0557,3672
0.111,3451
0.415,214
-0.0337,5957
