coef,rank
-0.0875,6550
0.204,1515
0.0881,2562
0.714,157
-0.894,9596
0.488,2002
-0.365,8952
0.287,568
-0.0966,8424
0.166,1851
-0.00531,5301
0.0188,4814
0.0809,2975
0.164,737
0.247,589
-0.21,9619
-0.425,9697
0.895,294
0.0832,2182
-0.00459,5897
0.0258,4530
-0.172,10083
0.129,3328
-0.1,6719
0.154,1813
0.275,915
0.0321,4523
0.283,921
-0.182,10560
0.11,3776
-0.0746,6987
0.0141,4905
-0.126,8007
0.325,1740
0.0508,4049
-0.0673,6529
0.0518,4060
0.0429,3522
-0.0622,7011
-0.0813,6364
-0.157,8594
-0.0434,6139
0.0842,2703
-0.0432,7860
-0.0894,7297
0.0323,4274
0.26,1330
0.0864,3528
-0.0953,9500
-0.0524,8202
0.457,366
-0.132,9071
-0.242,9475
0.0597,4061
-0.0249,5524
0.0907,2023
0.132,1927
-0.0191,5333
-0.175,7451
0.305,1117
0.223,109
0.048,3975
-0.193,8751
0.179,2069
-0.148,10110
-0.0535,7787
0.295,477
0.0264,4452
0.126,2256
0.167,1038
-0.039,6227
-0.254,7677
0.152,1429
-0.102,8267
-0.0983,7909
0.149,2703
0.0661,4308
0.136,1670
0.00117,5276
0.393,32
0.0128,5287
-0.292,10710
-0.238,8180
-0.0271,5508
0.00667,5281
0.111,2089
-0.0461,6732
-0.0086,5469
-0.123,7933
-0.0173,5322
-0.0431,7216
0.106,1336
-0.118,7788
-0.201,9285
0.435,621
-0.135,7596
0.177,2229
0.0192,4594
-0.301,9392
0.102,1881
0.0678,3568
0.316,663
-0.227,10712
0.0356,4165
-0.135,9010
-0.142,8401
0.126,3356
0.155,2710
-0.0485,6291
0.105,2959
-0.1,7282
0.277,567
-0.18,6450
0.237,1875
0.019,4824
0.0673,2738
0.00826,5236
-0.012,5865
0.0231,4463
-0.263,10039
0.187,1611
-0.107,9269
-0.021,6215
-0.063,7783
0.0097,5070
0.0772,4127
0.276,103
-0.0496,6420
-0.293,10184
0.0939,3012
0.209,1866
0.202,1978
-0.0248,6275
-0.0858,8027
0.456,486
-0.297,10966
-0.852,9599
-0.27,8465
0.068,2900
-0.161,9707
0.0381,4876
0.0079,5247
0.0506,4347
0.0595,4062
0.112,2678
0.0868,3142
-0.119,7181
-0.0282,5978
-0.00533,5760
0.204,2209
0.347,90
0.0804,2651
-0.571,7458
-0.176,8940
-0.469,10209
0.0908,3293
0.171,1084
0.282,618
-0.0256,5716
0.269,757
-0.164,9406
0.0905,2805
-0.0919,7631
-0.0888,9445
-0.169,9196
-0.0642,7227
0.0949,2376
0.145,1089
-0.362,10831
0.199,639
-0.148,8693
-0.201,7983
0.139,1346
0.161,855
0.0101,4709
0.068,3129
-0.0228,6115
-0.189,9065
0.0321,4917
-0.126,10129
0.286,304
0.0156,5060
-0.0769,7319
0.00536,5196
-0.131,9632
0.106,682
-0.0398,6718
-0.00617,5578
0.057,4031
-0.00733,5650
0.373,2002
0.222,580
0.148,1418
0.0813,1719
-0.291,10942
-0.313,10528
0.0692,3866
0.0629,3495
0.103,3334
0.192,1805
0.0166,4676
-0.203,8966
-0.0561,6663
-0.425,10415
0.211,275
-0.178,9805
-0.258,10211
0.0706,4226
0.0696,3709
-0.177,9040
-0.028,6195
0.063,2869
-0.0806,7584
0.235,1535
-0.103,7266
-0.115,7500
-0.0681,9132
-0.028,6461
-0.246,10243
0.0903,3491
-0.232,8892
-0.239,8833
0.435,228
0.02,4508
-0.0264,6561
0.0565,4147
-0.142,7467
0.0227,4976
0.0294,4379
-0.103,9323
-0.0114,5960
-0.0223,5804
-0.118,8376
0.00988,5174
0.123,3182
-0.017,6404
0.326,462
-0.436,10956
-0.232,8618
0.069,3486
-0.118,7436
-0.655,9272
-0.164,7373
0.246,598
0.114,2528
-0.0317,6184
-0.108,8932
0.116,2851
-0.351,10746
-0.0572,6849
0.168,4354
0.382,998
0.0453,3599
-0.132,10031
0.428,1043
0.712,266
0.26,2109
0.264,2482
-0.0963,8096
-0.0471,6662
0.0948,2777
0.123,2383
-0.0805,7437
0.0374,4521
-0.0488,6806
0.0776,3464
0.176,2601
-0.0255,6242
-0.0452,6694
-0.0412,5815
-0.29,10700
0.0765,2063
-0.212,10125
-0.0468,6319
0.145,2806
-0.178,9522
0.0598,3656
-0.0763,6589
-0.216,9783
0.46,129
0.171,2522
-0.239,10531
0.116,2290
-0.271,10099
-0.365,10873
0.068,4026
-0.255,9639
-0.0211,5970
0.0426,3755
0.154,1916
-0.0359,5820
0.36,883
-0.305,10192
0.0855,3592
-0.0367,7153
0.138,1401
0.285,1861
-0.191,9694
0.331,1214
-0.396,10315
-0.0558,6816
0.413,26
0.268,497
0.00619,4901
-0.124,8313
0.709,204
0.0886,1741
-0.45,10924
0.0527,3778
0.319,1527
0.228,2026
0.0417,3676
-0.0303,6482
0.0169,4836
-0.114,8497
-0.0928,6333
-0.0467,6165
-0.135,8198
-0.366,10364
-0.145,7527
-0.134,7595
-0.0196,5940
-0.199,8532
0.0228,4909
-0.0675,7813
0.0327,4486
-0.0625,7294
0.134,2169
-0.00411,5352
-0.347,9709
0.0847,2224
-0.0836,8109
-0.171,8262
0.321,1092
-0.0883,7991
-0.252,8314
-0.127,9230
0.0178,4718
-0.0624,7497
0.0266,4477
-0.0828,7765
0.0702,3845
0.0369,3992
-0.133,7142
-0.28,9099
-0.042,7348
-0.153,10389
-0.251,9898
-0.0287,6180
0.177,1595
1.79,347
0.777,588
-0.468,6755
0.95,967
0.00801,5015
-0.572,9749
-0.449,10907
0.35,606
-0.164,9286
0.244,874
-0.0721,8686
0.111,825
0.341,2767
-0.294,10189
-0.185,8813
-0.0288,5979
-0.351,10877
-0.101,9346
0.0979,3524
-0.166,8787
-0.0631,7317
-0.0527,6498
0.0122,4982
0.0203,4583
-0.095,7714
-0.458,10793
0.11,3349
-0.577,10403
-0.145,8560
0.121,1797
-0.0281,5519
0.118,979
-0.0982,7279
0.148,3589
0.094,2728
0.179,1275
-0.0571,6899
0.163,2078
0.106,3870
-0.197,9001
-0.267,10865
-0.0262,5990
-0.138,8768
0.24,2244
-0.00959,5585
-0.396,10055
-0.0539,6618
0.0331,4180
-0.371,9618
-0.176,9774
-0.122,7787
-0.181,9581
0.324,275
-0.0206,5909
0.142,2491
-0.0409,5894
0.181,2218
0.386,1879
-0.0847,10771
0.173,1156
-0.131,8104
0.178,2849
-0.0594,6466
-0.109,7410
0.0352,4150
0.0412,2760
0.0162,3526
0.0833,3272
0.0805,4201
0.00286,5055
-0.083,6120
0.0526,3092
-0.232,9376
0.383,455
-0.066,6415
-0.351,9135
0.435,358
-0.141,9810
-0.0306,5822
-0.369,10475
0.291,1019
0.0717,3826
-0.00531,5269
0.119,2060
0.146,2469
0.0433,4210
0.258,1435
-0.105,8538
0.0389,4529
0.0658,3430
-0.0997,9402
-0.782,10314
-0.242,8472
0.101,3383
-0.0122,5333
-0.0437,6964
-0.0221,5999
0.0385,4657
-0.157,6805
-0.201,8725
-0.134,6934
-0.212,10426
0.369,1196
0.0934,3929
0.0704,3434
0.0348,4730
0.183,1699
0.0165,4604
-0.0491,7814
-0.101,7553
0.323,697
-0.191,9811
-0.00873,5533
0.438,4
-0.174,8126
-0.3,10193
-0.12,7348
0.233,1528
-0.338,10309
-0.0574,6789
0.0756,3176
0.277,1243
0.406,297
0.0331,4222
0.0816,3169
-0.0748,7143
0.0372,4570
0.0431,3877
-0.302,9519
0.0755,2981
0.119,2592
0.0274,4302
0.0631,3982
-0.0354,6696
-0.161,8480
-0.101,6879
0.153,1728
0.106,2304
-0.036,6691
0.13,1814
0.192,952
0.148,2093
-0.0463,6653
0.0212,3520
0.049,4221
-0.139,9710
-0.139,6961
-0.0108,5062
-0.347,11015
-0.234,10631
0.0256,4494
0.265,819
0.0363,4300
0.178,3453
0.167,1658
-0.00826,5629
0.0814,2381
-0.0363,5532
-0.111,8123
-0.264,7944
0.172,2261
-0.24,8927
0.111,1726
0.416,1597
-0.303,8533
-0.0228,5513
-0.119,6840
0.03,3945
0.0843,2588
0.0925,2571
0.0309,4058
-0.213,8513
-0.00159,5200
-0.0508,7020
0.057,4022
-0.202,6858
0.243,1957
-0.0671,6538
-0.353,7894
-0.0824,8249
0.106,2777
-0.245,9964
-0.0347,6453
-0.271,10599
-0.723,11028
0.199,625
0.0765,2057
1.77,345
0.619,1484
-0.1,5769
-0.0812,5615
-0.193,10198
-0.126,7493
-0.234,10577
0.0933,3191
0.0363,4392
-0.0161,5732
-0.172,9681
-0.148,8591
-0.279,10691
0.157,1834
-0.142,6671
-0.414,8761
0.143,1747
-0.126,7848
-0.0524,6259
-0.127,8205
0.165,2011
-0.243,9950
-0.0057,5419
-0.102,7275
0.0672,3573
-0.0769,7696
0.117,2893
-0.0945,7563
-0.247,10796
-0.028,6324
-0.171,9658
0.112,2468
0.538,287
-0.0942,8736
0.166,1340
-0.166,8279
-0.338,10803
0.0861,3415
-0.0853,7177
-0.309,10608
0.237,710
-0.0097,5718
-0.474,10166
-0.16,9207
0.162,2241
0.286,2914
-0.0138,5830
0.115,2397
0.0699,3984
-0.0883,8400
-0.256,10880
-0.179,9066
-0.106,8672
-0.0761,7726
0.0634,3840
0.0119,4828
0.142,3201
-0.172,7770
0.0332,3682
0.225,1446
0.104,3381
-0.118,8329
0.342,571
0.0647,3681
0.0268,4682
-0.0676,7396
0.205,2043
0.166,2639
-0.216,10055
0.1,3748
0.225,672
-0.00349,5481
-0.0525,5730
0.117,1251
0.276,2109
0.748,673
-0.13,9119
0.173,1294
0.173,2068
0.18,1314
-0.17,7844
-0.0374,6131
0.0479,3936
-0.147,9841
0.17,423
-0.0878,8055
-0.48,11028
0.176,1782
0.201,779
-0.428,10724
-0.197,10618
-0.436,10674
-0.531,9189
-0.162,9916
0.133,1002
0.034,3833
0.0146,5102
-0.256,9767
0.0264,4723
-0.203,10758
0.0356,3509
-0.0625,7250
-0.207,8754
0.555,183
0.0882,3563
-0.23,9730
-0.277,10315
-0.0479,6060
0.254,855
0.444,642
0.0788,3143
-0.094,8825
0.0541,3497
-0.933,10005
-0.00395,5705
-0.232,8442
0.438,455
0.0594,3120
-0.29,8894
0.73,1419
-0.112,4470
-0.435,9989
-0.736,10643
0.0936,3687
-0.25,9729
-0.0447,7043
-0.151,9351
0.11,2375
-0.0208,6701
-0.0492,6475
-0.103,6518
-0.0321,5222
-0.159,9983
-0.15,9212
-0.0941,8543
0.00143,5261
0.331,181
-0.252,9290
-0.148,9684
-0.313,10830
0.102,3108
-0.439,10486
0.597,118
-0.171,9037
0.52,219
-0.158,10001
-0.06,7570
0.204,2364
0.0568,3596
0.0888,3750
0.0934,3844
-0.0737,7818
-0.00552,5253
-0.0643,6848
-0.265,7677
-0.406,10972
0.0678,4086
0.0886,2937
0.0625,3439
-0.445,10795
0.158,2252
-0.0534,6264
0.159,2797
0.127,2999
0.122,2248
-0.205,9636
-0.0748,5314
-0.113,7284
-0.013,5645
0.0553,3791
0.276,514
0.16,1032
0.301,413
0.248,2799
-0.311,5665
0.0372,4301
0.00928,4922
0.127,1714
-0.215,9559
0.0337,3608
-0.184,8083
-0.0332,6111
-0.0299,6821
0.0957,3717
0.105,3288
-0.13,7818
-0.165,8782
0.34,670
-0.0641,7657
-0.172,8221
-0.0487,5967
-0.135,6226
-0.229,8788
0.0405,3662
0.383,392
-0.386,10799
0.0718,3423
-0.161,9457
-0.18,7458
0.331,508
0.11,2795
-0.308,10762
0.0757,3032
-0.351,8720
-0.00723,4696
0.0596,3642
-0.116,9342
0.0591,3573
-0.211,10014
0.122,2684
-0.535,10930
0.0506,3622
0.122,2257
0.0225,4528
0.219,2410
-0.11,8112
-0.0862,8323
-0.182,10239
0.0638,2610
0.166,1481
0.478,478
-0.00901,5987
0.0481,4184
-0.0119,5585
-0.257,10941
0.0513,4064
-0.305,10411
0.431,307
0.0649,4282
-0.00241,5419
0.464,221
-0.0727,7009
0.0463,4552
-0.487,10834
0.246,943
0.0784,2707
0.0782,4275
0.578,787
0.431,404
-0.0737,6578
-0.0622,6676
-0.194,10396
-0.183,9127
-0.126,7388
0.0638,3035
0.0853,4116
-0.277,8716
0.0925,3461
-0.0329,7055
-0.112,8163
0.143,2885
-0.206,10142
-0.228,8546
0.0189,4654
0.0183,4787
-0.055,9991
-0.0122,7381
0.0309,2022
-0.0218,9093
0.0522,159
0.512,2621
0.00354,5239
-0.438,8796
-0.682,9448
-1.3,10477
0.114,2676
0.0331,4743
-0.599,10274
-0.08,6902
1.4,17
0.092,2699
0.0699,3921
1.82,971
0.111,2802
-0.129,7449
0.0751,1863
-0.183,9542
-0.087,7414
0.412,959
0.135,3236
-0.382,9443
0.21,1961
-0.0105,5472
-0.243,9580
0.0392,4084
0.0701,4105
-0.114,7474
-0.579,7426
-0.0184,5812
-0.22,10423
-0.00399,5326
-0.0279,6234
-0.0905,8935
0.0457,3617
0.153,2763
-0.00706,5271
0.0477,4126
-0.165,7048
0.147,2372
-0.0396,6960
0.0474,2803
-0.181,9367
-0.0515,6764
0.246,1444
0.208,2464
0.0436,4086
0.372,135
-0.165,8395
0.0501,4381
0.0829,3632
-0.041,7036
0.0785,2856
0.142,2037
-0.106,8083
0.165,1080
0.106,3476
0.142,3484
-0.0166,5805
0.0184,4421
0.167,3345
-0.0307,6362
-0.0574,6056
-0.0731,6757
-0.209,10307
0.0632,3707
-0.0498,5783
-0.163,10342
0.00257,4953
-0.015,5573
-0.0139,5672
-0.12,8902
-0.349,11006
0.368,252
0.372,399
-0.379,9980
-0.0175,6299
0.00512,5136
0.0817,4439
0.0549,4141
-0.272,10769
0.17,2130
0.166,1222
-0.0562,7732
0.491,2445
0.207,3635
0.0743,3029
-0.467,9302
-0.0332,5932
0.0923,2064
0.542,385
0.273,372
-0.175,8272
0.00658,5351
0.00285,5580
0.0748,2955
-0.833,10692
0.0789,4481
0.00752,4251
-0.0615,6226
0.312,907
0.0117,5011
0.0329,4545
0.151,2026
0.0602,3246
-0.139,9084
-0.0534,6749
0.108,3026
0.0935,3305
0.0721,3545
0.0109,5198
-0.109,8436
0.0505,3955
-0.165,8137
0.00326,5021
0.201,2094
-0.0839,7008
-0.0103,5357
-0.204,9949
-0.631,10790
-0.159,7651
-0.231,9983
-0.18,8358
-0.0613,6943
0.00442,5282
-0.0274,5927
-0.255,10569
0.0239,4677
-0.032,6786
-0.166,10008
-0.145,10889
-0.0397,6346
-0.0129,5807
0.106,2965
0.0429,3331
-0.41,10891
0.103,1938
-0.222,6922
-0.408,10638
0.0839,4025
0.131,2821
-0.105,9395
0.0705,3648
-0.382,8831
-0.174,9248
0.0692,3390
-0.0725,6189
-0.00791,5597
0.0726,3731
0.319,1589
-0.0971,7560
-0.0779,6963
-0.508,10877
-0.0155,6225
0.151,1431
0.181,2705
-0.0492,7091
-0.484,10854
-0.214,7710
-0.0967,6945
-0.319,10109
0.255,1029
-0.101,7558
-0.0327,6792
0.455,308
-0.418,9855
0.164,2639
-0.389,10035
0.112,1890
-0.0303,6001
-0.0619,7529
0.0151,4816
-0.437,9885
-0.651,9068
0.175,607
-0.133,8911
-0.219,7547
-0.193,9602
0.444,933
0.0176,5185
-0.0148,6209
0.0372,3720
-0.074,9023
-0.304,10150
0.09,2324
0.0454,3831
-0.199,10754
0.0826,2863
-0.0931,7584
0.378,54
-0.347,10087
0.198,2773
-0.11,8184
-0.305,10791
-0.235,10178
0.309,850
-0.132,8129
-0.524,10992
-0.141,8296
0.158,1456
0.393,383
-0.153,7774
0.205,2493
-0.0154,5791
-0.0336,6430
0.345,1249
-0.416,10732
-0.259,10836
-0.307,10445
-0.062,7015
-0.0349,8311
0.0512,4284
0.122,3551
0.249,2663
0.262,738
0.157,1033
0.26,519
-0.321,10267
0.0414,4370
-0.247,7551
0.256,274
0.282,1005
-0.0182,5991
0.249,1404
-0.0734,6754
0.917,589
-0.255,9117
-0.0613,6045
0.203,1042
-0.252,9658
-0.0502,6525
-0.0567,6387
0.129,3322
-0.0481,6895
-0.00316,5306
-0.136,6427
0.119,2908
-0.151,8343
-0.275,8619
0.118,1947
0.063,3676
-0.255,9557
-0.00807,5278
-0.247,9275
-0.0422,5664
0.15,2090
0.264,520
0.168,1677
0.171,2337
-0.123,9372
0.112,4049
-0.0707,8688
-0.219,10519
-0.228,9404
0.0963,3641
-0.208,7745
-0.25,10309
-0.0551,6608
0.0251,4824
0.187,2360
-0.0339,6267
-0.0253,6744
0.0601,3706
0.0187,4767
0.372,67
0.218,527
0.143,1654
-0.124,7855
-0.17,9105
-0.101,9156
0.125,1985
0.114,2193
-0.186,9405
-0.0815,7790
0.149,2680
-0.0691,7358
-0.221,10840
-0.472,9437
-0.391,10822
0.0794,3176
0.87,34
0.143,2155
-0.0759,7716
0.088,3707
-0.0253,6237
0.496,2392
0.333,363
-0.0594,7046
-0.34,10864
-0.117,9520
-0.382,10493
0.195,947
-0.318,10553
-0.00275,5507
-0.108,6916
0.311,1046
-0.201,9632
-0.0587,7228
-0.0968,9134
-0.085,7895
0.279,924
-0.337,9999
0.00137,5370
0.0711,3105
0.0297,4448
0.0261,4532
0.0672,3436
-0.332,10245
0.0318,4511
-0.0264,6579
-0.047,7082
-0.395,10877
-0.243,10602
-0.192,7986
-0.277,9844
0.576,113
-0.0614,6938
-0.324,10605
-0.262,10023
-0.327,8784
0.00545,5059
0.148,1398
0.159,949
0.263,1430
0.13,2432
0.0875,3436
0.0385,4410
0.167,971
0.129,1314
0.227,1614
0.0987,3454
-0.495,10932
0.697,524
-0.0625,6620
0.0668,3429
-0.164,9824
-0.149,8186
-0.0197,6018
-0.132,7004
0.101,1084
0.0806,3540
0.245,1352
-0.541,10454
1,799
-0.164,8949
0.359,281
0.0575,3081
0.0825,3170
-0.233,10721
-0.544,9716
-0.0822,6454
0.134,1330
-0.228,10808
0.205,2167
-0.229,8931
-0.0554,6169
0.0144,4826
0.174,814
-0.171,9692
0.154,2909
-0.197,9625
0.257,699
0.12,3554
0.286,1116
0.545,201
-0.00453,5594
-0.00997,5442
0.0618,2506
-0.214,9138
0.0287,4289
0.0262,4757
-0.128,8200
-0.0116,5836
2.59,340
-0.0178,5362
0.0424,3654
0.277,321
-0.013,5704
-0.354,10605
0.219,1990
0.141,3372
-0.0308,6479
0.138,1610
-0.194,8367
-0.186,8909
0.042,4412
-0.0843,7351
-0.273,10470
-0.0373,6648
0.494,227
0.0843,3855
0.0532,4111
-0.0504,7271
-0.175,8634
0.423,320
0.342,760
0.252,929
-0.073,7284
-0.0878,9506
0.0307,4650
0.0112,5130
-0.0312,6260
-0.499,10891
-0.133,9355
-0.207,10626
-0.0142,6022
0.0923,2482
0.0838,4101
-0.113,8075
0.0161,4689
0.0323,4195
-0.0389,6081
-0.153,6901
0.176,2209
0.00497,5078
-0.0421,5295
0.0749,3276
-0.0118,5600
-0.0251,6046
-0.219,9854
0.0221,4755
0.215,1307
-0.18,8273
-0.105,9184
0.248,458
0.24,1183
0.189,2666
0.358,1570
0.187,1392
0.00936,4940
0.157,1665
-0.102,8046
0.164,1662
0.0633,3723
0.0432,3515
0.0203,4640
-0.219,10414
0.607,264
0.674,1460
0.767,501
0.336,706
0.0412,4187
-0.37,10660
-0.0091,5734
-0.0197,5578
-0.115,7623
-0.256,9657
-0.00179,5348
0.277,502
-0.242,8722
-0.0706,7856
0.524,585
0.0711,2971
-0.105,9523
-0.0565,7293
0.526,216
0.134,2149
-0.203,8374
-0.0466,7743
-0.129,8839
0.199,1488
-0.17,9348
-0.111,8558
0.478,493
-0.189,9482
0.388,1356
-0.0804,6954
0.328,923
-0.116,7339
2,137
0.343,405
-0.464,10659
0.109,2758
-0.426,11023
-0.562,11011
0.487,1005
0.0881,2890
0.0695,3887
0.017,4792
-0.474,10014
0.183,857
0.0844,3586
-0.104,9892
0.0688,3335
0.0555,4111
-0.132,8925
0.245,2067
0.193,1580
-0.0203,6627
0.361,528
-0.0174,5645
0.119,3298
-0.2,10140
-0.0521,7452
0.0995,2800
-0.000467,5228
0.0627,3221
0.14,1619
-0.00264,5532
0.12,1345
0.0216,4279
-0.00641,5596
0.584,455
-0.199,8567
0.0474,3507
0.227,921
0.0231,4599
-0.161,8911
-0.0742,6306
-0.567,10839
0.0167,5193
0.163,1101
-0.0717,7699
-0.226,10450
0.219,706
-0.69,10784
-0.0703,8076
-0.118,9198
-0.116,9073
-0.0334,5856
-0.104,8821
-0.192,7542
0.0779,3509
0.0813,1882
-0.0657,8029
-0.241,10156
0.00307,5556
0.121,2500
-0.0099,5278
0.152,2151
-0.0383,7074
0.0332,4556
0.121,2060
0.0942,3701
-0.0081,5321
0.178,1554
0.0343,3905
-0.0382,6605
0.0305,4504
0.0869,3549
-0.186,9437
-0.00789,5479
0.164,1064
-0.0475,6586
0.204,1240
0.29,816
-0.193,9040
0.164,1050
-0.089,7873
-0.257,10082
0.0767,3117
0.0423,4094
-0.261,9509
0.119,2887
0.101,2603
-0.0127,5776
0.214,3098
0.317,171
-0.361,10870
-0.00436,5603
0.512,2431
0.637,509
0.404,2234
-0.48,8015
-0.0455,6659
-0.0107,5349
0.00458,4739
0.158,2010
0.0361,4328
0.234,1992
-0.123,8256
0.0565,3110
0.0949,3630
0.149,2920
0.135,2294
-0.0674,6130
0.255,268
-0.0231,6005
-0.495,10986
-0.0734,7260
0.0945,3780
0.0742,2627
-0.0439,5827
0.315,131
0.082,4234
-0.0819,8378
0.0899,3350
0.0956,2720
0.107,1371
0.015,4789
-0.0162,5668
0.213,827
-0.292,8902
0.269,2598
-0.179,10579
0.0598,2909
0.308,1033
-0.0439,6563
0.215,2860
1.46,356
-0.0151,5889
0.131,2276
-0.133,8225
-0.101,9050
-0.0784,7181
-0.178,9280
-0.0775,7905
-0.124,10064
-0.113,9715
0.0352,4399
0.0775,3390
-0.0433,6921
0.0318,3267
0.139,2052
-0.21,8568
0.116,1588
-0.137,7656
0.104,2461
0.0297,4209
-0.226,10792
0.414,245
0.269,2014
-0.108,8707
-0.19,8317
-0.0531,7664
-0.265,10597
0.0157,3755
-0.0285,5539
-0.0378,10478
-0.0276,5602
0.524,5
0.0797,4245
-0.114,7420
0.0314,4186
-0.0249,5594
0.4,2183
-0.0503,6510
-0.31,9390
-0.0293,5775
0.000801,5193
0.448,670
0.0429,4489
0.0739,4009
-0.0403,6453
0.185,1996
-0.152,10102
-0.184,10021
0.0728,3644
-0.0599,5284
-0.126,7625
0.328,401
-0.0188,5776
-0.0549,7102
-0.277,10828
-0.51,10927
0.172,3009
0.178,2199
-0.0261,6868
-0.319,10549
-0.114,8464
-0.0325,6265
0.0805,3287
0.199,2837
-0.0755,8445
-0.0967,9518
-0.0918,7856
-0.192,9376
0.0552,3811
-0.415,10383
-0.146,7675
-0.302,10900
0.26,1035
-0.446,11006
-0.194,9556
-0.112,6821
-0.139,9685
0.127,1579
0.34,804
0.431,477
-0.086,6576
0.0177,4805
0.00344,5043
0.473,503
0.23,873
-0.106,8289
1.25,26
-0.233,10048
-0.0712,7675
0.268,636
0.136,2915
-0.0424,6586
0.215,1801
0.177,3016
-0.114,8332
0.0814,1479
-0.12,6952
-0.228,9533
-0.311,10217
-0.0879,6515
-0.0126,5813
0.152,1639
-0.227,10227
0.258,806
0.0645,3745
0.127,2497
0.0446,2942
0.0444,2746
-0.251,10756
0.154,1582
0.261,2853
0.158,1535
0.0338,3956
0.0868,3432
0.407,396
0.0676,4131
-0.398,9888
0.265,869
0.404,362
-0.0623,7412
-0.394,10957
-0.0259,6458
0.0479,4163
-0.124,8378
-0.0105,5422
-0.0174,5881
-0.121,7432
0.00436,5098
0.185,1447
-0.127,8547
0.0191,4322
0.14,846
1.07,43
0.0784,3999
0.197,3160
0.436,481
-0.312,9825
0.107,2172
-0.198,10431
0.0278,4621
0.068,3676
-0.209,9652
-0.0183,5729
0.384,550
-0.0165,5284
-0.307,8833
0.202,3416
-0.676,11032
0.147,1295
-0.0592,6577
-0.0131,5200
0.0124,4732
0.0404,4687
-0.627,10443
-0.061,7930
0.127,2265
0.233,648
0.377,1987
0.316,2613
0.0694,3840
-0.129,9099
0.0882,2698
-0.311,9531
-0.0736,6078
-0.167,10418
-0.0869,8443
-0.0501,6546
0.168,1367
-0.0864,9059
0.147,1774
-0.264,10353
0.312,563
0.0166,4711
-0.109,8304
-0.000122,4989
0.0588,3933
0.325,1495
-0.366,8542
0.193,1676
-0.196,9090
0.564,60
0.195,1219
0.131,3621
-0.0893,7629
0.115,1209
0.0112,4954
0.134,3327
0.0995,4241
0.548,903
-0.11,6833
-0.0129,5834
0.218,330
-0.0877,7563
-0.0189,5516
0.0544,3762
0.0238,5006
-0.24,10881
0.291,566
-0.136,7652
