coef,rank
0.156,3007
0.097,3219
-0.104,8875
0.863,52
-0.0739,4602
-0.351,8039
0.206,3108
0.158,1921
-0.182,10313
-0.0137,5310
0.0469,4147
0.486,292
-0.0796,7524
-0.0132,5875
0.146,1760
-0.0631,6888
1.16,83
-0.299,8223
0.0275,4272
-0.0306,7371
-0.0708,7305
0.257,342
-0.185,7650
0.174,2981
-0.0113,5701
0.357,459
-0.0805,6502
0.187,1869
0.129,1532
-0.228,6624
-0.238,9872
-0.024,6111
-0.133,8160
-0.403,9808
0.19,1719
-0.491,10905
0.152,1811
-0.0385,6977
0.11,2589
-0.23,8702
0.448,212
-0.301,10318
-0.019,5971
-0.0469,8050
-0.257,10113
0.311,284
-0.0986,7396
0.0414,4205
-0.104,9744
0.108,969
-0.188,8788
0.154,1918
-0.0624,6455
-0.046,6205
-0.165,8453
-0.00677,5509
-0.166,9469
-0.064,6044
0.293,2110
0.191,2150
0.197,227
-0.0723,8085
-0.156,8199
-0.101,7271
-0.123,9607
0.115,1082
0.0331,4425
-0.0444,7219
0.0732,3456
0.0742,2937
-0.337,10846
0.223,3019
0.231,545
-0.11,8468
-0.0128,5797
0.0787,3776
-0.153,7110
0.00239,5407
0.0214,4643
0.101,2401
-0.221,10467
0.00893,5072
0.167,3370
-0.0863,6414
0.0203,4737
-0.0979,8507
-0.0263,6190
-0.27,9586
0.105,2836
0.0991,3527
0.0538,3414
0.176,310
-0.245,9896
0.171,2053
-0.00656,5177
-0.134,7587
0.0266,4687
-0.0498,7096
-0.306,9443
-0.11,9667
-0.0664,6903
0.476,135
-0.0747,7883
-0.133,9274
-0.195,10078
0.5,128
-0.225,8372
-0.0976,7062
0.345,665
0.132,2456
-0.207,9273
-0.07,7071
-0.155,6202
0.0591,4208
0.0698,3095
-0.0528,7888
0.168,2619
-0.0937,8106
0.114,1630
0.0716,3866
0.00221,5331
0.0472,3424
-0.0213,6229
-0.0801,8344
-0.046,5995
1.39,28
0.333,31
0.151,2261
0.175,2436
-0.351,10841
0.449,385
0.731,49
-0.217,10682
-0.106,8506
-0.194,8420
-0.162,9985
-0.13,5017
-0.342,9226
-0.045,6924
0.0652,3376
-0.219,8900
-0.0547,7697
-0.0946,6979
0.011,5226
-0.332,10829
-0.134,9171
-0.244,9112
-0.146,8630
-0.154,10037
-0.274,9547
0.139,1636
-0.0785,8367
-0.752,8307
-0.0924,7174
0.522,918
0.0473,4185
-0.162,10002
0.0121,5123
0.249,1888
0.106,2901
-0.137,8913
-0.171,9871
-0.0748,7211
-0.0157,6216
0.0152,4771
-0.19,9725
0.0837,2666
-0.0664,7906
-0.178,9233
0.0485,3719
-0.138,8508
-0.0168,5234
0.029,4175
-0.0282,6265
0.0204,4117
0.0939,2486
0.0866,2541
0.223,1677
-0.123,6591
0.0162,4509
-0.223,10540
-0.167,9081
-0.108,8075
-0.149,9146
-0.038,6629
-0.0498,8163
-0.0776,7994
-0.178,9920
0.18,2174
0.0983,2574
-0.288,7898
0.122,1977
0.0592,3519
0.112,915
-0.0288,6213
0.192,1747
-0.0797,6092
0.0328,4361
-0.118,7687
0.258,1118
-0.00377,5487
0.138,2725
-0.0236,5669
0.00368,5253
0.0539,3102
-0.122,8760
0.112,3010
-0.268,8336
-0.0308,6133
0.379,461
-0.0973,8389
-0.0332,6752
-0.182,9857
0.218,1720
0.381,664
-0.253,9830
-0.0929,9962
0.166,1164
0.111,2755
-0.215,9697
-0.309,9812
0.34,1164
-0.0892,7439
-0.0958,8878
-0.0516,7718
0.711,42
1.06,14
-0.113,8366
0.0827,2750
-0.0297,6732
-0.0381,7070
-0.192,9399
-0.13,8612
-0.21,9625
-0.409,10654
0.0684,2076
0.351,367
-0.182,8962
0.727,203
0.17,1826
-0.106,7166
0.0132,3650
0.109,3841
0.0434,4109
0.252,797
-0.224,9828
-0.0406,6845
0.343,378
-0.362,10783
-0.000493,5327
0.118,4624
-0.287,9549
-0.00935,5668
-0.131,10011
-0.511,10777
0.0328,4810
-0.671,10959
-0.233,7203
0.135,2030
-0.0382,6403
0.203,1005
0.159,1689
-0.0493,6708
0.169,2095
