coef,rank
-0.0874,6546
0.0178,4899
-0.0944,8608
0.393,1020
0.472,2253
-0.279,7219
0.464,1489
-0.0609,7066
-0.0287,6160
0.421,197
0.385,341
0.237,1677
-0.0871,7721
-0.151,10204
-0.101,8418
-0.343,10776
-0.67,10823
-0.335,8617
0.221,164
0.0262,4209
0.193,1107
0.0312,4256
-0.392,9916
0.00343,5235
-0.0309,6266
-0.2,9285
-0.0843,6555
-0.303,10250
0.0456,3861
1.12,399
-0.294,10400
0.244,454
0.184,2105
0.434,1147
-0.168,8665
-0.0344,5925
-0.144,9274
0.0714,2527
-0.221,10186
-0.0391,5660
0.198,1742
0.15,2414
-0.0846,8202
0.0143,4644
0.0254,4696
0.00256,5090
0.0417,4527
0.126,3000
-0.0801,9036
-0.014,6188
-0.0952,7128
0.0462,4328
0.327,833
0.238,1487
0.135,2457
0.111,1511
-0.143,8964
-0.156,7540
0.193,2937
-0.215,8797
0.119,1152
0.173,1063
0.059,4230
-0.039,5968
0.0708,2855
-0.145,10472
-0.218,10091
0.0917,2341
0.011,5149
0.0931,2405
-0.141,8667
-0.329,8446
-0.133,9060
-0.1,8213
-0.134,8693
-0.183,8561
0.365,1533
0.0649,3382
-0.131,8957
-0.141,9620
0.0948,3089
-0.147,8966
-0.139,6979
-0.242,8740
0.126,1479
-0.0885,8219
0.063,3856
-0.00598,5429
0.0947,3027
0.069,3958
0.0551,3361
0.00973,4948
-0.287,10312
0.0445,4239
0.642,154
0.031,4556
-0.0482,6166
0.0149,4756
0.478,699
-0.0183,6417
0.0674,3577
-0.265,10225
0.0842,2845
-0.124,9048
-0.0276,6045
-0.00747,5478
-0.384,10046
-0.182,8458
-0.14,8118
0.181,1705
-0.0137,5455
-0.269,10534
-0.777,10769
-0.307,10017
-0.00792,5852
-0.0132,6161
0.0593,4269
-0.121,8753
-0.276,10992
0.065,3973
-0.0424,6420
-0.0749,8312
0.0632,3145
0.00478,5319
-0.294,9623
0.08,4091
0.123,1455
-0.346,10701
-0.0486,6448
-0.00172,5134
-0.291,10255
0.131,2866
0.0788,2804
0.228,784
0.041,4443
-0.0881,8320
-0.913,9838
-0.242,8160
0.0368,3917
-0.148,9476
-0.242,9169
-0.0934,9017
-0.293,9814
0.123,2774
0.655,9
0.0133,5218
