coef,rank
0.0124,4976
0.229,1253
0.109,2102
-0.279,9107
-0.935,9773
-0.108,5541
-0.371,9001
-0.213,10083
-0.0951,8387
0.0564,3815
-0.1,7398
-0.197,8788
-0.122,8603
-0.0845,8558
0.0256,4742
0.0684,3945
0.17,3294
-0.0357,5144
-0.161,10625
0.15,327
-0.225,10363
-0.157,9856
-0.225,8134
0.175,2976
0.113,2561
-0.0895,7145
0.188,2322
0.229,1386
0.215,430
-1.02,10948
0.0574,4072
0.0165,4819
-0.0343,6094
0.469,995
0.0908,3268
0.0424,4513
0.0882,3092
-0.0066,5563
-0.127,8584
-0.01,5183
-0.0202,5787
0.279,1015
0.0372,4058
-0.0513,8248
-0.165,8825
0.289,371
-0.228,9483
0.244,1800
-0.105,9788
-0.0285,6973
0.162,2611
0.251,684
0.173,2304
-0.0744,6832
-0.439,10935
-0.0253,6292
-0.0362,6187
0.0175,4694
-0.0479,5720
-0.514,10951
-0.0645,8190
0.213,585
-0.0324,5875
-0.236,9620
-0.154,10199
0.131,789
0.0928,3023
0.0135,4976
0.0263,4689
-0.0567,7311
0.116,2636
0.491,1466
0.00726,4876
0.0285,4459
0.287,703
-0.172,8379
-0.57,10779
0.0142,5009
-0.131,8954
-0.151,9816
-0.0696,7686
-0.139,8793
-0.173,7409
0.26,1899
-0.232,10911
-0.0926,8354
0.298,494
0.0571,4379
0.207,1354
-0.32,9759
-0.0623,7938
-0.0359,7211
-0.036,6058
-0.0865,7154
-0.487,10825
0.154,2755
-0.306,10223
-0.19,10411
0.113,3535
-0.0137,6232
0.0974,2955
0.376,374
-0.0243,6273
-0.129,9164
0.05,3765
-0.106,7674
-0.225,8364
-0.0228,5668
0.176,2151
-0.235,10002
0.125,2712
0.113,2579
-0.0619,5347
-0.221,9017
0.192,660
0.178,414
0.545,199
-0.247,10587
0.161,812
0.0867,3598
0.0758,3607
0.0092,4880
0.0218,4576
0.0593,3341
-0.117,7166
0.037,4548
-0.253,10944
-0.0494,6414
0.273,1375
0.143,2090
-0.0672,6673
-0.103,7400
0.0739,2938
0.034,4466
0.147,2902
0.195,712
-0.625,8386
-0.256,8313
-0.0421,6809
0.0778,3029
-0.178,8283
-0.113,9553
-0.141,7755
-0.208,9770
-0.0308,6053
0.133,2140
0.357,802
-0.223,9851
-0.0766,8219
-0.119,7300
-0.331,10983
0.0394,3973
-0.521,7166
-0.144,8313
-0.106,6388
-0.211,9577
-0.0621,7526
0.0309,4660
0.38,913
0.323,458
-0.268,10597
-0.0723,7624
-0.00976,5640
-0.00449,5587
-0.168,9167
-0.0203,6148
0.0629,3246
-0.0839,8444
0.119,3035
0.0609,3319
0.142,2445
-0.57,10856
-0.0781,7970
-0.0363,6580
0.114,585
-0.242,10577
0.0364,4026
-0.0485,6396
0.625,966
-0.0106,5818
-0.144,9512
0.224,1455
0.071,3509
0.00245,5270
-0.00194,5164
0.0351,3131
-0.0983,8577
-0.0354,6477
-0.191,8786
-0.112,8774
-0.286,7878
-0.0307,6365
0.31,156
-0.0574,8661
-0.142,9464
-0.227,9696
-0.088,6225
-0.0345,6516
-0.383,10792
0.0808,3578
0.155,930
0.262,1298
-0.262,10637
0.444,903
0.138,1028
0.338,200
0.26,1037
0.177,3126
-0.179,9455
0.332,685
-0.00853,5552
-0.0795,8534
-0.0927,7927
0.143,2740
0.0216,4839
0.00168,4976
-0.128,10610
0.0907,2710
0.247,931
0.108,3122
0.225,1928
-0.237,8810
0.13,2700
-0.098,8947
-0.0766,8708
0.192,2184
-0.158,7744
-0.285,10704
-0.141,9737
0.172,607
-0.032,6844
-0.178,9194
-0.0387,6508
0.0339,4635
-0.0872,6783
0.0393,3360
-0.224,9879
-0.205,9336
-0.245,8785
-0.0787,6752
0.301,1049
-0.714,9676
-0.641,10934
-0.0293,6231
0.249,819
-0.0333,6222
-0.0997,8719
-0.171,9377
0.0625,4060
-0.26,10569
1.55,478
0.428,771
-0.0705,7994
0.0711,2586
-0.2,8167
0.0794,4166
-0.062,5892
0.544,1170
-0.109,8391
-0.00266,5306
0.174,1360
0.0375,4356
-0.171,9191
0.0225,4854
-0.209,10262
-0.0814,7229
-0.122,6857
0.071,3650
-0.0263,6208
0.0607,4088
-0.0377,6535
-0.0235,6606
0.378,103
0.0702,3536
0.00562,5292
0.00161,5179
0.33,358
0.753,13
-0.132,8417
0.0645,3811
0.154,2762
0.0703,3454
-0.0614,7029
0.0848,3933
-0.0754,7024
0.169,2521
0.453,321
0.222,1187
0.14,1006
-0.206,10040
-0.118,7566
0.155,2820
-0.216,9216
0.295,1055
0.0635,3036
0.0526,3514
-0.0367,5717
-0.0615,6860
-0.158,7770
-0.0961,6500
-0.224,10207
-0.111,8664
-0.167,9495
-0.139,8058
0.0816,3433
0.236,2131
-0.0404,7070
0.0783,3545
-0.149,9443
-0.325,9632
-0.152,7509
0.0108,4652
-0.0917,8733
-0.21,10327
0.0964,3020
-0.0558,5881
-0.39,10514
0.195,1952
0.0539,4231
0.84,63
-0.185,8382
-0.0815,7577
0.148,2683
-0.0899,6119
-0.0286,6414
-0.0867,7776
-0.0121,5688
-0.249,10365
0.0199,4352
-0.398,10158
-0.0732,8282
0.29,231
0.508,534
-0.553,10986
0.0451,4021
-0.185,7444
0.0772,2811
0.0105,4975
0.138,1567
0.0279,4434
0.426,63
-0.0346,5808
0.0992,2123
-0.191,7954
-0.292,9255
-0.135,10301
0.0387,3613
-0.302,10366
-0.00792,5478
-0.0673,7124
1.82,330
-0.202,6815
0.969,1536
0.0385,4090
0.157,3316
-0.346,7933
0.118,3282
-0.218,9489
-0.102,7995
-0.294,10608
0.0138,4711
-0.0391,7247
-0.848,10333
-0.213,9223
-0.283,10157
0.274,1403
-0.152,8979
-0.0616,8068
0.351,1480
0.135,2627
-0.0599,7221
-0.0218,5748
0.191,2266
0.0182,4660
0.102,3136
0.15,2736
0.1,3488
-0.0336,5484
-0.154,8703
-0.0856,8286
-0.209,8348
0.091,1571
-0.0367,5910
0.283,2400
-0.0968,8266
-0.00217,5393
0.173,1374
0.0276,4596
-0.278,7821
-0.137,8001
0.0158,4627
-0.0189,5763
-0.0908,7750
-0.334,9640
-0.0188,5815
0.354,1425
0.0343,4474
-0.106,8918
0.537,782
0.271,458
-0.123,7804
0.08,3297
0.173,1483
-0.122,8843
-0.117,8234
-0.309,10233
0.496,205
0.215,2985
0.0819,357
0.0508,3636
0.0272,4647
0.0905,4038
-0.271,10053
-0.0184,5554
0.0734,2898
-0.043,8088
-0.0173,7728
-0.161,8936
0.436,1310
0.0275,4476
-0.0771,6047
0.063,2731
-0.125,7635
0.208,1700
0.119,2913
-0.261,8111
-0.0594,6671
-0.145,9898
-0.0609,6621
-0.0252,5735
0.244,1422
0.202,1558
0.191,450
0.0504,3858
0.202,1670
0.143,2220
-0.108,7431
0.00925,5144
0.17,2571
-0.0614,7638
0.0157,4757
-0.585,9072
-0.277,8916
-0.0198,5577
0.302,1938
-0.0912,8499
-0.345,10741
0.0217,4980
-0.202,7374
-0.00454,5155
-0.111,6636
0.124,2191
0.109,3619
-0.1,6986
-0.012,5606
-0.289,9333
-0.0089,5611
-0.153,10496
-0.0545,8033
0.21,1739
-0.0094,5487
-0.119,8465
-0.093,8063
0.0287,4254
0.204,2327
-0.314,10306
0.215,2102
-0.268,10400
0.438,512
0.0716,3398
0.2,915
-0.386,10734
0.0706,3628
0.0487,3721
0.188,1295
0.0791,3118
0.044,4400
-0.142,9019
0.626,394
0.0708,3101
0.259,769
0.196,530
0.0253,4531
-0.0616,7583
0.156,2448
-0.393,10500
0.013,4911
0.0106,5056
-0.00618,5625
0.0576,3539
0.123,2030
0.022,4850
0.512,21
0.0245,3250
-0.0632,7278
0.0888,2476
-0.0748,6037
0.518,823
0.25,459
-0.121,8918
0.0854,2580
-0.148,8670
0.143,2292
-0.0758,5737
0.123,2361
-0.0213,6304
0.322,41
0.595,534
-0.127,8420
0.0472,4378
-0.0819,6913
-0.0738,6213
0.113,1674
-0.603,10564
0.0888,4094
-0.0298,5603
0.132,3599
-0.136,10005
0.00412,5275
0.0894,2659
0.0162,4566
-0.00897,5295
-0.0863,7221
-0.3,10999
-0.0835,7435
-0.749,10840
-0.0836,6545
0.121,3700
-0.25,6945
