coef,rank
-0.154,7565
0.00135,5260
-0.0151,6016
0.315,1491
-1.17,10439
0.109,3994
-0.458,9747
0.094,3055
-0.0205,5853
-0.328,10656
-0.0849,7062
-0.121,7491
0.181,1267
0.0978,1959
0.0184,4961
0.0392,4559
0.24,2656
-0.153,6469
-0.0724,8598
-0.0526,8431
-0.139,8993
0.25,392
-0.466,10369
0.101,3838
0.12,2424
-0.134,8070
0.0168,4788
0.634,25
-0.0377,7088
-0.577,9642
0.0855,3473
-0.0545,7089
-0.115,7794
-0.36,9441
0.0854,3367
-0.216,8894
0.0171,5028
0.0722,2499
-0.287,10748
0.266,1779
-0.108,7624
0.184,1951
-0.217,10662
0.0852,1450
-0.182,9112
-0.153,9105
-0.185,8833
0.29,1410
0.0235,4023
-0.0702,8958
-0.0195,5651
0.0847,3347
-0.119,7560
0.303,953
0.23,1330
0.047,3442
-0.195,9941
0.288,1507
-0.00312,5137
-0.157,7923
-0.0173,6137
-0.00938,5938
0.12,3191
0.479,186
-0.104,9127
-0.148,10506
0.138,2142
-0.121,9566
-0.241,10651
-0.0715,7794
0.0701,3530
0.153,3574
0.0267,4309
-0.265,10757
-0.173,9404
-0.225,9176
-0.307,9012
0.0352,4302
-0.0707,7394
-0.12,9134
0.219,932
-0.00565,5433
0.0924,4164
-0.487,10708
-0.224,10880
-0.141,9558
0.123,2548
-0.146,7851
-0.225,9762
0.324,1253
-0.04,7102
0.0764,2099
-0.214,9495
0.197,1687
-0.169,7901
-0.329,10248
-0.265,9809
0.0252,4371
0.407,1015
-0.0474,7705
0.0852,3201
-0.0229,5839
0.0251,4593
-0.0501,6977
-0.133,8960
0.0784,3684
-0.257,8773
0.169,2537
-0.136,8043
-0.0375,6151
0.207,1620
0.0556,3851
0.469,1768
0.0498,4364
-0.0587,7684
0.0202,4581
0.0371,4674
0.242,746
-0.0455,7169
-0.382,10807
-0.209,9893
-0.0845,8640
0.119,1684
-0.0225,6325
0.713,97
0.709,541
-0.0569,7476
0.377,345
-0.318,10385
-0.0179,5527
-0.0667,6659
-0.197,9110
-0.055,7297
-0.0493,7000
-0.0622,6226
-0.146,9731
-0.455,7263
-0.204,7691
-0.0106,5581
0.218,662
-0.273,9522
0.0784,2671
0.227,1918
-0.0046,5606
-0.0448,6407
0.0468,4259
0.0952,3487
-0.0361,6163
-0.0271,6579
0.0318,4607
0.0836,2879
0.0409,3930
-1.77,10754
0.0849,3314
0.759,327
0.283,812
0.118,2038
-0.0832,7664
-0.295,9725
-0.0205,5884
-0.00628,5579
-0.00261,5466
0.483,100
0.123,751
0.0708,3509
0.149,2345
-0.114,9092
0.073,2737
0.0196,5059
0.0472,3766
0.4,252
-0.152,7245
0.0458,3665
0.0581,3080
-0.00961,5928
-0.0255,5938
0.16,1094
0.342,705
0.246,2965
-0.0908,9232
0.233,618
-0.299,10597
-0.0628,6969
-0.0151,5763
0.118,1390
-0.00677,5631
-0.0705,7765
0.423,51
0.0238,4652
0.0581,3607
-0.476,9717
0.0221,4598
0.167,1134
-0.0825,9579
0.109,2174
0.327,611
-0.251,8577
-0.0498,7005
-0.325,10507
0.279,946
-0.0289,6543
0.0206,4747
-0.197,9936
0.118,3664
-0.00933,5619
0.0161,4951
0.373,344
0.582,741
0.027,4735
0.026,4857
0.156,1335
-0.118,9654
0.00791,5040
-0.0408,6098
0.0219,4835
0.153,2260
-0.0811,9596
-0.0302,6537
0.0571,3904
0.209,1701
-0.12,7089
0.33,1228
0.0193,4946
-0.0382,6790
0.0629,2575
-0.234,9338
-0.184,8153
-0.0982,8033
-0.112,9058
0.0618,3094
-0.0692,8310
0.0456,4265
0.428,181
-0.357,10804
-0.0628,6318
-0.0484,8058
0.0868,3188
-0.0109,5468
0.0367,4699
-0.0852,6906
0.0981,3352
-0.464,7623
0.364,1701
-0.0248,6104
-0.000866,5110
0.195,1871
-0.123,9306
0.0536,4159
-0.298,10422
0.126,2314
-0.427,7877
-0.122,7250
0.154,910
-0.0527,7703
0.376,1320
-0.172,7502
-0.344,9557
0.0941,3726
0.0481,4053
0.132,1816
-0.176,9866
0.0166,4928
-0.0924,7699
0.199,1679
-0.00656,5587
-0.145,8613
-0.409,10275
0.19,1402
0.002,5479
-0.0745,6400
0.027,4923
0.0939,1484
-0.134,8800
0.247,993
-0.0487,6403
-0.229,10229
0.167,1664
0.0575,3988
-0.0789,7235
0.00183,5215
-0.0205,5844
0.119,2300
-0.0349,6264
0.179,2389
-0.416,10954
-0.0916,7058
-0.261,9711
-0.294,10666
0.136,1078
0.0787,3395
-0.0377,5868
-0.0119,5463
-0.373,10646
-0.0293,5852
-0.00803,5933
0.0614,3257
-0.231,8564
-0.191,9702
0.338,1177
-0.293,9380
-0.372,10978
0.266,320
-0.00882,5552
-0.212,9380
0.105,2951
-0.0848,6166
-0.00174,5301
-0.146,8074
0.0305,4449
-0.247,8743
-0.276,9358
-0.147,9513
0.0206,4407
0.066,3448
0.0999,2946
0.154,3369
0.0408,4712
0.0601,4204
-0.179,8239
-0.351,10197
-0.208,8745
0.0547,4116
-0.334,10215
0.0518,4604
0.0214,4460
0.182,1467
-0.0923,8198
-0.167,9178
-0.0874,8752
-0.268,8913
0.014,4626
-0.208,10471
-0.105,7133
0.209,2036
0.181,1143
0.0624,4260
-0.0925,8305
-0.115,9352
0.201,701
0.0128,4922
-0.134,8950
0.0692,3863
-0.0845,8378
0.465,843
-0.294,9280
0.109,1251
-0.0722,8422
-0.336,10615
-0.158,9764
-0.2,9904
-0.274,6355
0.534,1273
-0.911,9569
-0.174,5619
0.38,1492
0.74,1117
-0.261,9750
-0.303,10418
-0.225,10178
0.118,2506
0.0615,2636
0.0249,3843
-0.217,6007
0.195,2018
-0.175,8637
0.45,433
-0.0419,6580
-0.0783,8670
0.0306,4221
0.349,527
-0.134,9001
-0.206,9553
-0.418,10668
0.00774,5023
-0.183,9451
0.0882,3614
0.00517,4976
0.145,3642
-0.361,10821
0.111,1973
-0.315,9650
0.208,105
-0.21,9218
-0.218,7618
0.000289,5345
0.0585,3650
0.208,948
-0.0361,6033
-0.0178,4954
0.0289,4558
-0.218,10620
0.188,1105
0.347,328
0.0959,3843
-0.137,8476
0.0832,3877
-0.0869,7398
0.147,1279
0.277,2205
-0.129,8907
-0.326,10489
-0.0534,6685
0.219,927
0.0293,4365
-0.287,10496
-0.117,7490
-0.113,7556
-0.361,8928
-0.0544,9878
0.0589,3394
-0.0263,5835
-0.195,8678
0.0376,4523
-0.0612,6413
-0.00301,5623
0.051,2265
-0.0395,9804
0.064,3666
0.485,1057
0.0716,3423
-0.177,7423
0.218,171
-0.163,8309
0.0498,4151
0.0935,3293
-0.0819,5906
0.216,1780
0.0629,3263
0.218,1074
-0.247,9352
-0.233,9379
0.0747,3780
-0.00796,5373
-0.3,10991
-0.0781,7268
0.286,641
0.0853,3737
-0.0592,7272
-0.15,7755
0.0859,2874
-0.0951,9272
0.556,1932
0.615,543
0.334,856
-0.284,8853
0.174,883
0.607,66
-0.303,10094
0.163,3274
0.0156,4763
-0.297,9123
0.0933,2844
-0.319,9377
-0.204,8510
-0.163,9376
0.378,1131
-0.277,10547
0.0283,4097
0.106,1428
0.207,1768
0.0278,4701
0.0571,4044
-0.12,8749
0.136,1233
-0.0741,6450
-0.0826,6926
0.365,921
0.0101,5464
-0.17,8316
0.00467,5133
-0.15,9615
0.317,949
-0.0865,7003
-0.124,9165
-0.0976,7875
-0.0784,7235
-0.158,9189
-0.0048,5212
0.36,1522
-0.175,9646
-0.347,10925
-0.121,9315
-0.231,8511
0.115,1987
0.288,971
-0.182,8205
0.103,2611
-0.0784,7920
-0.0114,5834
-0.088,7865
-0.11,8742
0.133,2328
0.0315,4494
-0.0362,8935
-0.0265,6290
-0.089,8489
-0.0667,5929
0.174,3046
-0.00642,5769
0.0181,4689
0.271,173
0.235,1061
-0.162,8609
0.267,2801
-0.156,8975
-0.079,8912
-0.237,10864
-0.135,6843
0.0123,5214
0.0412,4438
-0.206,9097
-0.0938,6572
0.0348,4099
-0.18,6980
-0.469,10071
-0.255,8504
0.394,1454
0.167,598
-0.0275,6444
0.0559,3603
-0.101,8495
0.192,2521
-0.0012,5192
0.0601,3103
-0.037,6298
-0.165,6432
-0.331,9968
0.304,1677
0.0972,4102
-0.187,10443
-0.0937,8109
-0.109,7518
-0.102,7987
0.201,1173
0.012,5132
-0.0722,7657
-0.0691,8660
-0.119,5244
-0.16,6051
-0.338,7909
-0.0344,5257
0.0824,2891
0.0179,4988
-0.133,9015
-0.104,7489
-0.205,9268
-0.0256,5970
-0.192,9977
0.0314,4534
0.223,1099
0.13,2283
-0.0563,5726
-0.44,8947
-0.25,10602
0.195,1858
0.0339,4285
0.118,2488
0.292,701
0.16,2096
0.465,41
-0.0321,5765
-0.0311,6171
0.0695,3186
0.369,548
-0.124,8195
0.311,167
-0.0637,7460
0.126,2421
-0.21,10228
-0.36,10327
0.0538,3364
-0.121,8971
-0.292,9930
-0.234,10078
0.0654,3879
0.139,2399
0.31,793
0.0543,3759
0.0191,4427
0.0691,4226
-0.151,9025
0.176,2064
0.272,3009
0.184,1124
0.00126,5232
0.424,846
0.158,1133
-0.116,9134
0.0831,3511
-0.144,9525
-0.0434,6748
0.0447,4324
0.0658,3059
0.235,2275
-0.222,8462
-0.0128,6086
0.0738,3740
-0.183,8464
0.0293,4494
-0.0981,7353
0.0897,3090
-0.162,9423
0.121,2234
-0.14,7992
-0.134,7377
-0.0433,6606
0.106,3663
-0.0385,6317
-0.0929,8753
-0.274,8899
0.0457,3388
-0.0103,5224
-0.0129,4683
0.0509,4003
-0.0934,8315
0.0839,3572
-0.0856,7525
-0.0214,5256
0.0479,4328
-0.0458,6605
-0.178,10345
0.0353,3725
-0.0612,7362
0.168,1813
0.107,2904
-0.104,8323
-0.0912,6849
0.126,1336
0.0668,4176
-0.656,9962
0.0489,3995
0.0274,4092
-0.0359,7163
-0.139,9744
-0.177,8653
0.174,2119
0.0412,3823
-0.0406,7661
0.0195,4589
0.0221,4643
0.17,2642
0.0648,3920
0.274,1008
0.115,2820
0.0696,4045
