coef,rank
-0.196,8194
0.00501,5187
-0.096,8648
-0.223,8456
1.48,818
0.0609,4296
-0.0936,6036
0.075,3466
-0.136,9464
0.0193,4567
-0.253,10008
0.45,394
0.0334,4237
0.0752,2575
0.196,1069
0.0339,4668
0.335,1985
-0.39,9180
-0.0125,6070
0.0536,2822
-0.0992,8105
-0.015,5759
0.74,177
1.12,15
0.157,1764
-0.268,10167
0.0139,4835
-0.0836,6780
0.0875,2509
0.251,2966
-0.131,8240
0.237,494
0.364,581
-0.0971,6239
0.0215,4666
0.275,1525
0.0322,4574
-0.13,9979
-0.214,10103
-0.0273,5440
-0.0422,6247
0.194,1834
0.0883,2583
-0.00454,5743
-0.0466,6354
-0.0733,7213
0.237,1553
-0.0609,5850
-0.108,9862
0.0715,1996
-0.0583,6400
0.0247,4931
0.0923,3506
0.232,1545
-0.175,8647
0.0986,1812
-0.0223,5765
-0.0468,5770
-0.715,10992
-0.0911,6716
-0.152,10483
0.0991,2526
-0.165,8352
0.211,1683
-0.065,7891
0.0397,3449
-0.251,10439
-0.0656,7981
0.175,1387
0.176,912
-0.213,9876
-0.771,10838
-0.128,8944
0.292,257
0.0311,4700
0.283,1252
-0.185,7520
-0.0683,7782
0.101,2576
-0.0936,8432
-0.121,9010
-0.256,10472
-0.79,10968
-0.385,10169
0.0803,2649
-0.119,9063
-0.167,9515
-0.105,7138
-0.113,7712
0.141,3017
0.151,991
-0.118,10065
-0.138,8199
0.133,2610
0.00824,4925
0.275,1447
-0.182,8706
-0.122,9236
-0.154,7404
0.0816,2464
0.114,2649
0.091,3376
0.184,980
0.111,2140
-0.102,8191
0.0517,4223
-0.261,8826
0.00253,5171
-0.0111,5481
-0.29,10547
-0.257,9941
0.229,936
-0.444,9103
-0.373,10524
-0.00727,5831
0.0817,2240
-0.288,9916
-0.0839,7862
-0.199,10710
-0.304,10386
0.0185,4932
0.0228,4339
0.00974,5029
0.207,436
-0.109,7039
0.127,3624
-0.0518,7289
-0.0904,7359
0.2,2108
0.125,2409
0.192,2080
0.26,1412
-0.107,8939
0.242,631
0.303,1320
-0.0643,7578
0.403,2643
-0.242,8161
0.133,1302
0.00386,5289
-0.77,11031
-0.0991,9185
0.323,1103
-0.0827,7431
-0.144,8866
0.132,2157
0.291,1231
0.167,2043
0.145,1494
0.13,3096
0.37,58
-0.11,9261
-0.437,6730
0.0289,4437
0.0384,4641
-0.296,10486
-0.00533,5609
-0.17,9446
-0.202,8512
0.305,540
-0.097,8024
0.0763,3145
-0.00555,5545
-0.00532,5633
-0.225,10048
-0.226,10138
0.00358,5261
-0.17,10420
0.0979,3416
0.137,1512
0.32,578
0.0115,4834
-0.0791,7993
0.0635,2891
-0.0323,7284
0.0806,2823
0.0708,2988
0.0618,4106
-0.303,8539
