coef,rank
-0.547,10867
0.256,1006
-0.154,9962
0.0251,4698
0.141,3397
-0.372,8267
0.0343,4617
-0.0905,7779
-0.141,9583
0.143,2222
-0.387,10882
-0.034,5829
-0.116,8444
-0.041,6978
-0.0713,7639
-0.0913,7483
-0.253,7963
0.812,405
0.0145,4830
0.00906,5128
0.122,2213
0.189,866
-0.169,7426
-0.218,8304
0.228,889
-0.315,10547
0.644,147
-0.239,9565
0.00556,5398
-0.319,7540
-0.056,6598
0.0217,4653
0.285,1059
0.247,2345
-0.0829,6930
-0.0503,6223
0.429,57
0.13,1066
-0.0138,5659
0.267,1765
-0.2,9299
0.00946,4946
0.0927,2473
0.0184,4400
0.0408,4362
-0.0806,7404
0.236,1566
-0.244,8768
-0.133,10408
-0.0699,8949
-0.317,10296
0.00691,5430
0.351,697
0.0292,4667
0.325,638
0.0359,3805
0.118,2171
0.028,4519
0.139,3487
-0.0622,6166
0.0319,3863
-0.0769,8228
-0.0501,6239
-0.116,7587
-0.0224,6287
0.189,243
0.332,318
-0.0087,5849
0.0744,3417
-0.258,10886
-0.106,7901
-0.287,8034
-0.136,9149
-0.185,9983
0.0908,3323
0.274,1340
-0.124,6725
0.0373,4241
0.101,2580
0.0106,5110
0.095,3085
-0.19,9728
0.408,1483
0.176,2815
-0.135,9951
-0.0187,5931
-0.0253,6159
0.231,2003
0.0544,3817
-0.106,6814
-0.0788,8507
0.0277,4040
-0.197,9229
0.0545,4020
-0.3,9663
-0.192,8523
-0.359,10607
-0.0197,6023
0.202,2530
0.149,902
0.00102,5229
-0.261,10165
-0.052,7185
0.0666,3248
0.678,0
0.19,1869
-0.242,8581
0.213,2028
-0.0881,7135
-0.0852,7260
-0.176,8774
0.133,2196
-0.116,5852
-0.0403,5985
-0.0451,7219
-0.055,7965
-0.0328,5999
-0.0231,6192
-0.0894,8735
-0.0248,5887
0.234,1065
0.0825,2298
-0.0166,6047
-0.0836,8459
-0.0798,6568
-0.26,8059
-0.162,10269
-0.21,9504
0.0276,4897
-0.0736,6905
0.185,2175
0.159,2472
-0.118,9179
-0.0447,6873
0.222,2017
-0.0823,8138
0.277,3040
0.35,1811
-0.0777,8019
-0.022,6124
-0.559,10942
0.0495,3646
-0.0597,6327
-0.0971,7745
0.0734,3477
-0.0501,7052
-0.136,7461
-0.0153,5661
0.15,1421
-0.17,8155
-0.0624,7334
0.148,1102
-0.00488,4481
-0.083,6948
-0.204,7613
0.212,1436
-0.0784,8040
-0.0061,5565
0.426,711
0.154,2062
0.0108,5085
-0.0968,8254
0.00949,5173
-0.00897,5818
0.0247,4550
0.21,1496
-0.0317,6517
-0.111,9277
-0.115,8071
0.153,1202
0.189,1761
-0.0917,6356
-0.142,9660
0.138,1221
-0.0579,8693
-0.0585,6953
0.0438,3810
-0.148,8356
0.301,2550
-0.155,10571
-0.00817,5795
0.183,1919
-0.087,7582
0.109,2782
0.0913,2001
-0.0331,7228
-0.0243,6149
-0.134,9113
-0.081,6774
-0.196,10293
0.0225,4624
0.155,1338
-0.154,9834
0.164,251
-0.079,7783
0.0918,3279
0.0377,4308
-0.113,8695
0.16,2483
-0.252,10049
-0.0602,7750
-0.0593,6357
-0.191,9841
0.167,3106
0.0254,4193
-0.0326,6375
0.0871,3499
0.823,262
0.166,1944
-0.165,8841
-0.0218,5984
0.164,630
0.163,1596
-0.216,9271
-0.274,9911
-0.167,8548
-0.0182,6611
0.211,671
-0.049,6559
-0.0549,6701
0.0412,4314
-0.254,9032
0.0563,4104
0.209,378
-0.111,9732
-0.00556,5344
-0.277,9445
-0.141,8940
0.0375,4118
-0.191,10781
0.0192,4721
0.0153,4932
0.149,2446
-0.206,9572
-0.198,8604
0.0237,4139
-0.295,10594
0.155,2308
-0.344,9779
0.0775,3318
-0.22,9195
-0.615,8973
-0.242,8415
-0.0656,7349
0.0831,3143
-0.291,10457
-0.112,9043
0.0299,4722
-0.257,10085
-0.0156,5735
-0.752,9409
0.039,4642
-0.157,10173
0.0211,4471
0.324,1670
-0.0471,5839
0.336,1532
-0.222,7078
0.279,466
0.066,3304
-0.0198,6020
0.041,4246
-0.099,7843
-0.199,9551
-0.0665,7343
-0.0877,7378
-0.0624,5948
-0.0821,7747
-0.0929,7919
-0.0191,5409
-0.178,9571
-0.0132,6081
-0.00794,5318
-0.221,9802
0.00135,5380
0.203,1111
-0.295,10695
-0.136,7734
0.198,1640
-0.0698,6870
-0.0661,6745
-0.0895,8001
-0.115,8474
-0.123,8042
-0.187,9300
0.191,2238
-0.127,7570
0.00893,5166
-0.176,10697
-0.0082,5625
-0.212,9333
-0.204,8797
-0.00737,5454
-0.0193,5630
0.0652,2971
0.0935,2387
-0.453,10536
0.114,2470
-0.258,9206
0.0802,3728
-0.238,10365
0.247,419
